"State","HCAHPS Measures","HCAHPS Measure Code","HCAHPS Response Categories","HCAHPS Response Category Percent"
"FL","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",19
"FL","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",63
"FL","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",11
"FL","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",26
"FL","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",51
"FL","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",17
"FL","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",32
"FL","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",63
"FL","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",14
"FL","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",23
"FL","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",23
"FL","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",77
"FL","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",10
"FL","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",63
"FL","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",27
"GA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",11
"GA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",25
"GA","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",64
"GA","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",81
"GA","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",5
"GA","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",14
"GA","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",74
"GA","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",7
"GA","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",19
"GA","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",60
"GA","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",14
"GA","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",26
"GA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",58
"GA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",24
"GA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",18
"GA","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",68
"GA","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",8
"GA","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",24
"GA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",62
"GA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",10
"GA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",28
"GA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",68
"GA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",11
"GA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",21
"GA","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",22
"GA","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",78
"GA","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",7
"GA","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",67
"GA","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",26
"GU","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",
"GU","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",
"GU","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",
"GU","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",
"GU","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",
"GU","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",
"GU","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",
"GU","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",
"GU","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",
"GU","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",
"GU","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",
"GU","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",
"GU","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",
"GU","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",
"GU","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",
"GU","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",
"GU","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",
"GU","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",
"GU","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",
"GU","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",
"GU","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",
"GU","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",
"GU","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",
"GU","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",
"GU","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",
"GU","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",
"GU","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",
"GU","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",
"GU","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",
"HI","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",16
"HI","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",28
"HI","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",56
"HI","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",76
"HI","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",6
"HI","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",18
"HI","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",67
"HI","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",8
"HI","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",25
"HI","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",56
"HI","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",17
"HI","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",27
"HI","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",56
"HI","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",23
"HI","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",21
"HI","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",63
"HI","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",11
"HI","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",26
"HI","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",50
"HI","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",17
"HI","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",33
"HI","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",67
"HI","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",10
"HI","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",23
"HI","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",24
"HI","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",76
"HI","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",9
"HI","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",60
"HI","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",31
"IA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",6
"IA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",23
"IA","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",71
"IA","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",81
"IA","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",3
"IA","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",16
"IA","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",78
"IA","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",3
"IA","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",19
"IA","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",66
"IA","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",7
"IA","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",27
"IA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",61
"IA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",18
"IA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",21
"IA","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",70
"IA","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",5
"IA","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",25
"IA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",59
"IA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",9
"IA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",32
"IA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",77
"IA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",6
"IA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",17
"IA","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",17
"IA","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",83
"IA","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",3
"IA","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",72
"IA","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",25
"ID","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",8
"ID","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",23
"ID","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",69
"ID","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",81
"ID","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",4
"ID","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",15
"ID","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",75
"ID","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",4
"ID","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",21
"ID","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",68
"ID","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",8
"ID","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",24
"ID","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",62
"ID","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",20
"ID","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",18
"ID","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",71
"IN","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",11
"IN","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",34
"IN","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",72
"IN","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",8
"IN","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",20
"IN","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",19
"IN","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",81
"IN","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"IN","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",70
"IN","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",25
"KS","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",8
"KS","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",22
"KS","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",70
"KS","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",82
"KS","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",4
"KS","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",14
"KS","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",76
"KS","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",4
"KS","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",20
"KS","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",67
"KS","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",8
"KS","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",25
"KS","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",61
"KS","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",20
"KS","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",19
"KS","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",69
"KS","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",6
"KS","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",25
"KS","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",59
"KS","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",9
"KS","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",32
"KS","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",72
"KS","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",8
"KS","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",20
"KS","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",19
"KS","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",81
"KS","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",4
"KS","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",72
"KS","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",24
"KY","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",9
"KY","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",26
"KY","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",65
"KY","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",82
"KY","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",4
"KY","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",14
"KY","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",77
"KY","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",5
"KY","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",18
"KY","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",64
"KY","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",11
"KY","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",25
"KY","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",60
"KY","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",22
"KY","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",18
"KY","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",69
"KY","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",8
"KY","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",23
"KY","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",58
"KY","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",11
"KY","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",31
"KY","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",71
"KY","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",10
"KY","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",19
"KY","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",20
"KY","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",80
"KY","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"KY","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",68
"KY","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",27
"LA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",9
"LA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",20
"LA","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",71
"LA","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",86
"LA","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",3
"LA","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",11
"LA","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",80
"LA","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",5
"LA","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",15
"LA","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",68
"LA","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",11
"LA","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",21
"LA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",64
"LA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",20
"LA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",16
"LA","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",74
"LA","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",7
"LA","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",19
"LA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",71
"LA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",7
"LA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",22
"LA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",73
"LA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",10
"LA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",17
"LA","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",19
"LA","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",81
"LA","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",6
"LA","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",72
"LA","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",22
"MA","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",9
"MA","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",26
"MA","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",65
"MA","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",79
"MA","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",5
"MA","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",16
"MA","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",76
"MA","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",5
"MA","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",19
"MA","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",62
"MA","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",11
"MA","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",27
"MA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",60
"MA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",21
"MA","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",19
"MA","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",69
"MA","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",7
"MA","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",24
"MA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",49
"MA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",17
"MA","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",34
"MA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",70
"MA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",9
"MA","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",21
"MA","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",16
"MA","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",84
"MA","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"MA","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",71
