"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Average Payment Range","Number Of Cases"
"ME","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","33768 - 35325","101"
"ME","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","34002 - 36258","89"
"MI","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","32908 - 37980","615"
"MI","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","32599 - 40848","982"
"MI","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","32797 - 37155","1068"
"MI","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","49482 - 57694","142"
"MI","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","37855 - 42779","160"
"MI","226","Cardiac defibrillator implant w/o cardiac cath w MCC","42681 - 48286","370"
"MI","038","Extracranial procedures w CC","9127 - 10440","517"
"MI","039","Extracranial procedures w/o CC/MCC","6336 - 7055","1652"
"MI","236","Coronary bypass w/o cardiac cath w/o MCC","22986 - 25384","754"
"MI","235","Coronary bypass w/o cardiac cath w MCC","31443 - 39873","380"
"MI","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","48887 - 59346","549"
"MI","313","Chest Pain","3310 - 3807","6860"
"MI","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","28424 - 31460","199"
"MI","637","Diabetes w MCC","8042 - 9686","1441"
"MI","191","Chronic obstructive pulmonary disease w CC","5778 - 6760","6213"
"MI","193","Simple pneumonia and pleurisy w MCC","8564 - 10102","5878"
"MN","193","Simple pneumonia and pleurisy w MCC","8716 - 9553","1858"
"MN","191","Chronic obstructive pulmonary disease w CC","6043 - 6471","1155"
"MN","637","Diabetes w MCC","8361 - 9502","284"
"MN","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","32039 - 32089","102"
"MN","313","Chest Pain","3403 - 3643","1855"
"MN","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","49705 - 60811","312"
"MN","235","Coronary bypass w/o cardiac cath w MCC","36119 - 46747","100"
"MN","236","Coronary bypass w/o cardiac cath w/o MCC","23477 - 26392","312"
"MN","039","Extracranial procedures w/o CC/MCC","6348 - 7318","540"
"MN","038","Extracranial procedures w CC","9418 - 10782","241"
"MN","226","Cardiac defibrillator implant w/o cardiac cath w MCC","42552 - 47998","87"
"MN","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","37942 - 42685","39"
"MN","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","49066 - 55276","53"
"MN","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","32790 - 33983","474"
"MN","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","32735 - 42340","463"
"MN","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","33653 - 37817","430"
"MO","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","27064 - 35318","388"
"MO","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","27941 - 37287","647"
"MO","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27767 - 34840","541"
"MO","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","42891 - 54026","75"
"MO","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32104 - 40157","89"
"MO","226","Cardiac defibrillator implant w/o cardiac cath w MCC","36532 - 48393","185"
"MO","038","Extracranial procedures w CC","8132 - 9305","379"
"MO","039","Extracranial procedures w/o CC/MCC","5522 - 6202","1146"
"MO","236","Coronary bypass w/o cardiac cath w/o MCC","19227 - 23803","654"
"MO","235","Coronary bypass w/o cardiac cath w MCC","29348 - 39239","270"
"MO","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","42198 - 58654","401"
"MO","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","23410 - 28827","108"
"MO","313","Chest Pain","3014 - 3814","3951"
"MO","637","Diabetes w MCC","7323 - 8941","671"
"MO","191","Chronic obstructive pulmonary disease w CC","5297 - 6316","3188"
"MO","193","Simple pneumonia and pleurisy w MCC","7901 - 8918","4163"
"MP","191","Chronic obstructive pulmonary disease w CC","2708","*"
"MP","193","Simple pneumonia and pleurisy w MCC","1896 - 3791","*"
"MP","637","Diabetes w MCC","1083","*"
"MP","313","Chest Pain","542","*"
"MS","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","24961 - 27161","53"
"MS","313","Chest Pain","3029 - 3374","1849"
"MS","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","45155 - 54099","97"
"MS","637","Diabetes w MCC","7406 - 8307","467"
"MS","193","Simple pneumonia and pleurisy w MCC","7766 - 8816","2068"
"MS","191","Chronic obstructive pulmonary disease w CC","5239 - 5900","2158"
"MS","235","Coronary bypass w/o cardiac cath w MCC","32333 - 35709","127"
"MS","236","Coronary bypass w/o cardiac cath w/o MCC","20530 - 22339","414"
"MS","039","Extracranial procedures w/o CC/MCC","5710 - 6204","668"
"MS","038","Extracranial procedures w CC","8554 - 9141","172"
"MS","226","Cardiac defibrillator implant w/o cardiac cath w MCC","38179 - 43279","63"
"MS","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","33882 - 37972","70"
"MS","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","44148 - 47207","38"
"MS","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","28763 - 31505","304"
"MS","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","30630 - 33622","261"
"MS","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","29465 - 31725","151"
"MT","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","27552 - 30581","96"
"MT","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","29402 - 31313","62"
"MT","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","29498 - 31256","55"
"MT","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","40235 - 46935","*"
"MT","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","34336 - 38599","*"
"MT","226","Cardiac defibrillator implant w/o cardiac cath w MCC","38221 - 38704","15"
"MT","038","Extracranial procedures w CC","8690 - 9172","37"
"MT","039","Extracranial procedures w/o CC/MCC","5646 - 6225","175"
"MT","236","Coronary bypass w/o cardiac cath w/o MCC","20299 - 21376","105"
"MT","235","Coronary bypass w/o cardiac cath w MCC","30331 - 33665","39"
"MT","191","Chronic obstructive pulmonary disease w CC","5618 - 5983","231"
"MT","193","Simple pneumonia and pleurisy w MCC","8020 - 8921","436"
"MT","637","Diabetes w MCC","7766 - 8272","52"
"MT","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","42221 - 47134","51"
"MT","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","25649 - 25989","29"
"MT","313","Chest Pain","3177 - 3360","265"
"NC","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","32001 - 39875","512"
"NC","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","31136 - 40676","749"
"NC","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","31509 - 36981","776"
"NC","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","46741 - 57522","114"
"NC","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","35779 - 42628","132"
"NC","226","Cardiac defibrillator implant w/o cardiac cath w MCC","41114 - 50340","233"
"NC","235","Coronary bypass w/o cardiac cath w MCC","34271 - 45962","323"
"NC","039","Extracranial procedures w/o CC/MCC","6012 - 6915","1397"
"NC","038","Extracranial procedures w CC","9011 - 10205","366"
"NC","236","Coronary bypass w/o cardiac cath w/o MCC","22334 - 26222","702"
"NC","191","Chronic obstructive pulmonary disease w CC","5565 - 6215","4274"
"NC","193","Simple pneumonia and pleurisy w MCC","8271 - 9149","6197"
"NC","637","Diabetes w MCC","7767 - 8810","1338"
"NC","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","49130 - 61014","433"
"NC","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","27788 - 35483","159"
"NC","313","Chest Pain","3247 - 3695","6485"
"ND","313","Chest Pain","2977 - 3394","171"
"ND","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","24549 - 31057","16"
"ND","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","40662 - 46999","39"
"ND","637","Diabetes w MCC","7094 - 7929","45"
"ND","193","Simple pneumonia and pleurisy w MCC","7757 - 8589","380"
"ND","191","Chronic obstructive pulmonary disease w CC","5300 - 5748","160"
"ND","236","Coronary bypass w/o cardiac cath w/o MCC","19266 - 21581","86"
"ND","038","Extracranial procedures w CC","8143 - 8267","61"
"ND","039","Extracranial procedures w/o CC/MCC","5418 - 5610","175"
"ND","235","Coronary bypass w/o cardiac cath w MCC","29162 - 34429","24"
"ND","226","Cardiac defibrillator implant w/o cardiac cath w MCC","35505 - 36598","18"
"ND","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","31375 - 37264","12"
"ND","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","40722 - 46202","11"
"ND","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","26957 - 30109","77"
"ND","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","27168 - 30012","105"
"ND","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","27913 - 28931","80"
"NE","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","28172 - 35480","139"
"NE","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","29719 - 36931","144"
"NE","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27493 - 36901","188"
"NE","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","45026 - 52593","11"
"NE","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32250 - 40172","26"
"NE","226","Cardiac defibrillator implant w/o cardiac cath w MCC","37538 - 47538","39"
"NE","039","Extracranial procedures w/o CC/MCC","5460 - 6652","308"
"NE","038","Extracranial procedures w CC","8045 - 9650","85"
"NE","236","Coronary bypass w/o cardiac cath w/o MCC","19661 - 24880","293"
"NE","235","Coronary bypass w/o cardiac cath w MCC","30964 - 34538","110"
"NE","191","Chronic obstructive pulmonary disease w CC","5445 - 6385","655"
"NE","193","Simple pneumonia and pleurisy w MCC","8078 - 9901","862"
"NE","637","Diabetes w MCC","7448 - 9704","92"
"NE","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","43794 - 55302","141"
"NE","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","24679 - 33227","36"
"NE","313","Chest Pain","3096 - 3745","764"
"NH","313","Chest Pain","3243 - 3430","396"
"NH","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","27876 - 37164","44"
"NH","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","47606 - 67124","73"
"NH","637","Diabetes w MCC","7982 - 8443","90"
"NH","193","Simple pneumonia and pleurisy w MCC","8611 - 9181","725"
"NH","191","Chronic obstructive pulmonary disease w CC","5774 - 6107","585"
"NH","236","Coronary bypass w/o cardiac cath w/o MCC","21679 - 29466","154"
"NH","038","Extracranial procedures w CC","8909 - 10000","87"
"NH","039","Extracranial procedures w/o CC/MCC","6049 - 8384","236"
"NH","235","Coronary bypass w/o cardiac cath w MCC","34089 - 38130","38"
"NH","226","Cardiac defibrillator implant w/o cardiac cath w MCC","39508 - 55294","26"
"NH","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","35655 - 46336","*"
"NH","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","45556 - 63859","13"
"NH","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","30461 - 32561","86"
"NH","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","30393 - 42654","156"
"NH","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","31213 - 43749","160"
"NJ","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","36333 - 42223","579"
"NJ","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","33834 - 40158","679"
"NJ","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","35812 - 41317","969"
"NJ","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","53768 - 61712","110"
"NJ","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","41343 - 47698","149"
"NJ","226","Cardiac defibrillator implant w/o cardiac cath w MCC","45941 - 53534","366"
"NJ","235","Coronary bypass w/o cardiac cath w MCC","38149 - 46475","281"
"NJ","039","Extracranial procedures w/o CC/MCC","6407 - 7629","1035"
"NJ","038","Extracranial procedures w CC","9140 - 11415","334"
"NJ","236","Coronary bypass w/o cardiac cath w/o MCC","25611 - 29510","648"
"NJ","191","Chronic obstructive pulmonary disease w CC","6118 - 7299","4739"
"NJ","193","Simple pneumonia and pleurisy w MCC","9085 - 11100","4302"
"NJ","637","Diabetes w MCC","8487 - 10286","1089"
"NJ","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","55295 - 64885","452"
"NJ","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","31633 - 38199","170"
"NJ","313","Chest Pain","3473 - 4261","5865"
"NM","313","Chest Pain","3173 - 4092","735"
"NM","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","24852 - 28433","13"
"NM","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","44113 - 69524","49"
"NM","637","Diabetes w MCC","7885 - 10797","146"
"NM","193","Simple pneumonia and pleurisy w MCC","8443 - 11114","775"
"NM","191","Chronic obstructive pulmonary disease w CC","5650 - 7445","462"
"NM","236","Coronary bypass w/o cardiac cath w/o MCC","19851 - 23385","98"
"NM","038","Extracranial procedures w CC","8617 - 9695","41"
"NM","039","Extracranial procedures w/o CC/MCC","5676 - 6494","139"
"NM","235","Coronary bypass w/o cardiac cath w MCC","31215 - 36830","30"
"NM","226","Cardiac defibrillator implant w/o cardiac cath w MCC","39232 - 47996","22"
"NM","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","34096 - 41009","13"
"NM","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","44500 - 56493","*"
"NM","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","29535 - 36867","58"
"NM","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","29399 - 40847","99"
"NM","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","29289 - 33456","58"
"NV","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","33267 - 39964","76"
"NV","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","33366 - 38935","170"
"NV","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","33536 - 39767","131"
"NV","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","50025 - 60155","25"
"NV","226","Cardiac defibrillator implant w/o cardiac cath w MCC","43342 - 50612","57"
"NV","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","38617 - 45501","23"
"NV","039","Extracranial procedures w/o CC/MCC","6536 - 7368","333"
"NV","038","Extracranial procedures w CC","9443 - 11412","106"
"NV","235","Coronary bypass w/o cardiac cath w MCC","37048 - 43994","81"
"NV","236","Coronary bypass w/o cardiac cath w/o MCC","23534 - 27935","125"
"NV","191","Chronic obstructive pulmonary disease w CC","6151 - 7428","805"
"NV","193","Simple pneumonia and pleurisy w MCC","9191 - 10558","830"
"NV","637","Diabetes w MCC","8809 - 10472","161"
"NV","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","50264 - 61343","98"
"NV","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","29086 - 30487","20"
"NV","313","Chest Pain","3579 - 3968","1435"
"NY","313","Chest Pain","3826 - 5703","14130"
"NY","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","27657 - 42753","199"
"NY","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","54070 - 83547","965"
"NY","637","Diabetes w MCC","8471 - 14437","1802"
"NY","193","Simple pneumonia and pleurisy w MCC","8858 - 13623","7793"
"NY","191","Chronic obstructive pulmonary disease w CC","5834 - 8910","7311"
"NY","236","Coronary bypass w/o cardiac cath w/o MCC","22747 - 35355","939"
"NY","038","Extracranial procedures w CC","9308 - 13269","530"
"NY","039","Extracranial procedures w/o CC/MCC","6247 - 8801","1720"
"NY","235","Coronary bypass w/o cardiac cath w MCC","38777 - 59918","477"
"NY","226","Cardiac defibrillator implant w/o cardiac cath w MCC","47440 - 68972","526"
"NY","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","39748 - 57753","248"
"NY","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","53009 - 79150","161"
"NY","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","34822 - 53200","1800"
"NY","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","35796 - 53059","1345"
"NY","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","34531 - 54286","1010"
"OH","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","31762 - 35076","744"
"OH","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","30242 - 39485","1054"
"OH","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","29485 - 37648","1187"
"OH","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","45332 - 59085","129"
"OH","226","Cardiac defibrillator implant w/o cardiac cath w MCC","39245 - 48959","384"
"OH","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","34912 - 45143","185"
"OH","235","Coronary bypass w/o cardiac cath w MCC","30020 - 42664","427"
"OH","039","Extracranial procedures w/o CC/MCC","5664 - 6422","1620"
"OH","038","Extracranial procedures w CC","8345 - 9544","526"
"OH","236","Coronary bypass w/o cardiac cath w/o MCC","20100 - 24441","843"
"OH","191","Chronic obstructive pulmonary disease w CC","5269 - 6039","6237"
"OH","193","Simple pneumonia and pleurisy w MCC","7764 - 9024","7466"
"OH","637","Diabetes w MCC","7390 - 8727","1277"
"OH","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","48148 - 59922","879"
"OH","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","25827 - 29763","195"
"OH","313","Chest Pain","3037 - 3494","7059"
"OK","313","Chest Pain","3010 - 3262","2697"
"OK","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","24868 - 28341","48"
"OK","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","44197 - 53677","167"
"OK","637","Diabetes w MCC","7365 - 8155","344"
"OK","193","Simple pneumonia and pleurisy w MCC","7882 - 8658","2128"
"OK","191","Chronic obstructive pulmonary disease w CC","5240 - 5793","2142"
"OK","236","Coronary bypass w/o cardiac cath w/o MCC","20299 - 23756","502"
"OK","038","Extracranial procedures w CC","7778 - 8923","277"
"OK","039","Extracranial procedures w/o CC/MCC","5279 - 6473","632"
"OK","235","Coronary bypass w/o cardiac cath w MCC","30821 - 36711","236"
"OK","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","33199 - 38714","36"
"OK","226","Cardiac defibrillator implant w/o cardiac cath w MCC","38320 - 46497","129"
"OK","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","43872 - 55810","34"
"OK","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","26517 - 37261","311"
"OK","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","28546 - 34359","539"
"OK","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","29086 - 34094","201"
"OR","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","32568 - 34728","179"
"OR","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","31933 - 37723","120"
"OR","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","32392 - 45106","162"
"OR","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","49236 - 55583","21"
"OR","226","Cardiac defibrillator implant w/o cardiac cath w MCC","41522 - 47025","31"
"OR","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","38344 - 47092","21"
"OR","235","Coronary bypass w/o cardiac cath w MCC","34314 - 50967","111"
"OR","039","Extracranial procedures w/o CC/MCC","6312 - 6696","381"
"OR","038","Extracranial procedures w CC","9301 - 11149","115"
"OR","236","Coronary bypass w/o cardiac cath w/o MCC","22729 - 24237","220"
"OR","191","Chronic obstructive pulmonary disease w CC","6069 - 6770","558"
"OR","193","Simple pneumonia and pleurisy w MCC","8873 - 10078","953"
"OR","637","Diabetes w MCC","8235 - 9744","176"
"OR","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","47620 - 71066","213"
"OR","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","27635 - 29264","71"
"OR","313","Chest Pain","3456 - 3902","628"
"PA","313","Chest Pain","3175 - 3657","7243"
"PA","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","25844 - 33678","154"
"PA","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","44360 - 67427","831"
"PA","637","Diabetes w MCC","7490 - 9005","1235"
"PA","193","Simple pneumonia and pleurisy w MCC","7794 - 9343","6371"
"PA","191","Chronic obstructive pulmonary disease w CC","5319 - 6435","5755"
"PA","236","Coronary bypass w/o cardiac cath w/o MCC","20375 - 25698","709"
"PA","038","Extracranial procedures w CC","8291 - 9895","496"
"PA","039","Extracranial procedures w/o CC/MCC","5663 - 6718","1420"
"PA","235","Coronary bypass w/o cardiac cath w MCC","28280 - 42616","452"
"PA","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","34592 - 39394","234"
"PA","226","Cardiac defibrillator implant w/o cardiac cath w MCC","39152 - 49568","414"
"PA","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","46586 - 57059","143"
"PA","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","29752 - 38711","1199"
"PA","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","30137 - 35232","1355"
"PA","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","29458 - 40315","784"
"PR","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","17666 - 18133","31"
"PR","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","17240 - 19713","41"
"PR","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","17165 - 19655","36"
"PR","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","25758 - 29452","*"
"PR","226","Cardiac defibrillator implant w/o cardiac cath w MCC","22339 - 26571","15"
"PR","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","19903 - 20406","*"
"PR","235","Coronary bypass w/o cardiac cath w MCC","19417 - 19908","58"
"PR","039","Extracranial procedures w/o CC/MCC","3420 - 3510","50"
"PR","038","Extracranial procedures w CC","5045 - 5336","21"
"PR","236","Coronary bypass w/o cardiac cath w/o MCC","12329 - 12655","97"
"PR","191","Chronic obstructive pulmonary disease w CC","3284 - 3586","378"
"PR","193","Simple pneumonia and pleurisy w MCC","4907 - 5474","394"
"PR","637","Diabetes w MCC","4540 - 5088","71"
"PR","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","27074 - 29815","30"
"PR","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","15369 - 17140","*"
"PR","313","Chest Pain","1844 - 2059","73"
"RI","313","Chest Pain","3534 - 4623","395"
"RI","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","29364 - 37405","*"
"RI","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","55870 - 70253","36"
"RI","637","Diabetes w MCC","8475 - 11380","109"
"RI","193","Simple pneumonia and pleurisy w MCC","9012 - 12299","485"
"RI","191","Chronic obstructive pulmonary disease w CC","6040 - 8137","530"
"RI","236","Coronary bypass w/o cardiac cath w/o MCC","25415 - 32548","60"
"RI","038","Extracranial procedures w CC","9493 - 13091","19"
"RI","039","Extracranial procedures w/o CC/MCC","6781 - 8884","95"
"RI","235","Coronary bypass w/o cardiac cath w MCC","45607 - 51239","14"
"RI","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","43483 - 52175","*"
"RI","226","Cardiac defibrillator implant w/o cardiac cath w MCC","45869 - 58924","19"
"RI","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","51257 - 78625","*"
"RI","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","35286 - 45311","52"
"RI","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","35401 - 45512","57"
"RI","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","36382 - 46637","32"
"SC","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","28641 - 38181","206"
"SC","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","29673 - 36628","497"
"SC","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","28071 - 37176","342"
"SC","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","43797 - 62713","37"
"SC","226","Cardiac defibrillator implant w/o cardiac cath w MCC","36490 - 47439","138"
"SC","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32469 - 42284","63"
"SC","235","Coronary bypass w/o cardiac cath w MCC","31646 - 40271","186"
"SC","039","Extracranial procedures w/o CC/MCC","5593 - 6425","850"
"SC","038","Extracranial procedures w CC","8307 - 9562","202"
"SC","236","Coronary bypass w/o cardiac cath w/o MCC","18982 - 22758","420"
"SC","191","Chronic obstructive pulmonary disease w CC","5392 - 6007","2087"
"SC","193","Simple pneumonia and pleurisy w MCC","8079 - 9052","2943"
"SC","637","Diabetes w MCC","7619 - 8380","583"
"SC","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","44169 - 57391","255"
"SC","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","23793 - 35948","48"
"SC","313","Chest Pain","3102 - 3402","2461"
"SD","313","Chest Pain","3156 - 3983","402"
"SD","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","23319 - 25655","39"
"SD","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","42084 - 58602","26"
"SD","637","Diabetes w MCC","7796 - 9826","46"
"SD","193","Simple pneumonia and pleurisy w MCC","8393 - 9263","429"
"SD","191","Chronic obstructive pulmonary disease w CC","5629 - 6185","296"
"SD","236","Coronary bypass w/o cardiac cath w/o MCC","19194 - 21134","116"
"SD","038","Extracranial procedures w CC","7854 - 10885","39"
"SD","039","Extracranial procedures w/o CC/MCC","5330 - 6195","145"
"SD","235","Coronary bypass w/o cardiac cath w MCC","30182 - 33232","26"
"SD","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","30937 - 42989","13"
"SD","226","Cardiac defibrillator implant w/o cardiac cath w MCC","34776 - 48199","27"
"SD","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","40037 - 42695","11"
"SD","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","26753 - 37117","90"
