"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3"
"111325","WILLS MEMORIAL HOSPITAL","120 GORDON STREET","","","WASHINGTON","GA","30673","WILKES","7066789212","83","70","","81","16","The number of cases/patients is too few to report","100","46",""
"111326","LOUIS SMITH MEMORIAL HOSPITAL","116 WEST THIGPEN AVENUE","","","LAKELAND","GA","31635","LANIER","2294828402","90","21","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","89","19","The number of cases/patients is too few to report"
"111327","BACON COUNTY HOSPITAL","302 SOUTH WAYNE STREET","","","ALMA","GA","31510","BACON","9126328961","100","21","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","100","18","The number of cases/patients is too few to report"
"111328","PHOEBE WORTH MEDICAL CENTER","807 SOUTH ISABELLA STREET","","","SYLVESTER","GA","31791","WORTH","2297773851","36","25","","Not Available","Not Available","The number of cases/patients is too few to report","33","18","The number of cases/patients is too few to report"
"111329","GOOD SAMARITAN HOSPITAL, INC","1201 SILOAM ROAD","","","GREENSBORO","GA","30642","GREENE","7064537331","100","14","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","83","12","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"111330","POLK MEDICAL CENTER","424 N MAIN STREET","","","CEDARTOWN","GA","30125","POLK","7707482500","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required"
"111331","MITCHELL COUNTY HOSPITAL","90 STEPHENS STREET","","","CAMILLA","GA","31730","MITCHELL","2293365284","100","14","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","100","11","The number of cases/patients is too few to report"
"111332","BROOKS COUNTY HOSPITAL","903 N COURT ST","","","QUITMAN","GA","31643","BROOKS","9122636309","100","13","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","100","11","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"111333","JEFF DAVIS HOSPITAL","163 SOUTH TALLAHASSEE STREET, P O BOX 1690","","","HAZLEHURST","GA","31539","JEFF DAVIS","9123757781","59","27","","Not Available","Not Available","The number of cases/patients is too few to report","100","19","The number of cases/patients is too few to report"
"111334","CANDLER COUNTY HOSPITAL","400 CEDAR STREET","","","METTER","GA","30439","CANDLER","9126855741","68","25","","Not Available","Not Available","The number of cases/patients is too few to report","100","21","The number of cases/patients is too few to report"
"111335","LIBERTY REGIONAL MEDICAL CENTER","462 E G MILES PARKWAY","","","HINESVILLE","GA","31310","LIBERTY","9123699438","90","50","","Not Available","Not Available","The number of cases/patients is too few to report","93","43",""
"111336","MOUNTAIN LAKES MEDICAL CENTER","196 RIDGECREST CIRCLE","","","CLAYTON","GA","30525","RABUN","7067820400","100","22","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","82","22","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"120001","THE QUEENS MEDICAL CENTER","1301 PUNCHBOWL ST","","","HONOLULU","HI","96813","HONOLULU","8085389011","100","591","","100","255","","96","525",""
"120002","MAUI MEMORIAL MEDICAL CENTER","221 MAHALANI STREET","","","WAILUKU","HI","96793","MAUI","8084425101","100","221","","95","95","","98","213",""
"120004","WAHIAWA GENERAL HOSPITAL","128 LEHUA STREET","","","WAHIAWA","HI","96786","HONOLULU","8086218411","99","188","","95","66","","64","182",""
"120005","HILO MEDICAL CENTER","1190 WAIANUENUE AVENUE","","","HILO","HI","96720","HAWAII","8089744700","98","260","","98","62","","90","204",""
"120006","CASTLE MEDICAL CENTER","640 ULUKAHIKI ST","","","KAILUA","HI","96734","HONOLULU","8082635500","100","146","","100","52","","100","133",""
"120007","KUAKINI MEDICAL CENTER","347 NORTH KUAKINI STREET","","","HONOLULU","HI","96817","HONOLULU","8085362236","95","226","Data submitted were based on a sample of cases/patients","72","67","Data submitted were based on a sample of cases/patients","81","204","Data submitted were based on a sample of cases/patients"
"120011","KAISER FOUNDATION HOSPITAL","3288 MOANALUA RD","","","HONOLULU","HI","96819","HONOLULU","8084320000","100","296","","100","87","","100","289",""
"120014","WILCOX MEMORIAL HOSPITAL","3-3420 KUHIO HIGHWAY","","","LIHUE","HI","96766","KAUAI","8082451103","100","93","","98","40","","98","85",""
"120019","KONA COMMUNITY HOSPITAL","79-1019 HAUKAPILA STREET","","","KEALAKEKUA","HI","96750","HAWAII","8083229311","99","86","","91","34","","92","79",""
"120022","STRAUB CLINIC AND HOSPITAL","888 SO KING STREET","","","HONOLULU","HI","96813","HONOLULU","8085224000","100","277","","95","93","","98","252",""
"120026","PALI MOMI MEDICAL CENTER","98-1079 MOANALUA ROAD","","","AIEA","HI","96701","HONOLULU","8084866000","100","324","","98","130","","97","314",""
"120028","NORTH HAWAII COMMUNITY HOSPITAL","67 1125 MAMALAHOA HIGHWAY","","","KAMUELA","HI","96743","HAWAII","8088854444","100","40","","Not Available","Not Available","The number of cases/patients is too few to report","85","39",""
"121300","KAUAI VETERANS MEMORIAL HOSPITAL","4643 WAIMEA CANYON DRIVE","","","WAIMEA","HI","96796","KAUAI","8083389248","100","23","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","100","18","The number of cases/patients is too few to report"
"121303","MOLOKAI GENERAL HOSPITAL","280 HOME OLU PLACE","","","KAUNAKAKAI","HI","96748","MAUI","8085535331","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"121304","KAHUKU MEDICAL CENTER","56-117 PUALALEA STREET","","","KAHUKU","HI","96731","HONOLULU","8082939221","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"121306","SAMUEL MAHELONA MEMORIAL HOSPITAL","4800 KAWAIHAU ROAD","","","KAPAA","HI","96746","KAUAI","8088224961","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required"
"121308","KULA HOSPITAL","100 KOKEA PLACE","","","KULA","HI","96790","MAUI","8088781221","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"130002","ST LUKES MAGIC VALLEY RMC","801 POLE LINE ROAD WEST","","","TWIN FALLS","ID","83301","TWIN FALLS","2087372103","100","141","","100","30","","100","115",""
"130003","ST JOSEPH REGIONAL MEDICAL CENTER","415 SIXTH STREET","","","LEWISTON","ID","83501","NEZ PERCE","2087432511","100","90","","100","38","","100","63",""
"130006","ST LUKES REGIONAL MEDICAL CENTER","190 EAST BANNOCK STREET","","","BOISE","ID","83712","ADA","2083812222","100","357","","100","92","","98","303",""
"130007","ST ALPHONSUS REGIONAL MEDICAL CENTER","1055 NORTH CURTIS ROAD","","","BOISE","ID","83706","ADA","2083672121","99","185","","98","47","","96","150",""
"130013","SAINT ALPHONSUS MEDICAL CENTER - NAMPA","1512 TWELFTH AVENUE ROAD","","","NAMPA","ID","83686","CANYON","2084635000","100","121","","100","43","","92","96",""
"130014","WEST VALLEY MEDICAL CENTER","1717 ARLINGTON STREET","","","CALDWELL","ID","83605","CANYON","2084594641","100","70","","92","13","The number of cases/patients is too few to report","98","61",""
"130018","EASTERN IDAHO REGIONAL MEDICAL CENTER","3100 CHANNING WAY","","","IDAHO FALLS","ID","83404","BONNEVILLE","2085296211","100","108","","100","30","","100","96",""
"130025","MADISON MEMORIAL HOSPITAL","450 EAST MAIN STREET","","","REXBURG","ID","83440","MADISON","2083596488","96","25","","Not Available","Not Available","The number of cases/patients is too few to report","85","20","The number of cases/patients is too few to report"
"130028","PORTNEUF MEDICAL CENTER","777 HOSPITAL WAY","","","POCATELLO","ID","83201","BANNOCK","2082391000","100","115","","100","39","","90","105",""
"13003F","BOISE VA MEDICAL CENTER","500 W. FORT STREET","","","BOISE                         ","ID","83702","ADA","2084221000","100","93","","89","27","","75","81",""
"130049","KOOTENAI MEDICAL CENTER","2003 KOOTENAI HEALTH WAY","","","COEUR D'ALENE","ID","83814","KOOTENAI","2086662003","100","217","","90","51","","100","186",""
"130063","TREASURE VALLEY HOSPITAL","8800 WEST EMERALD STREET","","","BOISE","ID","83704","ADA","2083735000","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"130065","MOUNTAIN VIEW HOSPITAL","2325 CORONADO STREET","","","IDAHO FALLS","ID","83404","BONNEVILLE","2085572700","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"130066","NORTHWEST SPECIALTY HOSPITAL","1593 EAST POLSTON AVENUE","","","POST FALLS","ID","83854","KOOTENAI","2082622300","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"130067","IDAHO DOCTORS HOSPITAL","350 NORTH MERIDIAN STREET","","","BLACKFOOT","ID","83221","BINGHAM","2087822900","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"131301","BOUNDARY COMMUNITY HOSPITAL","6640 KANIKSU STREET","","","BONNERS FERRY","ID","83805","BOUNDARY","2082674850","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"131302","NORTH CANYON MEDICAL CENTER","267 NORTH CANYON DR","","","GOODING","ID","83330","GOODING","2089344433","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"131303","ONEIDA COUNTY HOSPITAL","150 NORTH 200 WEST","","","MALAD CITY","ID","83252","ONEIDA","2087662231","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"131304","HARMS MEMORIAL HOSPITAL","510 ROOSEVELT STREET","","","AMERICAN FALLS","ID","83211","POWER","2082263200","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"131305","STEELE MEMORIAL MEDICAL CENTER","203 SOUTH DAISY STREET","","","SALMON","ID","83467","LEMHI","2087565600","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"131307","WEISER MEMORIAL HOSPITAL","645 EAST 5TH STREET","","","WEISER","ID","83672","WASHINGTON","2085490370","46","13","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"131308","CASCADE MEDICAL CENTER","402 LAKE CASCADE PARKWAY","","","CASCADE","ID","83611","VALLEY","2083824242","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"131310","ST LUKES JEROME","709 NORTH LINCOLN AVENUE","","","JEROME","ID","83338","JEROME","2083244301","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","Data submitted were based on a sample of cases/patients., No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"131311","ST LUKE'S ELMORE MEDICAL CENTER","895 NORTH 6TH EAST","","","MOUNTAIN HOME","ID","83647","ELMORE","2085878401","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"131312","ST LUKE'S MCCALL","1000 STATE STREET","","","MC CALL","ID","83638","VALLEY","2086344061","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"131314","SHOSHONE MEDICAL CENTER","25 JACOBS GULCH ROAD","","","KELLOGG","ID","83837","SHOSHONE","2087841221","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"131315","SYRINGA GENERAL HOSPITAL","607 W MAIN STREET","","","GRANGEVILLE","ID","83530","IDAHO","2089831700","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"131316","BEAR LAKE MEMORIAL HOSPITAL","164 SOUTH FIFTH STREET","","","MONTPELIER","ID","83254","BEAR LAKE","2088471630","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"131317","BENEWAH COMMUNITY HOSPITAL","229 SOUTH 7TH STREET","","","SAINT MARIES","ID","83861","BENEWAH","2082457614","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"131319","MINIDOKA MEMORIAL HOSPITAL","1224 EIGHTH STREET","","","RUPERT","ID","83350","MINIDOKA","2084360481","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"131320","CLEARWATER VALLEY HOSPITAL & CLINICS","301 CEDAR STREET","","","OROFINO","ID","83544","CLEARWATER","2084764555","83","18","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","100","12","The number of cases/patients is too few to report"
"131321","ST MARYS HOSPITAL","701 LEWISTON ST","","","COTTONWOOD","ID","83522","IDAHO","2089623251","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"131322","FRANKLIN COUNTY MEDICAL CENTER","44 NORTH FIRST EAST","","","PRESTON","ID","83263","FRANKLIN","2088520137","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"131323","ST LUKES WOOD RIVER MEDICAL CENTER","100 HOSPITAL DRIVE","","","KETCHUM","ID","83340","BLAINE","2087278413","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"131324","LOST RIVERS HOSPITAL","551 HIGHLAND DRIVE","","","ARCO","ID","83213","BUTTE","2085278206","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"131325","BINGHAM MEMORIAL HOSPITAL","98 POPLAR STREET","","","BLACKFOOT","ID","83221","BINGHAM","2087853804","38","13","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"131326","CASSIA REGIONAL MEDICAL CENTER","1501 HILAND AVENUE","","","BURLEY","ID","83318","CASSIA","2086784444","100","37","","Not Available","Not Available","The number of cases/patients is too few to report","81","27",""
"131327","GRITMAN MEDICAL CENTER","700 SOUTH MAIN STREET","","","MOSCOW","ID","83843","LATAH","2088832220","100","27","","82","11","The number of cases/patients is too few to report","100","20","The number of cases/patients is too few to report"
"131328","BONNER GENERAL HOSPITAL","520 NORTH THIRD AVENUE BOX 1448","","","SANDPOINT","ID","83864","BONNER","2082631441","65","17","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","57","14","The number of cases/patients is too few to report"
"140001","GRAHAM HOSPITAL ASSOCIATION","210 WEST WALNUT STREET","","","CANTON","IL","61520","FULTON","3096475240","99","84","","76","21","The number of cases/patients is too few to report","89","53",""
"140002","ALTON MEMORIAL HOSPITAL","ONE MEMORIAL DRIVE","","","ALTON","IL","62002","MADISON","6184637300","99","259","","99","69","","100","203",""
"140007","PRESENCE SAINT JOSEPH MEDICAL CENTER","333 N MADISON","","","JOLIET","IL","60435","WILL","8157257133","99","321","Data submitted were based on a sample of cases/patients","100","95","Data submitted were based on a sample of cases/patients","95","251","Data submitted were based on a sample of cases/patients"
"140008","LOYOLA GOTTLIEB MEMORIAL HOSPITAL","701 WEST NORTH AVE","","","MELROSE PARK","IL","60160","COOK","7084504924","100","267","","100","69","","97","211",""
"140010","EVANSTON HOSPITAL","2650 RIDGE AVE","","","EVANSTON","IL","60201","COOK","8474328000","100","579","Data submitted were based on a sample of cases/patients","99","143","Data submitted were based on a sample of cases/patients","100","393","Data submitted were based on a sample of cases/patients"
"140011","HERRIN HOSPITAL","201 S 14TH ST","","","HERRIN","IL","62948","WILLIAMSON","6189422171","100","116","","92","25","","90","86",""
"140012","KATHERINE SHAW BETHEA HOSPITAL","403 E 1ST ST","","","DIXON","IL","61021","LEE","8152885531","100","113","","100","26","","95","84",""
"140013","PROCTOR HOSPITAL","5409 N KNOXVILLE AVE","","","PEORIA","IL","61614","PEORIA","3096911000","100","152","","97","35","","93","95",""
"140015","BLESSING HOSPITAL","BROADWAY AT 11TH STREET","","","QUINCY","IL","62301","ADAMS","2172235811","100","338","","97","64","","81","232",""
"140018","MT SINAI HOSPITAL MEDICAL CENTER","15TH STREET AT CALIFORNIA","","","CHICAGO","IL","60608","COOK","7732576751","100","284","","100","175","","98","260",""
"140019","SHELBY MEMORIAL HOSPITAL","200 S CEDAR ST","","","SHELBYVILLE","IL","62565","SHELBY","2177743961","100","57","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"140026","ST MARYS HOSPITAL","111  SPRING STREET","","","STREATOR","IL","61364","LA SALLE","8156732311","100","90","","100","29","","99","71",""
"140029","COPLEY MEMORIAL HOSPITAL","2000 OGDEN AVENUE","","","AURORA","IL","60504","KANE","6309786200","100","199","","95","39","","99","156",""
"140030","SHERMAN HOSPITAL","1425 NORTH RANDALL ROAD","","","ELGIN","IL","60123","KANE","8477429800","100","362","","100","82","","98","277",""
"140032","ST ANTHONYS MEMORIAL HOSPITAL","503 N MAPLE STREET","","","EFFINGHAM","IL","62401","EFFINGHAM","2173422121","100","181","","100","41","","96","126",""
"140033","VISTA MEDICAL CENTER WEST","2615 WASHINGTON ST","","","WAUKEGAN","IL","60085","LAKE","8472493900","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"140034","ST MARYS HOSPITAL","400 NORTH PLEASANT AVENUE","","","CENTRALIA","IL","62801","MARION","6184366519","100","150","","100","23","The number of cases/patients is too few to report","100","100",""
"14003F","JESSE BROWN VA MEDICAL CENTER - VA CHICAGO","820 S DAMEN STREET","","","CHICAGO                       ","IL","60612","COOK","3125698387","100","315","","98","136","","99","288",""
"140040","GALESBURG COTTAGE HOSPITAL","695 N KELLOGG ST","","","GALESBURG","IL","61401","KNOX","3093454555","100","89","Data submitted were based on a sample of cases/patients","94","18","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","80","55","Data submitted were based on a sample of cases/patients"
"140043","CGH MEDICAL CENTER","100 EAST LEFEVRE ROAD","","","STERLING","IL","61081","WHITESIDE","8156250400","100","168","","93","42","","100","136",""
"140046","GOOD SAMARITAN REGIONAL HLTH CENTER","1 GOOD SAMARITAN WAY","","","MOUNT VERNON","IL","62864","JEFFERSON","6188991469","100","166","","100","57","","99","128",""
"140048","ADVOCATE TRINITY HOSPITAL","2320 E 93RD ST","","","CHICAGO","IL","60617","COOK","7739672000","99","467","","98","173","","97","420",""
"140049","WEST SUBURBAN MEDICAL CENTER","3 ERIE COURT","","","OAK PARK","IL","60302","COOK","7083836200","99","358","","99","154","","98","315",""
"14004F","VA ILLIANA HEALTHCARE SYSTEM - DANVILLE","1900 E. MAIN","","","DANVILLE                      ","IL","61832","VERMILION","2175543000","100","44","","100","18","The number of cases/patients is too few to report","94","33",""
"140051","SKOKIE HOSPITAL","9600 GROSS POINT ROAD","","","SKOKIE","IL","60076","COOK","8476779600","100","330","Data submitted were based on a sample of cases/patients","94","89","Data submitted were based on a sample of cases/patients","97","224","Data submitted were based on a sample of cases/patients"
"140052","SAINT ANTHONY'S HEALTH CENTER","ST ANTHONY'S WAY","","","ALTON","IL","62002","MADISON","6184652571","100","156","","100","16","The number of cases/patients is too few to report","100","110",""
"140053","ST JOHNS HOSPITAL","800 E CARPENTER ST","","","SPRINGFIELD","IL","62769","SANGAMON","2175446464","100","301","Data submitted were based on a sample of cases/patients","100","93","Data submitted were based on a sample of cases/patients","98","230","Data submitted were based on a sample of cases/patients"
"140054","MACNEAL  HOSPITAL","3249 SOUTH OAK PARK AVENUE","","","BERWYN","IL","60402","COOK","7087839100","100","348","","99","112","","93","274",""
"140058","PASSAVANT AREA HOSPITAL","1600 W WALNUT ST","","","JACKSONVILLE","IL","62650","MORGAN","2172459551","96","83","","100","15","The number of cases/patients is too few to report","83","46",""
"140059","JERSEY COMMUNITY HOSPITAL","400 MAPLE SUMMIT ROAD","","","JERSEYVILLE","IL","62052","JERSEY","6184986402","86","85","","100","14","The number of cases/patients is too few to report","100","43",""
"140062","PALOS COMMUNITY HOSPITAL","12251 SOUTH 80TH AVENUE","","","PALOS HEIGHTS","IL","60463","COOK","7089234000","100","307","Data submitted were based on a sample of cases/patients","98","59","Data submitted were based on a sample of cases/patients","93","234","Data submitted were based on a sample of cases/patients"
"140063","RUSH OAK PARK HOSPITAL","520 S MAPLE AVE","","","OAK PARK","IL","60304","COOK","7083839300","98","200","","100","79","","94","161",""
"140064","ST MARY MEDICAL CENTER","3333 NORTH SEMINARY","","","GALESBURG","IL","61401","KNOX","3093443161","99","103","","98","44","","100","78",""
"140065","ADVENTIST LA GRANGE MEMORIAL HOSPITAL","5101 S WILLOW SPRINGS RD","","","LA GRANGE","IL","60525","COOK","7083521200","100","295","","100","71","","97","222",""
"140067","SAINT FRANCIS MEDICAL CENTER","530 NE GLEN OAK AVE","","","PEORIA","IL","61637","PEORIA","3096552000","100","533","","98","172","","97","451",""
"140068","ROSELAND COMMUNITY HOSPITAL","45 W 111TH STREET","","","CHICAGO","IL","60628","COOK","7739953000","89","198","Data submitted were based on a sample of cases/patients","71","69","Data submitted were based on a sample of cases/patients","94","195","Data submitted were based on a sample of cases/patients"
"140077","TOUCHETTE REGIONAL HOSPITAL INC","5900 BOND AVENUE","","","CENTREVILLE","IL","62207","SAINT CLAIR","6183323060","100","99","","92","38","","91","96",""
"14007F","HINES VA MEDICAL CENTER","5TH STREET & ROOSEVELT AVENUE","","","HINES                         ","IL","60141","COOK","7082028387","100","309","","100","125","","100","290",""
"140080","PRESENCE SAINT FRANCIS HOSPITAL","355 RIDGE AVE","","","EVANSTON","IL","60202","COOK","8473164000","100","248","","100","58","","100","167",""
"140082","LOUIS A WEISS MEMORIAL HOSPITAL","4646 N MARINE DRIVE","","","CHICAGO","IL","60640","COOK","7738788700","100","188","","100","77","","96","136",""
"140083","LORETTO HOSPITAL","645 SOUTH CENTRAL AVE","","","CHICAGO","IL","60644","COOK","7736264300","100","97","","93","43","","100","68",""
"140084","VISTA MEDICAL CENTER EAST","1324 NORTH SHERIDAN ROAD","","","WAUKEGAN","IL","60085","LAKE","8473604000","100","347","Data submitted were based on a sample of cases/patients","100","119","Data submitted were based on a sample of cases/patients","100","266","Data submitted were based on a sample of cases/patients"
"140088","THE UNIVERSITY OF CHICAGO MEDICAL CENTER","5841 SOUTH MARYLAND","","","CHICAGO","IL","60637","COOK","7737021000","100","326","Data submitted were based on a sample of cases/patients","96","170","Data submitted were based on a sample of cases/patients","90","299","Data submitted were based on a sample of cases/patients"
"140089","MC DONOUGH DISTRICT HOSPITAL","525 EAST GRANT STREET","","","MACOMB","IL","61455","MCDONOUGH","3098334101","97","74","","95","21","The number of cases/patients is too few to report","92","52",""
"14008F","MARION IL VA MEDICAL CENTER","2401 WEST MAIN","","","MARION                        ","IL","62959","WILLIAMSON","6189975311","95","61","","81","16","The number of cases/patients is too few to report","100","49",""
"140091","THE CARLE FOUNDATION HOSPITAL","611 WEST PARK STREET","","","URBANA","IL","61801","CHAMPAIGN","2173833311","100","276","Data submitted were based on a sample of cases/patients","94","108","Data submitted were based on a sample of cases/patients","98","213","Data submitted were based on a sample of cases/patients"
"140093","PRESENCE UNITED SAMARITANS MEDICAL CENTER","812 N LOGAN","","","DANVILLE","IL","61832","VERMILION","2174435000","100","255","","97","77","","93","184",""
"140095","SAINT ANTHONY HOSPITAL","2875 WEST 19TH STREET","","","CHICAGO","IL","60623","COOK","7735211710","97","118","","92","51","","91","109",""
"140100","MIDWESTERN REGION MED CENTER","2520 ELISHA AVENUE","","","ZION","IL","60099","LAKE","8478724561","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"140101","MORRIS HOSPITAL & HEALTHCARE CENTERS","150 W HIGH ST","","","MORRIS","IL","60450","GRUNDY","8159422932","100","139","","100","25","","99","111",""
"140103","ST BERNARD HOSPITAL","326 W 64TH ST","","","CHICAGO","IL","60621","COOK","7739623900","100","308","","99","140","","97","273",""
"140110","OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER","1100 EAST NORRIS DRIVE","","","OTTAWA","IL","61350","LA SALLE","8154333100","99","87","","92","13","The number of cases/patients is too few to report","89","66",""
"140113","PRESENCE COVENANT MEDICAL CENTER","1400 WEST PARK AVENUE","","","URBANA","IL","61801","CHAMPAIGN","2173372000","100","262","","100","59","","99","208",""
"140114","SWEDISH COVENANT HOSPITAL","5145 N CALIFORNIA AVE","","","CHICAGO","IL","60625","COOK","7738788200","100","370","","100","121","","100","286",""
"140115","THOREK MEMORIAL HOSPITAL","850 W IRVING PARK RD","","","CHICAGO","IL","60613","COOK","3125256780","100","70","","100","23","The number of cases/patients is too few to report","100","61",""
