"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Death from serious treatable complications after surgery","Footnote - Death from serious treatable complications after surgery","Collapsed lung due to medical treatment","Footnote - Collapsed lung due to medical treatment","Serious blood clots after surgery","Footnote - Serious blood clots after surgery","A wound that splits open after surgery","Footnote - A wound that splits open after surgery","Accidental cuts and tears from medical treatment","Footnote - Accidental cuts and tears from medical treatment","Serious Complications","Footnote - Serious Complications","Number of Patients - Death from serious treatable complications after surgery","Rate - Death from serious treatable complications after surgery","Lower Estimate - Death from serious treatable complications after surgery","Higher Estimate - Death from serious treatable complications after surgery","Number of Patients - Collapsed lung due to medical treatment","Rate - Collapsed lung due to medical treatment","Lower Estimate - Collapsed lung due to medical treatment","Higher Estimate - Collapsed lung due to medical treatment","Number of Patients - Serious blood clots after surgery","Rate - Serious blood clots after surgery","Lower Estimate - Serious blood clots after surgery","Higher Estimate - Serious blood clots after surgery","Number of Patients - A wound that splits open after surgery","Rate - A wound that splits open after surgery","Lower Estimate - A wound that splits open after surgery","Higher Estimate - A wound that splits open after surgery","Number of Patients - Accidental cuts and tears from medical treatment","Rate - Accidental cuts and tears from medical treatment","Lower Estimate - Accidental cuts and tears from medical treatment","Higher Estimate - Accidental cuts and tears from medical treatment","Number of Patients - Serious Complications","Rate - Serious Complications","Lower Estimate - Serious Complications","Higher Estimate - Serious Complications"
"210029","JOHNS HOPKINS BAYVIEW MEDICAL CENTER","4940 EASTERN AVENUE","","","BALTIMORE","MD","21224","BALTIMORE CITY","4105500123","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390101","MEMORIAL HOSPITAL","325 SOUTH BELMONT STREET","","","YORK","PA","17403","YORK","7178438623","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","22","Not Available","Not Available","Not Available","3065","0.30","0.00","0.66","643","3.64","0.00","7.34","117","0.62","0.00","2.52","3200","3.51","2.01","5.01","Not Available","0.83","0.51","1.14"
"310115","HACKETTSTOWN REGIONAL MEDICAL CENTER","651 WILLOW GROVE ST","","","HACKETTSTOWN","NJ","07840","WARREN","9088525100","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","54","130.69","87.46","173.92","4555","0.19","0.00","0.52","705","11.33","7.70","14.96","102","1.57","0.00","3.53","4655","2.03","0.52","3.54","Not Available","0.98","0.67","1.29"
"050641","EAST LOS ANGELES DOCTORS HOSPITAL","4060 WHITTIER BLVD","","","LOS ANGELES","CA","90023","LOS ANGELES","3232685514","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","3","Not Available","Not Available","Not Available","1500","0.26","0.00","0.66","109","4.83","0.01","9.65","16","Not Available","Not Available","Not Available","1552","1.86","0.00","3.99","Not Available","0.63","0.21","1.06"
"330396","WOODHULL MEDICAL AND MENTAL HEALTH CENTER","760 BROADWAY","","","BROOKLYN","NY","11206","KINGS","7189638100","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","12","Not Available","Not Available","Not Available","2375","0.31","0.00","0.68","192","2.72","0.00","6.92","47","0.78","0.00","2.90","2424","2.18","0.28","4.08","Not Available","0.58","0.20","0.96"
"440061","VOLUNTEER COMMUNITY HOSPITAL","161 MOUNT PELIA RD","","","MARTIN","TN","38237","WEAKLEY","7315874261","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","9","Not Available","Not Available","Not Available","2267","0.26","0.00","0.67","159","5.62","0.99","10.25","31","0.85","0.00","3.06","2335","1.63","0.00","3.62","Not Available","0.62","0.22","1.03"
"450508","MEMORIAL HOSPITAL","1204 MOUND ST","","","NACOGDOCHES","TX","75961","NACOGDOCHES","9365644611","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","74","114.90","73.75","156.05","4314","0.48","0.14","0.81","1143","7.06","4.02","10.10","167","0.55","0.00","2.34","4489","2.28","0.99","3.57","Not Available","0.82","0.55","1.09"
"390201","POCONO MEDICAL CENTER","206 EAST BROWN STREET","","","EAST STROUDSBURG","PA","18301","MONROE","5704763348","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","125","95.63","59.63","131.63","9387","0.32","0.04","0.60","1943","2.95","0.33","5.57","271","1.04","0.00","2.63","10383","0.99","0.00","1.99","Not Available","0.39","0.18","0.61"
"501314","OCEAN BEACH HOSPITAL","174 FIRST AVENUE NORTH","","","ILWACO","WA","98624","PACIFIC","3606423181","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"200021","MID COAST HOSPITAL","123 MEDICAL CENTER DRIVE","","","BRUNSWICK","ME","04011","CUMBERLAND","2077290181","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","14","Not Available","Not Available","Not Available","3712","0.21","0.00","0.57","526","3.97","0.47","7.47","87","0.69","0.00","2.68","3891","1.70","0.14","3.25","Not Available","0.55","0.23","0.86"
"380047","ST CHARLES MEDICAL CENTER - BEND","2500 NE NEFF ROAD","","","BEND","OR","97701","DESCHUTES","5413824321","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Better than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","141","114.81","81.46","148.17","7888","0.23","0.00","0.50","4439","2.64","1.19","4.08","407","0.34","0.00","1.74","8048","1.74","0.86","2.63","Not Available","0.45","0.28","0.63"
"451334","PARKVIEW HOSPITAL","901 S. SWEETWATER","","","WHEELER","TX","79096","WHEELER","8068265581","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050754","MENLO PARK SURGICAL HOSPITAL","570 WILLOW ROAD","","","MENLO PARK","CA","94025","SAN MATEO","6503248500","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","66","0.31","0.00","0.75","66","3.88","0.00","8.91","Not Available","Not Available","Not Available","Not Available","66","1.78","0.00","4.15","Not Available","0.59","0.10","1.07"
"060013","MERCY REGIONAL MEDICAL CENTER","1010 THREE SPRINGS BLVD","","","DURANGO","CO","81301","LA PLATA","9702474311","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","32","104.13","55.25","153.01","2775","0.46","0.10","0.83","1021","2.91","0.54","5.29","111","0.66","0.00","2.63","2741","1.44","0.00","2.98","Not Available","0.50","0.20","0.80"
"490120","CHESAPEAKE GENERAL HOSPITAL","736 BATTLEFIELD BLVD, NORTH","","","CHESAPEAKE","VA","23320","CHESAPEAKE CITY","7573128121","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","111","88.19","50.86","125.52","11472","0.28","0.02","0.54","2394","3.95","1.84","6.05","317","0.48","0.00","2.16","11709","2.32","1.32","3.32","Not Available","0.65","0.45","0.85"
"451357","LITTLE RIVER HEALTHCARE","1700 BRAZOS","","","ROCKDALE","TX","76567","MILAM","5124464500","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450651","MEDICAL CENTER OF PLANO","3901 W 15TH ST","","","PLANO","TX","75075","COLLIN","9725966800","Worse than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","186","145.57","112.81","178.33","9661","0.23","0.00","0.51","2601","6.80","4.74","8.87","272","1.13","0.00","2.80","10052","1.91","0.92","2.90","Not Available","0.83","0.63","1.03"
"410011","LANDMARK MEDICAL CENTER,  INC","115 CASS AVE","","","WOONSOCKET","RI","02895","PROVIDENCE","4017694100","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","56","125.92","82.03","169.80","4209","0.61","0.27","0.95","702","3.59","0.00","7.28","104","0.70","0.00","2.71","4349","1.73","0.25","3.21","Not Available","0.62","0.32","0.93"
"390080","JEANES HOSPITAL","7600 CENTRAL AVE","","","PHILADELPHIA","PA","19111","PHILADELPHIA","2157282000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","33","106.77","58.77","154.78","4657","0.31","0.00","0.64","969","11.54","8.46","14.62","147","1.52","0.00","3.44","5061","0.74","0.00","2.07","Not Available","0.77","0.50","1.05"
"420091","CAROLINAS HOSPITAL SYSTEM","805 PAMPLICO HWY BOX 100550","","","FLORENCE","SC","29505","FLORENCE","8436742500","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","171","150.51","118.24","182.79","12499","0.20","0.00","0.46","3256","6.06","3.80","8.33","329","0.42","0.00","1.97","12909","1.96","1.04","2.88","Not Available","0.72","0.53","0.92"
"140049","WEST SUBURBAN MEDICAL CENTER","3 ERIE COURT","","","OAK PARK","IL","60302","COOK","7083836200","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","80","111.83","74.39","149.28","5246","0.37","0.05","0.70","1243","3.25","0.31","6.20","195","1.26","0.00","3.01","5510","1.55","0.30","2.80","Not Available","0.51","0.25","0.77"
"330226","UNITY HOSPITAL OF ROCHESTER","1555 LONG POND ROAD","","","ROCHESTER","NY","14626","MONROE","5857237000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","52","104.97","60.00","149.95","5594","0.16","0.00","0.47","1494","5.28","2.57","7.99","119","0.69","0.00","2.70","5553","1.12","0.00","2.49","Not Available","0.52","0.25","0.78"
"180020","MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT","3600 WEST CUMBERLAND AVENUE","","","MIDDLESBORO","KY","40965","BELL","6062421101","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","15","Not Available","Not Available","Not Available","2275","0.26","0.00","0.65","159","3.15","0.00","7.67","31","0.82","0.00","2.99","2316","1.18","0.00","3.10","Not Available","0.44","0.05","0.83"
"510001","WEST VIRGINIA UNIVERSITY HOSPITALS","MEDICAL CENTER DRIVE","","","MORGANTOWN","WV","26506","MONONGALIA","3045984000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","Worse than U.S. National Rate","","256","112.50","85.60","139.39","12929","0.51","0.26","0.75","4081","4.45","2.87","6.02","326","0.41","0.00","1.94","13657","2.85","2.04","3.67","Not Available","0.79","0.63","0.95"
"430016","AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER","1325 S CLIFF AVE  POST OFFICE BOX 5045","","","SIOUX FALLS","SD","57117","MINNEHAHA","6053227814","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Better than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Better than U.S. National Rate","","164","97.07","66.46","127.68","12280","0.20","0.00","0.46","4304","2.74","1.48","4.00","605","1.01","0.00","2.25","12726","1.27","0.51","2.02","Not Available","0.42","0.26","0.57"
"520198","AURORA MED CTR OSHKOSH","855 N WESTHAVEN DRIVE","","","OSHKOSH","WI","54904","WINNEBAGO","9204566000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","22","Not Available","Not Available","Not Available","1950","0.34","0.00","0.73","503","5.23","1.50","8.97","71","0.67","0.00","2.64","1981","2.34","0.62","4.05","Not Available","0.72","0.37","1.07"
"190140","FRANKLIN MEDICAL CENTER","2106 LOOP ROAD","","","WINNSBORO","LA","71295","FRANKLIN","3184359411","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","1585","0.29","0.00","0.71","33","3.93","0.00","8.98","15","Not Available","Not Available","Not Available","1613","1.48","0.00","3.64","Not Available","0.53","0.09","0.98"
"450039","JPS HEALTH NETWORK","1500 S MAIN ST","","","FORT WORTH","TX","76104","TARRANT","8179213431","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","Worse than U.S. National Rate","","66","119.92","75.72","164.12","4707","0.65","0.30","1.00","1125","9.11","5.95","12.27","151","0.63","0.00","2.53","5099","3.83","2.45","5.21","Not Available","1.22","0.94","1.50"
"050079","DOCTORS MEDICAL CENTER-SAN PABLO","2000 VALE RD","","","SAN PABLO","CA","94806","CONTRA COSTA","5109705000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","20","Not Available","Not Available","Not Available","4485","0.25","0.00","0.58","754","3.91","0.41","7.41","75","0.71","0.00","2.75","4783","2.51","0.91","4.11","Not Available","0.69","0.37","1.00"
"430015","AVERA ST MARY'S HOSPITAL","801 E SIOUX","","","PIERRE","SD","57501","HUGHES","6052243100","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","17","Not Available","Not Available","Not Available","1233","0.50","0.08","0.92","353","3.74","0.00","7.99","41","0.79","0.00","2.93","1254","1.25","0.00","3.24","Not Available","0.52","0.12","0.93"
"100128","TAMPA GENERAL HOSPITAL","1 TAMPA GENERAL CIRCLE","","","TAMPA","FL","33606","HILLSBOROUGH","8138447000","Worse than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","Worse than U.S. National Rate","","468","135.61","113.03","158.18","17335","0.33","0.11","0.55","7786","6.59","5.55","7.64","937","0.72","0.00","1.77","18805","2.61","2.02","3.21","Not Available","0.87","0.75","0.99"
"190111","WILLIS KNIGHTON MEDICAL CENTER","2600 GREENWOOD ROAD","","","SHREVEPORT","LA","71103","CADDO","3182124000","No Different than U.S. National Rate","","Better than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","293","125.72","98.48","152.95","22659","0.11","0.00","0.29","6814","4.28","2.92","5.65","832","0.20","0.00","1.29","23021","1.65","1.06","2.25","Not Available","0.52","0.40","0.65"
"490012","WELLMONT LEE REGIONAL MEDICAL CENTER","127 HEALTH CARE DRIVE","","","PENNINGTON GAP","VA","24277","LEE","2765461440","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","5","Not Available","Not Available","Not Available","2033","0.28","0.00","0.69","56","5.24","0.22","10.26","13","Not Available","Not Available","Not Available","2096","1.46","0.00","3.60","Not Available","0.58","0.15","1.02"
"670071","TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON","811 WRIGHT STREET","","","ARLINGTON","TX","76012","TARRANT","8179603500","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","18","Not Available","Not Available","Not Available","467","0.27","0.00","0.68","276","7.47","2.97","11.97","5","Not Available","Not Available","Not Available","611","1.60","0.00","3.57","Not Available","0.70","0.29","1.11"
"111334","CANDLER COUNTY HOSPITAL","400 CEDAR STREET","","","METTER","GA","30439","CANDLER","9126855741","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"440084","SWEETWATER HOSPITAL ASSOCIATION","304 WRIGHT ST","","","SWEETWATER","TN","37874","MONROE","8652138200","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","18","Not Available","Not Available","Not Available","2097","0.26","0.00","0.66","228","3.80","0.00","8.05","56","0.73","0.00","2.79","2261","1.11","0.00","2.99","Not Available","0.51","0.13","0.88"
"490052","RIVERSIDE REGIONAL MEDICAL CENTER","500 J CLYDE MORRIS BLVD","","","NEWPORT NEWS","VA","23601","NEWPORT NEWS CITY","7575942000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","118","112.89","76.39","149.40","11098","0.18","0.00","0.42","2917","3.08","1.30","4.87","439","1.29","0.00","2.69","11638","1.71","0.87","2.55","Not Available","0.52","0.34","0.69"
"161337","VAN BUREN COUNTY HOSPITAL","304 FRANKLIN STREET","","","KEOSAUQUA","IA","52565","VAN BUREN","3192933171","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360003","UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC","234 GOODMAN STREET","","","CINCINNATI","OH","45219","HAMILTON","5135841000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","Worse than U.S. National Rate","","198","104.59","73.77","135.41","12370","0.44","0.19","0.68","3692","6.08","4.61","7.54","374","0.98","0.00","2.52","13061","3.39","2.55","4.22","Not Available","1.01","0.85","1.17"
"050353","PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE","4101 TORRANCE BLVD","","","TORRANCE","CA","90503","LOS ANGELES","3105407676","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Better than U.S. National Rate","","Better than U.S. National Rate","","117","93.13","57.24","129.03","10063","0.21","0.00","0.49","2500","2.90","0.58","5.23","325","0.44","0.00","2.04","10343","0.66","0.00","1.64","Not Available","0.32","0.12","0.53"
"390195","MAIN LINE HOSPITAL LANKENAU","100 LANCASTER AVE","","","WYNNEWOOD","PA","19096","MONTGOMERY","6106452000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","127","113.58","77.58","149.58","11562","0.21","0.00","0.46","3718","2.76","0.86","4.66","486","0.84","0.00","2.26","12324","1.84","1.04","2.64","Not Available","0.51","0.34","0.69"
"061302","FAMILY HEALTH WEST HOSPITAL","300 WEST OTTLEY AVENUE","","","FRUITA","CO","81521","MESA","9708589871","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"230099","MERCY MEMORIAL HOSPITAL SYSTEM","718 N MACOMB ST","","","MONROE","MI","48162","MONROE","7342408400","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","36","101.90","55.30","148.49","7577","0.32","0.02","0.63","1105","6.26","3.16","9.35","182","1.99","0.24","3.74","7874","1.87","0.66","3.09","Not Available","0.72","0.47","0.98"
"151330","ADAMS MEMORIAL HOSPITAL","1100 MERCER AVE","","","DECATUR","IN","46733","ADAMS","2607242145","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450688","DALLAS REGIONAL MEDICAL CENTER","1011 NORTH GALLOWAY AVENUE","","","MESQUITE","TX","75149","DALLAS","2143207000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","31","102.25","55.89","148.60","3669","0.25","0.00","0.58","604","2.16","0.00","5.90","49","0.75","0.00","2.84","3800","1.08","0.00","2.69","Not Available","0.40","0.07","0.72"
"520019","MINISTRY ST MARYS HOSPITAL","2251 NORTH SHORE DR","","","RHINELANDER","WI","54501","ONEIDA","7153612000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","28","112.90","63.54","162.26","2076","0.26","0.00","0.66","638","4.78","1.20","8.36","110","0.64","0.00","2.57","2163","1.54","0.00","3.14","Not Available","0.58","0.25","0.92"
"050090","SONOMA VALLEY HOSPITAL","347 ANDRIEUX ST","","","SONOMA","CA","95476","SONOMA","7079355000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","9","Not Available","Not Available","Not Available","1496","0.27","0.00","0.68","315","2.49","0.00","6.51","52","0.80","0.00","2.94","1534","1.82","0.00","3.71","Not Available","0.51","0.13","0.89"
"450659","PARK PLAZA HOSPITAL","1313 HERMANN DR","","","HOUSTON","TX","77004","HARRIS","7135275019","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","48","105.43","61.94","148.93","3516","0.20","0.00","0.55","954","3.12","0.01","6.23","133","0.63","0.00","2.54","3526","1.47","0.02","2.92","Not Available","0.48","0.19","0.77"
"330403","MONROE COMMUNITY HOSPITAL","435 EAST HENRIETTA ROAD","","","ROCHESTER","NY","14620","MONROE","5857606500","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"380038","PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER","1500 DIVISION STREET","","","OREGON CITY","OR","97045","CLACKAMAS","5036576915","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","13","Not Available","Not Available","Not Available","1332","0.28","0.00","0.69","344","4.38","0.30","8.46","56","0.78","0.00","2.90","1389","1.75","0.00","3.60","Not Available","0.59","0.20","0.97"
