"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia","Rate of readmission after hip or knee surgery","Footnote - Rate of readmission after hip or knee surgery ","Number of Patients - Rate of readmission after hip or knee surgery","RSRR - Rate of readmission after hip or knee surgery","Lower Readmission Estimate - Rate of readmission after hip or knee surgery","Upper Readmission Estimate - Rate of readmission after hip or knee surgery","All cause hospital-wide readmission","Footnote - All cause hospital-wide readmission","Number of Patients - All cause hospital-wide readmission","RSRR - All cause hospital-wide readmission","Lower Readmission Estimate - All cause hospital-wide readmission","Upper Readmission Estimate - All cause hospital-wide readmission","Complications and Deaths following hip/knee surgery","Footnote - Complications and Deaths following hip/knee surgery","Number of Patients - Complications and Deaths following hip/knee surgery","RSCR - Complications and Deaths following hip/knee surgery","Lower Readmission Estimate - Complications and Deaths following hip/knee surgery","Upper Readmission Estimate - Complications and Deaths following hip/knee surgery"
"160005","ST ANTHONY REGIONAL HOSPITAL & NURSIING HOME","311 SOUTH CLARK STREET","","","CARROLL","IA","51401","CARROLL","7127923581","Not Available","Number of Cases Too Small","Not Available","Not Available","15","The number of cases/patients is too few to report","10.8","No Different than U.S. National Rate","7.8","14.8","94","","16.1","Worse than U.S. National Rate","12.3","20.5","194","","Not Available","Number of Cases Too Small","Not Available","Not Available","9","The number of cases/patients is too few to report","21.5","No Different than U.S. National Rate","17.5","26.4","103","","15.9","No Different than U.S. National Rate","12.9","19.5","193","","No Different than U.S. National Rate","","337","4.2","3.1","5.8","No Different than U.S. National Rate","","588","15.2","13.6","16.9","No Different than U.S. National Rate","","312","","1.3","3.4"
"160008","KEOKUK AREA HOSPITAL","1600 MORGAN STREET","","","KEOKUK","IA","52632","LEE","3195247150","15.4","No Different than U.S. National Rate","12.5","18.9","55","","11.9","No Different than U.S. National Rate","8.9","16.0","165","","15.7","Worse than U.S. National Rate","12.4","19.6","198","","17.4","No Different than U.S. National Rate","14.1","21.1","35","","19.4","No Different than U.S. National Rate","15.8","23.4","187","","19.7","No Different than U.S. National Rate","16.2","23.6","182","","Number of Cases Too Small","The number of cases/patients is too few to report","7","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","529","15.5","14.2","17.0","Number of Cases Too Small","The number of cases/patients is too few to report","7","","Not Available","Not Available"
"160013","TRINITY MUSCATINE","1518 MULBERRY AVENUE","","","MUSCATINE","IA","52761","MUSCATINE","5632649100","14.7","No Different than U.S. National Rate","11.1","18.9","35","","12.7","No Different than U.S. National Rate","9.1","17.3","94","","12.6","No Different than U.S. National Rate","9.2","17.2","118","","Not Available","Number of Cases Too Small","Not Available","Not Available","18","The number of cases/patients is too few to report","21.0","No Different than U.S. National Rate","17.0","25.6","99","","16.6","No Different than U.S. National Rate","13.2","20.2","123","","Number of Cases Too Small","The number of cases/patients is too few to report","17","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","426","15.1","13.7","16.7","Number of Cases Too Small","The number of cases/patients is too few to report","14","","Not Available","Not Available"
"160016","TRINITY REGIONAL MEDICAL CENTER","802 KENYON RD","","","FORT DODGE","IA","50501","WEBSTER","5155733101","13.9","No Different than U.S. National Rate","11.0","17.4","240","","12.6","No Different than U.S. National Rate","9.9","15.7","327","","11.4","No Different than U.S. National Rate","9.1","14.3","397","","16.3","No Different than U.S. National Rate","13.5","19.5","253","","20.5","No Different than U.S. National Rate","17.6","23.8","415","","18.5","No Different than U.S. National Rate","15.9","21.5","434","","No Different than U.S. National Rate","","67","5.3","3.6","7.6","No Different than U.S. National Rate","","1756","14.9","13.9","16.1","No Different than U.S. National Rate","","59","","1.9","5.5"
"160024","IOWA LUTHERAN HOSPITAL","700 EAST UNIVERSITY AVENUE","","","DES MOINES","IA","50316","POLK","5152635612","15.2","No Different than U.S. National Rate","12.0","19.2","131","","9.6","No Different than U.S. National Rate","7.5","12.5","290","","11.4","No Different than U.S. National Rate","8.8","14.6","256","","18.5","No Different than U.S. National Rate","15.2","22.2","125","","21.8","No Different than U.S. National Rate","18.7","25.4","339","","17.9","No Different than U.S. National Rate","14.8","21.6","268","","No Different than U.S. National Rate","","428","5.3","4.0","7.0","Better than U.S. National Rate","","1659","14.5","13.4","15.9","No Different than U.S. National Rate","","385","","2.2","4.9"
"160028","ALEGENT HEALTH MERCY HOSPITAL","800 MERCY DRIVE","","","COUNCIL BLUFFS","IA","51503","POTTAWATTAMIE","7123285000","14.7","No Different than U.S. National Rate","11.4","18.5","94","","13.6","No Different than U.S. National Rate","10.3","17.4","161","","12.4","No Different than U.S. National Rate","9.6","15.8","185","","19.4","No Different than U.S. National Rate","15.9","23.3","87","","23.7","No Different than U.S. National Rate","20.0","27.9","188","","17.4","No Different than U.S. National Rate","14.4","20.8","199","","No Different than U.S. National Rate","","535","4.8","3.6","6.3","No Different than U.S. National Rate","","1331","15.7","14.5","17.0","Worse than U.S. National Rate","","488","","3.5","6.5"
"160029","MERCY HOSPITAL","500 E MARKET STREET","","","IOWA CITY","IA","52245","JOHNSON","3193390300","14.3","No Different than U.S. National Rate","11.5","17.7","284","","12.0","No Different than U.S. National Rate","9.5","14.8","367","","10.1","No Different than U.S. National Rate","7.6","13.2","290","","18.7","No Different than U.S. National Rate","15.8","21.9","302","","22.1","No Different than U.S. National Rate","19.0","25.5","443","","16.8","No Different than U.S. National Rate","13.7","20.1","307","","No Different than U.S. National Rate","","936","5.0","3.9","6.3","Better than U.S. National Rate","","2568","14.3","13.4","15.7","No Different than U.S. National Rate","","862","","2.1","4.0"
"160030","MARY GREELEY MEDICAL CENTER","1111 DUFF AVENUE","","","AMES","IA","50010","STORY","5152392011","12.5","No Different than U.S. National Rate","10.2","15.2","278","","12.3","No Different than U.S. National Rate","9.9","15.1","333","","8.3","Better than U.S. National Rate","6.4","10.6","364","","17.4","No Different than U.S. National Rate","14.7","20.5","283","","21.7","No Different than U.S. National Rate","18.7","25.0","402","","18.3","No Different than U.S. National Rate","15.8","21.3","395","","No Different than U.S. National Rate","","361","4.6","3.4","6.4","No Different than U.S. National Rate","","2801","16.3","15.4","17.3","No Different than U.S. National Rate","","317","","3.1","6.7"
"160032","SKIFF MEDICAL CENTER","204 NORTH 4TH AVENUE EAST","","","NEWTON","IA","50208","JASPER","6417921273","15.9","No Different than U.S. National Rate","12.0","20.4","27","","11.6","No Different than U.S. National Rate","8.6","15.3","115","","13.9","No Different than U.S. National Rate","10.3","18.2","139","","Not Available","Number of Cases Too Small","Not Available","Not Available","22","The number of cases/patients is too few to report","22.5","No Different than U.S. National Rate","18.3","27.2","134","","17.2","No Different than U.S. National Rate","13.7","21.6","133","","No Different than U.S. National Rate","","173","6.7","4.8","9.5","No Different than U.S. National Rate","","643","15.9","14.5","17.5","No Different than U.S. National Rate","","164","","1.7","4.9"
"160033","GENESIS MEDICAL CENTER-DAVENPORT","1227 EAST RUSHOLME STREET","","","DAVENPORT","IA","52803","SCOTT","5634211000","14.5","No Different than U.S. National Rate","12.2","17.2","489","","11.2","No Different than U.S. National Rate","9.4","13.3","709","","10.3","No Different than U.S. National Rate","8.8","12.1","846","","16.4","No Different than U.S. National Rate","14.1","18.9","586","","20.1","Better than U.S. National Rate","17.9","22.4","895","","16.0","No Different than U.S. National Rate","14.1","18.0","906","","No Different than U.S. National Rate","","826","4.9","3.9","6.3","Better than U.S. National Rate","","4626","13.9","13.1","15.5","Worse than U.S. National Rate","","742","","3.9","6.6"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","","","DES MOINES                    ","IA","50310","POLK","5156995999","Not Available","Number of Cases Too Small","Not Available","Not Available","17","The number of cases/patients is too few to report","13.9","No Different than U.S. National Rate","10.0","18.8","87","","11.5","No Different than U.S. National Rate","8.4","15.7","119","","Not Available","Number of Cases Too Small","Not Available","Not Available","17","The number of cases/patients is too few to report","21.0","No Different than U.S. National Rate","16.9","25.5","98","","16.1","No Different than U.S. National Rate","13.0","19.7","134","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"160040","SARTORI MEMORIAL HOSPITAL","515 COLLEGE STREET","","","CEDAR FALLS","IA","50613","BLACK HAWK","3192683000","Not Available","Number of Cases Too Small","Not Available","Not Available","15","The number of cases/patients is too few to report","12.5","No Different than U.S. National Rate","9.1","17.1","49","","12.9","No Different than U.S. National Rate","9.1","17.3","104","","Not Available","Number of Cases Too Small","Not Available","Not Available","10","The number of cases/patients is too few to report","22.7","No Different than U.S. National Rate","18.3","28.0","51","","16.6","No Different than U.S. National Rate","13.4","21.0","104","","No Different than U.S. National Rate","","69","5.0","3.3","7.2","No Different than U.S. National Rate","","385","14.7","13.2","16.4","No Different than U.S. National Rate","","62","","2.0","5.8"
"160045","ST LUKES HOSPITAL","1026 A AVE NE","","","CEDAR RAPIDS","IA","52402","LINN","3193697211","13.0","No Different than U.S. National Rate","10.3","16.1","298","","11.4","No Different than U.S. National Rate","9.1","14.2","421","","9.3","Better than U.S. National Rate","7.4","11.8","547","","17.1","No Different than U.S. National Rate","14.4","20.1","342","","20.2","No Different than U.S. National Rate","17.4","23.4","489","","17.5","No Different than U.S. National Rate","15.1","20.2","599","","No Different than U.S. National Rate","","695","5.1","3.9","6.5","Better than U.S. National Rate","","3570","14.9","14.1","15.9","No Different than U.S. National Rate","","598","","1.7","3.7"
"160047","JENNIE EDMUNDSON HOSPITAL","933 EAST PIERCE STREET","","","COUNCIL BLUFFS","IA","51503","POTTAWATTAMIE","7123966000","13.1","No Different than U.S. National Rate","10.0","16.7","125","","12.0","No Different than U.S. National Rate","9.1","15.6","205","","12.4","No Different than U.S. National Rate","9.8","15.5","337","","18.0","No Different than U.S. National Rate","14.8","21.8","116","","22.9","No Different than U.S. National Rate","19.4","27.1","216","","18.8","No Different than U.S. National Rate","15.8","22.1","350","","No Different than U.S. National Rate","","201","4.7","3.4","6.7","No Different than U.S. National Rate","","1355","15.3","14.2","16.5","No Different than U.S. National Rate","","182","","1.6","4.3"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","","","IOWA CITY                     ","IA","52246","JOHNSON","3193380581","14.3","No Different than U.S. National Rate","10.4","19.4","68","","10.9","No Different than U.S. National Rate","7.8","14.7","143","","10.4","No Different than U.S. National Rate","7.3","14.5","114","","19.9","No Different than U.S. National Rate","16.1","24.5","82","","23.9","No Different than U.S. National Rate","20.0","28.3","190","","17.3","No Different than U.S. National Rate","14.0","21.3","135","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"160057","GREAT RIVER MEDICAL CENTER","1221 SOUTH GEAR AVENUE","","","WEST BURLINGTON","IA","52655","DES MOINES","3197681000","15.3","No Different than U.S. National Rate","12.4","18.9","245","","10.2","No Different than U.S. National Rate","7.8","13.1","247","","11.0","No Different than U.S. National Rate","8.3","14.4","264","","17.7","No Different than U.S. National Rate","14.8","21.0","253","","22.6","No Different than U.S. National Rate","19.2","26.3","293","","17.5","No Different than U.S. National Rate","14.5","20.9","275","","No Different than U.S. National Rate","","419","5.7","4.3","7.5","No Different than U.S. National Rate","","2310","15.3","14.3","16.5","No Different than U.S. National Rate","","380","","3.3","6.7"
"160058","UNIVERSITY OF IOWA HOSPITAL & CLINICS","200 HAWKINS DRIVE","","","IOWA CITY","IA","52242","JOHNSON","3193561616","15.0","No Different than U.S. National Rate","11.7","18.8","187","","12.8","No Different than U.S. National Rate","10.1","16.0","312","","11.4","No Different than U.S. National Rate","8.6","15.0","203","","16.6","No Different than U.S. National Rate","13.9","19.5","241","","23.5","No Different than U.S. National Rate","20.4","26.9","392","","18.8","No Different than U.S. National Rate","15.6","22.4","240","","No Different than U.S. National Rate","","409","5.9","4.5","7.7","Worse than U.S. National Rate","","4286","17.2","16.1","18.1","No Different than U.S. National Rate","","361","","2.1","4.6"
"160064","MERCY MEDICAL CENTER-NORTH IOWA","1000 FOURTH STREET SW","","","MASON CITY","IA","50401","CERRO GORDO","6414287000","14.6","No Different than U.S. National Rate","11.9","17.6","426","","14.0","Worse than U.S. National Rate","11.8","16.8","591","","10.1","No Different than U.S. National Rate","8.0","12.6","526","","17.5","No Different than U.S. National Rate","14.9","20.4","441","","24.0","No Different than U.S. National Rate","21.2","26.9","723","","17.6","No Different than U.S. National Rate","15.2","20.3","591","","No Different than U.S. National Rate","","864","4.5","3.6","5.7","No Different than U.S. National Rate","","4259","16.0","15.1","16.9","No Different than U.S. National Rate","","780","","2.2","4.2"
"160067","COVENANT MEDICAL CENTER","3421 WEST NINTH STREET","","","WATERLOO","IA","50702","BLACK HAWK","3192728000","15.8","No Different than U.S. National Rate","12.3","20.1","85","","13.6","No Different than U.S. National Rate","10.7","17.1","232","","12.1","No Different than U.S. National Rate","9.4","15.5","215","","16.2","No Different than U.S. National Rate","13.1","19.9","101","","20.3","No Different than U.S. National Rate","17.2","24.0","255","","16.6","No Different than U.S. National Rate","13.7","19.9","240","","No Different than U.S. National Rate","","221","4.8","3.4","6.6","No Different than U.S. National Rate","","1633","15.3","14.2","16.5","No Different than U.S. National Rate","","199","","2.1","5.4"
"160069","MERCY MEDICAL CENTER-DUBUQUE","250 MERCY DRIVE","","","DUBUQUE","IA","52001","DUBUQUE","5635898000","14.3","No Different than U.S. National Rate","11.1","18.5","156","","12.0","No Different than U.S. National Rate","9.0","16.0","165","","11.6","No Different than U.S. National Rate","8.5","15.7","169","","17.4","No Different than U.S. National Rate","14.4","21.0","192","","23.3","No Different than U.S. National Rate","19.3","27.9","199","","18.3","No Different than U.S. National Rate","14.8","22.3","190","","No Different than U.S. National Rate","","308","5.0","3.6","7.0","No Different than U.S. National Rate","","1267","15.0","13.8","16.3","No Different than U.S. National Rate","","279","","2.7","6.0"
"160079","MERCY MEDICAL CENTER - CEDAR RAPIDS","701 10TH STREET SE","","","CEDAR RAPIDS","IA","52403","LINN","3193986011","14.2","No Different than U.S. National Rate","11.6","17.4","284","","11.0","No Different than U.S. National Rate","8.8","13.5","412","","10.1","No Different than U.S. National Rate","8.2","12.3","685","","18.4","No Different than U.S. National Rate","15.5","21.8","283","","21.2","No Different than U.S. National Rate","18.4","24.6","462","","18.2","No Different than U.S. National Rate","15.9","20.7","754","","Better than U.S. National Rate","","740","3.8","2.9","5.1","No Different than U.S. National Rate","","3164","15.8","14.9","16.8","No Different than U.S. National Rate","","654","","2.8","5.3"
"160080","MERCY MEDICAL CENTER-CLINTON","1410 NORTH 4TH STREET","","","CLINTON","IA","52732","CLINTON","5632445555","14.1","No Different than U.S. National Rate","11.2","17.5","225","","12.7","No Different than U.S. National Rate","10.0","15.8","286","","10.8","No Different than U.S. National Rate","8.6","13.5","519","","16.1","No Different than U.S. National Rate","13.4","19.3","182","","23.6","No Different than U.S. National Rate","20.4","27.2","332","","18.3","No Different than U.S. National Rate","15.9","21.1","580","","No Different than U.S. National Rate","","118","5.6","3.8","7.8","No Different than U.S. National Rate","","1788","15.6","14.5","16.7","No Different than U.S. National Rate","","109","","2.4","6.4"
"160082","IOWA METHODIST MEDICAL CENTER","1200 PLEASANT STREET","","","DES MOINES","IA","50309","POLK","5152416212","16.2","No Different than U.S. National Rate","13.4","19.3","434","","13.9","No Different than U.S. National Rate","11.6","16.6","518","","12.4","No Different than U.S. National Rate","10.4","14.8","514","","16.6","No Different than U.S. National Rate","14.1","19.5","452","","19.4","Better than U.S. National Rate","16.9","22.3","615","","15.6","No Different than U.S. National Rate","13.3","18.3","529","","No Different than U.S. National Rate","","2013","4.9","4.1","5.8","Better than U.S. National Rate","","5887","14.0","13.2","15.5","No Different than U.S. National Rate","","1836","","2.2","3.6"
"160083","MERCY MEDICAL CENTER-DES MOINES","1111 6TH AVE","","","DES MOINES","IA","50314","POLK","5152473121","15.9","No Different than U.S. National Rate","13.4","18.5","635","","12.2","No Different than U.S. National Rate","10.5","14.3","903","","10.7","No Different than U.S. National Rate","9.2","12.5","932","","16.2","No Different than U.S. National Rate","14.0","18.8","678","","21.9","No Different than U.S. National Rate","19.7","24.2","1047","","15.7","No Different than U.S. National Rate","14.0","17.7","999","","No Different than U.S. National Rate","","1321","5.5","4.6","6.8","Better than U.S. National Rate","","7807","15.2","14.6","15.9","No Different than U.S. National Rate","","1204","","2.6","4.4"
"160089","OTTUMWA REGIONAL HEALTH CENTER","1001 E PENNSYLVANIA","","","OTTUMWA","IA","52501","WAPELLO","6416827511","17.0","No Different than U.S. National Rate","13.6","20.7","144","","11.5","No Different than U.S. National Rate","8.8","15.0","212","","10.4","No Different than U.S. National Rate","7.8","13.8","232","","18.1","No Different than U.S. National Rate","14.9","21.4","129","","22.6","No Different than U.S. National Rate","19.2","26.5","250","","16.7","No Different than U.S. National Rate","13.8","20.2","246","","No Different than U.S. National Rate","","125","4.7","3.2","6.6","No Different than U.S. National Rate","","1035","14.8","13.6","16.1","No Different than U.S. National Rate","","113","","1.9","5.0"
"160101","BROADLAWNS MEDICAL CENTER","1801 HICKMAN ROAD","","","DES MOINES","IA","50314","POLK","5152822200","Not Available","Number of Cases Too Small","Not Available","Not Available","2","The number of cases/patients is too few to report","Not Available","Number of Cases Too Small","Not Available","Not Available","8","The number of cases/patients is too few to report","Not Available","Number of Cases Too Small","Not Available","Not Available","14","The number of cases/patients is too few to report","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","9","The number of cases/patients is too few to report","Not Available","Number of Cases Too Small","Not Available","Not Available","16","The number of cases/patients is too few to report","Number of Cases Too Small","The number of cases/patients is too few to report","4","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","43","15.8","13.7","18.0","Number of Cases Too Small","The number of cases/patients is too few to report","3","","Not Available","Not Available"
"160104","TRINITY BETTENDORF","4500 UTICA RIDGE ROAD","","","BETTENDORF","IA","52722","SCOTT","5637425000","13.7","No Different than U.S. National Rate","10.7","17.2","57","","12.9","No Different than U.S. National Rate","9.4","17.2","90","","12.9","No Different than U.S. National Rate","9.6","16.8","142","","18.0","No Different than U.S. National Rate","14.6","21.7","60","","22.6","No Different than U.S. National Rate","18.5","27.2","125","","18.7","No Different than U.S. National Rate","15.3","22.6","158","","No Different than U.S. National Rate","","756","6.1","4.7","7.7","No Different than U.S. National Rate","","1085","16.0","14.5","17.5","No Different than U.S. National Rate","","646","","3.1","5.8"
"160110","ALLEN MEMORIAL HOSPITAL","1825 LOGAN AVENUE","","","WATERLOO","IA","50703","BLACK HAWK","3192353941","15.9","No Different than U.S. National Rate","13.2","19.0","376","","10.3","No Different than U.S. National Rate","8.3","12.7","494","","12.5","No Different than U.S. National Rate","10.2","15.3","442","","19.3","No Different than U.S. National Rate","16.5","22.6","368","","23.1","No Different than U.S. National Rate","20.4","26.0","639","","19.0","No Different than U.S. National Rate","16.4","21.9","487","","No Different than U.S. National Rate","","585","5.5","4.3","7.1","No Different than U.S. National Rate","","3520","16.5","15.6","17.5","No Different than U.S. National Rate","","539","","3.0","5.6"
"160112","SPENCER MUNICIPAL HOSPITAL","1200 1ST AVENUE EAST","","","SPENCER","IA","51301","CLAY","7122648300","Not Available","Number of Cases Too Small","Not Available","Not Available","22","The number of cases/patients is too few to report","14.9","No Different than U.S. National Rate","11.4","19.4","126","","15.7","Worse than U.S. National Rate","12.4","19.4","263","","Not Available","Number of Cases Too Small","Not Available","Not Available","13","The number of cases/patients is too few to report","22.1","No Different than U.S. National Rate","18.1","26.6","126","","16.9","No Different than U.S. National Rate","14.0","20.4","270","","No Different than U.S. National Rate","","405","4.5","3.3","6.1","No Different than U.S. National Rate","","909","15.1","13.7","16.7","No Different than U.S. National Rate","","384","","1.7","4.0"
"160117","THE FINLEY HOSPITAL","350 NORTH GRANDVIEW AVENUE","","","DUBUQUE","IA","52001","DUBUQUE","5635821881","15.0","No Different than U.S. National Rate","11.4","18.9","75","","13.5","No Different than U.S. National Rate","10.3","17.4","152","","9.1","No Different than U.S. National Rate","6.7","12.0","280","","17.6","No Different than U.S. National Rate","14.2","21.2","55","","21.8","No Different than U.S. National Rate","18.1","26.3","161","","17.9","No Different than U.S. National Rate","14.9","21.1","299","","No Different than U.S. National Rate","","409","5.0","3.7","6.8","No Different than U.S. National Rate","","1301","15.3","14.1","16.6","No Different than U.S. National Rate","","364","","2.1","4.8"
"160122","FORT MADISON COMMUNITY HOSPITAL","5445 AVE O","","","FORT MADISON","IA","52627","LEE","3193726530","15.5","No Different than U.S. National Rate","11.9","19.8","46","","13.7","No Different than U.S. National Rate","10.2","18.3","98","","11.3","No Different than U.S. National Rate","8.3","15.4","163","","18.8","No Different than U.S. National Rate","15.1","22.9","35","","24.7","No Different than U.S. National Rate","20.5","29.7","121","","17.3","No Different than U.S. National Rate","13.8","21.0","170","","No Different than U.S. National Rate","","56","5.4","3.7","7.8","No Different than U.S. National Rate","","604","15.9","14.5","17.4","No Different than U.S. National Rate","","50","","2.2","6.6"
"160124","LAKES REGIONAL HEALTHCARE","2301 HIGHWAY 71","","","SPIRIT LAKE","IA","51360","DICKINSON","7123361230","Not Available","Number of Cases Too Small","Not Available","Not Available","13","The number of cases/patients is too few to report","12.2","No Different than U.S. National Rate","8.7","16.5","74","","12.6","No Different than U.S. National Rate","9.5","16.4","203","","Not Available","Number of Cases Too Small","Not Available","Not Available","10","The number of cases/patients is too few to report","22.3","No Different than U.S. National Rate","17.9","27.5","79","","16.6","No Different than U.S. National Rate","13.5","20.1","209","","No Different than U.S. National Rate","","107","5.9","4.1","8.5","No Different than U.S. National Rate","","309","15.8","14.1","17.4","No Different than U.S. National Rate","","102","","2.1","6.1"
"160146","ST LUKES REGIONAL MEDICAL CENTER","2720 STONE PARK BOULEVARD","","","SIOUX CITY","IA","51104","WOODBURY","7122793500","14.4","No Different than U.S. National Rate","10.9","18.9","56","","11.3","No Different than U.S. National Rate","8.5","14.7","216","","11.9","No Different than U.S. National Rate","9.3","15.0","330","","18.6","No Different than U.S. National Rate","15.1","22.9","64","","21.7","No Different than U.S. National Rate","18.4","25.6","230","","16.4","No Different than U.S. National Rate","13.7","19.7","348","","No Different than U.S. National Rate","","399","4.6","3.4","6.2","No Different than U.S. National Rate","","1659","14.8","13.8","16.1","No Different than U.S. National Rate","","360","","2.2","4.9"
"160147","GRINNELL REGIONAL MEDICAL CENTER","210 FOURTH AVENUE","","","GRINNELL","IA","50112","POWESHIEK","6412367511","15.6","No Different than U.S. National Rate","11.9","19.9","30","","14.7","No Different than U.S. National Rate","10.8","19.5","80","","14.9","No Different than U.S. National Rate","11.0","19.8","134","","Not Available","Number of Cases Too Small","Not Available","Not Available","23","The number of cases/patients is too few to report","23.4","No Different than U.S. National Rate","19.0","28.4","96","","15.7","No Different than U.S. National Rate","12.4","19.6","136","","No Different than U.S. National Rate","","37","5.6","3.8","8.2","No Different than U.S. National Rate","","467","15.2","13.8","16.8","No Different than U.S. National Rate","","36","","2.5","7.2"
"160153","MERCY MEDICAL CENTER-SIOUX CITY","801 5TH ST BOX #316B","","","SIOUX CITY","IA","51101","WOODBURY","7122792010","13.7","No Different than U.S. National Rate","11.1","17.1","310","","14.4","No Different than U.S. National Rate","11.5","17.7","310","","12.0","No Different than U.S. National Rate","9.6","14.9","328","","18.9","No Different than U.S. National Rate","15.9","22.1","337","","23.1","No Different than U.S. National Rate","20.1","26.5","384","","16.7","No Different than U.S. National Rate","14.0","19.7","368","","No Different than U.S. National Rate","","132","5.8","4.1","7.9","No Different than U.S. National Rate","","2614","15.9","14.9","16.8","No Different than U.S. National Rate","","126","","2.5","6.2"
"161300","BAUM HARMON MERCY HOSPITAL","255 N WELCH AVENUE","","","PRIMGHAR","IA","51245","OBRIEN","7129572300","Not Available","Number of Cases Too Small","Not Available","Not Available","5","The number of cases/patients is too few to report","Not Available","Number of Cases Too Small","Not Available","Not Available","18","The number of cases/patients is too few to report","12.6","No Different than U.S. National Rate","8.4","18.5","26","","Not Available","Number of Cases Too Small","Not Available","Not Available","3","The number of cases/patients is too few to report","22.3","No Different than U.S. National Rate","17.5","28.1","28","","17.0","No Different than U.S. National Rate","13.1","21.8","28","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","68","15.4","13.5","17.7","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"161301","BELMOND MEDICAL CENTER","403 FIRST STREET SE","","","BELMOND","IA","50421","WRIGHT","6414443223","Not Available","Number of Cases Too Small","Not Available","Not Available","10","The number of cases/patients is too few to report","Not Available","Number of Cases Too Small","Not Available","Not Available","22","The number of cases/patients is too few to report","11.0","No Different than U.S. National Rate","7.4","16.0","57","","Not Available","Number of Cases Too Small","Not Available","Not Available","7","The number of cases/patients is too few to report","Not Available","Number of Cases Too Small","Not Available","Not Available","22","The number of cases/patients is too few to report","16.7","No Different than U.S. National Rate","13.2","20.8","61","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","198","15.5","13.8","17.4","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
