"State","Diagnosis Related Group","Number Of Cases","Footnote"
"MI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","616",""
"MN","Cardiac defibrillator implant w/o cardiac cath w/o MCC","394",""
"MO","Cardiac defibrillator implant w/o cardiac cath w/o MCC","408",""
"MS","Cardiac defibrillator implant w/o cardiac cath w/o MCC","219",""
"MT","Cardiac defibrillator implant w/o cardiac cath w/o MCC","36",""
"NC","Cardiac defibrillator implant w/o cardiac cath w/o MCC","561",""
"ND","Cardiac defibrillator implant w/o cardiac cath w/o MCC","57",""
"NE","Cardiac defibrillator implant w/o cardiac cath w/o MCC","121",""
"NH","Cardiac defibrillator implant w/o cardiac cath w/o MCC","37",""
"NJ","Cardiac defibrillator implant w/o cardiac cath w/o MCC","587",""
"NM","Cardiac defibrillator implant w/o cardiac cath w/o MCC","35",""
"NV","Cardiac defibrillator implant w/o cardiac cath w/o MCC","80",""
"NY","Cardiac defibrillator implant w/o cardiac cath w/o MCC","1267",""
"OH","Cardiac defibrillator implant w/o cardiac cath w/o MCC","852",""
"OK","Cardiac defibrillator implant w/o cardiac cath w/o MCC","329",""
"OR","Cardiac defibrillator implant w/o cardiac cath w/o MCC","76",""
"PA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","1012",""
"PR","Cardiac defibrillator implant w/o cardiac cath w/o MCC","35",""
"RI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","18",""
"SC","Cardiac defibrillator implant w/o cardiac cath w/o MCC","334",""
"SD","Cardiac defibrillator implant w/o cardiac cath w/o MCC","50",""
"TN","Cardiac defibrillator implant w/o cardiac cath w/o MCC","549",""
"TX","Cardiac defibrillator implant w/o cardiac cath w/o MCC","987",""
"UT","Cardiac defibrillator implant w/o cardiac cath w/o MCC","69",""
"VA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","386",""
"VI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","*","The number of cases/patients is too few to report"
"VT","Cardiac defibrillator implant w/o cardiac cath w/o MCC","36",""
"WA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","193",""
"WI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","278",""
"WV","Cardiac defibrillator implant w/o cardiac cath w/o MCC","108",""
"WY","Cardiac defibrillator implant w/o cardiac cath w/o MCC","15",""
"AK","Cardiac defibrillator implant w/o cardiac cath w MCC","*","The number of cases/patients is too few to report"
"AL","Cardiac defibrillator implant w/o cardiac cath w MCC","63",""
"AR","Cardiac defibrillator implant w/o cardiac cath w MCC","59",""
"AZ","Cardiac defibrillator implant w/o cardiac cath w MCC","136",""
"CA","Cardiac defibrillator implant w/o cardiac cath w MCC","362",""
"CO","Cardiac defibrillator implant w/o cardiac cath w MCC","28",""
"CT","Cardiac defibrillator implant w/o cardiac cath w MCC","62",""
"DC","Cardiac defibrillator implant w/o cardiac cath w MCC","31",""
"DE","Cardiac defibrillator implant w/o cardiac cath w MCC","17",""
"FL","Cardiac defibrillator implant w/o cardiac cath w MCC","397",""
"GA","Cardiac defibrillator implant w/o cardiac cath w MCC","147",""
"HI","Cardiac defibrillator implant w/o cardiac cath w MCC","14",""
"IA","Cardiac defibrillator implant w/o cardiac cath w MCC","31",""
"ID","Cardiac defibrillator implant w/o cardiac cath w MCC","*","The number of cases/patients is too few to report"
"IL","Cardiac defibrillator implant w/o cardiac cath w MCC","246",""
"IN","Cardiac defibrillator implant w/o cardiac cath w MCC","132",""
"KS","Cardiac defibrillator implant w/o cardiac cath w MCC","55",""
"KY","Cardiac defibrillator implant w/o cardiac cath w MCC","111",""
"LA","Cardiac defibrillator implant w/o cardiac cath w MCC","81",""
"MA","Cardiac defibrillator implant w/o cardiac cath w MCC","90",""
"MD","Cardiac defibrillator implant w/o cardiac cath w MCC","89",""
"ME","Cardiac defibrillator implant w/o cardiac cath w MCC","15",""
"MI","Cardiac defibrillator implant w/o cardiac cath w MCC","219",""
"MN","Cardiac defibrillator implant w/o cardiac cath w MCC","57",""
"MO","Cardiac defibrillator implant w/o cardiac cath w MCC","119",""
"MS","Cardiac defibrillator implant w/o cardiac cath w MCC","73",""
"MT","Cardiac defibrillator implant w/o cardiac cath w MCC","12",""
"NC","Cardiac defibrillator implant w/o cardiac cath w MCC","144",""
"ND","Cardiac defibrillator implant w/o cardiac cath w MCC","18",""
"NE","Cardiac defibrillator implant w/o cardiac cath w MCC","29",""
"NH","Cardiac defibrillator implant w/o cardiac cath w MCC","18",""
"NJ","Cardiac defibrillator implant w/o cardiac cath w MCC","213",""
"NM","Cardiac defibrillator implant w/o cardiac cath w MCC","15",""
"NV","Cardiac defibrillator implant w/o cardiac cath w MCC","31",""
"NY","Cardiac defibrillator implant w/o cardiac cath w MCC","294",""
"OH","Cardiac defibrillator implant w/o cardiac cath w MCC","210",""
"OK","Cardiac defibrillator implant w/o cardiac cath w MCC","60",""
"OR","Cardiac defibrillator implant w/o cardiac cath w MCC","29",""
"PA","Cardiac defibrillator implant w/o cardiac cath w MCC","286",""
"PR","Cardiac defibrillator implant w/o cardiac cath w MCC","12",""
"RI","Cardiac defibrillator implant w/o cardiac cath w MCC","12",""
"SC","Cardiac defibrillator implant w/o cardiac cath w MCC","89",""
"SD","Cardiac defibrillator implant w/o cardiac cath w MCC","18",""
"TN","Cardiac defibrillator implant w/o cardiac cath w MCC","159",""
"TX","Cardiac defibrillator implant w/o cardiac cath w MCC","401",""
"UT","Cardiac defibrillator implant w/o cardiac cath w MCC","16",""
"VA","Cardiac defibrillator implant w/o cardiac cath w MCC","160",""
"VT","Cardiac defibrillator implant w/o cardiac cath w MCC","*","The number of cases/patients is too few to report"
"WA","Cardiac defibrillator implant w/o cardiac cath w MCC","74",""
"WI","Cardiac defibrillator implant w/o cardiac cath w MCC","71",""
"WV","Cardiac defibrillator implant w/o cardiac cath w MCC","39",""
"WY","Cardiac defibrillator implant w/o cardiac cath w MCC","*","The number of cases/patients is too few to report"
"AK","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","*","The number of cases/patients is too few to report"
"AL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","58",""
"AR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","61",""
"AZ","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","55",""
"CA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","174",""
"CO","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","26",""
"CT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","27",""
"DC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","14",""
"DE","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","14",""
"FL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","273",""
"GA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","72",""
"HI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","*","The number of cases/patients is too few to report"
"IA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","16",""
"ID","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","*","The number of cases/patients is too few to report"
"IL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","143",""
"IN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","78",""
"KS","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","49",""
"KY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","54",""
"LA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","41",""
"MA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","70",""
"MD","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","48",""
"ME","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","17",""
"MI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","94",""
"MN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","45",""
"MO","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","67",""
"MS","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","44",""
"MT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","*","The number of cases/patients is too few to report"
"NC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","93",""
"ND","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","13",""
"NE","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32",""
"NH","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","13",""
"NJ","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","107",""
"NM","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","*","The number of cases/patients is too few to report"
"NV","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","12",""
"NY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","262",""
"OH","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","132",""
"OK","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32",""
"OR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","26",""
"PA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","138",""
"PR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","*","The number of cases/patients is too few to report"
"RI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","*","The number of cases/patients is too few to report"
"SC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","61",""
"SD","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","16",""
"TN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","72",""
"TX","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","177",""
"UT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","15",""
"VA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","75",""
"VT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","*","The number of cases/patients is too few to report"
"WA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","36",""
"WI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","71",""
"WV","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","16",""
"WY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","*","The number of cases/patients is too few to report"
"AK","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"AL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","48",""
"AR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","16",""
"AZ","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","52",""
"CA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","158",""
"CO","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","29",""
"CT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","24",""
"DC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"DE","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"FL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","167",""
"GA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","50",""
"HI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","13",""
"IA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","22",""
"ID","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"IL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","114",""
"IN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","70",""
"KS","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","29",""
"KY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","42",""
"LA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","29",""
"MA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","64",""
"MD","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","15",""
"ME","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","14",""
"MI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","93",""
"MN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","51",""
"MO","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","69",""
"MS","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","21",""
"MT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"NC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","92",""
"ND","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"NE","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","13",""
"NH","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"NJ","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","85",""
"NM","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"NV","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","21",""
"NY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","148",""
"OH","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","127",""
"OK","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","23",""
"OR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","26",""
"PA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","127",""
"PR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"RI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"SC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","51",""
"SD","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","15",""
"TN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","70",""
"TX","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","162",""
"UT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"VA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","77",""
"VT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"WA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","49",""
"WI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","44",""
"WV","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"WY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","*","The number of cases/patients is too few to report"
"AK","Extracranial procedures w/o CC/MCC","52",""
"AL","Extracranial procedures w/o CC/MCC","916",""
"AR","Extracranial procedures w/o CC/MCC","692",""
"AZ","Extracranial procedures w/o CC/MCC","568",""
"CA","Extracranial procedures w/o CC/MCC","2116",""
"CO","Extracranial procedures w/o CC/MCC","310",""
"CT","Extracranial procedures w/o CC/MCC","309",""
"DC","Extracranial procedures w/o CC/MCC","49",""
"DE","Extracranial procedures w/o CC/MCC","160",""
"FL","Extracranial procedures w/o CC/MCC","2876",""
"GA","Extracranial procedures w/o CC/MCC","1045",""
"GU","Extracranial procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"HI","Extracranial procedures w/o CC/MCC","21",""
"IA","Extracranial procedures w/o CC/MCC","444",""
"ID","Extracranial procedures w/o CC/MCC","124",""
"IL","Extracranial procedures w/o CC/MCC","1327",""
"IN","Extracranial procedures w/o CC/MCC","1180",""
"KS","Extracranial procedures w/o CC/MCC","623",""
"KY","Extracranial procedures w/o CC/MCC","756",""
"LA","Extracranial procedures w/o CC/MCC","736",""
"MA","Extracranial procedures w/o CC/MCC","844",""
"MD","Extracranial procedures w/o CC/MCC","718",""
"ME","Extracranial procedures w/o CC/MCC","188",""
"MI","Extracranial procedures w/o CC/MCC","1334",""
"MN","Extracranial procedures w/o CC/MCC","441",""
"MO","Extracranial procedures w/o CC/MCC","1044",""
"MS","Extracranial procedures w/o CC/MCC","552",""
"MT","Extracranial procedures w/o CC/MCC","150",""
"NC","Extracranial procedures w/o CC/MCC","1161",""
"ND","Extracranial procedures w/o CC/MCC","202",""
"NE","Extracranial procedures w/o CC/MCC","274",""
"NH","Extracranial procedures w/o CC/MCC","223",""
"NJ","Extracranial procedures w/o CC/MCC","935",""
"NM","Extracranial procedures w/o CC/MCC","138",""
"NV","Extracranial procedures w/o CC/MCC","234",""
"NY","Extracranial procedures w/o CC/MCC","1454",""
"OH","Extracranial procedures w/o CC/MCC","1408",""
"OK","Extracranial procedures w/o CC/MCC","516",""
"OR","Extracranial procedures w/o CC/MCC","359",""
"PA","Extracranial procedures w/o CC/MCC","1254",""
"PR","Extracranial procedures w/o CC/MCC","36",""
"RI","Extracranial procedures w/o CC/MCC","78",""
"SC","Extracranial procedures w/o CC/MCC","785",""
"SD","Extracranial procedures w/o CC/MCC","150",""
"TN","Extracranial procedures w/o CC/MCC","1062",""
"TX","Extracranial procedures w/o CC/MCC","2853",""
"UT","Extracranial procedures w/o CC/MCC","103",""
"VA","Extracranial procedures w/o CC/MCC","811",""
"VT","Extracranial procedures w/o CC/MCC","48",""
"WA","Extracranial procedures w/o CC/MCC","618",""
"WI","Extracranial procedures w/o CC/MCC","632",""
"WV","Extracranial procedures w/o CC/MCC","410",""
"WY","Extracranial procedures w/o CC/MCC","61",""
"AK","Extracranial procedures w CC","15",""
"AL","Extracranial procedures w CC","306",""
"AR","Extracranial procedures w CC","178",""
"AZ","Extracranial procedures w CC","270",""
"CA","Extracranial procedures w CC","833",""
"CO","Extracranial procedures w CC","86",""
"CT","Extracranial procedures w CC","117",""
"DC","Extracranial procedures w CC","27",""
"DE","Extracranial procedures w CC","56",""
"FL","Extracranial procedures w CC","971",""
"GA","Extracranial procedures w CC","303",""
"HI","Extracranial procedures w CC","24",""
"IA","Extracranial procedures w CC","157",""
"ID","Extracranial procedures w CC","52",""
"IL","Extracranial procedures w CC","635",""
"IN","Extracranial procedures w CC","345",""
"KS","Extracranial procedures w CC","182",""
"KY","Extracranial procedures w CC","279",""
"LA","Extracranial procedures w CC","254",""
"MA","Extracranial procedures w CC","337",""
"MD","Extracranial procedures w CC","298",""
"ME","Extracranial procedures w CC","57",""
"MI","Extracranial procedures w CC","520",""
"MN","Extracranial procedures w CC","232",""
"MO","Extracranial procedures w CC","380",""
"MS","Extracranial procedures w CC","155",""
"MT","Extracranial procedures w CC","48",""
"NC","Extracranial procedures w CC","417",""
"ND","Extracranial procedures w CC","58",""
"NE","Extracranial procedures w CC","91",""
"NH","Extracranial procedures w CC","85",""
"NJ","Extracranial procedures w CC","289",""
"NM","Extracranial procedures w CC","42",""
"NV","Extracranial procedures w CC","64",""
"NY","Extracranial procedures w CC","521",""
"OH","Extracranial procedures w CC","515",""
"OK","Extracranial procedures w CC","205",""
"OR","Extracranial procedures w CC","116",""
"PA","Extracranial procedures w CC","470",""
"PR","Extracranial procedures w CC","12",""
"RI","Extracranial procedures w CC","14",""
"SC","Extracranial procedures w CC","202",""
"SD","Extracranial procedures w CC","33",""
"TN","Extracranial procedures w CC","348",""
"TX","Extracranial procedures w CC","1009",""
"UT","Extracranial procedures w CC","47",""
"VA","Extracranial procedures w CC","297",""
"VT","Extracranial procedures w CC","21",""
"WA","Extracranial procedures w CC","203",""
"WI","Extracranial procedures w CC","254",""
"WV","Extracranial procedures w CC","106",""
"WY","Extracranial procedures w CC","11",""
"AK","Coronary bypass w/o cardiac cath w/o MCC","36",""
"AL","Coronary bypass w/o cardiac cath w/o MCC","512",""
"AR","Coronary bypass w/o cardiac cath w/o MCC","481",""
"AZ","Coronary bypass w/o cardiac cath w/o MCC","324",""
"CA","Coronary bypass w/o cardiac cath w/o MCC","1035",""
"CO","Coronary bypass w/o cardiac cath w/o MCC","166",""
"CT","Coronary bypass w/o cardiac cath w/o MCC","156",""
"DC","Coronary bypass w/o cardiac cath w/o MCC","121",""
"DE","Coronary bypass w/o cardiac cath w/o MCC","85",""
"FL","Coronary bypass w/o cardiac cath w/o MCC","1339",""
"GA","Coronary bypass w/o cardiac cath w/o MCC","593",""
"GU","Coronary bypass w/o cardiac cath w/o MCC","*","The number of cases/patients is too few to report"
"HI","Coronary bypass w/o cardiac cath w/o MCC","66",""
"IA","Coronary bypass w/o cardiac cath w/o MCC","229",""
"ID","Coronary bypass w/o cardiac cath w/o MCC","74",""
"IL","Coronary bypass w/o cardiac cath w/o MCC","762",""
"IN","Coronary bypass w/o cardiac cath w/o MCC","699",""
"KS","Coronary bypass w/o cardiac cath w/o MCC","218",""
"KY","Coronary bypass w/o cardiac cath w/o MCC","425",""
"LA","Coronary bypass w/o cardiac cath w/o MCC","456",""
"MA","Coronary bypass w/o cardiac cath w/o MCC","431",""
"MD","Coronary bypass w/o cardiac cath w/o MCC","257",""
"ME","Coronary bypass w/o cardiac cath w/o MCC","107",""
"MI","Coronary bypass w/o cardiac cath w/o MCC","583",""
"MN","Coronary bypass w/o cardiac cath w/o MCC","322",""
"MO","Coronary bypass w/o cardiac cath w/o MCC","567",""
"MS","Coronary bypass w/o cardiac cath w/o MCC","364",""
"MT","Coronary bypass w/o cardiac cath w/o MCC","105",""
"NC","Coronary bypass w/o cardiac cath w/o MCC","589",""
"ND","Coronary bypass w/o cardiac cath w/o MCC","100",""
"NE","Coronary bypass w/o cardiac cath w/o MCC","225",""
"NH","Coronary bypass w/o cardiac cath w/o MCC","148",""
"NJ","Coronary bypass w/o cardiac cath w/o MCC","570",""
"NM","Coronary bypass w/o cardiac cath w/o MCC","83",""
"NV","Coronary bypass w/o cardiac cath w/o MCC","130",""
"NY","Coronary bypass w/o cardiac cath w/o MCC","799",""
"OH","Coronary bypass w/o cardiac cath w/o MCC","670",""
"OK","Coronary bypass w/o cardiac cath w/o MCC","465",""
"OR","Coronary bypass w/o cardiac cath w/o MCC","184",""
"PA","Coronary bypass w/o cardiac cath w/o MCC","775",""
"PR","Coronary bypass w/o cardiac cath w/o MCC","76",""
"RI","Coronary bypass w/o cardiac cath w/o MCC","54",""
"SC","Coronary bypass w/o cardiac cath w/o MCC","407",""
"SD","Coronary bypass w/o cardiac cath w/o MCC","97",""
"TN","Coronary bypass w/o cardiac cath w/o MCC","726",""
"TX","Coronary bypass w/o cardiac cath w/o MCC","1517",""
"UT","Coronary bypass w/o cardiac cath w/o MCC","88",""
"VA","Coronary bypass w/o cardiac cath w/o MCC","549",""
"VT","Coronary bypass w/o cardiac cath w/o MCC","34",""
"WA","Coronary bypass w/o cardiac cath w/o MCC","408",""
"WI","Coronary bypass w/o cardiac cath w/o MCC","430",""
"WV","Coronary bypass w/o cardiac cath w/o MCC","258",""
"WY","Coronary bypass w/o cardiac cath w/o MCC","*","The number of cases/patients is too few to report"
"AK","Coronary bypass w/o cardiac cath w MCC","*","The number of cases/patients is too few to report"
"AL","Coronary bypass w/o cardiac cath w MCC","176",""
"AR","Coronary bypass w/o cardiac cath w MCC","112",""
"AZ","Coronary bypass w/o cardiac cath w MCC","163",""
"CA","Coronary bypass w/o cardiac cath w MCC","471",""
"CO","Coronary bypass w/o cardiac cath w MCC","75",""
"CT","Coronary bypass w/o cardiac cath w MCC","77",""
"DC","Coronary bypass w/o cardiac cath w MCC","52",""
"DE","Coronary bypass w/o cardiac cath w MCC","14",""
"FL","Coronary bypass w/o cardiac cath w MCC","582",""
"GA","Coronary bypass w/o cardiac cath w MCC","350",""
"HI","Coronary bypass w/o cardiac cath w MCC","35",""
"IA","Coronary bypass w/o cardiac cath w MCC","81",""
"ID","Coronary bypass w/o cardiac cath w MCC","16",""
"IL","Coronary bypass w/o cardiac cath w MCC","375",""
"IN","Coronary bypass w/o cardiac cath w MCC","183",""
"KS","Coronary bypass w/o cardiac cath w MCC","96",""
"KY","Coronary bypass w/o cardiac cath w MCC","162",""
"LA","Coronary bypass w/o cardiac cath w MCC","146",""
"MA","Coronary bypass w/o cardiac cath w MCC","130",""
"MD","Coronary bypass w/o cardiac cath w MCC","158",""
"ME","Coronary bypass w/o cardiac cath w MCC","22",""
"MI","Coronary bypass w/o cardiac cath w MCC","265",""
"MN","Coronary bypass w/o cardiac cath w MCC","87",""
"MO","Coronary bypass w/o cardiac cath w MCC","232",""
"MS","Coronary bypass w/o cardiac cath w MCC","98",""
"MT","Coronary bypass w/o cardiac cath w MCC","32",""
"NC","Coronary bypass w/o cardiac cath w MCC","263",""
"ND","Coronary bypass w/o cardiac cath w MCC","23",""
"NE","Coronary bypass w/o cardiac cath w MCC","73",""
"NH","Coronary bypass w/o cardiac cath w MCC","42",""
"NJ","Coronary bypass w/o cardiac cath w MCC","245",""
"NM","Coronary bypass w/o cardiac cath w MCC","24",""
"NV","Coronary bypass w/o cardiac cath w MCC","75",""
"NY","Coronary bypass w/o cardiac cath w MCC","364",""
"OH","Coronary bypass w/o cardiac cath w MCC","307",""
"OK","Coronary bypass w/o cardiac cath w MCC","159",""
"OR","Coronary bypass w/o cardiac cath w MCC","131",""
"PA","Coronary bypass w/o cardiac cath w MCC","299",""
"PR","Coronary bypass w/o cardiac cath w MCC","26",""
"RI","Coronary bypass w/o cardiac cath w MCC","22",""
"SC","Coronary bypass w/o cardiac cath w MCC","128",""
"SD","Coronary bypass w/o cardiac cath w MCC","25",""
"TN","Coronary bypass w/o cardiac cath w MCC","349",""
"TX","Coronary bypass w/o cardiac cath w MCC","687",""
"UT","Coronary bypass w/o cardiac cath w MCC","29",""
"VA","Coronary bypass w/o cardiac cath w MCC","291",""
"VT","Coronary bypass w/o cardiac cath w MCC","*","The number of cases/patients is too few to report"
"WA","Coronary bypass w/o cardiac cath w MCC","137",""
"WI","Coronary bypass w/o cardiac cath w MCC","113",""
"WV","Coronary bypass w/o cardiac cath w MCC","82",""
"WY","Coronary bypass w/o cardiac cath w MCC","11",""
"AK","Permanent cardiac pacemaker implant w/o CC/MCC","65",""
"AL","Permanent cardiac pacemaker implant w/o CC/MCC","503",""
"AR","Permanent cardiac pacemaker implant w/o CC/MCC","443",""
"AZ","Permanent cardiac pacemaker implant w/o CC/MCC","537",""
"CA","Permanent cardiac pacemaker implant w/o CC/MCC","2077",""
"CO","Permanent cardiac pacemaker implant w/o CC/MCC","234",""
"CT","Permanent cardiac pacemaker implant w/o CC/MCC","383",""
"DC","Permanent cardiac pacemaker implant w/o CC/MCC","81",""
"DE","Permanent cardiac pacemaker implant w/o CC/MCC","102",""
"FL","Permanent cardiac pacemaker implant w/o CC/MCC","2220",""
"GA","Permanent cardiac pacemaker implant w/o CC/MCC","680",""
"GU","Permanent cardiac pacemaker implant w/o CC/MCC","*","The number of cases/patients is too few to report"
"HI","Permanent cardiac pacemaker implant w/o CC/MCC","64",""
"IA","Permanent cardiac pacemaker implant w/o CC/MCC","318",""
"ID","Permanent cardiac pacemaker implant w/o CC/MCC","113",""
"IL","Permanent cardiac pacemaker implant w/o CC/MCC","1260",""
"IN","Permanent cardiac pacemaker implant w/o CC/MCC","832",""
"KS","Permanent cardiac pacemaker implant w/o CC/MCC","334",""
"KY","Permanent cardiac pacemaker implant w/o CC/MCC","563",""
"LA","Permanent cardiac pacemaker implant w/o CC/MCC","399",""
