"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Number of Patients 2","Footnote 2","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Number of Patients 4","Footnote 4"
"340129","LAKE NORMAN REGIONAL MEDICAL CENTER","171 FAIRVIEW ROAD","","","MOORESVILLE","NC","28117","IREDELL","7046604000","99","149","","100","76",""
"340099","VIDANT ROANOKE CHOWAN HOSPITAL","500 S ACADEMY ST","","","AHOSKIE","NC","27910","HERTFORD","2522093000","98","146","","99","82",""
"300023","EXETER HOSPITAL INC","5 ALUMNI DRIVE","","","EXETER","NH","03833","ROCKINGHAM","6037787311","99","202","","98","128",""
"400118","DOCTORS' CENTER HOSPITAL, INC","MARGINAL CARRETERA NO 2, KM 47 7","","","MANATI","PR","00674","MANATI","7878543322","97","33","","96","82",""
"360161","ST JOSEPH HEALTH CENTER","667 EASTLAND AVE SE","","","WARREN","OH","44481","TRUMBULL","3308414000","98","139","Data submitted were based on a sample of cases/patients","100","52","Data submitted were based on a sample of cases/patients"
"440187","LIVINGSTON REGIONAL HOSPITAL","315 OAK ST BOX 550","","","LIVINGSTON","TN","38570","OVERTON","9318235611","100","191","","95","138",""
"161302","IOWA SPECIALTY HOSPITAL-CLARION","1316 SOUTH MAIN STREET","","","CLARION","IA","50525","WRIGHT","5155322811","76","17","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"450236","HOPKINS COUNTY MEMORIAL HOSPITAL","115 AIRPORT RD","","","SULPHUR SPRINGS","TX","75482","HOPKINS","9038857671","93","107","","95","93",""
"160028","ALEGENT HEALTH MERCY HOSPITAL","800 MERCY DRIVE","","","COUNCIL BLUFFS","IA","51503","POTTAWATTAMIE","7123285000","100","141","","97","78",""
"260110","SOUTHEAST MISSOURI HOSPITAL","1701 LACEY ST","","","CAPE GIRARDEAU","MO","63701","CAPE GIRARDEAU","5733344822","99","402","","97","209",""
"440054","WOODS MEMORIAL HOSPITAL","886 HIGHWAY 411 NORTH","","","ETOWAH","TN","37331","MCMINN","4232633600","89","73","","87","45",""
"450389","EAST TEXAS MEDICAL CENTER ATHENS","2000 SOUTH PALESTINE","","","ATHENS","TX","75751","HENDERSON","9036761000","94","291","Data submitted were based on a sample of cases/patients","90","141","Data submitted were based on a sample of cases/patients"
"161308","FRANKLIN GENERAL HOSPITAL","1720 CENTRAL AVENUE EAST","","","HAMPTON","IA","50441","FRANKLIN","6414565000","Not Available","Not Available","The number of cases/patients is too few to report","76","17","The number of cases/patients is too few to report"
"100067","ST ANTHONY'S HOSPITAL","1200 7TH AVENUE NORTH","","","SAINT PETERSBURG","FL","33705","PINELLAS","7278251100","98","275","","98","118",""
"050295","MERCY HOSPITAL","2215 TRUXTUN AVENUE","","","BAKERSFIELD","CA","93301","KERN","6616325000","93","179","Data submitted were based on a sample of cases/patients","92","78","Data submitted were based on a sample of cases/patients"
"171372","SCOTT COUNTY HOSPITAL","201 ALBERT AVENUE","","","SCOTT CITY","KS","67871","SCOTT","6208725811","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"281330","WARREN MEMORIAL HOSPITAL","905 SECOND ST","","","FRIEND","NE","68359","SALINE","4029472541","Not Available","0","Data submitted were based on a sample of cases/patients., No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","0","Data submitted were based on a sample of cases/patients., No cases met the criteria for this measure., Results are based on a shorter time period than required"
"100051","SOUTH LAKE HOSPITAL","1900 DON WICKHAM DR","","","CLERMONT","FL","34711","LAKE","3523944071","94","153","","95","91",""
"360185","SALEM COMMUNITY HOSPITAL","1995 EAST STATE STREET","","","SALEM","OH","44460","COLUMBIANA","3303321551","97","156","","96","129",""
"171362","CITIZENS MEDICAL CENTER","100 E COLLEGE DRIVE","","","COLBY","KS","67701","THOMAS","7854627511","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required"
"160146","ST LUKES REGIONAL MEDICAL CENTER","2720 STONE PARK BOULEVARD","","","SIOUX CITY","IA","51104","WOODBURY","7122793500","99","176","","98","128",""
"490092","SOUTHAMPTON MEMORIAL HOSPITAL","100 FAIRVIEW DRIVE - PO BOX 817","","","FRANKLIN","VA","23851","FRANKLIN CITY","7575696100","98","102","Data submitted were based on a sample of cases/patients","96","57","Data submitted were based on a sample of cases/patients"
"400010","CASTANER GENERAL HOSPITAL","ST 135 KM 64 2","","","CASTANER","PR","00631","LARES","7878295010","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"340141","NEW HANOVER REGIONAL MEDICAL CENTER","2131 S 17TH ST BOX 9000","","","WILMINGTON","NC","28402","NEW HANOVER","9103437000","99","478","","95","282",""
"421302","FAIRFIELD MEMORIAL HOSPITAL","321 BYPASS PO BOX 620","","","WINNSBORO","SC","29180","FAIRFIELD","8036350233","78","18","The number of cases/patients is too few to report","75","20","The number of cases/patients is too few to report"
"05127F","LOMA LINDA VA MEDICAL CENTER","11201 BENTON STREET","","","LOMA LINDA                    ","CA","92357","SAN BERNARDINO","9098257084","99","136","","97","39",""
"171352","DECATUR COUNTY HOSPITAL","810 W  COLUMBIA STREET","","","OBERLIN","KS","67749","DECATUR","7854752208","Not Available","0","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"050349","CORCORAN DISTRICT HOSPITAL","1310 HANNA AVE","","","CORCORAN","CA","93212","KINGS","5599925051","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"241314","JOHNSON MEMORIAL HOSPITAL","1282 WALNUT STREET","","","DAWSON","MN","56232","LAC QUI PARLE","3207694323","Not Available","Not Available","The number of cases/patients is too few to report","90","21","The number of cases/patients is too few to report"
"191306","WEST FELICIANA PARISH HOSPITAL","5266 COMMERCE STREET","","","SAINT FRANCISVILLE","LA","70775","WEST FELICIANA","2256353811","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"131328","BONNER GENERAL HOSPITAL","520 NORTH THIRD AVENUE BOX 1448","","","SANDPOINT","ID","83864","BONNER","2082631441","100","26","","100","26",""
"420091","CAROLINAS HOSPITAL SYSTEM","805 PAMPLICO HWY BOX 100550","","","FLORENCE","SC","29505","FLORENCE","8436742500","100","167","Data submitted were based on a sample of cases/patients","98","94","Data submitted were based on a sample of cases/patients"
"310040","CAREPOINT HEALTH-HOBOKEN UMC","308 WILLOW AVE","","","HOBOKEN","NJ","07030","HUDSON","2014181004","100","176","","100","100",""
"45090F","SAN ANTONIO VA MEDICAL CENTER - VA SOUTH TEXAS","7400 MERTON MINTER BLVD.","","","SAN ANTONIO                   ","TX","78229","BEXAR","2106175300","100","185","","100","77",""
"520109","MILE BLUFF MEDICAL CENTER, INC","1050 DIVISION ST","","","MAUSTON","WI","53948","JUNEAU","6088476161","89","19","The number of cases/patients is too few to report","80","30",""
"390025","KENSINGTON HOSPITAL","136 W DIAMOND STREET","","","PHILADELPHIA","PA","19122","PHILADELPHIA","2154268100","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"171343","STANTON COUNTY HOSPITAL","404 N CHESTNUT","","","JOHNSON","KS","67855","STANTON","6204926250","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required"
"180011","SAINT JOSEPH LONDON","1001 SAINT JOSEPH LANE","","","LONDON","KY","40741","LAUREL","6063306000","99","241","","95","125",""
"151328","INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL","2900 W 16TH ST","","","BEDFORD","IN","47421","LAWRENCE","8122751200","98","86","","94","52",""
"450489","MEDICAL ARTS HOSPITAL","2200 N BRYAN AVE","","","LAMESA","TX","79331","DAWSON","8068722183","75","12","Results are based on a shorter time period than required., The number of cases/patients is too few to report","100","14","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"340013","RUTHERFORD HOSPITAL INC","288 SOUTH RIDGECREST AVE","","","RUTHERFORDTON","NC","28139","RUTHERFORD","8282865000","95","175","","90","109",""
"450034","CHRISTUS HOSPITAL","2830 CALDER AVENUE","","","BEAUMONT","TX","77702","JEFFERSON","4098927171","96","172","Data submitted were based on a sample of cases/patients","91","117","Data submitted were based on a sample of cases/patients"
"100045","FLORIDA HOSPITAL DELAND","701 W PLYMOUTH AVE","","","DELAND","FL","32720","VOLUSIA","3869434772","99","315","","98","163",""
"521349","RIVER FALLS AREA HSPTL","1629 E DIVISION ST","","","RIVER FALLS","WI","54022","PIERCE","7153076135","96","24","The number of cases/patients is too few to report","100","25",""
"241301","LAKEWOOD HEALTH CENTER","600 MAIN AVE S","","","BAUDETTE","MN","56623","LAKE OF THE WOODS","2186342120","Not Available","0","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"320002","ST VINCENT HOSPITAL","455 ST MICHAEL'S DRIVE","","","SANTA FE","NM","87505","SANTA FE","5059833361","92","124","Data submitted were based on a sample of cases/patients","87","87","Data submitted were based on a sample of cases/patients"
"490023","THE FAUQUIER HOSPITAL, INC","500 HOSPITAL DRIVE","","","WARRENTON","VA","20186","FAUQUIER","5403165000","98","216","","99","109",""
"110010","EMORY UNIVERSITY HOSPITAL","1364 CLIFTON ROAD, NE","","","ATLANTA","GA","30322","DEKALB","4046868500","99","89","Data submitted were based on a sample of cases/patients","98","53","Data submitted were based on a sample of cases/patients"
"321301","SOCORRO GENERAL HOSPITAL","1202 HIGHWAY 60 WEST","","","SOCORRO","NM","87801","SOCORRO","5758351140","96","25","","100","18","The number of cases/patients is too few to report"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","","","TUCSON                        ","AZ","85723","PIMA","5206291821","99","161","","95","81",""
"180040","JEWISH HOSPITAL & ST MARY'S HEALTHCARE","200 ABRAHAM FLEXNER WAY","","","LOUISVILLE","KY","40202","JEFFERSON","5025874011","96","226","Data submitted were based on a sample of cases/patients","89","127","Data submitted were based on a sample of cases/patients"
"370158","PURCELL MUNICIPAL HOSPITAL","1500 NORTH GREEN AVENUE","","","PURCELL","OK","73080","MCCLAIN","4055276524","95","37","Data submitted were based on a sample of cases/patients","81","58","Data submitted were based on a sample of cases/patients"
"420054","MARLBORO PARK HOSPITAL","1138 CHERAW HIGHWAY","","","BENNETTSVILLE","SC","29512","MARLBORO","8434792881","100","67","Data submitted were based on a sample of cases/patients","100","46","Data submitted were based on a sample of cases/patients"
"490041","MARY IMMACULATE HOSPITAL","2 BERNARDINE DRIVE","","","NEWPORT NEWS","VA","23602","NEWPORT NEWS CITY","7578866000","98","140","","100","95",""
"390019","PALMERTON HOSPITAL","135 LAFAYETTE AVENUE","","","PALMERTON","PA","18071","CARBON","6108263141","96","46","","95","37",""
"250126","NORTH OAK REGIONAL MEDICAL CENTER","401 GETWELL DR","","","SENATOBIA","MS","38668","TATE","6625623100","97","33","Data submitted were based on a sample of cases/patients","89","27","Data submitted were based on a sample of cases/patients"
"150082","DEACONESS HOSPITAL INC","600 MARY ST","","","EVANSVILLE","IN","47747","VANDERBURGH","8124505000","93","137","Data submitted were based on a sample of cases/patients","97","76","Data submitted were based on a sample of cases/patients"
"281345","PROVIDENCE MEDICAL CENTER","1200 PROVIDENCE RD","","","WAYNE","NE","68787","WAYNE","4023753800","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"281326","ANTELOPE MEMORIAL HOSPITAL","P O BOX 229, 102 WEST 9TH ST","","","NELIGH","NE","68756","ANTELOPE","4028874151","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"190255","PARK PLACE SURGICAL HOSPITAL","901 WILSON STREET","","","LAFAYETTE","LA","70503","LAFAYETTE","3372378119","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"500007","ISLAND HOSPITAL","1211  24TH STREET","","","ANACORTES","WA","98221","SKAGIT","3602991300","97","109","","94","66",""
"141307","PINCKNEYVILLE COMMUNITY HOSPITAL","101 N WALNUT","","","PINCKNEYVILLE","IL","62274","PERRY","6183572187","95","22","The number of cases/patients is too few to report","75","20","The number of cases/patients is too few to report"
"271331","MINERAL COMMUNITY HOSPITAL","1208 6TH AVE E","","","SUPERIOR","MT","59872","MINERAL","4068224841","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"100313","SACRED HEART HOSPITAL ON THE GULF","3801 E HWY 98","","","PORT SAINT JOE","FL","32456","GULF","8502295600","100","29","","95","20","The number of cases/patients is too few to report"
"320004","GERALD CHAMPION REGIONAL MEDICAL CENTE","2669 NORTH SCENIC DRIVE","","","ALAMOGORDO","NM","88310","OTERO","5754396100","88","90","","91","66",""
"450730","BAYLOR MEDICAL CENTER AT CARROLLTON","4343 NORTH JOSEY LANE","","","CARROLLTON","TX","75010","DENTON","9724921010","99","167","","97","106",""
"340115","FIRSTHEALTH MOORE REGIONAL HOSPITAL","155 MEMORIAL DRIVE","","","PINEHURST","NC","28374","MOORE","9107151000","100","202","Data submitted were based on a sample of cases/patients","96","121","Data submitted were based on a sample of cases/patients"
"521327","WAUPUN MEM HSPTL","620 W BROWN ST","","","WAUPUN","WI","53963","DODGE","9203246530","100","50","","100","38",""
"261314","HERMANN AREA DISTRICT HOSPITAL","509 W 18TH ST","","","HERMANN","MO","65041","GASCONADE","5734862191","90","20","The number of cases/patients is too few to report","44","16","The number of cases/patients is too few to report"
"050581","LAKEWOOD REGIONAL MEDICAL CENTER","3700 E SOUTH ST","","","LAKEWOOD","CA","90712","LOS ANGELES","5626026751","99","131","","100","79",""
"111306","EFFINGHAM COUNTY HOSPITAL","459 GA HIGHWAY 119 SOUTH","","","SPRINGFIELD","GA","31329","EFFINGHAM","9127540160","100","20","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","100","17","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"101303","LAKE BUTLER HOSPITAL HAND SURGERY CENTER","850 E MAIN ST","","","LAKE BUTLER","FL","32054","UNION","3864962323","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"450634","DENTON REGIONAL MEDICAL CENTER","3535 SOUTH I35 EAST","","","DENTON","TX","76210","DENTON","9403843535","99","156","Data submitted were based on a sample of cases/patients","93","69","Data submitted were based on a sample of cases/patients"
"230121","MEMORIAL HEALTHCARE","826 WEST KING STREET","","","OWOSSO","MI","48867","SHIAWASSEE","9897235211","92","128","","95","92",""
"420103","VILLAGE HOSPITAL","250 WESTMORELAND ROAD","","","GREER","SC","29651","GREENVILLE","8645306000","98","61","","98","58",""
"050689","SAN RAMON REGIONAL MEDICAL CTR","6001 NORRIS CANYON ROAD","","","SAN RAMON","CA","94583","CONTRA COSTA","9252759200","100","97","","98","65",""
"050441","STANFORD HOSPITAL","300 PASTEUR DRIVE","","","STANFORD","CA","94305","SANTA CLARA","6507235708","99","266","","99","98",""
"181315","EPHRAIM MCDOWELL FORT LOGAN HOSPITAL","110 METKER TRAIL","","","STANFORD","KY","40484","LINCOLN","6063654600","97","37","","97","33",""
"360192","UH GEAUGA MEDICAL CENTER","13207 RAVENNA RD","","","CHARDON","OH","44024","GEAUGA","4402696000","100","211","","99","103",""
"320013","HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS","1397 WEIMER ROAD","","","TAOS","NM","87571","TAOS","5757588883","97","148","","95","84",""
"281329","AVERA ST ANTHONY'S HOSPITAL","300 NORTH 2ND ST","","","O' NEILL","NE","68763","HOLT","4023362611","100","13","The number of cases/patients is too few to report","97","29",""
"111302","BLECKLEY MEMORIAL HOSPITAL","145 EAST PEACOCK STREET","","","COCHRAN","GA","31014","BLECKLEY","4789346211","95","19","The number of cases/patients is too few to report","100","12","The number of cases/patients is too few to report"
"100175","DESOTO MEMORIAL HOSPITAL","900 N ROBERT AVE","","","ARCADIA","FL","34265","DE SOTO","8634943535","96","71","Data submitted were based on a sample of cases/patients","93","59","Data submitted were based on a sample of cases/patients"
"110054","FLOYD MEDICAL CENTER","304 TURNER MCCALL BLVD P O BOX 233","","","ROME","GA","30162","FLOYD","7065096900","99","370","","96","233",""
"510006","UNITED HOSPITAL CENTER","327 MEDICAL PARK DRIVE","","","BRIDGEPORT","WV","26330","HARRISON","6813421000","100","384","","97","309",""
"361302","TRINITY HOSPITAL TWIN CITY","819 NORTH FIRST STREET","","","DENNISON","OH","44621","TUSCARAWAS","7409222800","91","32","","84","25",""
"390156","MERCY FITZGERALD HOSPITAL","LANSDOWNE & BAILY RDS","","","DARBY","PA","19023","DELAWARE","2152374000","100","304","","99","136",""
"310111","CENTRASTATE MEDICAL CENTER","901 WEST MAIN STREET","","","FREEHOLD","NJ","07728","MONMOUTH","7324312000","99","423","Data submitted were based on a sample of cases/patients","96","205","Data submitted were based on a sample of cases/patients"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","","","PHOENIX                       ","AZ","85012","MARICOPA","6022226444","97","153","","99","84",""
"161354","HORN MEMORIAL HOSPITAL","701 EAST 2ND STREET","","","IDA GROVE","IA","51445","IDA","7123643311","94","32","","67","30",""
"141312","ROCHELLE COMMUNITY HOSPITAL","900 N 2ND ST","","","ROCHELLE","IL","61068","OGLE","8155622181","86","36","","81","27",""
"271333","BROADWATER HEALTH CENTER","110 N OAK ST","","","TOWNSEND","MT","59644","BROADWATER","4062663186","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required"
"451315","NORTH RUNNELS HOSPITAL","7821 EAST HIGHWAY 153","","","WINTERS","TX","79567","RUNNELS","3257544553","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"510012","PLEASANT VALLEY HOSPITAL","2520 VALLEY DRIVE","","","POINT PLEASANT","WV","25550","MASON","3046754340","100","86","","98","63",""
"120002","MAUI MEMORIAL MEDICAL CENTER","221 MAHALANI STREET","","","WAILUKU","HI","96793","MAUI","8084425101","95","208","","89","121",""
"420033","GREER MEMORIAL HOSPITAL","830 SOUTH BUNCOMBE ROAD","","","GREER","SC","29650","GREENVILLE","8648488200","100","119","","100","80",""
"201306","RUMFORD  HOSPITAL","420 FRANKLIN STREET","","","RUMFORD","ME","04276","OXFORD","2073691000","100","36","","97","38",""
"111328","PHOEBE WORTH MEDICAL CENTER","807 SOUTH ISABELLA STREET","","","SYLVESTER","GA","31791","WORTH","2297773851","87","23","The number of cases/patients is too few to report","69","13","The number of cases/patients is too few to report"
"050570","FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER","17100 EUCLID STREET","","","FOUNTAIN VALLEY","CA","92708","ORANGE","7149667200","98","191","","98","122",""
"131310","ST LUKES JEROME","709 NORTH LINCOLN AVENUE","","","JEROME","ID","83338","JEROME","2083244301","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","20","15","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"241300","MAHNOMEN HEALTH CENTER","414 W JEFFERSON PO BOX 396","","","MAHNOMEN","MN","56557","MAHNOMEN","2189352511","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"270032","NORTHERN MONTANA HOSPITAL","30 13TH ST","","","HAVRE","MT","59501","HILL","4062652211","100","42","Data submitted were based on a sample of cases/patients","89","37","Data submitted were based on a sample of cases/patients"
"400127","ADMIN DE SERVICIOS MEDICOS  PUERTO RIC","BO MONACILLO CARR NUM 22","","","SAN JUAN","PR","00935","SAN JUAN","7877773535","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"450770","CENTRAL TEXAS HOSPITAL","806 N CROCKETT","","","CAMERON","TX","76520","MILAM","2546976591","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","73","11","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"390195","MAIN LINE HOSPITAL LANKENAU","100 LANCASTER AVE","","","WYNNEWOOD","PA","19096","MONTGOMERY","6106452000","97","264","","96","121",""
"351316","PRESENTATION MEDICAL CENTER","213 SECOND AVE NE","","","ROLLA","ND","58367","ROLETTE","7014773161","Not Available","Not Available","The number of cases/patients is too few to report","100","11","The number of cases/patients is too few to report"
"210019","PENINSULA REGIONAL MEDICAL CENTER","100 E CARROLL AVE","","","SALISBURY","MD","21801","WICOMICO","4105437111","97","447","","97","296",""
"330201","KINGSBROOK JEWISH MEDICAL CENTER","585 SCHENECTADY AVENUE","","","BROOKLYN","NY","11203","KINGS","7186045789","99","320","","99","116",""
"450653","SCENIC MOUNTAIN MEDICAL CENTER","1601 W 11TH PLACE","","","BIG SPRING","TX","79720","HOWARD","4322631211","92","39","Data submitted were based on a sample of cases/patients","85","33","Data submitted were based on a sample of cases/patients"
"260141","UNIVERSITY OF MISSOURI HEALTH CARE","ONE HOSPITAL DRIVE, ROOM CE121, DC031,00","","","COLUMBIA","MO","65201","BOONE","5738824141","96","126","","93","43",""
"170188","KANSAS CITY ORTHOPAEDIC INSTITUTE","3651 COLLEGE BLVD","","","LEAWOOD","KS","66211","JOHNSON","9133197633","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"100224","UNIVERSITY HOSPITAL AND MEDICAL CENTER","7201 N UNIVERSITY DR","","","TAMARAC","FL","33321","BROWARD","9547212200","100","147","","98","86",""
"361328","DEFIANCE REGIONAL MEDICAL CENTER","1200 RALSTON AVENUE","","","DEFIANCE","OH","43512","DEFIANCE","4197836955","100","54","","94","34",""
"520139","AURORA WEST ALLIS MEDICAL CENTER","8901 W LINCOLN AVE","","","WEST ALLIS","WI","53227","MILWAUKEE","4143286000","100","234","","98","197",""
"420057","MCLEOD MEDICAL CENTER - DARLINGTON","701 CASHUA FERRY ROAD","","","DARLINGTON","SC","29540","DARLINGTON","8433951100","Not Available","0","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"060012","CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER","1008 MINNEQUA AVE","","","PUEBLO","CO","81004","PUEBLO","7195574000","100","110","","100","79",""
"341323","CHARLES A CANNON JR MEMORIAL HOSPITAL","434 HOSPITAL DRIVE","","","LINVILLE","NC","28646","AVERY","8287377000","100","32","","87","31",""
"440148","STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP","520 W MAIN ST","","","SMITHVILLE","TN","37166","DEKALB","6152155000","100","108","","97","99",""
"310015","MORRISTOWN MEMORIAL HOSPITAL","100 MADISON AVE","","","MORRISTOWN","NJ","07962","MORRIS","9739715450","98","182","Data submitted were based on a sample of cases/patients","92","104","Data submitted were based on a sample of cases/patients"
"330153","ELLIS HOSPITAL","1101 NOTT STREET","","","SCHENECTADY","NY","12308","SCHENECTADY","5182434196","100","493","","97","215",""
"111326","LOUIS SMITH MEMORIAL HOSPITAL","116 WEST THIGPEN AVENUE","","","LAKELAND","GA","31635","LANIER","2294828402","Not Available","Not Available","The number of cases/patients is too few to report","45","11","The number of cases/patients is too few to report"
"370178","MEMORIAL HOSPITAL OF STILWELL","1401 WEST LOCUST","","","STILWELL","OK","74960","ADAIR","9186963101","96","27","Data submitted were based on a sample of cases/patients","89","37","Data submitted were based on a sample of cases/patients"
"250061","YALOBUSHA GENERAL HOSPITAL","630 SOUTH MAIN STREET","","","WATER VALLEY","MS","38965","YALOBUSHA","6624731411","Not Available","0","Data submitted were based on a sample of cases/patients., No cases met the criteria for this measure","69","13","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"160082","IOWA METHODIST MEDICAL CENTER","1200 PLEASANT STREET","","","DES MOINES","IA","50309","POLK","5152416212","98","91","Data submitted were based on a sample of cases/patients","89","57","Data submitted were based on a sample of cases/patients"
"351309","SANFORD MAYVILLE","42 6TH AVENUE SE","","","MAYVILLE","ND","58257","TRAILL","7017863800","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"24002F","ST CLOUD VA MEDICAL CENTER","4801   8TH STREET N.","","","ST. CLOUD                     ","MN","56303","STEARNS","3202521670","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"320033","LOS ALAMOS MEDICAL CENTER","3917 WEST ROAD","","","LOS ALAMOS","NM","87544","LOS ALAMOS","5056624201","95","43","","90","29",""
"100047","CHARLOTTE REGIONAL MEDICAL CENTER","809 E MARION AVE","","","PUNTA GORDA","FL","33950","CHARLOTTE","9416393131","100","129","Data submitted were based on a sample of cases/patients","99","82","Data submitted were based on a sample of cases/patients"
"390174","THOMAS JEFFERSON UNIVERSITY HOSPITAL","111 SOUTH 11TH STREET","","","PHILADELPHIA","PA","19107","PHILADELPHIA","2159556000","96","516","","96","225",""
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","","","NEWARK","NJ","07112","ESSEX","9739267850","98","133","Data submitted were based on a sample of cases/patients","100","73","Data submitted were based on a sample of cases/patients"
"381324","ST CHARLES - MADRAS","470 NE A STREET","","","MADRAS","OR","97741","JEFFERSON","5414604200","97","37","","100","41",""
"360170","BERGER HOSPITAL","600 NORTH PICKAWAY STREET","","","CIRCLEVILLE","OH","43113","PICKAWAY","7404208585","100","81","","100","52",""
"233300","CHILDREN'S HOSPITAL OF MICHIGAN","3901 BEAUBIEN","","","DETROIT","MI","48201","WAYNE","3137455437","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"070007","LAWRENCE & MEMORIAL HOSPITAL","365 MONTAUK AVE","","","NEW LONDON","CT","06320","NEW LONDON","8604420711","97","130","Data submitted were based on a sample of cases/patients","88","69","Data submitted were based on a sample of cases/patients"
"241327","SLEEPY EYE MUNICIPAL HOSPITAL","400 FOURTH AVENUE NORTHWEST","","","SLEEPY EYE","MN","56085","BROWN","5077943571","Not Available","Not Available","The number of cases/patients is too few to report","86","14","The number of cases/patients is too few to report"
"371305","JANE PHILLIPS NOWATA HEALTH CENTER","237 SOUTH LOCUST STREET","","","NOWATA","OK","74048","NOWATA","9182733102","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"250141","BAPTIST MEMORIAL HOSPITAL DESOTO","7601 SOUTHCREST PARKWAY","","","SOUTHAVEN","MS","38671","DESOTO","6627724000","99","444","","98","279",""
"050444","MERCY MEDICAL CENTER","333 MERCY AVENUE","","","MERCED","CA","95340","MERCED","2095645000","94","188","Data submitted were based on a sample of cases/patients","98","101","Data submitted were based on a sample of cases/patients"
