Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"050757","ALVARADO HOSPITAL MEDICAL CENTER","6655 ALVARADO ROAD","SAN DIEGO","CA","92120","SAN DIEGO","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2","13"
"050758","MONTCLAIR HOSPITAL MEDICAL CENTER","5000 SAN BERNARDINO ST","MONTCLAIR","CA","91763","SAN BERNARDINO","0 out of 10","4 out of 9","4 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","4 out of 9","4 out of 10","1 out of 10","5 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","4 out of 9","4 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","4 out of 9","4 out of 10","29","15"
"050760","KAISER FOUNDATION HOSPITAL - ANTIOCH","4501 SAND CREEK ROAD","ANTIOCH","CA","94531","CONTRA COSTA","0 out of 10","1 out of 9","1 out of 10","4 out of 10","1 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","2 out of 9","3 out of 10","8 out of 10","6 out of 9","8 out of 10","8 out of 10","5 out of 9","8 out of 10","30","19"
"050761","PROVIDENCE TARZANA MEDICAL CENTER","18321 CLARK STREET","TARZANA","CA","91356","LOS ANGELES","0 out of 10","3 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","19","14"
"050764","SHASTA REGIONAL MEDICAL CENTER","1100 BUTTE ST","REDDING","CA","96001","SHASTA","1 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","3 out of 9","3 out of 10","5 out of 10","6 out of 9","6 out of 10","0 out of 10","2 out of 9","2 out of 10","3 out of 10","6 out of 9","6 out of 10","1 out of 10","3 out of 9","3 out of 10","26","15"
"050765","KAISER FOUNDATION HOSPITAL-MORENO VALLEY","27300 IRIS AVENUE","MORENO VALLEY","CA","92555","RIVERSIDE","0 out of 10","1 out of 9","1 out of 10","1 out of 10","3 out of 9","3 out of 10","4 out of 10","3 out of 9","4 out of 10","2 out of 10","5 out of 9","5 out of 10","2 out of 10","2 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","3 out of 10","4 out of 9","4 out of 10","3 out of 10","3 out of 9","3 out of 10","25","19"
"050766","SUTTER SURGICAL HOSPITAL - NORTH VALLEY","455 PLUMAS BLVD","YUBA CITY","CA","95991","SUTTER","9 out of 10","9 out of 9","9 out of 10","5 out of 10","0 out of 9","5 out of 10","9 out of 10","0 out of 9","9 out of 10","10 out of 10","0 out of 9","10 out of 10","9 out of 10","8 out of 9","9 out of 10","10 out of 10","0 out of 9","10 out of 10","6 out of 10","0 out of 9","6 out of 10","10 out of 10","0 out of 9","10 out of 10","68","20"
"050767","KAISER FOUNDATION HOSPITAL - VACAVILLE","1 QUALITY DRIVE","VACAVILLE","CA","95688","SOLANO","3 out of 10","out of 9","3 out of 10","1 out of 10","out of 9","1 out of 10","4 out of 10","out of 9","4 out of 10","4 out of 10","out of 9","4 out of 10","2 out of 10","out of 9","2 out of 10","1 out of 10","out of 9","1 out of 10","4 out of 10","out of 9","4 out of 10","8 out of 10","out of 9","8 out of 10","27","20"
"050769","HOAG ORTHOPEDIC INSTITUTE","16250 SAND CANYON AVENUE","IRVINE","CA","92618","ORANGE","8 out of 10","out of 9","8 out of 10","5 out of 10","out of 9","5 out of 10","8 out of 10","out of 9","8 out of 10","9 out of 10","out of 9","9 out of 10","7 out of 10","out of 9","7 out of 10","7 out of 10","out of 9","7 out of 10","10 out of 10","out of 9","10 out of 10","10 out of 10","out of 9","10 out of 10","64","20"
"050772","KAISER FOUNDATION HOSPITAL - ROSEVILLE","1600 EUREKA ROAD","ROSEVILLE","CA","95661","PLACER","0 out of 10","out of 9","0 out of 10","0 out of 10","out of 9","0 out of 10","2 out of 10","out of 9","2 out of 10","4 out of 10","out of 9","4 out of 10","3 out of 10","out of 9","3 out of 10","0 out of 10","out of 9","0 out of 10","4 out of 10","out of 9","4 out of 10","6 out of 10","out of 9","6 out of 10","19","17"
"060001","NORTH COLORADO MEDICAL CENTER","1801 16TH STREET","GREELEY","CO","80631","WELD","6 out of 10","2 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","2 out of 9","4 out of 10","6 out of 10","6 out of 9","6 out of 10","6 out of 10","3 out of 9","6 out of 10","9 out of 10","8 out of 9","9 out of 10","6 out of 10","4 out of 9","6 out of 10","41","18"
"060003","LONGMONT UNITED HOSPITAL","1950 MOUNTAIN VIEW AVENUE","LONGMONT","CO","80501","BOULDER","3 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","3 out of 9","6 out of 10","4 out of 10","4 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","4 out of 10","1 out of 9","4 out of 10","9 out of 10","7 out of 9","9 out of 10","7 out of 10","6 out of 9","7 out of 10","35","17"
"060004","PLATTE VALLEY MEDICAL CENTER","1600 PRAIRIE CENTER PARKWAY","BRIGHTON","CO","80601","ADAMS","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","2 out of 9","2 out of 10","4 out of 10","2 out of 9","4 out of 10","6 out of 10","0 out of 9","6 out of 10","9 out of 10","9 out of 9","9 out of 10","4 out of 10","0 out of 9","4 out of 10","29","20"
"060006","MONTROSE MEMORIAL HOSPITAL","800 S 3RD ST","MONTROSE","CO","81401","MONTROSE","5 out of 10","4 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","8 out of 10","0 out of 9","8 out of 10","5 out of 10","0 out of 9","5 out of 10","7 out of 10","7 out of 9","7 out of 10","9 out of 10","5 out of 9","9 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","2 out of 9","4 out of 10","41","20"
"060008","SAN LUIS VALLEY REGIONAL MEDICAL CENTER","106 BLANCA AVE","ALAMOSA","CO","81101","ALAMOSA","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2","10"
"060009","EXEMPLA LUTHERAN MEDICAL CENTER","8300 W 38TH AVE","WHEAT RIDGE","CO","80033","JEFFERSON","3 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","3 out of 10","3 out of 9","3 out of 10","4 out of 10","5 out of 9","5 out of 10","6 out of 10","7 out of 9","7 out of 10","2 out of 10","3 out of 9","3 out of 10","9 out of 10","9 out of 9","9 out of 10","6 out of 10","5 out of 9","6 out of 10","38","19"
"060010","POUDRE VALLEY HOSPITAL","1024 S LEMAY AVE","FORT COLLINS","CO","80524","LARIMER","5 out of 10","5 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","7 out of 10","5 out of 9","7 out of 10","5 out of 10","4 out of 9","5 out of 10","5 out of 10","4 out of 9","5 out of 10","6 out of 10","3 out of 9","6 out of 10","8 out of 10","6 out of 9","8 out of 10","8 out of 10","5 out of 9","8 out of 10","47","19"
"060011","DENVER HEALTH MEDICAL CENTER","777 BANNOCK ST","DENVER","CO","80204","DENVER","0 out of 10","2 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","4 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","17","18"
"060012","CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER","1008 MINNEQUA AVE","PUEBLO","CO","81004","PUEBLO","3 out of 10","4 out of 9","4 out of 10","1 out of 10","3 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","3 out of 10","4 out of 9","4 out of 10","4 out of 10","4 out of 9","4 out of 10","2 out of 10","3 out of 9","3 out of 10","5 out of 10","2 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","30","20"
"060013","MERCY REGIONAL MEDICAL CENTER","1010 THREE SPRINGS BLVD","DURANGO","CO","81301","LA PLATA","4 out of 10","0 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","2 out of 9","5 out of 10","6 out of 10","5 out of 9","6 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","8 out of 10","5 out of 9","8 out of 10","8 out of 10","2 out of 9","8 out of 10","39","19"
"060014","PRESBYTERIAN/ST LUKE'S MEDICAL CENTER","1719 E 19TH AVE","DENVER","CO","80218","DENVER","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","2 out of 9","2 out of 10","6 out of 10","6 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","7 out of 10","7 out of 9","7 out of 10","2 out of 10","3 out of 9","3 out of 10","22","18"
"060015","CENTURA HEALTH-ST ANTHONY HOSPITAL","11600 WEST 2ND PLACE","LAKEWOOD","CO","80228","JEFFERSON","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","4 out of 9","4 out of 10","1 out of 10","2 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","8 out of 10","4 out of 9","8 out of 10","6 out of 10","6 out of 9","6 out of 10","28","17"
"060016","CENTURA HEALTH-ST THOMAS MORE HOSPITAL","1338 PHAY AVE","CANON CITY","CO","81212","FREMONT","3 out of 10","6 out of 9","6 out of 10","2 out of 10","3 out of 9","3 out of 10","5 out of 10","5 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","7 out of 10","7 out of 9","7 out of 10","3 out of 10","4 out of 9","4 out of 10","8 out of 10","7 out of 9","8 out of 10","1 out of 10","4 out of 9","4 out of 10","40","19"
"060020","PARKVIEW MEDICAL CENTER INC","400 W 16TH STREET","PUEBLO","CO","81003","PUEBLO","6 out of 10","6 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","1 out of 9","4 out of 10","4 out of 10","1 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","5 out of 10","5 out of 9","5 out of 10","2 out of 10","3 out of 9","3 out of 10","6 out of 10","6 out of 9","6 out of 10","33","18"
"060022","UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL","1400 E BOULDER ST","COLORADO SPRINGS","CO","80909","EL PASO","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","4 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","13","17"
"060023","ST MARYS HOSPITAL AND MEDICAL CENTER","2635 N 7TH STREET","GRAND JUNCTION","CO","81502","MESA","0 out of 10","3 out of 9","3 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","5 out of 9","6 out of 10","3 out of 10","4 out of 9","4 out of 10","19","16"
"060024","UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT","12605 EAST 16TH AVENUE","AURORA","CO","80045","ADAMS","4 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","2 out of 9","2 out of 10","3 out of 10","4 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","6 out of 10","0 out of 9","6 out of 10","27","19"
"060027","BOULDER COMMUNITY HOSPITAL","1100 BALSAM AVENUE","BOULDER","CO","80304","BOULDER","2 out of 10","3 out of 9","3 out of 10","1 out of 10","4 out of 9","4 out of 10","3 out of 10","3 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","6 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","2 out of 9","3 out of 10","5 out of 10","1 out of 9","5 out of 10","27","20"
"060028","EXEMPLA SAINT JOSEPH HOSPITAL","1835 FRANKLIN ST","DENVER","CO","80218","DENVER","2 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","6 out of 10","6 out of 9","6 out of 10","1 out of 10","1 out of 9","1 out of 10","9 out of 10","9 out of 9","9 out of 10","0 out of 10","2 out of 9","2 out of 10","7 out of 10","0 out of 9","7 out of 10","4 out of 10","5 out of 9","5 out of 10","35","19"
"060030","MCKEE MEDICAL CENTER","2000 BOISE AVE","LOVELAND","CO","80538","LARIMER","6 out of 10","0 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","7 out of 10","0 out of 9","7 out of 10","8 out of 10","0 out of 9","8 out of 10","8 out of 10","0 out of 9","8 out of 10","6 out of 10","0 out of 9","6 out of 10","9 out of 10","9 out of 9","9 out of 10","8 out of 10","4 out of 9","8 out of 10","53","20"
"060031","CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES","2222 N NEVADA AVE","COLORADO SPRINGS","CO","80907","EL PASO","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","5 out of 10","4 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","5 out of 10","0 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","21","19"
"060032","ROSE MEDICAL CENTER","4567 E 9TH AVENUE","DENVER","CO","80220","DENVER","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","2 out of 9","4 out of 10","8 out of 10","8 out of 9","8 out of 10","5 out of 10","2 out of 9","5 out of 10","24","19"
"060034","SWEDISH MEDICAL CENTER","501 E HAMPDEN AVENUE","ENGLEWOOD","CO","80113","ARAPAHOE","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","1 out of 9","1 out of 10","1 out of 10","1 out of 9","1 out of 10","2 out of 10","2 out of 9","2 out of 10","5 out of 10","2 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","16","18"
"060036","ARKANSAS VALLEY REGIONAL MEDICAL CENTER","1100 CARSON AVENUE","LA JUNTA","CO","81050","OTERO","2 out of 10","2 out of 9","2 out of 10","8 out of 10","7 out of 9","8 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","3 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","4 out of 10","3 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","25","14"
"060044","COLORADO PLAINS MEDICAL CENTER","1000 LINCOLN ST","FORT MORGAN","CO","80701","MORGAN","7 out of 10","6 out of 9","7 out of 10","3 out of 10","2 out of 9","3 out of 10","7 out of 10","7 out of 9","7 out of 10","6 out of 10","3 out of 9","6 out of 10","5 out of 10","5 out of 9","5 out of 10","7 out of 10","7 out of 9","7 out of 10","6 out of 10","5 out of 9","6 out of 10","3 out of 10","3 out of 9","3 out of 10","44","20"
"060049","YAMPA VALLEY MEDICAL CENTER","1024 CENTRAL PARK DR","STEAMBOAT SPRINGS","CO","80487","ROUTT","3 out of 10","2 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","5 out of 10","3 out of 9","5 out of 10","6 out of 10","0 out of 9","6 out of 10","7 out of 10","1 out of 9","7 out of 10","5 out of 10","0 out of 9","5 out of 10","10 out of 10","9 out of 9","10 out of 10","9 out of 10","7 out of 9","9 out of 10","50","20"
"060054","COMMUNITY HOSPITAL","2021 N 12TH ST","GRAND JUNCTION","CO","81501","MESA","4 out of 10","2 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","5 out of 10","1 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","19","18"
"060064","CENTURA HEALTH-PORTER ADVENTIST HOSPITAL","2525 S DOWNING ST","DENVER","CO","80210","DENVER","1 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","3 out of 10","1 out of 9","3 out of 10","7 out of 10","3 out of 9","7 out of 10","4 out of 10","2 out of 9","4 out of 10","24","19"
"060065","NORTH SUBURBAN MEDICAL CENTER","9191 GRANT ST","THORNTON","CO","80229","ADAMS","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","4","16"
"060071","DELTA COUNTY MEMORIAL HOSPITAL","1501 E 3RD STREET","DELTA","CO","81416","DELTA","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","1 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","3 out of 10","1 out of 9","3 out of 10","3 out of 10","1 out of 9","3 out of 10","24","20"
"060075","VALLEY VIEW HOSPITAL ASSOCIATION","1906 BLAKE AVE","GLENWOOD SPRINGS","CO","81601","GARFIELD","3 out of 10","0 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","7 out of 10","4 out of 9","7 out of 10","7 out of 10","1 out of 9","7 out of 10","4 out of 10","0 out of 9","4 out of 10","8 out of 10","2 out of 9","8 out of 10","7 out of 10","0 out of 9","7 out of 10","43","20"
"060076","STERLING REGIONAL MEDCENTER","615 FAIRHURST ST","STERLING","CO","80751","LOGAN","8 out of 10","7 out of 9","8 out of 10","6 out of 10","5 out of 9","6 out of 10","8 out of 10","7 out of 9","8 out of 10","1 out of 10","0 out of 9","1 out of 10","10 out of 10","9 out of 9","10 out of 10","7 out of 10","2 out of 9","7 out of 10","9 out of 10","8 out of 9","9 out of 10","2 out of 10","1 out of 9","2 out of 10","51","20"
"060096","VAIL VALLEY MEDICAL CENTER","181 W MEADOW DRIVE","VAIL","CO","81657","EAGLE","2 out of 10","3 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","1 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","6 out of 10","4 out of 9","6 out of 10","4 out of 10","0 out of 9","4 out of 10","6 out of 10","1 out of 9","6 out of 10","31","20"
"060100","MEDICAL CENTER OF AURORA, THE","1501 S POTOMAC ST","AURORA","CO","80012","ARAPAHOE","2 out of 10","1 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","2 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","2 out of 10","1 out of 9","2 out of 10","15","16"
"060103","CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL","100 HEALTH PARK DRIVE","LOUISVILLE","CO","80027","BOULDER","5 out of 10","2 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","5 out of 10","4 out of 9","5 out of 10","8 out of 10","2 out of 9","8 out of 10","5 out of 10","0 out of 9","5 out of 10","10 out of 10","9 out of 9","10 out of 10","9 out of 10","0 out of 9","9 out of 10","50","20"
"060104","CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL","2551 W 84TH AVENUE","WESTMINSTER","CO","80031","JEFFERSON","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","3 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","9","16"
"060112","SKY RIDGE MEDICAL CENTER","10101 RIDGE GATE PARKWAY","LONE TREE","CO","80124","ARAPAHOE","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","2 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","5 out of 10","5 out of 9","5 out of 10","5 out of 10","4 out of 9","5 out of 10","7 out of 10","5 out of 9","7 out of 10","5 out of 10","1 out of 9","5 out of 10","28","18"
"060113","CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL","7700 S BROADWAY","LITTLETON","CO","80122","ARAPAHOE","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","17","17"
"060114","PARKER ADVENTIST HOSPITAL","9395 CROWN CREST BLVD","PARKER","CO","80138","DOUGLAS","2 out of 10","2 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","9 out of 10","5 out of 9","9 out of 10","5 out of 10","0 out of 9","5 out of 10","30","20"
"060116","EXEMPLA GOOD SAMARITAN MEDICAL CENTER LLC","200 EXEMPLA CIRCLE","LAFAYETTE","CO","80026","BOULDER","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","0 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","6 out of 10","0 out of 9","6 out of 10","7 out of 10","0 out of 9","7 out of 10","28","20"
"060117","ANIMAS SURGICAL HOSPITAL, LLC","575 RIVERGATE LANE","DURANGO","CO","81301","LA PLATA","10 out of 10","0 out of 9","10 out of 10","7 out of 10","0 out of 9","7 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","77","20"
"060118","ST ANTHONY SUMMIT MEDICAL CENTER","340 PEAK ONE DRIVE","FRISCO","CO","80443","SUMMIT","7 out of 10","4 out of 9","7 out of 10","1 out of 10","0 out of 9","1 out of 10","7 out of 10","0 out of 9","7 out of 10","4 out of 10","0 out of 9","4 out of 10","6 out of 10","2 out of 9","6 out of 10","9 out of 10","1 out of 9","9 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","54","20"
"060119","MEDICAL CENTER OF THE ROCKIES","2500 ROCKY MOUNTAIN AVENUE","LOVELAND","CO","80538","LARIMER","6 out of 10","1 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","8 out of 10","0 out of 9","8 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","47","19"
"060124","ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS","11650 W 2ND PLACE","LAKEWOOD","CO","80228","JEFFERSON","8 out of 10","out of 9","8 out of 10","4 out of 10","out of 9","4 out of 10","3 out of 10","out of 9","3 out of 10","4 out of 10","out of 9","4 out of 10","9 out of 10","out of 9","9 out of 10","9 out of 10","out of 9","9 out of 10","10 out of 10","out of 9","10 out of 10","10 out of 10","out of 9","10 out of 10","57","20"
"070001","HOSPITAL OF ST RAPHAEL","1450 CHAPEL ST","NEW HAVEN","CT","06511","NEW HAVEN","3 out of 10","2 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","2 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","5 out of 10","4 out of 9","5 out of 10","1 out of 10","1 out of 9","1 out of 10","17","15"
"070002","ST FRANCIS HOSPITAL & MEDICAL CENTER","114 WOODLAND STREET","HARTFORD","CT","06105","HARTFORD","1 out of 10","3 out of 9","3 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","4 out of 10","3 out of 9","4 out of 10","2 out of 10","3 out of 9","3 out of 10","21","17"
"070003","DAY KIMBALL HOSPITAL","320 POMFRET STREET","PUTNAM","CT","06260","WINDHAM","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","1 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","10","18"
