Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,HF-1 Performance Rate,HF-1 Achievement Points,HF-1 Improvement Points,HF-1 Measure Score,HF Condition/Procedure Score
"050516","MERCY SAN JUAN MEDICAL CENTER","6501 COYLE AVE","CARMICHAEL","CA","95608","SACRAMENTO","0.9856","8 out of 10","0 out of 9","8 out of 10","8"
"050517","VICTOR VALLEY COMMUNITY HOSPITAL","15248 11TH ST","VICTORVILLE","CA","92392","SAN BERNARDINO","0.5417","0 out of 10","0 out of 9","0 out of 10","0"
"050523","SUTTER DELTA MEDICAL CENTER","3901 LONE TREE WAY","ANTIOCH","CA","94509","CONTRA COSTA","0.9937","9 out of 10","0 out of 9","9 out of 10","9"
"050526","HUNTINGTON BEACH HOSPITAL","17772 BEACH BLVD","HUNTINGTON BEACH","CA","92647","ORANGE","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050528","MEMORIAL HOSPITAL LOS BANOS","520 WEST I ST","LOS BANOS","CA","93635","MERCED","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050531","BELLFLOWER MEDICAL CENTER","9542 E ARTESIA BLVD","BELLFLOWER","CA","90706","LOS ANGELES","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050534","JOHN F KENNEDY MEMORIAL HOSPITAL, INC","47-111 MONROE STREET","INDIO","CA","92201","RIVERSIDE","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050537","SUTTER DAVIS HOSPITAL","2000 SUTTER PLACE","DAVIS","CA","95616","YOLO","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050541","KAISER FOUNDATION HOSPITAL - REDWOOD CITY","1150 VETERANS BOULEVARD","REDWOOD CITY","CA","94063","SAN MATEO","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050549","LOS ROBLES HOSPITAL & MEDICAL CENTER","215 W JANSS RD","THOUSAND OAKS","CA","91360","VENTURA","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050551","LOS ALAMITOS MEDICAL CENTER","3751 KATELLA AVENUE","LOS ALAMITOS","CA","90720","ORANGE","0.9372","3 out of 10","3 out of 9","3 out of 10","3"
"050557","MEMORIAL  MEDICAL CENTER","1700 COFFEE RD","MODESTO","CA","95355","STANISLAUS","0.9800","8 out of 10","7 out of 9","8 out of 10","8"
"050561","KAISER FOUNDATION HOSPITAL - WEST LA","6041 CADILLAC AVE","LOS ANGELES","CA","90034","LOS ANGELES","0.9864","8 out of 10","4 out of 9","8 out of 10","8"
"050567","MISSION HOSPITAL REGIONAL MED CENTER","27700 MEDICAL CENTER RD","MISSION VIEJO","CA","92691","ORANGE","0.8326","0 out of 10","0 out of 9","0 out of 10","0"
"050568","MADERA COMMUNITY HOSPITAL","1250 E ALMOND AVE","MADERA","CA","93637","MADERA","0.9767","7 out of 10","8 out of 9","8 out of 10","8"
"050570","FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER","17100 EUCLID STREET","FOUNTAIN VALLEY","CA","92708","ORANGE","0.9842","8 out of 10","4 out of 9","8 out of 10","8"
"050573","EISENHOWER MEDICAL CENTER","39-000 BOB HOPE DRIVE","RANCHO MIRAGE","CA","92270","RIVERSIDE","0.8774","0 out of 10","0 out of 9","0 out of 10","0"
"050580","LA PALMA INTERCOMMUNITY HOSPITAL","7901 WALKER STREET","LA PALMA","CA","90623","ORANGE","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050581","LAKEWOOD REGIONAL MEDICAL CENTER","3700 E SOUTH ST","LAKEWOOD","CA","90712","LOS ANGELES","0.9912","9 out of 10","0 out of 9","9 out of 10","9"
"050586","CHINO VALLEY MEDICAL CENTER","5451 WALNUT AVE","CHINO","CA","91710","SAN BERNARDINO","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050588","SAN DIMAS COMMUNITY HOSPITAL","1350 W COVINA BLVD","SAN DIMAS","CA","91773","LOS ANGELES","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050589","PLACENTIA LINDA HOSPITAL","1301 N ROSE DRIVE","PLACENTIA","CA","92870","ORANGE","0.9355","3 out of 10","0 out of 9","3 out of 10","3"
"050590","METHODIST HOSPITAL OF SACRAMENTO","7500 HOSPITAL DRIVE","SACRAMENTO","CA","95823","SACRAMENTO","0.9277","2 out of 10","0 out of 9","2 out of 10","2"
"050597","FOOTHILL PRESBYTERIAN HOSPITAL","250 S GRAND AVE","GLENDORA","CA","91740","LOS ANGELES","0.8202","0 out of 10","3 out of 9","3 out of 10","3"
"050599","UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","2315 STOCKTON BOULEVARD","SACRAMENTO","CA","95817","SACRAMENTO","0.9310","3 out of 10","8 out of 9","8 out of 10","8"
"050603","SADDLEBACK MEMORIAL MEDICAL CENTER","24451 HEALTH CENTER DRIVE","LAGUNA HILLS","CA","92653","ORANGE","0.9026","0 out of 10","0 out of 9","0 out of 10","0"
"050604","KAISER FOUNDATION HOSPITAL-SAN JOSE","250 HOSPITAL PARKWAY","SAN JOSE","CA","95119","SANTA CLARA","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050608","DELANO REGIONAL MEDICAL CENTER","1401 GARCES HIGHWAY","DELANO","CA","93215","KERN","0.4773","0 out of 10","4 out of 9","4 out of 10","4"
"050609","KAISER FOUNDATION HOSPITAL ANAHEIM","441 N LAKEVIEW AVENUE","ANAHEIM","CA","92807","ORANGE","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050616","ST JOHNS PLEASANT VALLEY HOSPITAL","2309 ANTONIO AVE","CAMARILLO","CA","93010","VENTURA","0.9310","3 out of 10","0 out of 9","3 out of 10","3"
"050624","HENRY MAYO NEWHALL MEMORIAL HOSPITAL","23845  MCBEAN PKWY","VALENCIA","CA","91355","LOS ANGELES","0.9943","9 out of 10","6 out of 9","9 out of 10","9"
"050625","CEDARS-SINAI MEDICAL CENTER","8700 BEVERLY BLVD","LOS ANGELES","CA","90048","LOS ANGELES","0.9506","5 out of 10","3 out of 9","5 out of 10","5"
"050633","TWIN CITIES COMMUNITY HOSPITAL","1100 LAS TABLAS RD","TEMPLETON","CA","93465","SAN LUIS OBISPO","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050636","POMERADO HOSPITAL","15615 POMERADO ROAD","POWAY","CA","92064","SAN DIEGO","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050641","EAST LOS ANGELES DOCTORS HOSPITAL","4060 WHITTIER BLVD","LOS ANGELES","CA","90023","LOS ANGELES","0.9818","8 out of 10","0 out of 9","8 out of 10","8"
"050644","LOS ANGELES METROPOLITAN MEDICAL CTR","2231 S WESTERN AVE","LOS ANGELES","CA","90018","LOS ANGELES","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050674","KAISER FOUNDATION HOSP SO SACRAMENTO","6600 BRUCEVILLE ROAD","SACRAMENTO","CA","95823","SACRAMENTO","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050677","KAISER FOUNDATION HOSPITAL - WOODLAND HILLS","5601 DE SOTO","WOODLAND HILLS","CA","91367","LOS ANGELES","0.9716","7 out of 10","0 out of 9","7 out of 10","7"
"050678","ORANGE COAST MEMORIAL MEDICAL CENTER","9920 TALBERT AVENUE","FOUNTAIN VALLEY","CA","92708","ORANGE","0.9458","4 out of 10","7 out of 9","7 out of 10","7"
"050684","MENIFEE VALLEY MEDICAL CENTER","28400 MCCALL B0ULEVARD","SUN CITY","CA","92585","RIVERSIDE","0.9608","6 out of 10","9 out of 9","9 out of 10","9"
"050686","KAISER FOUNDATION HOSPITAL, RIVERSIDE","10800 MAGNOLIA AVENUE","RIVERSIDE","CA","92505","RIVERSIDE","0.9932","9 out of 10","0 out of 9","9 out of 10","9"
"050688","SAINT LOUISE REGIONAL HOSPITAL","9400 NO NAME UNO","GILROY","CA","95020","SANTA CLARA","0.9437","4 out of 10","0 out of 9","4 out of 10","4"
"050689","SAN RAMON REGIONAL MEDICAL CTR","6001 NORRIS CANYON ROAD","SAN RAMON","CA","94583","CONTRA COSTA","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050690","KAISER FOUNDATION HOSPITAL-SANTA ROSA","401 BICENTENNIAL WAY","SANTA ROSA","CA","95403","SONOMA","0.9753","7 out of 10","7 out of 9","7 out of 10","7"
"050696","KECK HOSPITAL OF USC","1500 SAN PABLO ST","LOS ANGELES","CA","90033","LOS ANGELES","0.9853","8 out of 10","0 out of 9","8 out of 10","8"
"050697","PATIENTS' HOSPITAL OF REDDING","2900 EUREKA WAY","REDDING","CA","96001","SHASTA","N/A","N/A","N/A","N/A","N/A"
"050701","SOUTHWEST HEALTHCARE SYSTEM","25500 MEDICAL CENTER DRIVE","MURRIETA","CA","92562","RIVERSIDE","0.9598","6 out of 10","4 out of 9","6 out of 10","6"
"050704","MISSION COMMUNITY HOSPITAL - PANORAMA","14850 ROSCOE BLVD","PANORAMA CITY","CA","91402","LOS ANGELES","0.9762","7 out of 10","9 out of 9","9 out of 10","9"
"050708","FRESNO SURGICAL HOSPITAL","6125 NORTH FRESNO ST","FRESNO","CA","93710","FRESNO","N/A","N/A","N/A","N/A","N/A"
"050709","DESERT VALLEY HOSPITAL","16850 BEAR VALLEY RD","VICTORVILLE","CA","92395","SAN BERNARDINO","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050710","KAISER FOUNDATION HOSPITAL - FRESNO","7300 NORTH FRESNO ST","FRESNO","CA","93720","FRESNO","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050714","SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ","2900 CHANTICLEER AVENUE","SANTA CRUZ","CA","95065","SANTA CRUZ","N/A","N/A","N/A","N/A","N/A"
"050717","LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR","7601 EAST IMPERIAL HIGHWAY","DOWNEY","CA","90242","ORANGE","N/A","N/A","N/A","N/A","N/A"
"050723","KAISER FOUNDATION HOSPITAL - BALDWIN PARK","1011 BALDWIN PARK BLVD","BALDWIN PARK","CA","91706","LOS ANGELES","0.9835","8 out of 10","5 out of 9","8 out of 10","8"
"050724","BAKERSFIELD HEART HOSPITAL","3001 SILLECT AVENUE","BAKERSFIELD","CA","93308","KERN","0.8780","0 out of 10","0 out of 9","0 out of 10","0"
"050726","STANISLAUS SURGICAL HOSPITAL","1421 OAKDALE ROAD","MODESTO","CA","95355","STANISLAUS","N/A","N/A","N/A","N/A","N/A"
"050727","COMMUNITY HOSPITAL OF LONG BEACH","1720 TERMINO AVENUE","LONG BEACH","CA","90804","LOS ANGELES","0.8485","0 out of 10","0 out of 9","0 out of 10","0"
"050732","FRESNO HEART AND SURGICAL HOSPITAL","15 EAST AUDUBON DRIVE","FRESNO","CA","93720","FRESNO","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050735","WHITTIER HOSPITAL MEDICAL CENTER","9080 COLIMA RD","WHITTIER","CA","90605","LOS ANGELES","0.9615","6 out of 10","6 out of 9","6 out of 10","6"
"050736","MONTEREY PARK HOSPITAL","900 S ATLANTIC BLVD","MONTEREY PARK","CA","91754","LOS ANGELES","0.8056","0 out of 10","0 out of 9","0 out of 10","0"
"050737","GARFIELD MEDICAL CENTER","525 N GARFIELD AVE","MONTEREY PARK","CA","91754","LOS ANGELES","0.9516","5 out of 10","5 out of 9","5 out of 10","5"
"050738","GREATER EL MONTE COMMUNITY HOSPITAL","1701 SANTA ANITA AVE","SOUTH EL MONTE","CA","91733","LOS ANGELES","0.6739","0 out of 10","0 out of 9","0 out of 10","0"
"050739","CENTINELA HOSPITAL MEDICAL CENTER","555 EAST HARDY STREET","INGLEWOOD","CA","90301","LOS ANGELES","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050740","MARINA DEL REY HOSPITAL","4650 LINCOLN BLVD","MARINA DEL REY","CA","90291","LOS ANGELES","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050742","OLYMPIA MEDICAL CENTER","5900 WEST OLYMPIC BOULEVARD","LOS ANGELES","CA","90036","LOS ANGELES","0.9773","7 out of 10","6 out of 9","7 out of 10","7"
"050744","WESTERN MEDICAL CENTER HOSP ANAHEIM","1025 S ANAHEIM BLVD","ANAHEIM","CA","92805","ORANGE","0.9600","6 out of 10","7 out of 9","7 out of 10","7"
"050745","CHAPMAN MEDICAL CENTER","2601 E CHAPMAN AVE","ORANGE","CA","92869","ORANGE","0.9444","4 out of 10","7 out of 9","7 out of 10","7"
"050746","WESTERN MEDICAL CENTER SANTA ANA","1001 NORTH TUSTIN AVENUE","SANTA ANA","CA","92705","ORANGE","0.8571","0 out of 10","0 out of 9","0 out of 10","0"
"050747","COASTAL COMMUNITIES HOSPITAL","2701 S BRISTOL ST","SANTA ANA","CA","92704","ORANGE","0.8525","0 out of 10","7 out of 9","7 out of 10","7"
"050748","KAISER FOUNDATION HOSPITAL MANTECA","1777 WEST YOSEMITE AVE","MANTECA","CA","95337","SAN JOAQUIN","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050749","THOUSAND OAKS SURGICAL HOSPITAL","401 ROLLING OAKS DR","THOUSAND OAKS","CA","91361","VENTURA","N/A","N/A","N/A","N/A","N/A"
"050752","BROTMAN MEDICAL CENTER","3828 DELMAS TERRACE","CULVER CITY","CA","90231","LOS ANGELES","0.9697","7 out of 10","9 out of 9","9 out of 10","9"
"050755","SHERMAN OAKS HOSPITAL","4929 VAN NUYS BLVD","SHERMAN OAKS","CA","91403","LOS ANGELES","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050757","ALVARADO HOSPITAL MEDICAL CENTER","6655 ALVARADO ROAD","SAN DIEGO","CA","92120","SAN DIEGO","0.9722","7 out of 10","8 out of 9","8 out of 10","8"
"050758","MONTCLAIR HOSPITAL MEDICAL CENTER","5000 SAN BERNARDINO ST","MONTCLAIR","CA","91763","SAN BERNARDINO","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050760","KAISER FOUNDATION HOSPITAL - ANTIOCH","4501 SAND CREEK ROAD","ANTIOCH","CA","94531","CONTRA COSTA","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050761","PROVIDENCE TARZANA MEDICAL CENTER","18321 CLARK STREET","TARZANA","CA","91356","LOS ANGELES","0.9158","1 out of 10","0 out of 9","1 out of 10","1"
"050764","SHASTA REGIONAL MEDICAL CENTER","1100 BUTTE ST","REDDING","CA","96001","SHASTA","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"050765","KAISER FOUNDATION HOSPITAL-MORENO VALLEY","27300 IRIS AVENUE","MORENO VALLEY","CA","92555","RIVERSIDE","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"050766","SUTTER SURGICAL HOSPITAL - NORTH VALLEY","455 PLUMAS BLVD","YUBA CITY","CA","95991","SUTTER","N/A","N/A","N/A","N/A","N/A"
"050767","KAISER FOUNDATION HOSPITAL - VACAVILLE","1 QUALITY DRIVE","VACAVILLE","CA","95688","SOLANO","1.0000","10 out of 10","N/A","10 out of 10","10"
"050769","HOAG ORTHOPEDIC INSTITUTE","16250 SAND CANYON AVENUE","IRVINE","CA","92618","ORANGE","N/A","N/A","N/A","N/A","N/A"
"050772","KAISER FOUNDATION HOSPITAL - ROSEVILLE","1600 EUREKA ROAD","ROSEVILLE","CA","95661","PLACER","1.0000","10 out of 10","N/A","10 out of 10","10"
"060001","NORTH COLORADO MEDICAL CENTER","1801 16TH STREET","GREELEY","CO","80631","WELD","0.9916","9 out of 10","8 out of 9","9 out of 10","9"
"060003","LONGMONT UNITED HOSPITAL","1950 MOUNTAIN VIEW AVENUE","LONGMONT","CO","80501","BOULDER","0.9610","6 out of 10","0 out of 9","6 out of 10","6"
"060004","PLATTE VALLEY MEDICAL CENTER","1600 PRAIRIE CENTER PARKWAY","BRIGHTON","CO","80601","ADAMS","0.8043","0 out of 10","0 out of 9","0 out of 10","0"
"060006","MONTROSE MEMORIAL HOSPITAL","800 S 3RD ST","MONTROSE","CO","81401","MONTROSE","0.9706","7 out of 10","7 out of 9","7 out of 10","7"
"060008","SAN LUIS VALLEY REGIONAL MEDICAL CENTER","106 BLANCA AVE","ALAMOSA","CO","81101","ALAMOSA","0.8000","0 out of 10","0 out of 9","0 out of 10","0"
"060009","EXEMPLA LUTHERAN MEDICAL CENTER","8300 W 38TH AVE","WHEAT RIDGE","CO","80033","JEFFERSON","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"060010","POUDRE VALLEY HOSPITAL","1024 S LEMAY AVE","FORT COLLINS","CO","80524","LARIMER","0.9785","7 out of 10","1 out of 9","7 out of 10","7"
"060011","DENVER HEALTH MEDICAL CENTER","777 BANNOCK ST","DENVER","CO","80204","DENVER","0.9128","1 out of 10","5 out of 9","5 out of 10","5"
"060012","CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER","1008 MINNEQUA AVE","PUEBLO","CO","81004","PUEBLO","0.8354","0 out of 10","0 out of 9","0 out of 10","0"
"060013","MERCY REGIONAL MEDICAL CENTER","1010 THREE SPRINGS BLVD","DURANGO","CO","81301","LA PLATA","0.8276","0 out of 10","0 out of 9","0 out of 10","0"
"060014","PRESBYTERIAN/ST LUKE'S MEDICAL CENTER","1719 E 19TH AVE","DENVER","CO","80218","DENVER","0.9836","8 out of 10","4 out of 9","8 out of 10","8"
"060015","CENTURA HEALTH-ST ANTHONY HOSPITAL","11600 WEST 2ND PLACE","LAKEWOOD","CO","80228","JEFFERSON","0.8817","0 out of 10","0 out of 9","0 out of 10","0"
"060016","CENTURA HEALTH-ST THOMAS MORE HOSPITAL","1338 PHAY AVE","CANON CITY","CO","81212","FREMONT","0.8800","0 out of 10","6 out of 9","6 out of 10","6"
"060020","PARKVIEW MEDICAL CENTER INC","400 W 16TH STREET","PUEBLO","CO","81003","PUEBLO","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"060022","UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL","1400 E BOULDER ST","COLORADO SPRINGS","CO","80909","EL PASO","0.9367","3 out of 10","0 out of 9","3 out of 10","3"
"060023","ST MARYS HOSPITAL AND MEDICAL CENTER","2635 N 7TH STREET","GRAND JUNCTION","CO","81502","MESA","0.8902","0 out of 10","1 out of 9","1 out of 10","1"
"060024","UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT","12605 EAST 16TH AVENUE","AURORA","CO","80045","ADAMS","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"060027","BOULDER COMMUNITY HOSPITAL","1100 BALSAM AVENUE","BOULDER","CO","80304","BOULDER","0.6104","0 out of 10","0 out of 9","0 out of 10","0"
"060028","EXEMPLA SAINT JOSEPH HOSPITAL","1835 FRANKLIN ST","DENVER","CO","80218","DENVER","0.9730","7 out of 10","8 out of 9","8 out of 10","8"
"060030","MCKEE MEDICAL CENTER","2000 BOISE AVE","LOVELAND","CO","80538","LARIMER","0.9667","6 out of 10","7 out of 9","7 out of 10","7"
"060031","CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES","2222 N NEVADA AVE","COLORADO SPRINGS","CO","80907","EL PASO","0.8182","0 out of 10","2 out of 9","2 out of 10","2"
"060032","ROSE MEDICAL CENTER","4567 E 9TH AVENUE","DENVER","CO","80220","DENVER","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"060034","SWEDISH MEDICAL CENTER","501 E HAMPDEN AVENUE","ENGLEWOOD","CO","80113","ARAPAHOE","0.9262","2 out of 10","0 out of 9","2 out of 10","2"
"060036","ARKANSAS VALLEY REGIONAL MEDICAL CENTER","1100 CARSON AVENUE","LA JUNTA","CO","81050","OTERO","0.8636","0 out of 10","6 out of 9","6 out of 10","6"
"060044","COLORADO PLAINS MEDICAL CENTER","1000 LINCOLN ST","FORT MORGAN","CO","80701","MORGAN","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"060049","YAMPA VALLEY MEDICAL CENTER","1024 CENTRAL PARK DR","STEAMBOAT SPRINGS","CO","80487","ROUTT","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"060054","COMMUNITY HOSPITAL","2021 N 12TH ST","GRAND JUNCTION","CO","81501","MESA","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"060064","CENTURA HEALTH-PORTER ADVENTIST HOSPITAL","2525 S DOWNING ST","DENVER","CO","80210","DENVER","0.8800","0 out of 10","0 out of 9","0 out of 10","0"
"060065","NORTH SUBURBAN MEDICAL CENTER","9191 GRANT ST","THORNTON","CO","80229","ADAMS","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"060071","DELTA COUNTY MEMORIAL HOSPITAL","1501 E 3RD STREET","DELTA","CO","81416","DELTA","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"060075","VALLEY VIEW HOSPITAL ASSOCIATION","1906 BLAKE AVE","GLENWOOD SPRINGS","CO","81601","GARFIELD","0.9474","4 out of 10","N/A","4 out of 10","4"
"060076","STERLING REGIONAL MEDCENTER","615 FAIRHURST ST","STERLING","CO","80751","LOGAN","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"060096","VAIL VALLEY MEDICAL CENTER","181 W MEADOW DRIVE","VAIL","CO","81657","EAGLE","N/A","N/A","N/A","N/A","N/A"
"060100","MEDICAL CENTER OF AURORA, THE","1501 S POTOMAC ST","AURORA","CO","80012","ARAPAHOE","0.9621","6 out of 10","7 out of 9","7 out of 10","7"
"060103","CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL","100 HEALTH PARK DRIVE","LOUISVILLE","CO","80027","BOULDER","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"060104","CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL","2551 W 84TH AVENUE","WESTMINSTER","CO","80031","JEFFERSON","0.8485","0 out of 10","0 out of 9","0 out of 10","0"
"060112","SKY RIDGE MEDICAL CENTER","10101 RIDGE GATE PARKWAY","LONE TREE","CO","80124","ARAPAHOE","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"060113","CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL","7700 S BROADWAY","LITTLETON","CO","80122","ARAPAHOE","0.9186","2 out of 10","0 out of 9","2 out of 10","2"
"060114","PARKER ADVENTIST HOSPITAL","9395 CROWN CREST BLVD","PARKER","CO","80138","DOUGLAS","0.9512","5 out of 10","3 out of 9","5 out of 10","5"
"060116","EXEMPLA GOOD SAMARITAN MEDICAL CENTER LLC","200 EXEMPLA CIRCLE","LAFAYETTE","CO","80026","BOULDER","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"060117","ANIMAS SURGICAL HOSPITAL, LLC","575 RIVERGATE LANE","DURANGO","CO","81301","LA PLATA","N/A","N/A","N/A","N/A","N/A"
"060118","ST ANTHONY SUMMIT MEDICAL CENTER","340 PEAK ONE DRIVE","FRISCO","CO","80443","SUMMIT","N/A","N/A","N/A","N/A","N/A"
"060119","MEDICAL CENTER OF THE ROCKIES","2500 ROCKY MOUNTAIN AVENUE","LOVELAND","CO","80538","LARIMER","0.9268","2 out of 10","7 out of 9","7 out of 10","7"
"060124","ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS","11650 W 2ND PLACE","LAKEWOOD","CO","80228","JEFFERSON","N/A","N/A","N/A","N/A","N/A"
"070001","HOSPITAL OF ST RAPHAEL","1450 CHAPEL ST","NEW HAVEN","CT","06511","NEW HAVEN","0.9613","6 out of 10","0 out of 9","6 out of 10","6"
"070002","ST FRANCIS HOSPITAL & MEDICAL CENTER","114 WOODLAND STREET","HARTFORD","CT","06105","HARTFORD","0.7925","0 out of 10","3 out of 9","3 out of 10","3"
"070003","DAY KIMBALL HOSPITAL","320 POMFRET STREET","PUTNAM","CT","06260","WINDHAM","0.8833","0 out of 10","4 out of 9","4 out of 10","4"
"070004","SHARON HOSPITAL","50 HOSPITAL HILL ROAD, PO BOX 789","SHARON","CT","06069","LITCHFIELD","0.9000","0 out of 10","2 out of 9","2 out of 10","2"
"070005","WATERBURY HOSPITAL","64 ROBBINS ST","WATERBURY","CT","06721","NEW HAVEN","0.8926","0 out of 10","5 out of 9","5 out of 10","5"
"070006","STAMFORD HOSPITAL","30 SHELBURNE ROAD","STAMFORD","CT","06904","FAIRFIELD","0.9507","5 out of 10","5 out of 9","5 out of 10","5"
"070007","LAWRENCE & MEMORIAL HOSPITAL","365 MONTAUK AVE","NEW LONDON","CT","06320","NEW LONDON","0.9028","0 out of 10","6 out of 9","6 out of 10","6"
"070008","JOHNSON MEMORIAL HOSPITAL","201 CHESTNUT HILL RD","STAFFORD SPRINGS","CT","06076","TOLLAND","0.7200","0 out of 10","0 out of 9","0 out of 10","0"
"070010","BRIDGEPORT HOSPITAL","267 GRANT STREET","BRIDGEPORT","CT","06610","FAIRFIELD","0.9861","8 out of 10","9 out of 9","9 out of 10","9"
"070011","CHARLOTTE HUNGERFORD HOSPITAL","540 LITCHFIELD ST","TORRINGTON","CT","06790","LITCHFIELD","0.8269","0 out of 10","0 out of 9","0 out of 10","0"
"070012","ROCKVILLE GENERAL HOSPITAL","31 UNION ST","ROCKVILLE","CT","06066","TOLLAND","0.9423","4 out of 10","5 out of 9","5 out of 10","5"
"070015","NEW MILFORD HOSPITAL","21 ELM ST","NEW MILFORD","CT","06776","LITCHFIELD","0.9231","2 out of 10","4 out of 9","4 out of 10","4"
"070016","SAINT MARYS HOSPITAL","56 FRANKLIN ST","WATERBURY","CT","06706","NEW HAVEN","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"070017","MIDSTATE MEDICAL CENTER","435 LEWIS AVE","MERIDEN","CT","06450","NEW HAVEN","0.6694","0 out of 10","0 out of 9","0 out of 10","0"
"070018","GREENWICH HOSPITAL ASSOCIATION","5 PERRYRIDGE RD","GREENWICH","CT","06830","FAIRFIELD","0.9035","0 out of 10","0 out of 9","0 out of 10","0"
"070019","MILFORD HOSPITAL, INC","300 SEASIDE AVENUE","MILFORD","CT","06460","NEW HAVEN","0.9239","2 out of 10","1 out of 9","2 out of 10","2"
"070020","MIDDLESEX HOSPITAL","28 CRESCENT ST","MIDDLETOWN","CT","06457","MIDDLESEX","0.9189","2 out of 10","3 out of 9","3 out of 10","3"
"070021","WINDHAM COMM MEM HOSP & HATCH HOSP","112 MANSFIELD AVE","WILLIMANTIC","CT","06226","WINDHAM","0.8143","0 out of 10","1 out of 9","1 out of 10","1"
"070022","YALE-NEW HAVEN HOSPITAL","20 YORK ST","NEW HAVEN","CT","06504","NEW HAVEN","0.8627","0 out of 10","0 out of 9","0 out of 10","0"
"070024","WILLIAM W BACKUS HOSPITAL","326 WASHINGTON ST","NORWICH","CT","06360","NEW LONDON","0.8919","0 out of 10","3 out of 9","3 out of 10","3"
"070025","HARTFORD HOSPITAL","80 SEYMOUR STREET","HARTFORD","CT","06102","HARTFORD","0.8271","0 out of 10","0 out of 9","0 out of 10","0"
"070027","MANCHESTER MEMORIAL HOSPITAL","71 HAYNES ST","MANCHESTER","CT","06040","HARTFORD","0.9390","4 out of 10","5 out of 9","5 out of 10","5"
"070028","ST VINCENT'S MEDICAL CENTER","2800 MAIN ST","BRIDGEPORT","CT","06606","FAIRFIELD","0.9727","7 out of 10","6 out of 9","7 out of 10","7"
"070029","BRISTOL HOSPITAL","BREWSTER RD","BRISTOL","CT","06010","HARTFORD","0.9552","5 out of 10","8 out of 9","8 out of 10","8"
"070031","GRIFFIN HOSPITAL","130 DIVISION ST","DERBY","CT","06418","NEW HAVEN","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"070033","DANBURY HOSPITAL","24 HOSPITAL AVE","DANBURY","CT","06810","FAIRFIELD","0.9449","4 out of 10","7 out of 9","7 out of 10","7"
