"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","AMI-7a Performance Rate","AMI-7a Achievement Points","AMI-7a Improvement Points","AMI-7a Measure Score","AMI-8a Performance Rate","AMI-8a Achievement Points","AMI Condition/Procedure Score","AMI-8a Improvement Points","AMI-8a Measure Score"
400,"050608","DELANO REGIONAL MEDICAL CENTER","1401 GARCES HIGHWAY","DELANO","KERN","CA","93215","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
401,"050609","KAISER FOUNDATION HOSPITAL ANAHEIM","441 N LAKEVIEW AVENUE","ANAHEIM","ORANGE","CA","92807","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
402,"050616","ST JOHNS PLEASANT VALLEY HOSPITAL","2309 ANTONIO AVE","CAMARILLO","VENTURA","CA","93010","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
403,"050624","HENRY MAYO NEWHALL MEMORIAL HOSPITAL","23845  MCBEAN PKWY","VALENCIA","LOS ANGELES","CA","91355","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
404,"050625","CEDARS-SINAI MEDICAL CENTER","8700 BEVERLY BLVD","LOS ANGELES","LOS ANGELES","CA","90048","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
405,"050633","TWIN CITIES COMMUNITY HOSPITAL","1100 LAS TABLAS RD","TEMPLETON","SAN LUIS OBISPO","CA","93465","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
406,"050636","POMERADO HOSPITAL","15615 POMERADO ROAD","POWAY","SAN DIEGO","CA","92064","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
407,"050641","EAST LOS ANGELES DOCTORS HOSPITAL","4060 WHITTIER BLVD","LOS ANGELES","LOS ANGELES","CA","90023","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
408,"050644","LOS ANGELES METROPOLITAN MEDICAL CTR","2231 S WESTERN AVE","LOS ANGELES","LOS ANGELES","CA","90018","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
409,"050674","KAISER FOUNDATION HOSP SO SACRAMENTO","6600 BRUCEVILLE ROAD","SACRAMENTO","SACRAMENTO","CA","95823","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
410,"050677","KAISER FOUNDATION HOSPITAL - WOODLAND HILLS","5601 DE SOTO","WOODLAND HILLS","LOS ANGELES","CA","91367","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
411,"050678","ORANGE COAST MEMORIAL MEDICAL CENTER","9920 TALBERT AVENUE","FOUNTAIN VALLEY","ORANGE","CA","92708","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","N/A","10 out of 10"
412,"050684","MENIFEE VALLEY MEDICAL CENTER","28400 MCCALL B0ULEVARD","SUN CITY","RIVERSIDE","CA","92585","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
413,"050686","KAISER FOUNDATION HOSPITAL, RIVERSIDE","10800 MAGNOLIA AVENUE","RIVERSIDE","RIVERSIDE","CA","92505","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
414,"050688","SAINT LOUISE REGIONAL HOSPITAL","9400 NO NAME UNO","GILROY","SANTA CLARA","CA","95020","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
415,"050689","SAN RAMON REGIONAL MEDICAL CTR","6001 NORRIS CANYON ROAD","SAN RAMON","CONTRA COSTA","CA","94583","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
416,"050690","KAISER FOUNDATION HOSPITAL-SANTA ROSA","401 BICENTENNIAL WAY","SANTA ROSA","SONOMA","CA","95403","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
417,"050696","KECK HOSPITAL OF USC","1500 SAN PABLO ST","LOS ANGELES","LOS ANGELES","CA","90033","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
418,"050697","PATIENTS' HOSPITAL OF REDDING","2900 EUREKA WAY","REDDING","SHASTA","CA","96001","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
419,"050701","SOUTHWEST HEALTHCARE SYSTEM","25500 MEDICAL CENTER DRIVE","MURRIETA","RIVERSIDE","CA","92562","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
420,"050704","MISSION COMMUNITY HOSPITAL - PANORAMA","14850 ROSCOE BLVD","PANORAMA CITY","LOS ANGELES","CA","91402","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
421,"050708","FRESNO SURGICAL HOSPITAL","6125 NORTH FRESNO ST","FRESNO","FRESNO","CA","93710","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
422,"050709","DESERT VALLEY HOSPITAL","16850 BEAR VALLEY RD","VICTORVILLE","SAN BERNARDINO","CA","92395","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
423,"050710","KAISER FOUNDATION HOSPITAL - FRESNO","7300 NORTH FRESNO ST","FRESNO","FRESNO","CA","93720","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
424,"050714","SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ","2900 CHANTICLEER AVENUE","SANTA CRUZ","SANTA CRUZ","CA","95065","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
425,"050717","LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR","7601 EAST IMPERIAL HIGHWAY","DOWNEY","ORANGE","CA","90242","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
426,"050723","KAISER FOUNDATION HOSPITAL - BALDWIN PARK","1011 BALDWIN PARK BLVD","BALDWIN PARK","LOS ANGELES","CA","91706","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
427,"050724","BAKERSFIELD HEART HOSPITAL","3001 SILLECT AVENUE","BAKERSFIELD","KERN","CA","93308","N/A","N/A","N/A","N/A","0.9412","3 out of 10","3","2 out of 9","3 out of 10"
428,"050726","STANISLAUS SURGICAL HOSPITAL","1421 OAKDALE ROAD","MODESTO","STANISLAUS","CA","95355","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
429,"050727","COMMUNITY HOSPITAL OF LONG BEACH","1720 TERMINO AVENUE","LONG BEACH","LOS ANGELES","CA","90804","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
430,"050732","FRESNO HEART AND SURGICAL HOSPITAL","15 EAST AUDUBON DRIVE","FRESNO","FRESNO","CA","93720","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
431,"050735","WHITTIER HOSPITAL MEDICAL CENTER","9080 COLIMA RD","WHITTIER","LOS ANGELES","CA","90605","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
432,"050736","MONTEREY PARK HOSPITAL","900 S ATLANTIC BLVD","MONTEREY PARK","LOS ANGELES","CA","91754","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
433,"050737","GARFIELD MEDICAL CENTER","525 N GARFIELD AVE","MONTEREY PARK","LOS ANGELES","CA","91754","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
434,"050738","GREATER EL MONTE COMMUNITY HOSPITAL","1701 SANTA ANITA AVE","SOUTH EL MONTE","LOS ANGELES","CA","91733","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
435,"050739","CENTINELA HOSPITAL MEDICAL CENTER","555 EAST HARDY STREET","INGLEWOOD","LOS ANGELES","CA","90301","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
436,"050740","MARINA DEL REY HOSPITAL","4650 LINCOLN BLVD","MARINA DEL REY","LOS ANGELES","CA","90291","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
437,"050742","OLYMPIA MEDICAL CENTER","5900 WEST OLYMPIC BOULEVARD","LOS ANGELES","LOS ANGELES","CA","90036","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
438,"050744","WESTERN MEDICAL CENTER HOSP ANAHEIM","1025 S ANAHEIM BLVD","ANAHEIM","ORANGE","CA","92805","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
439,"050745","CHAPMAN MEDICAL CENTER","2601 E CHAPMAN AVE","ORANGE","ORANGE","CA","92869","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
440,"050746","WESTERN MEDICAL CENTER SANTA ANA","1001 NORTH TUSTIN AVENUE","SANTA ANA","ORANGE","CA","92705","N/A","N/A","N/A","N/A","0.9130","0 out of 10","7","7 out of 9","7 out of 10"
441,"050747","COASTAL COMMUNITIES HOSPITAL","2701 S BRISTOL ST","SANTA ANA","ORANGE","CA","92704","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
442,"050748","KAISER FOUNDATION HOSPITAL MANTECA","1777 WEST YOSEMITE AVE","MANTECA","SAN JOAQUIN","CA","95337","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
443,"050749","THOUSAND OAKS SURGICAL HOSPITAL","401 ROLLING OAKS DR","THOUSAND OAKS","VENTURA","CA","91361","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
444,"050752","BROTMAN MEDICAL CENTER","3828 DELMAS TERRACE","CULVER CITY","LOS ANGELES","CA","90231","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
445,"050755","SHERMAN OAKS HOSPITAL","4929 VAN NUYS BLVD","SHERMAN OAKS","LOS ANGELES","CA","91403","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
446,"050757","ALVARADO HOSPITAL MEDICAL CENTER","6655 ALVARADO ROAD","SAN DIEGO","SAN DIEGO","CA","92120","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
447,"050758","MONTCLAIR HOSPITAL MEDICAL CENTER","5000 SAN BERNARDINO ST","MONTCLAIR","SAN BERNARDINO","CA","91763","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
448,"050760","KAISER FOUNDATION HOSPITAL - ANTIOCH","4501 SAND CREEK ROAD","ANTIOCH","CONTRA COSTA","CA","94531","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
449,"050761","PROVIDENCE TARZANA MEDICAL CENTER","18321 CLARK STREET","TARZANA","LOS ANGELES","CA","91356","N/A","N/A","N/A","N/A","0.9412","3 out of 10","7","7 out of 9","7 out of 10"
450,"050764","SHASTA REGIONAL MEDICAL CENTER","1100 BUTTE ST","REDDING","SHASTA","CA","96001","N/A","N/A","N/A","N/A","0.8667","0 out of 10","0","0 out of 9","0 out of 10"
451,"050765","KAISER FOUNDATION HOSPITAL-MORENO VALLEY","27300 IRIS AVENUE","MORENO VALLEY","RIVERSIDE","CA","92555","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
452,"050766","SUTTER SURGICAL HOSPITAL - NORTH VALLEY","455 PLUMAS BLVD","YUBA CITY","SUTTER","CA","95991","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
453,"050767","KAISER FOUNDATION HOSPITAL - VACAVILLE","1 QUALITY DRIVE","VACAVILLE","SOLANO","CA","95688","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
454,"050769","HOAG ORTHOPEDIC INSTITUTE","16250 SAND CANYON AVENUE","IRVINE","ORANGE","CA","92618","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
455,"050772","KAISER FOUNDATION HOSPITAL - ROSEVILLE","1600 EUREKA ROAD","ROSEVILLE","PLACER","CA","95661","N/A","N/A","N/A","N/A","0.9167","0 out of 10","0","N/A","0 out of 10"
456,"060001","NORTH COLORADO MEDICAL CENTER","1801 16TH STREET","GREELEY","WELD","CO","80631","N/A","N/A","N/A","N/A","0.9773","7 out of 10","7","1 out of 9","7 out of 10"
457,"060003","LONGMONT UNITED HOSPITAL","1950 MOUNTAIN VIEW AVENUE","LONGMONT","BOULDER","CO","80501","N/A","N/A","N/A","N/A","0.9643","6 out of 10","6","5 out of 9","6 out of 10"
458,"060004","PLATTE VALLEY MEDICAL CENTER","1600 PRAIRIE CENTER PARKWAY","BRIGHTON","ADAMS","CO","80601","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
459,"060006","MONTROSE MEMORIAL HOSPITAL","800 S 3RD ST","MONTROSE","MONTROSE","CO","81401","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
460,"060008","SAN LUIS VALLEY REGIONAL MEDICAL CENTER","106 BLANCA AVE","ALAMOSA","ALAMOSA","CO","81101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
461,"060009","EXEMPLA LUTHERAN MEDICAL CENTER","8300 W 38TH AVE","WHEAT RIDGE","JEFFERSON","CO","80033","N/A","N/A","N/A","N/A","0.9535","4 out of 10","4","4 out of 9","4 out of 10"
462,"060010","POUDRE VALLEY HOSPITAL","1024 S LEMAY AVE","FORT COLLINS","LARIMER","CO","80524","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
463,"060011","DENVER HEALTH MEDICAL CENTER","777 BANNOCK ST","DENVER","DENVER","CO","80204","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
464,"060012","CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER","1008 MINNEQUA AVE","PUEBLO","PUEBLO","CO","81004","N/A","N/A","N/A","N/A","0.7368","0 out of 10","0","0 out of 9","0 out of 10"
465,"060013","MERCY REGIONAL MEDICAL CENTER","1010 THREE SPRINGS BLVD","DURANGO","LA PLATA","CO","81301","N/A","N/A","N/A","N/A","0.9545","4 out of 10","7","7 out of 9","7 out of 10"
466,"060014","PRESBYTERIAN/ST LUKE'S MEDICAL CENTER","1719 E 19TH AVE","DENVER","DENVER","CO","80218","N/A","N/A","N/A","N/A","0.9412","3 out of 10","3","N/A","3 out of 10"
467,"060015","CENTURA HEALTH-ST ANTHONY HOSPITAL","11600 WEST 2ND PLACE","LAKEWOOD","JEFFERSON","CO","80228","N/A","N/A","N/A","N/A","0.9857","8 out of 10","8","8 out of 9","8 out of 10"
468,"060016","CENTURA HEALTH-ST THOMAS MORE HOSPITAL","1338 PHAY AVE","CANON CITY","FREMONT","CO","81212","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
469,"060020","PARKVIEW MEDICAL CENTER INC","400 W 16TH STREET","PUEBLO","PUEBLO","CO","81003","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
470,"060022","UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL","1400 E BOULDER ST","COLORADO SPRINGS","EL PASO","CO","80909","N/A","N/A","N/A","N/A","0.9516","4 out of 10","5","5 out of 9","5 out of 10"
471,"060023","ST MARYS HOSPITAL AND MEDICAL CENTER","2635 N 7TH STREET","GRAND JUNCTION","MESA","CO","81502","N/A","N/A","N/A","N/A","0.8571","0 out of 10","0","0 out of 9","0 out of 10"
472,"060024","UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT","12605 EAST 16TH AVENUE","AURORA","ADAMS","CO","80045","N/A","N/A","N/A","N/A","0.9412","3 out of 10","7","7 out of 9","7 out of 10"
473,"060027","BOULDER COMMUNITY HOSPITAL","1100 BALSAM AVENUE","BOULDER","BOULDER","CO","80304","N/A","N/A","N/A","N/A","0.9091","0 out of 10","2","2 out of 9","2 out of 10"
474,"060028","EXEMPLA SAINT JOSEPH HOSPITAL","1835 FRANKLIN ST","DENVER","DENVER","CO","80218","N/A","N/A","N/A","N/A","0.8148","0 out of 10","0","0 out of 9","0 out of 10"
475,"060030","MCKEE MEDICAL CENTER","2000 BOISE AVE","LOVELAND","LARIMER","CO","80538","N/A","N/A","N/A","N/A","0.9444","3 out of 10","3","N/A","3 out of 10"
476,"060031","CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES","2222 N NEVADA AVE","COLORADO SPRINGS","EL PASO","CO","80907","N/A","N/A","N/A","N/A","0.9672","6 out of 10","6","5 out of 9","6 out of 10"
477,"060032","ROSE MEDICAL CENTER","4567 E 9TH AVENUE","DENVER","DENVER","CO","80220","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
478,"060034","SWEDISH MEDICAL CENTER","501 E HAMPDEN AVENUE","ENGLEWOOD","ARAPAHOE","CO","80113","N/A","N/A","N/A","N/A","0.9512","4 out of 10","4","0 out of 9","4 out of 10"
479,"060036","ARKANSAS VALLEY REGIONAL MEDICAL CENTER","1100 CARSON AVENUE","LA JUNTA","OTERO","CO","81050","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
480,"060044","COLORADO PLAINS MEDICAL CENTER","1000 LINCOLN ST","FORT MORGAN","MORGAN","CO","80701","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
481,"060049","YAMPA VALLEY MEDICAL CENTER","1024 CENTRAL PARK DR","STEAMBOAT SPRINGS","ROUTT","CO","80487","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
482,"060054","COMMUNITY HOSPITAL","2021 N 12TH ST","GRAND JUNCTION","MESA","CO","81501","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
483,"060064","CENTURA HEALTH-PORTER ADVENTIST HOSPITAL","2525 S DOWNING ST","DENVER","DENVER","CO","80210","N/A","N/A","N/A","N/A","0.8571","0 out of 10","0","0 out of 9","0 out of 10"
484,"060065","NORTH SUBURBAN MEDICAL CENTER","9191 GRANT ST","THORNTON","ADAMS","CO","80229","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
485,"060071","DELTA COUNTY MEMORIAL HOSPITAL","1501 E 3RD STREET","DELTA","DELTA","CO","81416","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
486,"060075","VALLEY VIEW HOSPITAL ASSOCIATION","1906 BLAKE AVE","GLENWOOD SPRINGS","GARFIELD","CO","81601","N/A","N/A","N/A","N/A","0.8333","0 out of 10","0","N/A","0 out of 10"
487,"060076","STERLING REGIONAL MEDCENTER","615 FAIRHURST ST","STERLING","LOGAN","CO","80751","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
488,"060096","VAIL VALLEY MEDICAL CENTER","181 W MEADOW DRIVE","VAIL","EAGLE","CO","81657","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
489,"060100","MEDICAL CENTER OF AURORA, THE","1501 S POTOMAC ST","AURORA","ARAPAHOE","CO","80012","N/A","N/A","N/A","N/A","0.8182","0 out of 10","0","0 out of 9","0 out of 10"
490,"060103","CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL","100 HEALTH PARK DRIVE","LOUISVILLE","BOULDER","CO","80027","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
491,"060104","CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL","2551 W 84TH AVENUE","WESTMINSTER","JEFFERSON","CO","80031","N/A","N/A","N/A","N/A","0.9286","2 out of 10","6","6 out of 9","6 out of 10"
492,"060112","SKY RIDGE MEDICAL CENTER","10101 RIDGE GATE PARKWAY","LONE TREE","ARAPAHOE","CO","80124","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
493,"060113","CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL","7700 S BROADWAY","LITTLETON","ARAPAHOE","CO","80122","N/A","N/A","N/A","N/A","0.9512","4 out of 10","5","5 out of 9","5 out of 10"
494,"060114","PARKER ADVENTIST HOSPITAL","9395 CROWN CREST BLVD","PARKER","DOUGLAS","CO","80138","N/A","N/A","N/A","N/A","0.9565","5 out of 10","5","0 out of 9","5 out of 10"
495,"060116","EXEMPLA GOOD SAMARITAN MEDICAL CENTER LLC","200 EXEMPLA CIRCLE","LAFAYETTE","BOULDER","CO","80026","N/A","N/A","N/A","N/A","0.9706","6 out of 10","8","8 out of 9","8 out of 10"
496,"060117","ANIMAS SURGICAL HOSPITAL, LLC","575 RIVERGATE LANE","DURANGO","LA PLATA","CO","81301","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
497,"060118","ST ANTHONY SUMMIT MEDICAL CENTER","340 PEAK ONE DRIVE","FRISCO","SUMMIT","CO","80443","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
498,"060119","MEDICAL CENTER OF THE ROCKIES","2500 ROCKY MOUNTAIN AVENUE","LOVELAND","LARIMER","CO","80538","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
499,"060124","ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS","11650 W 2ND PLACE","LAKEWOOD","JEFFERSON","CO","80228","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
500,"070001","HOSPITAL OF ST RAPHAEL","1450 CHAPEL ST","NEW HAVEN","NEW HAVEN","CT","06511","N/A","N/A","N/A","N/A","0.8438","0 out of 10","6","6 out of 9","6 out of 10"
501,"070002","ST FRANCIS HOSPITAL & MEDICAL CENTER","114 WOODLAND STREET","HARTFORD","HARTFORD","CT","06105","N/A","N/A","N/A","N/A","0.8913","0 out of 10","0","0 out of 9","0 out of 10"
502,"070003","DAY KIMBALL HOSPITAL","320 POMFRET STREET","PUTNAM","WINDHAM","CT","06260","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
503,"070004","SHARON HOSPITAL","50 HOSPITAL HILL ROAD, PO BOX 789","SHARON","LITCHFIELD","CT","06069","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
504,"070005","WATERBURY HOSPITAL","64 ROBBINS ST","WATERBURY","NEW HAVEN","CT","06721","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
505,"070006","STAMFORD HOSPITAL","30 SHELBURNE ROAD","STAMFORD","FAIRFIELD","CT","06904","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
506,"070007","LAWRENCE & MEMORIAL HOSPITAL","365 MONTAUK AVE","NEW LONDON","NEW LONDON","CT","06320","N/A","N/A","N/A","N/A","0.9474","4 out of 10","7","7 out of 9","7 out of 10"
507,"070008","JOHNSON MEMORIAL HOSPITAL","201 CHESTNUT HILL RD","STAFFORD SPRINGS","TOLLAND","CT","06076","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
508,"070010","BRIDGEPORT HOSPITAL","267 GRANT STREET","BRIDGEPORT","FAIRFIELD","CT","06610","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
509,"070011","CHARLOTTE HUNGERFORD HOSPITAL","540 LITCHFIELD ST","TORRINGTON","LITCHFIELD","CT","06790","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
510,"070012","ROCKVILLE GENERAL HOSPITAL","31 UNION ST","ROCKVILLE","TOLLAND","CT","06066","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
511,"070015","NEW MILFORD HOSPITAL","21 ELM ST","NEW MILFORD","LITCHFIELD","CT","06776","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
512,"070016","SAINT MARYS HOSPITAL","56 FRANKLIN ST","WATERBURY","NEW HAVEN","CT","06706","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
513,"070017","MIDSTATE MEDICAL CENTER","435 LEWIS AVE","MERIDEN","NEW HAVEN","CT","06450","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
514,"070018","GREENWICH HOSPITAL ASSOCIATION","5 PERRYRIDGE RD","GREENWICH","FAIRFIELD","CT","06830","N/A","N/A","N/A","N/A","0.9375","3 out of 10","5","5 out of 9","5 out of 10"
515,"070019","MILFORD HOSPITAL, INC","300 SEASIDE AVENUE","MILFORD","NEW HAVEN","CT","06460","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
516,"070020","MIDDLESEX HOSPITAL","28 CRESCENT ST","MIDDLETOWN","MIDDLESEX","CT","06457","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
517,"070021","WINDHAM COMM MEM HOSP & HATCH HOSP","112 MANSFIELD AVE","WILLIMANTIC","WINDHAM","CT","06226","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
518,"070022","YALE-NEW HAVEN HOSPITAL","20 YORK ST","NEW HAVEN","NEW HAVEN","CT","06504","N/A","N/A","N/A","N/A","0.8824","0 out of 10","4","4 out of 9","4 out of 10"
519,"070024","WILLIAM W BACKUS HOSPITAL","326 WASHINGTON ST","NORWICH","NEW LONDON","CT","06360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
520,"070025","HARTFORD HOSPITAL","80 SEYMOUR STREET","HARTFORD","HARTFORD","CT","06102","N/A","N/A","N/A","N/A","0.8772","0 out of 10","0","0 out of 9","0 out of 10"
521,"070027","MANCHESTER MEMORIAL HOSPITAL","71 HAYNES ST","MANCHESTER","HARTFORD","CT","06040","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
522,"070028","ST VINCENT'S MEDICAL CENTER","2800 MAIN ST","BRIDGEPORT","FAIRFIELD","CT","06606","N/A","N/A","N/A","N/A","0.8966","0 out of 10","1","1 out of 9","1 out of 10"
523,"070029","BRISTOL HOSPITAL","BREWSTER RD","BRISTOL","HARTFORD","CT","06010","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
524,"070031","GRIFFIN HOSPITAL","130 DIVISION ST","DERBY","NEW HAVEN","CT","06418","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
525,"070033","DANBURY HOSPITAL","24 HOSPITAL AVE","DANBURY","FAIRFIELD","CT","06810","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
526,"070034","NORWALK HOSPITAL ASSOCIATION","24 STEVENS STREET","NORWALK","FAIRFIELD","CT","06856","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
527,"070035","HOSPITAL OF CENTRAL CONNECTICUT, THE","100 GRAND STREET","NEW BRITAIN","HARTFORD","CT","06050","N/A","N/A","N/A","N/A","0.9655","6 out of 10","6","0 out of 9","6 out of 10"
528,"070036","JOHN DEMPSEY HOSPITAL","263 FARMINGTON AVE","FARMINGTON","HARTFORD","CT","06032","N/A","N/A","N/A","N/A","0.9286","2 out of 10","4","4 out of 9","4 out of 10"
529,"080001","CHRISTIANA CARE HEALTH SERVICES, INC.","4755 OGLETOWN-STANTON ROAD","NEWARK","NEW CASTLE","DE","19718","N/A","N/A","N/A","N/A","0.9203","1 out of 10","2","2 out of 9","2 out of 10"
530,"080003","ST FRANCIS HOSPITAL","7TH AND CLAYTON STS","WILMINGTON","NEW CASTLE","DE","19805","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
531,"080004","BAYHEALTH - KENT GENERAL HOSPITAL","640 S STATE STREET","DOVER","KENT","DE","19901","N/A","N/A","N/A","N/A","0.9302","2 out of 10","4","4 out of 9","4 out of 10"
532,"080006","NANTICOKE MEMORIAL HOSPITAL","801 MIDDLEFORD RD","SEAFORD","SUSSEX","DE","19973","N/A","N/A","N/A","N/A","0.9167","0 out of 10","0","0 out of 9","0 out of 10"
