"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","HF-1 Performance Rate","HF-1 Achievement Points","HF Condition/Procedure Score","HF-1 Improvement Points","HF-1 Measure Score"
545,"100007","FLORIDA HOSPITAL","601 E ROLLINS ST","ORLANDO","ORANGE","FL","32803","0.9741","7 out of 10","7","7 out of 9","7 out of 10"
546,"100008","BAPTIST HOSPITAL OF MIAMI INC","8900 N KENDALL DR","MIAMI","DADE","FL","33176","0.9982","9 out of 10","9","9 out of 9","9 out of 10"
547,"100009","UNIVERSITY OF MIAMI HOSPITAL","1400 NW 12TH AVE","MIAMI","DADE","FL","33136","0.9111","1 out of 10","3","3 out of 9","3 out of 10"
548,"100012","LEE MEMORIAL HOSPITAL","2776 CLEVELAND AVE","FORT MYERS","LEE","FL","33901","0.6567","0 out of 10","0","0 out of 9","0 out of 10"
549,"100014","BERT FISH MEDICAL CENTER","401 PALMETTO ST","NEW SMYRNA BEACH","VOLUSIA","FL","32170","0.8413","0 out of 10","4","4 out of 9","4 out of 10"
550,"100017","HALIFAX HEALTH MEDICAL CENTER","303 N CLYDE MORRIS BLVD","DAYTONA BEACH","VOLUSIA","FL","32114","0.9954","9 out of 10","9","9 out of 9","9 out of 10"
551,"100019","HOLMES REGIONAL MEDICAL CENTER","1350 S HICKORY ST","MELBOURNE","BREVARD","FL","32901","0.9881","8 out of 10","8","0 out of 9","8 out of 10"
552,"100022","JACKSON MEMORIAL HOSPITAL","1611 NW 12TH AVE","MIAMI","DADE","FL","33136","0.8233","0 out of 10","0","0 out of 9","0 out of 10"
553,"100023","CITRUS MEMORIAL HOSPITAL","502 W HIGHLAND BLVD","INVERNESS","CITRUS","FL","34452","0.7630","0 out of 10","0","0 out of 9","0 out of 10"
554,"100025","SACRED HEART HOSPITAL","5151 N 9TH AVE","PENSACOLA","ESCAMBIA","FL","32504","0.8830","0 out of 10","0","0 out of 9","0 out of 10"
555,"100026","BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM","615 N BONITA AVE","PANAMA CITY","BAY","FL","32401","0.8729","0 out of 10","6","6 out of 9","6 out of 10"
556,"100028","PARRISH MEDICAL CENTER","951 N WASHINGTON AVE","TITUSVILLE","BREVARD","FL","32796","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
557,"100029","NORTH SHORE MEDICAL CENTER","1100 NW 95TH ST","MIAMI","DADE","FL","33150","0.9654","6 out of 10","8","8 out of 9","8 out of 10"
558,"100030","HEALTH CENTRAL","10000 W COLONIAL DR","OCOEE","ORANGE","FL","34761","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
559,"100032","BAYFRONT MEDICAL CENTER INC","701 6TH ST S","SAINT PETERSBURG","PINELLAS","FL","33701","0.7745","0 out of 10","0","0 out of 9","0 out of 10"
560,"100034","MOUNT SINAI MEDICAL CENTER","4300 ALTON RD","MIAMI BEACH","DADE","FL","33140","0.9377","3 out of 10","3","0 out of 9","3 out of 10"
561,"100035","MANATEE MEMORIAL HOSPITAL","206 2ND ST E","BRADENTON","MANATEE","FL","34208","0.9665","6 out of 10","6","0 out of 9","6 out of 10"
562,"100038","MEMORIAL REGIONAL HOSPITAL","3501 JOHNSON ST","HOLLYWOOD","BROWARD","FL","33021","0.9868","8 out of 10","8","5 out of 9","8 out of 10"
563,"100039","BROWARD HEALTH MEDICAL CENTER","1600 S ANDREWS AVE","FORT LAUDERDALE","BROWARD","FL","33316","0.8742","0 out of 10","3","3 out of 9","3 out of 10"
564,"100040","ST VINCENT'S MEDICAL CENTER","1 SHIRCLIFF WAY","JACKSONVILLE","DUVAL","FL","32204","0.9451","4 out of 10","4","4 out of 9","4 out of 10"
565,"100043","MEASE HOSPITAL DUNEDIN","601 MAIN STREET","DUNEDIN","PINELLAS","FL","34698","0.9324","3 out of 10","3","0 out of 9","3 out of 10"
566,"100044","MARTIN MEDICAL CENTER","200 SE HOSPITAL AVE","STUART","MARTIN","FL","34995","0.8953","0 out of 10","0","0 out of 9","0 out of 10"
567,"100045","FLORIDA HOSPITAL DELAND","701 W PLYMOUTH AVE","DELAND","VOLUSIA","FL","32720","0.9832","8 out of 10","9","9 out of 9","9 out of 10"
568,"100046","FLORIDA HOSPITAL ZEPHYRHILLS","7050 GALL BLVD","ZEPHYRHILLS","PASCO","FL","33541","0.9740","7 out of 10","8","8 out of 9","8 out of 10"
569,"100047","CHARLOTTE REGIONAL MEDICAL CENTER","809 E MARION AVE","PUNTA GORDA","CHARLOTTE","FL","33950","0.8606","0 out of 10","0","0 out of 9","0 out of 10"
570,"100049","HIGHLANDS REGIONAL MEDICAL CENTER","3600 S HIGHLANDS AVE","SEBRING","HIGHLANDS","FL","33870","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
571,"100050","PALM SPRINGS GENERAL HOSPITAL","1475 W 49TH ST","HIALEAH","DADE","FL","33012","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
572,"100051","SOUTH LAKE HOSPITAL","1900 DON WICKHAM DR","CLERMONT","LAKE","FL","34711","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
573,"100052","WINTER HAVEN HOSPITAL","200 AVE F NE","WINTER HAVEN","POLK","FL","33881","0.7247","0 out of 10","0","0 out of 9","0 out of 10"
574,"100053","HIALEAH HOSPITAL","651 E 25TH ST","HIALEAH","DADE","FL","33013","0.9878","8 out of 10","8","0 out of 9","8 out of 10"
575,"100054","TWIN CITIES HOSPITAL","2190 HWY 85 N","NICEVILLE","OKALOOSA","FL","32578","0.9091","1 out of 10","1","0 out of 9","1 out of 10"
576,"100055","FLORIDA HOSPITAL NORTH PINELLAS","1395 S PINELLAS AVE","TARPON SPRINGS","PINELLAS","FL","34689","0.9780","7 out of 10","7","3 out of 9","7 out of 10"
577,"100057","FLORIDA HOSPITAL WATERMAN","1000 WATERMAN WAY","TAVARES","LAKE","FL","32778","0.9698","7 out of 10","7","7 out of 9","7 out of 10"
578,"100062","MUNROE REGIONAL MEDICAL CENTER","1500 SW 1ST AVE","OCALA","MARION","FL","34474","0.8688","0 out of 10","5","5 out of 9","5 out of 10"
579,"100063","MORTON PLANT NORTH BAY HOSPITAL","6600 MADISON STREET","NEW PORT RICHEY","PASCO","FL","34652","0.9528","5 out of 10","5","5 out of 9","5 out of 10"
580,"100067","ST ANTHONY'S HOSPITAL","1200 7TH AVENUE NORTH","SAINT PETERSBURG","PINELLAS","FL","33705","0.9087","1 out of 10","4","4 out of 9","4 out of 10"
581,"100068","FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER","301 MEMORIAL MEDICAL PARKWAY","DAYTONA BEACH","VOLUSIA","FL","32117","0.9783","7 out of 10","9","9 out of 9","9 out of 10"
582,"100069","FLORIDA HOSPITAL CARROLLWOOD","7171 NORTH DALE MABRY","TAMPA","HILLSBOROUGH","FL","33614","0.9556","5 out of 10","5","3 out of 9","5 out of 10"
583,"100070","VENICE REGIONAL MEDICAL CENTER","540 THE RIALTO","VENICE","SARASOTA","FL","34285","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
584,"100071","BROOKSVILLE REGIONAL HOSPITAL","17240 CORTEZ BLVD","BROOKSVILLE","HERNANDO","FL","34601","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
585,"100072","FLORIDA HOSPITAL FISH MEMORIAL","1055 SAXON BLVD","ORANGE CITY","VOLUSIA","FL","32763","0.9208","2 out of 10","4","4 out of 9","4 out of 10"
586,"100073","HOLY CROSS HOSPITAL INC","4725 N FEDERAL HWY","FORT LAUDERDALE","BROWARD","FL","33308","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
587,"100075","ST JOSEPH'S HOSPITAL","3001 W MARTIN LUTHER KING JR BLVD","TAMPA","HILLSBOROUGH","FL","33677","0.9674","6 out of 10","6","6 out of 9","6 out of 10"
588,"100076","METROPOLITAN HOSPITAL OF MIAMI","5959 NW 7TH ST","MIAMI","DADE","FL","33126","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
589,"100077","PEACE RIVER REGIONAL MEDICAL CENTER","2500 HARBOR BLVD","PORT CHARLOTTE","CHARLOTTE","FL","33952","0.9597","6 out of 10","7","7 out of 9","7 out of 10"
590,"100080","JFK MEDICAL CENTER","5301 S CONGRESS AVE","ATLANTIS","PALM BEACH","FL","33462","0.9921","9 out of 10","9","0 out of 9","9 out of 10"
591,"100081","HEALTHMARK REGIONAL MEDICAL CENTER","4413 US HWY 331 S","DEFUNIAK SPRINGS","WALTON","FL","32435","0.1739","0 out of 10","0","0 out of 9","0 out of 10"
592,"100084","LEESBURG REGIONAL MEDICAL CENTER","600 E DIXIE AVE","LEESBURG","LAKE","FL","34748","0.8586","0 out of 10","0","0 out of 9","0 out of 10"
593,"100086","BROWARD HEALTH NORTH","201 E SAMPLE RD","POMPANO BEACH","BROWARD","FL","33064","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
594,"100087","SARASOTA MEMORIAL HOSPITAL","1700 S TAMIAMI TRL","SARASOTA","SARASOTA","FL","34239","0.9318","3 out of 10","4","4 out of 9","4 out of 10"
595,"100088","BAPTIST MEDICAL CENTER","800 PRUDENTIAL DR","JACKSONVILLE","DUVAL","FL","32207","0.9223","2 out of 10","2","2 out of 9","2 out of 10"
596,"100090","FLAGLER HOSPITAL","400 HEALTH PARK BLVD","SAINT AUGUSTINE","ST. JOHNS","FL","32086","0.9725","7 out of 10","9","9 out of 9","9 out of 10"
597,"100092","WUESTHOFF MEDICAL CENTER  ROCKLEDGE","110 LONGWOOD AVE","ROCKLEDGE","BREVARD","FL","32955","0.7828","0 out of 10","0","0 out of 9","0 out of 10"
598,"100093","BAPTIST HOSPITAL","1000 W MORENO ST","PENSACOLA","ESCAMBIA","FL","32501","0.9293","3 out of 10","6","6 out of 9","6 out of 10"
599,"100099","LAKE WALES MEDICAL CENTER","410 S 11TH ST","LAKE WALES","POLK","FL","33853","0.9724","7 out of 10","7","0 out of 9","7 out of 10"
600,"100102","SHANDS LAKE SHORE REGIONAL MEDICAL CENTER","368 NE FRANKLIN ST","LAKE CITY","COLUMBIA","FL","32055","0.9104","1 out of 10","1","0 out of 9","1 out of 10"
601,"100105","INDIAN RIVER MEDICAL CENTER","1000 36TH ST","VERO BEACH","INDIAN RIVER","FL","32960","0.9352","3 out of 10","7","7 out of 9","7 out of 10"
602,"100106","DOCTOR'S MEMORIAL HOSPITAL INC","333 N BYRON BUTLER PKWY","PERRY","TAYLOR","FL","32348","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
603,"100107","LEHIGH REGIONAL MEDICAL CENTER","1500 LEE BLVD","LEHIGH ACRES","LEE","FL","33936","0.8427","0 out of 10","1","1 out of 9","1 out of 10"
604,"100109","FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER","4200 SUN N' LAKE BLVD","SEBRING","HIGHLANDS","FL","33871","0.9163","1 out of 10","5","5 out of 9","5 out of 10"
605,"100110","OSCEOLA REGIONAL MEDICAL CENTER","700 WEST OAK STREET","KISSIMMEE","OSCEOLA","FL","34741","0.9891","8 out of 10","8","0 out of 9","8 out of 10"
606,"100113","SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA","1600 SW ARCHER RD","GAINESVILLE","ALACHUA","FL","32610","0.7871","0 out of 10","0","0 out of 9","0 out of 10"
607,"100117","BAPTIST MEDICAL CENTER  BEACHES","1350 13TH AVE S","JACKSONVILLE BEACH","DUVAL","FL","32250","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
608,"100118","FLORIDA HOSPITAL FLAGLER","60 MEMORIAL MEDICAL PKWY","PALM COAST","FLAGLER","FL","32164","0.9732","7 out of 10","7","7 out of 9","7 out of 10"
609,"100121","BARTOW REGIONAL MEDICAL CENTER","2200 OSPREY BLVD","BARTOW","POLK","FL","33831","0.9481","4 out of 10","4","0 out of 9","4 out of 10"
610,"100122","NORTH OKALOOSA MEDICAL CENTER","151 REDSTONE AVE SE","CRESTVIEW","OKALOOSA","FL","32539","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
611,"100124","SANTA ROSA MEDICAL CENTER","6002 BERRYHILL RD","MILTON","SANTA ROSA","FL","32570","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
612,"100125","HOMESTEAD HOSPITAL","975 BAPTIST WAY","HOMESTEAD","DADE","FL","33033","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
613,"100126","PALMS OF PASADENA HOSPITAL","1501 PASADENA AVE SOUTH","SAINT PETERSBURG","PINELLAS","FL","33707","0.7600","0 out of 10","1","1 out of 9","1 out of 10"
614,"100127","MORTON PLANT HOSPITAL","300 PINELLAS ST","CLEARWATER","PINELLAS","FL","33756","0.9607","6 out of 10","6","3 out of 9","6 out of 10"
615,"100128","TAMPA GENERAL HOSPITAL","1 TAMPA GENERAL CIRCLE","TAMPA","HILLSBOROUGH","FL","33606","0.7838","0 out of 10","0","0 out of 9","0 out of 10"
616,"100130","LAKESIDE MEDICAL CENTER","39200 HOOKER HWY","BELLE GLADE","PALM BEACH","FL","33430","0.9881","8 out of 10","8","8 out of 9","8 out of 10"
617,"100131","AVENTURA HOSPITAL AND MEDICAL CENTER","20900 BISCAYNE BLVD","AVENTURA","DADE","FL","33180","0.9076","0 out of 10","0","0 out of 9","0 out of 10"
618,"100132","SOUTH FLORIDA BAPTIST HOSPITAL","301 N ALEXANDER ST","PLANT CITY","HILLSBOROUGH","FL","33563","0.9562","5 out of 10","5","2 out of 9","5 out of 10"
619,"100135","TALLAHASSEE MEMORIAL HEALTHCARE","1300 MICCOSUKEE RD","TALLAHASSEE","LEON","FL","32308","0.9304","3 out of 10","3","2 out of 9","3 out of 10"
620,"100137","HEART OF FLORIDA REGIONAL MEDICAL CENTER","40100 US HWY 27 N","DAVENPORT","POLK","FL","33837","0.9925","9 out of 10","9","8 out of 9","9 out of 10"
621,"100140","BAPTIST MEDICAL CENTER - NASSAU","1250 S 18TH ST","FERNANDINA BEACH","NASSAU","FL","32034","0.9636","6 out of 10","6","0 out of 9","6 out of 10"
622,"100142","JACKSON HOSPITAL","4250 HOSPITAL DR","MARIANNA","JACKSON","FL","32446","0.6622","0 out of 10","0","0 out of 9","0 out of 10"
623,"100150","LOWER KEYS MEDICAL CENTER","5900 COLLEGE ROAD","KEY WEST","MONROE","FL","33040","0.9750","7 out of 10","7","0 out of 9","7 out of 10"
624,"100151","MAYO CLINIC","4500 SAN PABLO RD","JACKSONVILLE","DUVAL","FL","32224","0.9527","5 out of 10","5","0 out of 9","5 out of 10"
625,"100154","SOUTH MIAMI HOSPITAL, INC","6200 SW 73RD ST","SOUTH MIAMI","DADE","FL","33143","0.9176","1 out of 10","1","0 out of 9","1 out of 10"
626,"100156","LAKE CITY MEDICAL CENTER","340 NW COMMERCE DR","LAKE CITY","COLUMBIA","FL","32055","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
627,"100157","LAKELAND REGIONAL MEDICAL CENTER","1324 LAKELAND HILLS BLVD","LAKELAND","POLK","FL","33805","0.9457","4 out of 10","5","5 out of 9","5 out of 10"
628,"140239","ROCKFORD MEMORIAL HOSPITAL","2400 NORTH ROCKTON AVENUE","ROCKFORD","WINNEBAGO","IL","61103","0.9313","3 out of 10","4","4 out of 9","4 out of 10"
629,"140240","WESTLAKE COMMUNITY HOSPITAL","1225 LAKE ST","MELROSE PARK","COOK","IL","60160","0.9620","6 out of 10","7","7 out of 9","7 out of 10"
630,"140242","CENTRAL DUPAGE HOSPITAL","25 NORTH WINFIELD ROAD","WINFIELD","DU PAGE","IL","60190","0.9783","7 out of 10","7","4 out of 9","7 out of 10"
631,"140250","ADVOCATE SOUTH SUBURBAN HOSPITAL","17800 S KEDZIE AVE","HAZEL CREST","COOK","IL","60429","0.9882","8 out of 10","8","8 out of 9","8 out of 10"
632,"140251","PRESENCE OUR LADY OF THE RESURRECTION MED CTR","5645 W ADDISON","CHICAGO","COOK","IL","60634","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
633,"140252","NORTHWEST COMMUNITY HOSPITAL","800 W CENTRAL ROAD","ARLINGTON HEIGHTS","COOK","IL","60005","0.9627","6 out of 10","6","2 out of 9","6 out of 10"
634,"140258","ALEXIAN BROTHERS MEDICAL CENTER","800 W BIESTERFIELD RD","ELK GROVE VILLAGE","COOK","IL","60007","0.9675","6 out of 10","6","0 out of 9","6 out of 10"
635,"140275","GENESIS MEDICAL CENTER ILLINI CAMPUS","801 ILLINI DRIVE","SILVIS","ROCK ISLAND","IL","61282","0.8861","0 out of 10","0","0 out of 9","0 out of 10"
636,"140276","LOYOLA UNIVERSITY MEDICAL CENTER","2160 S 1ST AVENUE","MAYWOOD","COOK","IL","60153","0.9899","9 out of 10","9","8 out of 9","9 out of 10"
637,"140280","TRINITY ROCK ISLAND","2701 17TH ST","ROCK ISLAND","ROCK ISLAND","IL","61201","0.9769","7 out of 10","7","0 out of 9","7 out of 10"
638,"140281","NORTHWESTERN MEMORIAL HOSPITAL","251 E HURON ST","CHICAGO","COOK","IL","60611","0.9522","5 out of 10","5","0 out of 9","5 out of 10"
639,"140286","KISHWAUKEE COMMUNITY HOSPITAL","ONE KISH HOSPITAL DRIVE","DEKALB","DE KALB","IL","60115","0.9091","1 out of 10","6","6 out of 9","6 out of 10"
640,"140288","ADVOCATE GOOD SAMARITAN HOSPITAL","3815 HIGHLAND AVENUE","DOWNERS GROVE","DU PAGE","IL","60515","0.9947","9 out of 10","9","3 out of 9","9 out of 10"
641,"140289","ANDERSON HOSPITAL","6800 STATE ROUTE 162","MARYVILLE","MADISON","IL","62062","0.9434","4 out of 10","6","6 out of 9","6 out of 10"
642,"140290","ST ALEXIUS MEDICAL CENTER","1555 N BARRINGTON RD","HOFFMAN ESTATES","COOK","IL","60194","0.9947","9 out of 10","9","8 out of 9","9 out of 10"
643,"140291","ADVOCATE GOOD SHEPHERD HOSPITAL","450 WEST HIGHWAY 22","BARRINGTON","LAKE","IL","60010","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
644,"140292","ADVENTIST GLENOAKS","701 WINTHROP AVENUE","GLENDALE HEIGHTS","DU PAGE","IL","60139","0.9184","2 out of 10","7","7 out of 9","7 out of 10"
645,"140294","CROSSROADS COMMUNITY HOSPITAL","8 DOCTORS PARK ROAD","MOUNT VERNON","JEFFERSON","IL","62864","0.9583","5 out of 10","6","6 out of 9","6 out of 10"
646,"140300","PROVIDENT HOSPITAL OF CHICAGO","500 E 51ST ST","CHICAGO","COOK","IL","60615","0.9667","6 out of 10","6","0 out of 9","6 out of 10"
647,"140304","ADVENTIST BOLINGBROOK HOSPITAL","500 REMINGTON BOULEVARD","BOLINGBROOK","WILL","IL","60440","0.8407","0 out of 10","6","6 out of 9","6 out of 10"
648,"150001","JOHNSON MEMORIAL HOSPITAL","1125 W JEFFERSON ST","FRANKLIN","JOHNSON","IN","46131","0.9487","4 out of 10","8","8 out of 9","8 out of 10"
649,"150002","METHODIST HOSPITALS INC","600 GRANT ST","GARY","LAKE","IN","46402","0.6408","0 out of 10","2","2 out of 9","2 out of 10"
650,"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","5454 HOHMAN AVE","HAMMOND","LAKE","IN","46320","0.9029","0 out of 10","5","5 out of 9","5 out of 10"
651,"150005","HENDRICKS REGIONAL HEALTH","1000 E MAIN ST","DANVILLE","HENDRICKS","IN","46122","0.9730","7 out of 10","8","8 out of 9","8 out of 10"
652,"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","1007 LINCOLNWAY","LA PORTE","LA PORTE","IN","46350","0.9101","1 out of 10","2","2 out of 9","2 out of 10"
653,"150007","COMMUNITY HOWARD REGIONAL HEALTH INC","3500 S LAFOUNTAIN ST","KOKOMO","HOWARD","IN","46904","0.9868","8 out of 10","8","0 out of 9","8 out of 10"
654,"150008","ST CATHERINE HOSPITAL INC","4321 FIR ST","EAST CHICAGO","LAKE","IN","46312","0.9941","9 out of 10","9","8 out of 9","9 out of 10"
655,"150009","CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","JEFFERSONVILLE","CLARK","IN","47130","0.9408","4 out of 10","4","3 out of 9","4 out of 10"
656,"150010","ST JOSEPH HOSPITAL & HEALTH CENTER INC","1907 W SYCAMORE ST","KOKOMO","HOWARD","IN","46904","0.9259","2 out of 10","7","7 out of 9","7 out of 10"
657,"150011","MARION GENERAL HOSPITAL","441 N WABASH AVE","MARION","GRANT","IN","46952","0.9405","4 out of 10","5","5 out of 9","5 out of 10"
658,"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","MISHAWAKA","ST. JOSEPH","IN","46545","0.9056","0 out of 10","0","0 out of 9","0 out of 10"
659,"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST","MICHIGAN CITY","LA PORTE","IN","46360","0.9876","8 out of 10","8","0 out of 9","8 out of 10"
660,"150017","LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","FORT WAYNE","ALLEN","IN","46804","0.9625","6 out of 10","7","7 out of 9","7 out of 10"
661,"150018","ELKHART GENERAL HOSPITAL","600 E BLVD","ELKHART","ELKHART","IN","46514","0.8318","0 out of 10","5","5 out of 9","5 out of 10"
662,"150021","PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","FORT WAYNE","ALLEN","IN","46805","0.9185","2 out of 10","6","6 out of 9","6 out of 10"
663,"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","1710 LAFAYETTE RD","CRAWFORDSVILLE","MONTGOMERY","IN","47933","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
664,"150023","UNION HOSPITAL INC","1606 N SEVENTH ST","TERRE HAUTE","VIGO","IN","47804","0.9454","4 out of 10","6","6 out of 9","6 out of 10"
665,"150024","WILLIAM N WISHARD MEMORIAL HOSPITAL","1001 W 10TH ST","INDIANAPOLIS","MARION","IN","46202","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
666,"150026","IU HEALTH GOSHEN HOSPITAL","200 HIGH PARK AVE","GOSHEN","ELKHART","IN","46526","0.9524","5 out of 10","5","1 out of 9","5 out of 10"
667,"150030","HENRY COUNTY MEMORIAL HOSPITAL","1000 N 16TH ST","NEW CASTLE","HENRY","IN","47362","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
668,"150034","ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVE","HOBART","LAKE","IN","46342","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
669,"150035","PORTER REGIONAL HOSPITAL","85 EAST US HWY 6","VALPARAISO","PORTER","IN","46383","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
670,"150037","HANCOCK REGIONAL HOSPITAL","801 N STATE ST","GREENFIELD","HANCOCK","IN","46140","0.9310","3 out of 10","8","8 out of 9","8 out of 10"
671,"150038","INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC","2209 JOHN R WOODEN DR","MARTINSVILLE","MORGAN","IN","46151","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
672,"150042","GOOD SAMARITAN HOSPITAL","520 S 7TH ST","VINCENNES","KNOX","IN","47591","0.9000","0 out of 10","1","1 out of 9","1 out of 10"
673,"150044","FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE ST","NEW ALBANY","FLOYD","IN","47150","0.9433","4 out of 10","4","4 out of 9","4 out of 10"
674,"150045","DEKALB HEALTH","1316 E SEVENTH ST","AUBURN","DE KALB","IN","46706","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
675,"150046","TERRE HAUTE REGIONAL HOSPITAL","3901 S SEVENTH ST","TERRE HAUTE","VIGO","IN","47802","0.9759","7 out of 10","7","7 out of 9","7 out of 10"
676,"150047","ST JOSEPH HOSPITAL","700 BROADWAY","FORT WAYNE","ALLEN","IN","46802","0.9286","3 out of 10","3","0 out of 9","3 out of 10"
677,"100161","CENTRAL FLORIDA REGIONAL HOSPITAL","1401 W SEMINOLE BLVD","SANFORD","SEMINOLE","FL","32771","0.9668","6 out of 10","6","0 out of 9","6 out of 10"
678,"100166","DOCTORS HOSPITAL OF SARASOTA","5731 BEE RIDGE RD","SARASOTA","SARASOTA","FL","34233","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
679,"100167","PLANTATION GENERAL HOSPITAL","401 NW 42ND AVE","PLANTATION","BROWARD","FL","33317","0.9104","1 out of 10","1","0 out of 9","1 out of 10"
680,"100168","BOCA RATON REGIONAL HOSPITAL","800 MEADOWS RD","BOCA RATON","PALM BEACH","FL","33486","0.9939","9 out of 10","9","7 out of 9","9 out of 10"
681,"100173","FLORIDA HOSPITAL TAMPA","3100 E FLETCHER AVE","TAMPA","HILLSBOROUGH","FL","33613","0.9647","6 out of 10","6","0 out of 9","6 out of 10"
682,"100175","DESOTO MEMORIAL HOSPITAL","900 N ROBERT AVE","ARCADIA","DE SOTO","FL","34265","0.8113","0 out of 10","0","0 out of 9","0 out of 10"
683,"100176","PALM BEACH GARDENS MEDICAL CENTER","3360 BURNS RD","PALM BEACH GARDENS","PALM BEACH","FL","33410","0.9573","5 out of 10","7","7 out of 9","7 out of 10"
684,"100177","CAPE CANAVERAL HOSPITAL","701 W COCOA BEACH CAUSEWAY","COCOA BEACH","BREVARD","FL","32932","0.9383","3 out of 10","3","0 out of 9","3 out of 10"
685,"100179","MEMORIAL HOSPITAL JACKSONVILLE","3625 UNIVERSITY BLVD S","JACKSONVILLE","DUVAL","FL","32216","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
686,"100180","ST PETERSBURG GENERAL HOSPITAL","6500 38TH AVE N","SAINT PETERSBURG","PINELLAS","FL","33710","0.7632","0 out of 10","0","0 out of 9","0 out of 10"
687,"100183","CORAL GABLES HOSPITAL","3100 DOUGLAS RD","CORAL GABLES","DADE","FL","33134","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
688,"100187","PALMETTO GENERAL HOSPITAL","2001 W 68TH ST","HIALEAH","DADE","FL","33016","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
689,"100189","NORTHWEST MEDICAL CENTER","2801 N STATE RD 7","MARGATE","BROWARD","FL","33063","0.9758","7 out of 10","7","3 out of 9","7 out of 10"
690,"100191","MEDICAL CENTER OF TRINITY","9330 SR 54","TRINITY","PASCO","FL","34655","0.9934","9 out of 10","9","4 out of 9","9 out of 10"
691,"100200","BROWARD HEALTH IMPERIAL POINT","6401 N FEDERAL HWY","FORT LAUDERDALE","BROWARD","FL","33308","0.9063","0 out of 10","0","0 out of 9","0 out of 10"
692,"100204","NORTH FLORIDA REGIONAL MEDICAL CENTER","6500 NEWBERRY RD","GAINESVILLE","ALACHUA","FL","32605","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
693,"100206","MEMORIAL HOSPITAL OF TAMPA","2901 SWANN AVE","TAMPA","HILLSBOROUGH","FL","33609","0.9483","4 out of 10","6","6 out of 9","6 out of 10"
694,"100209","KENDALL REGIONAL MEDICAL CENTER","11750 BIRD RD","MIAMI","DADE","FL","33175","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
695,"100211","PASCO REGIONAL MEDICAL CENTER","13100 FT KING ROAD","DADE CITY","PASCO","FL","33525","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
696,"100212","OCALA REGIONAL MEDICAL CENTER","1431 SW 1ST AVE","OCALA","MARION","FL","34478","0.9833","8 out of 10","8","6 out of 9","8 out of 10"
697,"100213","BLAKE MEDICAL CENTER","2020 59TH ST W","BRADENTON","MANATEE","FL","34209","0.8712","0 out of 10","0","0 out of 9","0 out of 10"
698,"100217","SEBASTIAN RIVER MEDICAL CENTER","13695 US HWY 1","SEBASTIAN","INDIAN RIVER","FL","32978","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
