"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","Communication with Nurses Achievement Points","Communication with Nurses Improvement Points","Communication with Nurses Dimension Score","Communication with Doctors Achievement Points","Communication with Doctors Improvement Points","Communication with Doctors Dimension Score","Responsiveness of Hospital Staff Achievement Points","Responsiveness of Hospital Staff Improvement Points","Responsiveness of Hospital Staff Dimension Score","Pain Management Achievement Points","Pain Management Improvement Points","Pain Management Dimension Score","Communication about Medicines Achievement Points","Communication about Medicines Improvement Points","Communication about Medicines Dimension Score","Cleanliness and Quietness of Hospital Environment Achievement Po","Cleanliness and Quietness of Hospital Environment Improvement Po","Cleanliness and Quietness of Hospital Environment Dimension Scor","Discharge Information Achievement Points","Discharge Information Improvement Points","Discharge Information Dimension Score","Overall Rating of Hospital Achievement Points","Overall Rating of Hospital Improvement Points","Overall Rating of Hospital Dimension Score","HCAHPS Base Score","HCAHPS Consistency Score"
806,"110201","COLISEUM NORTHSIDE HOSPITAL","400 CHARTER BOULEVARD","MACON","BIBB","GA","31210","0 out of 10","2 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","1 out of 9","5 out of 10","4 out of 10","5 out of 9","5 out of 10","2 out of 10","1 out of 9","2 out of 10","18","16"
807,"110215","PIEDMONT FAYETTE HOSPITAL","1255 HIGHWAY 54 WEST","FAYETTEVILLE","FAYETTE","GA","30214","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","14","19"
808,"110219","SOUTH FULTON MEDICAL CENTER","1170 CLEVELAND AVENUE","EAST POINT","FULTON","GA","30344","0 out of 10","3 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","5 out of 10","1 out of 9","5 out of 10","1 out of 10","5 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","27","19"
809,"110225","PIEDMONT MOUNTAINSIDE HOSPITAL INC","1266 HIGHWAY 515 SOUTH","JASPER","PICKENS","GA","30143","6 out of 10","0 out of 9","6 out of 10","4 out of 10","2 out of 9","4 out of 10","6 out of 10","0 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","8 out of 10","2 out of 9","8 out of 10","38","20"
810,"110226","DEKALB MEDICAL CENTER AT HILLANDALE","2801 DEKALB MEDICAL PARKWAY","LITHONIA","DE KALB","GA","30058","2 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","2 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","7 out of 10","0 out of 9","7 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","1 out of 9","1 out of 10","18","16"
811,"110229","PIEDMONT NEWNAN HOSPITAL, INC","745 POPLAR ROAD","NEWNAN","COWETA","GA","30265","3 out of 10","0 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","1 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","20","17"
812,"110230","EMORY JOHNS CREEK HOSPITAL","6325 HOSPITAL PARKWAY","JOHNS CREEK","CHATTOOGA","GA","30097","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","0 out of 9","6 out of 10","14","17"
813,"120001","THE QUEENS MEDICAL CENTER","1301 PUNCHBOWL ST","HONOLULU","HONOLULU","HI","96813","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","10","18"
814,"120002","MAUI MEMORIAL MEDICAL CENTER","221 MAHALANI STREET","WAILUKU","MAUI","HI","96793","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","7 out of 10","8 out of 9","8 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","21","14"
815,"120004","WAHIAWA GENERAL HOSPITAL","128 LEHUA STREET","WAHIAWA","HONOLULU","HI","96786","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","13","8"
816,"120005","HILO MEDICAL CENTER","1190 WAIANUENUE AVENUE","HILO","HAWAII","HI","96720","0 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","5 out of 9","5 out of 10","2 out of 10","5 out of 9","5 out of 10","2 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","22","15"
817,"120006","CASTLE MEDICAL CENTER","640 ULUKAHIKI ST","KAILUA","HONOLULU","HI","96734","3 out of 10","3 out of 9","3 out of 10","3 out of 10","4 out of 9","4 out of 10","3 out of 10","3 out of 9","3 out of 10","6 out of 10","6 out of 9","6 out of 10","5 out of 10","5 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","7 out of 10","7 out of 9","7 out of 10","5 out of 10","2 out of 9","5 out of 10","38","20"
818,"120007","KUAKINI MEDICAL CENTER","347 NORTH KUAKINI STREET","HONOLULU","HONOLULU","HI","96817","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","16","13"
819,"120011","KAISER FOUNDATION HOSPITAL","3288 MOANALUA RD","HONOLULU","HONOLULU","HI","96819","2 out of 10","3 out of 9","3 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","3 out of 9","4 out of 10","3 out of 10","3 out of 9","3 out of 10","6 out of 10","5 out of 9","6 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","3 out of 9","4 out of 10","5 out of 10","4 out of 9","5 out of 10","30","19"
820,"120014","WILCOX MEMORIAL HOSPITAL","3-3420 KUHIO HIGHWAY","LIHUE","KAUAI","HI","96766","7 out of 10","7 out of 9","7 out of 10","6 out of 10","4 out of 9","6 out of 10","5 out of 10","5 out of 9","5 out of 10","5 out of 10","5 out of 9","5 out of 10","9 out of 10","8 out of 9","9 out of 10","5 out of 10","4 out of 9","5 out of 10","5 out of 10","5 out of 9","5 out of 10","6 out of 10","6 out of 9","6 out of 10","48","20"
821,"120019","KONA COMMUNITY HOSPITAL","79-1019 HAUKAPILA STREET","KEALAKEKUA","HAWAII","HI","96750","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","5 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","7","13"
822,"120022","STRAUB CLINIC AND HOSPITAL","888 SO KING STREET","HONOLULU","HONOLULU","HI","96813","7 out of 10","6 out of 9","7 out of 10","6 out of 10","5 out of 9","6 out of 10","8 out of 10","5 out of 9","8 out of 10","7 out of 10","6 out of 9","7 out of 10","8 out of 10","7 out of 9","8 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","4 out of 9","4 out of 10","9 out of 10","8 out of 9","9 out of 10","52","20"
823,"120026","PALI MOMI MEDICAL CENTER","98-1079 MOANALUA ROAD","AIEA","HONOLULU","HI","96701","6 out of 10","4 out of 9","6 out of 10","4 out of 10","1 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","7 out of 10","1 out of 9","7 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","1 out of 9","3 out of 10","7 out of 10","3 out of 9","7 out of 10","33","20"
824,"120028","NORTH HAWAII COMMUNITY HOSPITAL","67 1125 MAMALAHOA HIGHWAY","KAMUELA","HAWAII","HI","96743","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","1 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","7 out of 10","1 out of 9","7 out of 10","4 out of 10","1 out of 9","4 out of 10","4 out of 10","2 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","26","18"
825,"130002","ST LUKES MAGIC VALLEY RMC","801 POLE LINE ROAD WEST","TWIN FALLS","TWIN FALLS","ID","83301","1 out of 10","4 out of 9","4 out of 10","0 out of 10","3 out of 9","3 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","5 out of 9","5 out of 10","5 out of 10","5 out of 9","5 out of 10","6 out of 10","6 out of 9","6 out of 10","4 out of 10","3 out of 9","4 out of 10","2 out of 10","5 out of 9","5 out of 10","36","19"
826,"130003","ST JOSEPH REGIONAL MEDICAL CENTER","415 SIXTH STREET","LEWISTON","NEZ PERCE","ID","83501","4 out of 10","2 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","0 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","1 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","2 out of 9","7 out of 10","3 out of 10","3 out of 9","3 out of 10","26","19"
827,"130006","ST LUKES REGIONAL MEDICAL CENTER","190 EAST BANNOCK STREET","BOISE","ADA","ID","83712","1 out of 10","2 out of 9","2 out of 10","1 out of 10","1 out of 9","1 out of 10","1 out of 10","1 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","4 out of 10","2 out of 9","4 out of 10","8 out of 10","3 out of 9","8 out of 10","5 out of 10","2 out of 9","5 out of 10","26","20"
828,"130007","ST ALPHONSUS REGIONAL MEDICAL CENTER","1055 NORTH CURTIS ROAD","BOISE","ADA","ID","83706","0 out of 10","0 out of 9","0 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","2 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","7 out of 10","4 out of 9","7 out of 10","4 out of 10","1 out of 9","4 out of 10","19","19"
829,"130013","SAINT ALPHONSUS MEDICAL CENTER - NAMPA","1512 TWELFTH AVENUE ROAD","NAMPA","CANYON","ID","83686","1 out of 10","2 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","1 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","7 out of 10","5 out of 9","7 out of 10","2 out of 10","4 out of 9","4 out of 10","20","18"
830,"130014","WEST VALLEY MEDICAL CENTER","1717 ARLINGTON STREET","CALDWELL","CANYON","ID","83605","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","2 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","8 out of 10","5 out of 9","8 out of 10","1 out of 10","0 out of 9","1 out of 10","16","19"
831,"130018","EASTERN IDAHO REGIONAL MEDICAL CENTER","3100 CHANNING WAY","IDAHO FALLS","BONNEVILLE","ID","83404","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","8 out of 10","6 out of 9","8 out of 10","0 out of 10","1 out of 9","1 out of 10","11","16"
832,"130025","MADISON MEMORIAL HOSPITAL","450 EAST MAIN STREET","REXBURG","MADISON","ID","83440","2 out of 10","0 out of 9","2 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","0 out of 9","6 out of 10","5 out of 10","0 out of 9","5 out of 10","8 out of 10","0 out of 9","8 out of 10","5 out of 10","0 out of 9","5 out of 10","8 out of 10","7 out of 9","8 out of 10","3 out of 10","0 out of 9","3 out of 10","42","20"
833,"130028","PORTNEUF MEDICAL CENTER","777 HOSPITAL WAY","POCATELLO","BANNOCK","ID","83201","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","3 out of 9","3 out of 10","4 out of 10","2 out of 9","4 out of 10","1 out of 10","3 out of 9","3 out of 10","10","17"
834,"130049","KOOTENAI MEDICAL CENTER","2003 KOOTENAI HEALTH WAY","COEUR D'ALENE","KOOTENAI","ID","83814","1 out of 10","2 out of 9","2 out of 10","3 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","7 out of 10","3 out of 9","7 out of 10","3 out of 10","4 out of 9","4 out of 10","25","17"
835,"130063","TREASURE VALLEY HOSPITAL","8800 WEST EMERALD STREET","BOISE","ADA","ID","83704","10 out of 10","9 out of 9","10 out of 10","9 out of 10","5 out of 9","9 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","79","20"
836,"130065","MOUNTAIN VIEW HOSPITAL","2325 CORONADO STREET","IDAHO FALLS","BONNEVILLE","ID","83404","2 out of 10","0 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","3 out of 9","5 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","0 out of 9","6 out of 10","26","20"
837,"130066","NORTHWEST SPECIALTY HOSPITAL","1593 EAST POLSTON AVENUE","POST FALLS","KOOTENAI","ID","83854","10 out of 10","9 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","80","20"
838,"140001","GRAHAM HOSPITAL ASSOCIATION","210 WEST WALNUT STREET","CANTON","FULTON","IL","61520","2 out of 10","0 out of 9","2 out of 10","7 out of 10","3 out of 9","7 out of 10","2 out of 10","0 out of 9","2 out of 10","7 out of 10","7 out of 9","7 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","2 out of 9","2 out of 10","6 out of 10","5 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","26","19"
839,"140002","ALTON MEMORIAL HOSPITAL","ONE MEMORIAL DRIVE","ALTON","MADISON","IL","62002","4 out of 10","0 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","5 out of 10","3 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","5 out of 10","3 out of 9","5 out of 10","27","20"
840,"140007","PRESENCE SAINT JOSEPH MEDICAL CENTER","333 N MADISON","JOLIET","WILL","IL","60435","5 out of 10","6 out of 9","6 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","2 out of 10","4 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","6 out of 10","5 out of 9","6 out of 10","5 out of 10","4 out of 9","5 out of 10","31","19"
841,"140008","LOYOLA GOTTLIEB MEMORIAL HOSPITAL","701 WEST NORTH AVE","MELROSE PARK","COOK","IL","60160","2 out of 10","3 out of 9","3 out of 10","6 out of 10","5 out of 9","6 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","5 out of 9","5 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","23","18"
842,"140010","EVANSTON HOSPITAL","2650 RIDGE AVE","EVANSTON","COOK","IL","60201","2 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","3 out of 9","3 out of 10","4 out of 10","1 out of 9","4 out of 10","16","18"
843,"140011","HERRIN HOSPITAL","201 S 14TH ST","HERRIN","WILLIAMSON","IL","62948","6 out of 10","4 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","1 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","2 out of 9","5 out of 10","4 out of 10","4 out of 9","4 out of 10","6 out of 10","0 out of 9","6 out of 10","4 out of 10","1 out of 9","4 out of 10","33","20"
844,"140012","KATHERINE SHAW BETHEA HOSPITAL","403 E 1ST ST","DIXON","LEE","IL","61021","7 out of 10","0 out of 9","7 out of 10","1 out of 10","0 out of 9","1 out of 10","7 out of 10","3 out of 9","7 out of 10","5 out of 10","0 out of 9","5 out of 10","8 out of 10","8 out of 9","8 out of 10","3 out of 10","2 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","3 out of 9","6 out of 10","42","20"
845,"140013","PROCTOR HOSPITAL","5409 N KNOXVILLE AVE","PEORIA","PEORIA","IL","61614","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","0 out of 9","7 out of 10","4 out of 10","1 out of 9","4 out of 10","14","14"
846,"140015","BLESSING HOSPITAL","BROADWAY AT 11TH STREET","QUINCY","ADAMS","IL","62301","8 out of 10","7 out of 9","8 out of 10","2 out of 10","2 out of 9","2 out of 10","6 out of 10","6 out of 9","6 out of 10","4 out of 10","2 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","8 out of 10","5 out of 9","8 out of 10","3 out of 10","3 out of 9","3 out of 10","38","20"
847,"140018","MT SINAI HOSPITAL MEDICAL CENTER","15TH STREET AT CALIFORNIA","CHICAGO","COOK","IL","60608","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0","6"
848,"140026","ST MARYS HOSPITAL","111  SPRING STREET","STREATOR","LA SALLE","IL","61364","4 out of 10","3 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","1 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","8 out of 10","7 out of 9","8 out of 10","0 out of 10","0 out of 9","0 out of 10","23","17"
849,"140029","COPLEY MEMORIAL HOSPITAL","2000 OGDEN AVENUE","AURORA","KANE","IL","60504","3 out of 10","3 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","4 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","7 out of 10","7 out of 9","7 out of 10","3 out of 10","2 out of 9","3 out of 10","23","16"
850,"140030","SHERMAN HOSPITAL","1425 NORTH RANDALL ROAD","ELGIN","KANE","IL","60123","5 out of 10","4 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","1 out of 9","1 out of 10","4 out of 10","4 out of 9","4 out of 10","3 out of 10","3 out of 9","3 out of 10","5 out of 10","2 out of 9","5 out of 10","4 out of 10","1 out of 9","4 out of 10","5 out of 10","5 out of 9","5 out of 10","29","19"
851,"140032","ST ANTHONYS MEMORIAL HOSPITAL","503 N MAPLE STREET","EFFINGHAM","EFFINGHAM","IL","62401","2 out of 10","2 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","12","19"
852,"140034","ST MARYS HOSPITAL","400 NORTH PLEASANT AVENUE","CENTRALIA","MARION","IL","62801","10 out of 10","9 out of 9","10 out of 10","8 out of 10","7 out of 9","8 out of 10","10 out of 10","9 out of 9","10 out of 10","8 out of 10","0 out of 9","8 out of 10","7 out of 10","6 out of 9","7 out of 10","8 out of 10","3 out of 9","8 out of 10","10 out of 10","9 out of 9","10 out of 10","8 out of 10","4 out of 9","8 out of 10","69","20"
853,"140040","GALESBURG COTTAGE HOSPITAL","695 N KELLOGG ST","GALESBURG","KNOX","IL","61401","1 out of 10","1 out of 9","1 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","13","16"
854,"140043","CGH MEDICAL CENTER","100 EAST LEFEVRE ROAD","STERLING","WHITESIDE","IL","61081","8 out of 10","8 out of 9","8 out of 10","1 out of 10","0 out of 9","1 out of 10","6 out of 10","3 out of 9","6 out of 10","5 out of 10","3 out of 9","5 out of 10","5 out of 10","3 out of 9","5 out of 10","5 out of 10","4 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","4 out of 9","4 out of 10","38","20"
855,"140046","GOOD SAMARITAN REGIONAL HLTH CENTER","605 N 12TH STREET","MOUNT VERNON","JEFFERSON","IL","62864","9 out of 10","7 out of 9","9 out of 10","5 out of 10","4 out of 9","5 out of 10","6 out of 10","1 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","4 out of 9","4 out of 10","9 out of 10","5 out of 9","9 out of 10","4 out of 10","3 out of 9","4 out of 10","39","19"
856,"140048","ADVOCATE TRINITY HOSPITAL","2320 E 93RD ST","CHICAGO","COOK","IL","60617","2 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","2 out of 10","4 out of 9","4 out of 10","3 out of 10","2 out of 9","3 out of 10","0 out of 10","5 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","25","17"
857,"140049","WEST SUBURBAN MEDICAL CENTER","3 ERIE COURT","OAK PARK","COOK","IL","60302","3 out of 10","5 out of 9","5 out of 10","4 out of 10","4 out of 9","4 out of 10","0 out of 10","3 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","20","19"
858,"140051","SKOKIE HOSPITAL","9600 GROSS POINT ROAD","SKOKIE","COOK","IL","60076","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","5 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","23","16"
859,"140052","SAINT ANTHONY'S HEALTH CENTER","ST ANTHONY'S WAY","ALTON","MADISON","IL","62002","6 out of 10","6 out of 9","6 out of 10","4 out of 10","4 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","1 out of 10","1 out of 9","1 out of 10","3 out of 10","1 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","6 out of 10","3 out of 9","6 out of 10","4 out of 10","4 out of 9","4 out of 10","29","20"
860,"140053","ST JOHNS HOSPITAL","800 E CARPENTER ST","SPRINGFIELD","SANGAMON","IL","62769","0 out of 10","0 out of 9","0 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","7","17"
861,"140054","MACNEAL  HOSPITAL","3249 SOUTH OAK PARK AVENUE","BERWYN","COOK","IL","60402","3 out of 10","1 out of 9","3 out of 10","3 out of 10","2 out of 9","3 out of 10","4 out of 10","2 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","2 out of 10","3 out of 9","3 out of 10","23","18"
862,"140058","PASSAVANT AREA HOSPITAL","1600 W WALNUT ST","JACKSONVILLE","MORGAN","IL","62650","3 out of 10","2 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","15","19"
863,"140059","JERSEY COMMUNITY HOSPITAL","400 MAPLE SUMMIT ROAD","JERSEYVILLE","JERSEY","IL","62052","7 out of 10","5 out of 9","7 out of 10","4 out of 10","1 out of 9","4 out of 10","8 out of 10","0 out of 9","8 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","5 out of 9","6 out of 10","7 out of 10","4 out of 9","7 out of 10","2 out of 10","4 out of 9","4 out of 10","4 out of 10","3 out of 9","4 out of 10","42","20"
