"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Payment Range","Number Of Cases"
"TN","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13353 - 15313","330"
"TX","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13564 - 16147","1003"
"UT","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","14120 - 14700","70"
"VA","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13181 - 15064","357"
"VT","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","15139 - 20619","16"
"WA","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","15457 - 17216","249"
"WI","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13601 - 15849","252"
"WV","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","12907 - 14831","173"
"WY","197","Gallbladder Removal Except By (non) Laparoscope with Complications or Preexisting Conditions","13745 - 14655","*"
"AK","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","14489 - 17576","*"
"AL","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9305 - 10207","731"
"AR","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9654 - 10521","237"
"AZ","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10120 - 11659","333"
"CA","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","11754 - 14757","1443"
"CO","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9938 - 11470","284"
"CT","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","12345 - 14015","256"
"DC","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","13728 - 15438","26"
"DE","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","11228 - 12400","116"
"FL","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9630 - 10426","2626"
"GA","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10521 - 11096","681"
"HI","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","13802 - 13995","44"
"IA","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9690 - 10279","170"
"ID","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10288 - 10886","25"
"IL","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10430 - 11634","918"
"IN","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10064 - 10617","889"
"KS","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9325 - 10358","206"
"KY","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9886 - 11374","472"
"LA","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9567 - 10917","322"
"MA","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","11540 - 13776","497"
"MD","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","11265 - 22137","232"
"ME","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10897 - 12012","77"
"MI","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10674 - 12965","731"
"MN","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","11135 - 13132","112"
"MO","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9553 - 10762","514"
"MS","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9649 - 11079","277"
"MT","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9707 - 10060","130"
"NC","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9949 - 11061","591"
"ND","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9341 - 9693","63"
"NE","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10040 - 12404","81"
"NH","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","11381 - 11765","75"
"NJ","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","11484 - 13977","614"
"NM","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10447 - 11725","144"
"NV","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","11368 - 12436","92"
"NY","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10684 - 14784","1142"
"OH","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10033 - 11022","1178"
"OK","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9217 - 11744","265"
"OR","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10864 - 11546","135"
"PA","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9851 - 11677","1062"
"PR","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","6282 - 7136","11"
"RI","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","11246 - 14927","38"
"SC","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9954 - 10981","426"
"SD","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9458 - 10579","91"
"TN","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9652 - 11004","736"
"TX","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9890 - 11319","1987"
"UT","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10442 - 11158","56"
"VA","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9533 - 10638","628"
"VT","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","11929 - 15161","15"
"WA","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","11290 - 12331","373"
"WI","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9998 - 11532","229"
"WV","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","9508 - 10950","225"
"WY","216","Sample of Bone Removed for Evaluation of Cancer, Infections or Other Bone Disorders","10176 - 10734","63"
"AK","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","9064 - 9456","*"
"AL","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","5833 - 6546","383"
"AR","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6093 - 6607","168"
"AZ","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6526 - 7417","209"
"CA","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","7581 - 9271","880"
"CO","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6505 - 7339","154"
"CT","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","7461 - 8778","109"
"DC","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","8579 - 9658","21"
"DE","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6554 - 7706","31"
"FL","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6117 - 6709","904"
"GA","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6065 - 6948","286"
"HI","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","7499 - 8706","19"
"IA","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6120 - 6461","134"
"ID","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6385 - 6704","43"
"IL","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6251 - 7278","521"
"IN","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6218 - 6742","239"
"KS","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","5834 - 6657","141"
"KY","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6369 - 7106","195"
"LA","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6059 - 6752","161"
"MA","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","7362 - 9608","245"
"MD","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6607 - 14704","196"
"ME","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6726 - 7297","79"
"MI","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6597 - 7837","413"
"MN","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6674 - 8150","311"
"MO","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6053 - 6845","304"
"MS","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6215 - 6832","119"
"MT","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","5810 - 6382","45"
"NC","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6330 - 6949","409"
"ND","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","5784 - 6839","57"
"NE","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6111 - 6690","73"
"NH","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","7006 - 7360","30"
"NJ","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","7361 - 8741","300"
"NM","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6524 - 7413","54"
"NV","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6744 - 7735","60"
"NY","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6973 - 10562","474"
"OH","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6169 - 7259","474"
"OK","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","5293 - 6393","240"
"OR","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6813 - 7248","81"
"PA","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6371 - 7490","524"
"PR","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","3780 - 4079","22"
"RI","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6566 - 8487","27"
"SC","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6304 - 6870","185"
"SD","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","5917 - 6618","88"
"TN","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6051 - 6884","337"
"TX","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6246 - 7228","820"
"UT","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6306 - 6999","55"
"VA","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6081 - 6907","260"
"VT","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","7363 - 8371","*"
"WA","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","7119 - 7938","199"
"WI","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6377 - 7150","202"
"WV","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","5969 - 6850","97"
"WY","223","Major Arm & Shoulder Operations with Complications or Preexisting Conditions","6712 - 8197","21"
"AK","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","14700 - 18721","*"
"AL","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9436 - 10626","496"
"AR","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9921 - 10942","382"
"AZ","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10276 - 12076","454"
"CA","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","11889 - 14851","1282"
"CO","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10595 - 11770","336"
"CT","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","12998 - 14421","245"
"DC","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10904 - 14829","58"
"DE","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","12118 - 12592","41"
"FL","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9825 - 10870","1864"
"GA","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9997 - 12128","582"
"HI","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","12474 - 14406","40"
"IA","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9475 - 10371","214"
"ID","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10112 - 10700","81"
"IL","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10606 - 12773","895"
"IN","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9955 - 10859","648"
"KS","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9469 - 10805","403"
"KY","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10607 - 11545","544"
"LA","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9847 - 11154","322"
"MA","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","11650 - 15148","526"
"MD","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10322 - 21510","438"
"ME","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10918 - 12198","115"
"MI","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10914 - 13205","927"
"MN","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","11091 - 11629","508"
"MO","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9717 - 11108","707"
"MS","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9777 - 10941","250"
"MT","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9925 - 10359","125"
"NC","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10651 - 11658","752"
"ND","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9232 - 11100","174"
"NE","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9924 - 10958","225"
"NH","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","11557 - 12211","108"
"NJ","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","11767 - 14359","363"
"NM","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10067 - 11745","51"
"NV","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10947 - 12628","142"
"NY","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","11387 - 17942","777"
"OH","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10124 - 11531","1037"
"OK","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9359 - 10765","498"
"OR","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","11322 - 11933","207"
"PA","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10136 - 12089","959"
"PR","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","6135 - 6440","13"
"RI","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10658 - 13775","54"
"SC","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10108 - 11444","447"
"SD","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10638 - 10742","193"
"TN","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10223 - 11241","448"
"TX","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10114 - 11706","1860"
"UT","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10263 - 11323","160"
"VA","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9493 - 11163","626"
"VT","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","12650 - 15395","16"
"WA","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","11441 - 12823","437"
"WI","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10311 - 11692","527"
"WV","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","9548 - 11062","125"
"WY","233","Other Bone, Joint & Organ Operations with Complications or Preexisting Conditions","10252 - 10934","23"
"AK","294","Diabetes in Adults","6078 - 6615","65"
"AL","294","Diabetes in Adults","3914 - 4358","2364"
"AR","294","Diabetes in Adults","4083 - 4524","1029"
"AZ","294","Diabetes in Adults","4414 - 5259","1138"
"CA","294","Diabetes in Adults","5202 - 6883","7064"
"CO","294","Diabetes in Adults","4340 - 4925","727"
"CT","294","Diabetes in Adults","5059 - 5948","1166"
"DC","294","Diabetes in Adults","5841 - 6434","411"
"DE","294","Diabetes in Adults","4714 - 5206","334"
"FL","294","Diabetes in Adults","4107 - 4824","5943"
"GA","294","Diabetes in Adults","4166 - 5014","2789"
"HI","294","Diabetes in Adults","5032 - 5942","255"
"IA","294","Diabetes in Adults","4079 - 4318","608"
"ID","294","Diabetes in Adults","4285 - 4556","165"
"IL","294","Diabetes in Adults","4381 - 5660","5060"
"IN","294","Diabetes in Adults","4155 - 4582","2066"
"KS","294","Diabetes in Adults","4010 - 4467","803"
"KY","294","Diabetes in Adults","4070 - 4609","1532"
"LA","294","Diabetes in Adults","3984 - 4625","1862"
"MA","294","Diabetes in Adults","4706 - 5928","2080"
"MD","294","Diabetes in Adults","3208 - 8305","2652"
"ME","294","Diabetes in Adults","4354 - 4840","302"
"MI","294","Diabetes in Adults","4438 - 5532","3384"
"MN","294","Diabetes in Adults","4462 - 4808","907"
"MO","294","Diabetes in Adults","4085 - 4827","2094"
"MS","294","Diabetes in Adults","3992 - 4585","1734"
"MT","294","Diabetes in Adults","3899 - 4426","176"
"NC","294","Diabetes in Adults","4235 - 4868","3301"
"ND","294","Diabetes in Adults","3881 - 4357","129"
"NE","294","Diabetes in Adults","4101 - 4847","318"
"NH","294","Diabetes in Adults","4701 - 5048","251"
"NJ","294","Diabetes in Adults","4871 - 6086","3788"
"NM","294","Diabetes in Adults","4343 - 5331","454"
"NV","294","Diabetes in Adults","4645 - 5283","487"
"NY","294","Diabetes in Adults","5109 - 8265","8310"
"OH","294","Diabetes in Adults","4078 - 4662","4103"
"OK","294","Diabetes in Adults","4002 - 4721","1313"
"OR","294","Diabetes in Adults","4561 - 4930","415"
"PA","294","Diabetes in Adults","4134 - 5046","4258"
"PR","294","Diabetes in Adults","2536 - 2833","484"
"RI","294","Diabetes in Adults","4551 - 5985","275"
"SC","294","Diabetes in Adults","4246 - 4687","1737"
"SD","294","Diabetes in Adults","4190 - 4638","169"
"TN","294","Diabetes in Adults","4087 - 4648","2590"
"TX","294","Diabetes in Adults","4207 - 5019","6620"
"UT","294","Diabetes in Adults","4232 - 4648","225"
"VA","294","Diabetes in Adults","4015 - 4476","2390"
"VT","294","Diabetes in Adults","4668 - 6351","95"
"WA","294","Diabetes in Adults","4758 - 5291","893"
"WI","294","Diabetes in Adults","4276 - 4914","1202"
"WV","294","Diabetes in Adults","3980 - 4386","861"
"WY","294","Diabetes in Adults","4238 - 4732","99"
"AK","303","Kidney and Bladder Operations for Cancer","14058 - 15946","24"
"AL","303","Kidney and Bladder Operations for Cancer","9804 - 11358","379"
"AR","303","Kidney and Bladder Operations for Cancer","10741 - 11937","234"
"AZ","303","Kidney and Bladder Operations for Cancer","10977 - 12647","376"
"CA","303","Kidney and Bladder Operations for Cancer","12897 - 18628","1276"
"CO","303","Kidney and Bladder Operations for Cancer","11001 - 12476","197"
"CT","303","Kidney and Bladder Operations for Cancer","14052 - 15303","262"
"DC","303","Kidney and Bladder Operations for Cancer","14678 - 16288","116"
"DE","303","Kidney and Bladder Operations for Cancer","11413 - 13083","67"
"FL","303","Kidney and Bladder Operations for Cancer","10323 - 11914","1379"
"GA","303","Kidney and Bladder Operations for Cancer","11100 - 13443","470"
"HI","303","Kidney and Bladder Operations for Cancer","12726 - 14969","60"
"IA","303","Kidney and Bladder Operations for Cancer","10439 - 11862","271"
"ID","303","Kidney and Bladder Operations for Cancer","10972 - 11513","82"
"IL","303","Kidney and Bladder Operations for Cancer","11354 - 14431","888"
"IN","303","Kidney and Bladder Operations for Cancer","10627 - 11764","565"
"KS","303","Kidney and Bladder Operations for Cancer","10128 - 12160","208"
"KY","303","Kidney and Bladder Operations for Cancer","10230 - 12000","369"
"LA","303","Kidney and Bladder Operations for Cancer","10423 - 11830","314"
"MA","303","Kidney and Bladder Operations for Cancer","12932 - 16004","524"
"MD","303","Kidney and Bladder Operations for Cancer","11092 - 21309","381"
"ME","303","Kidney and Bladder Operations for Cancer","11407 - 12498","120"
"MI","303","Kidney and Bladder Operations for Cancer","11453 - 14316","746"
"MN","303","Kidney and Bladder Operations for Cancer","11680 - 13855","501"
"MO","303","Kidney and Bladder Operations for Cancer","10097 - 13511","562"
"MS","303","Kidney and Bladder Operations for Cancer","10528 - 11869","215"
"MT","303","Kidney and Bladder Operations for Cancer","10274 - 10764","61"
"NC","303","Kidney and Bladder Operations for Cancer","11067 - 14354","697"
"ND","303","Kidney and Bladder Operations for Cancer","9855 - 10260","62"
"NE","303","Kidney and Bladder Operations for Cancer","10307 - 11385","156"
"NH","303","Kidney and Bladder Operations for Cancer","12335 - 16574","77"
"NJ","303","Kidney and Bladder Operations for Cancer","12322 - 15025","578"
"NM","303","Kidney and Bladder Operations for Cancer","11712 - 13060","84"
"NV","303","Kidney and Bladder Operations for Cancer","11374 - 13179","108"
"NY","303","Kidney and Bladder Operations for Cancer","11792 - 19767","1397"
"OH","303","Kidney and Bladder Operations for Cancer","10927 - 13082","958"
"OK","303","Kidney and Bladder Operations for Cancer","10099 - 11246","219"
"OR","303","Kidney and Bladder Operations for Cancer","11916 - 13129","228"
"PA","303","Kidney and Bladder Operations for Cancer","11131 - 13443","958"
"PR","303","Kidney and Bladder Operations for Cancer","6374 - 7265","39"
"RI","303","Kidney and Bladder Operations for Cancer","11499 - 16006","57"
"SC","303","Kidney and Bladder Operations for Cancer","10929 - 12548","326"
"SD","303","Kidney and Bladder Operations for Cancer","11088 - 11161","80"
"TN","303","Kidney and Bladder Operations for Cancer","10649 - 13058","537"
"TX","303","Kidney and Bladder Operations for Cancer","10594 - 12508","1445"
"UT","303","Kidney and Bladder Operations for Cancer","10965 - 14618","91"
"VA","303","Kidney and Bladder Operations for Cancer","10216 - 12293","487"
"VT","303","Kidney and Bladder Operations for Cancer","15996","50"
"WA","303","Kidney and Bladder Operations for Cancer","12478 - 13387","415"
"WI","303","Kidney and Bladder Operations for Cancer","10766 - 12675","460"
"WV","303","Kidney and Bladder Operations for Cancer","10208 - 14321","157"
"WY","303","Kidney and Bladder Operations for Cancer","10652 - 11360","30"
"AK","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","18144 - 18928","11"
"AL","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","11672 - 15363","286"
"AR","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12791 - 14169","138"
"AZ","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13243 - 16053","243"
"CA","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","15304 - 22159","961"
"CO","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13057 - 15038","125"
"CT","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","15102 - 18164","192"
"DC","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","17422 - 19333","76"
"DE","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13314 - 15529","47"
"FL","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12154 - 14786","932"
"GA","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12598 - 15956","336"
"HI","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","14893 - 17767","28"
"IA","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12537 - 17206","123"
"ID","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12511 - 13633","35"
"IL","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13083 - 18382","622"
"IN","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12519 - 17214","373"
"KS","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12014 - 16362","128"
"KY","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12142 - 14423","236"
"LA","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12753 - 18847","204"
"MA","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","14296 - 18996","342"
"MD","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","10944 - 24827","313"
"ME","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13937 - 15043","81"
"MI","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13937 - 17888","470"
"MN","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13989 - 16524","366"
"MO","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12286 - 16058","316"
"MS","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12058 - 13959","131"
"MT","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12156 - 12776","29"
"NC","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13292 - 17562","476"
"ND","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","11541 - 13689","49"
"NE","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12509 - 15904","73"
"NH","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","14012 - 19672","57"
"NJ","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","14358 - 17729","472"
"NM","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13199 - 21010","50"
"NV","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13666 - 15996","112"
"NY","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","15386 - 23511","989"
"OH","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12915 - 16064","729"
"OK","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","11986 - 15255","168"
"OR","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13774 - 15594","125"
"PA","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12768 - 17341","658"
"PR","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","7566 - 8035","52"
"RI","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","10712 - 18694","58"
"SC","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13023 - 15961","185"
"SD","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13119 - 13248","33"
"TN","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12639 - 15499","352"
"TX","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12645 - 15707","973"
"UT","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","13010 - 14010","81"
"VA","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12245 - 18232","368"
"VT","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","16367 - 18986","22"
"WA","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","14266 - 15922","247"
"WI","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12716 - 18028","304"
"WV","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","11907 - 13712","95"
"WY","304","Kidney and Bladder Operations with Complications or Preexisting Conditions","12643 - 18066","*"
"AK","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","8987 - 9782","23"
"AL","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6014 - 6609","552"
"AR","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6104 - 6807","290"
"AZ","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6734 - 7624","414"
"CA","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7873 - 9780","1403"
