"Provider Number","Hospital Name","Address1","Address2","Address3","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Owner","Accreditation","Emergency Service"
"050116","NORTHRIDGE HOSPITAL MEDICAL CENTER","18300 ROSCOE BLVD",,,"NORTHRIDGE                    ","CA","91325","LOS ANGELES","8188858500","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050118","DOCTORS HOSPITAL OF MANTECA","1205 E NORTH ST",,,"MANTECA                       ","CA","95336","SAN JOAQUIN","2098233111","Acute Care Hospitals","Proprietary","Yes","Yes"
"050121","HANFORD COMMUNITY MEDICAL CENTER","450 GREENFIELD AVE",,,"HANFORD                       ","CA","93230","KINGS","5595829000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050122","DAMERON HOSPITAL ASSOCIATION","525 WEST ACACIA STREET",,,"STOCKTON                      ","CA","95203","SAN JOAQUIN","2099445550","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050124","VERDUGO HILLS HOSPITAL","1812 VERDUGO BLVD",,,"GLENDALE                      ","CA","91209","LOS ANGELES","8187907100","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050125","REGIONAL MEDICAL CENTER OF SAN JOSE","225 N JACKSON AVE",,,"SAN JOSE                      ","CA","95116","SANTA CLARA","4082595000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050126","VALLEY PRESBYTERIAN HOSPITAL","1510 VANOWEN ST",,,"VAN NUYS                      ","CA","91406","LOS ANGELES","8189023906","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050127","WOODLAND MEMORIAL HOSPITAL","1325 COTTONWOOD STREET",,,"WOODLAND                      ","CA","95695","YOLO","5306623961","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050128","TRI-CITY MEDICAL CENTER","4002 VISTA WAY",,,"OCEANSIDE                     ","CA","92056","SAN DIEGO","7607248411","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050129","ST BERNARDINE MEDICAL CENTER","2101 N WATERMAN AVE",,,"SAN BERNARDINO                ","CA","92404","SAN BERNARDINO","9098814440","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050131","NOVATO COMMUNITY HOSPITAL","180 ROWLAND WAY",,,"NOVATO                        ","CA","94945","MARIN","4152091300","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050132","SAN GABRIEL VALLEY MEDICAL CENTER","438 W LAS TUNAS DRIVE",,,"SAN GABRIEL                   ","CA","91778","LOS ANGELES","6262895454","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050133","RIDEOUT MEMORIAL HOSPITAL","726 4TH ST",,,"MARYSVILLE                    ","CA","95901","YUBA","5307494300","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050135","HOLLYWOOD COMMUNITY HOSPITAL","6245 DE LONGPRE AVE",,,"HOLLYWOOD                     ","CA","90028","LOS ANGELES","3234622271","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050136","PETALUMA VALLEY HOSPITAL","400 N MCDOWELL BLVD",,,"PETALUMA                      ","CA","94952","SONOMA","7077782631","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050137","KAISER FOUNDATION HOSPITAL","13652 CANTARA ST",,,"PANORAMA CITY                 ","CA","91402","LOS ANGELES","8183753333","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050138","KAISER FOUNDATION HOSPITAL","4867 SUNSET BLVD",,,"LOS ANGELES                   ","CA","90027","LOS ANGELES","3237834011","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050139","KAISER FOUNDATION HOSPITAL","9400 E ROSECRANS AVE",,,"BELLFLOWER                    ","CA","90706","LOS ANGELES","5624616007","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050140","KAISER FOUNDATION HOSPITAL FONTANA","9961 SIERRA AVE",,,"FONTANA                       ","CA","92335","SAN BERNARDINO","9094275500","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050145","COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","23625 W R HOLMAN HIGHWAY",,,"MONTEREY                      ","CA","93940","MONTEREY","8316245311","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050148","PLUMAS DISTRICT HOSPITAL","1065 BUCKS LAKE RD",,,"QUINCY                        ","CA","95971","PLUMAS","5302832121","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050149","CALIFORNIA HOSPITAL MEDICAL CENTER LA","1401 SOUTH GRAND AVENUE",,,"LOS ANGELES                   ","CA","90015","LOS ANGELES","2137482411","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050150","SIERRA NEVADA MEMORIAL HOSPITAL","155 GLASSON WAY",,,"GRASS VALLEY                  ","CA","95945","NEVADA","5302746000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050152","SAINT FRANCIS MEMORIAL HOSPITAL","900 HYDE ST",,,"SAN FRANCISCO                 ","CA","94109","SAN FRANCISCO","4157754321","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050153","O'CONNOR HOSPITAL","2105 FOREST AVENUE",,,"SAN JOSE                      ","CA","95128","SANTA CLARA","4089472500","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050158","ENCINO-TARZANA REGIONAL MEDICAL CTR","16237 VENTURA BLVD",,,"ENCINO                        ","CA","91436","LOS ANGELES","8189955000","Acute Care Hospitals","Proprietary","Yes","Yes"
"050159","VENTURA COUNTY MEDICAL CENTER","3291 LOMA VISTA RD",,,"VENTURA                       ","CA","93003","VENTURA","8056526075","Acute Care Hospitals","Government - Local","Yes","Yes"
"050167","SAN JOAQUIN GENERAL HOSPITAL","500 W HOSPITAL ROAD",,,"FRENCH CAMP                   ","CA","95231","SAN JOAQUIN","2094686000","Acute Care Hospitals","Government - Local","Yes","Yes"
"050168","ST JUDE MEDICAL CENTER","101 E VALENCIA MESA DRIVE",,,"FULLERTON                     ","CA","92835","ORANGE","7149923000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050169","PRESBYTERIAN INTERCOMMUNITY HOSPITAL","12401 E WASHINGTON BLVD",,,"WHITTIER                      ","CA","90602","LOS ANGELES","5266980811","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050173","ANAHEIM GENERAL HOSPITAL","3350 W BALL RD",,,"ANAHEIM                       ","CA","92804","ORANGE","7142204533","Acute Care Hospitals","Proprietary","Yes","Yes"
"050174","SANTA ROSA MEMORIAL HOSPITAL","1165 MONTGOMERY DR",,,"SANTA ROSA                    ","CA","95405","SONOMA","7075255300","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050179","EMANUEL MEDICAL CENTER INC","825 DELBON AVE",,,"TURLOCK                       ","CA","95382","STANISLAUS","2096674200","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050180","JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS","1601 YGNACIO VALLEY RD",,,"WALNUT CREEK                  ","CA","94598","CONTRA COSTA","9259393000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050188","COMMUNITY HOSPITAL OF LOS GATOS","815 POLLARD ROAD",,,"LOS GATOS                     ","CA","95032","SANTA CLARA","4083786131","Acute Care Hospitals","Proprietary","Yes","Yes"
"050189","GEORGE L MEE MEMORIAL HOSPITAL","300 CANAL ST",,,"KING CITY                     ","CA","93930","MONTEREY","8313856000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050191","ST MARY MEDICAL CENTER","1050 LINDEN AVE",,,"LONG BEACH                    ","CA","90801","LOS ANGELES","5624919000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050192","SIERRA KINGS DISTRICT HOSPITAL","372 W CYPRESS AVE",,,"REEDLEY                       ","CA","93654","FRESNO","5596388155","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050193","SOUTH COAST MEDICAL CENTER","31872 COAST HWY",,,"LAGUNA BEACH                  ","CA","92677","ORANGE","9494997193","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050194","WATSONVILLE COMMUNITY HOSPITAL","75 NIELSON STREET",,,"WATSONVILLE                   ","CA","95076","SANTA CRUZ","8317244741","Acute Care Hospitals","Proprietary","Yes","Yes"
"050195","WASHINGTON HOSPITAL","2000 MOWRY AVE",,,"FREMONT                       ","CA","94538","ALAMEDA","5107971111","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050196","CENTRAL VALLEY GENERAL HOSPITAL","1025 N DOUTY ST",,,"HANFORD                       ","CA","93230","KINGS","5595832100","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050197","SEQUOIA HOSPITAL","170 ALAMEDA DE LAS PULGAS",,,"REDWOOD CITY                  ","CA","94062","SAN MATEO","6503675551","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050204","LANCASTER COMMUNITY HOSPITAL","43830 N 10TH ST W",,,"LANCASTER                     ","CA","93534","LOS ANGELES","6619484781","Acute Care Hospitals","Proprietary","Yes","Yes"
"050205","EAST VALLEY HOSPITAL MEDICAL CENTER","150 WEST ROUTE 66",,,"GLENDORA                      ","CA","91740","LOS ANGELES","6263350231","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050211","ALAMEDA HOSPITAL","2070 CLINTON AVE",,,"ALAMEDA                       ","CA","94501","ALAMEDA","5105223700","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050219","COAST PLAZA DOCTORS HOSPITAL","13100 S STUDEBAKER RD",,,"NORWALK                       ","CA","90650","LOS ANGELES","5628683751","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050222","SHARP CHULA VISTA MEDICAL CENTER","751 MEDICAL CENTER COURT",,,"CHULA VISTA                   ","CA","91911","SAN DIEGO","6194823664","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050224","HOAG MEMORIAL HOSPITAL PRESBYTERIAN","ONE HOAG DRIVE",,,"NEWPORT BEACH                 ","CA","92663","ORANGE","9496458600","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050225","FEATHER RIVER HOSPITAL","5974 PENTZ ROAD",,,"PARADISE                      ","CA","95969","BUTTE","5308779361","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050226","ANAHEIM MEMORIAL HOSPITAL","1111 W LA PALMA AVE",,,"ANAHEIM                       ","CA","92801","ORANGE","7147741450","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050228","SAN FRANCISCO GENERAL HOSPITAL","1001 POTRERO AVE",,,"SAN FRANCISCO                 ","CA","94110","SAN FRANCISCO","4152068000","Acute Care Hospitals","Government - Local","Yes","Yes"
"050230","GARDEN GROVE HOSPITAL & MEDICAL CENTER","12601 GARDEN GROVE BLVD",,,"GARDEN GROVE                  ","CA","92843","ORANGE","7145375160","Acute Care Hospitals","Proprietary","Yes","Yes"
"050231","POMONA VALLEY HOSPITAL MEDICAL CENTER","1798 N GAREY AVE",,,"POMONA                        ","CA","91767","LOS ANGELES","9098659500","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050232","FRENCH HOSPITAL MEDICAL CENTER","1911 JOHNSON AVE",,,"SAN LUIS OBISPO               ","CA","93401","SAN LUIS OBISPO","8055435353","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050234","SHARP CORONADO HOSPITAL AND HLTHCR CTR","250 PROSPECT PLACE",,,"CORONADO                      ","CA","92118","SAN DIEGO","6194356251","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050235","PROVIDENCE SAINT JOSEPH MEDICAL CTR","501 SOUTH BUENA VISTA",,,"BURBANK                       ","CA","91505","LOS ANGELES","8188435111","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050236","SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES","2975 N SYCAMORE DR",,,"SIMI VALLEY                   ","CA","93065","VENTURA","8059556000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050238","METHODIST HOSPITAL OF SOUTHERN CA","300 W HUNTINGTON DR",,,"ARCADIA                       ","CA","91006","LOS ANGELES","6264454441","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050239","GLENDALE ADVENTIST MEDICAL CENTER","1509 E WILSON AVE",,,"GLENDALE                      ","CA","91206","LOS ANGELES","8184098202","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050242","DOMINICAN HOSPITAL","1555 SOQUEL DRIVE",,,"SANTA CRUZ                    ","CA","95065","SANTA CRUZ","8314627700","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050243","DESERT REGIONAL MEDICAL CENTER","1150 NORTH INDIAN CANYON DRIVE",,,"PALM SPRINGS                  ","CA","92262","RIVERSIDE","7603236511","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050245","ARROWHEAD REGIONAL MEDICAL CENTER","400 NORTH PEPPER AVENUE",,,"COLTON                        ","CA","92324","SAN BERNARDINO","9095801000","Acute Care Hospitals","Government - Local","Yes","Yes"
"050248","NATIVIDAD MEDICAL CENTER","1441 CONSTITUTION BOULEVARD",,,"SALINAS                       ","CA","93906","MONTEREY","8317554195","Acute Care Hospitals","Government - Local","Yes","Yes"
"050254","MARSHALL MEDICAL CENTER (1-RH)","1100 MARSHALL WAY",,,"PLACERVILLE                   ","CA","95667","EL DORADO","5306221441","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050257","GOOD SAMARITAN HOSPITAL","901 OLIVE DRIVE",,,"BAKERSFIELD                   ","CA","93308","KERN","6613994461","Acute Care Hospitals","Proprietary","Yes","No"
"050261","SIERRA VIEW DISTRICT HOSPITAL","465 W PUTNAM AVE",,,"PORTERVILLE                   ","CA","93257","TULARE","5597841110","Acute Care Hospitals","Government - Hospital District or Authority","No","Yes"
"050262","UCLA MEDICAL CENTER","10833 LE CONTE AVE BH 427, CHS",,,"LOS ANGELES                   ","CA","90095","LOS ANGELES","3108256301","Acute Care Hospitals","Government - State","Yes","Yes"
"050264","SAN LEANDRO HOSPITAL","13855 E 14TH STREET",,,"SAN LEANDRO                   ","CA","94578","ALAMEDA","5106674510","Acute Care Hospitals","Proprietary","Yes","Yes"
"050272","REDLANDS COMMUNITY HOSPITAL","350 TERRACINA BLVD",,,"REDLANDS                      ","CA","92373","SAN BERNARDINO","9093355500","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050276","CONTRA COSTA REGIONAL MEDICAL CENTER","2500 ALHAMBRA AVE",,,"MARTINEZ                      ","CA","94553","CONTRA COSTA","9253705000","Acute Care Hospitals","Government - Local","Yes","Yes"
"050277","PACIFIC HOSPITAL OF LONG BEACH","2776 PACIFIC AVE",,,"LONG BEACH                    ","CA","90806","LOS ANGELES","5625951911","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050278","PROVIDENCE HOLY CROSS MEDICAL CENTER","15031 RINALDI ST",,,"MISSION HILLS                 ","CA","91345","LOS ANGELES","8183658051","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050279","HI-DESERT MEDICAL CENTER","6601 WHITE FEATHER ROAD",,,"JOSHUA TREE                   ","CA","92252","SAN BERNARDINO","7603666285","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050280","MERCY MEDICAL CENTER","2175 ROSALINE AVE, CLAIRMONT HGTS",,,"REDDING                       ","CA","96001","SHASTA","5302256101","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050281","ALHAMBRA HOSPITAL AND MEDICAL CENTER","100 S RAYMOND AVE",,,"ALHAMBRA                      ","CA","91801","LOS ANGELES","6265701606","Acute Care Hospitals","Proprietary","Yes","Yes"
"050283","VALLEYCARE MEDICAL CENTER","1111 EAST STANLEY BLVD",,,"LIVERMORE                     ","CA","94550","ALAMEDA","9254477000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050289","SETON MEDICAL CENTER","1900 SULLIVAN AVENUE",,,"DALY CITY                     ","CA","94015","SAN MATEO","6509924000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050290","SAINT JOHN'S HEALTH CENTER","1328 22ND ST",,,"SANTA MONICA                  ","CA","90404","LOS ANGELES","3108295511","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050291","SUTTER MEDICAL CENTER OF SANTA ROSA","3325 CHANATE RD",,,"SANTA ROSA                    ","CA","95404","SONOMA","7075764000","Acute Care Hospitals","Government - Local","Yes","Yes"
"050292","RIVERSIDE COUNTY REGIONAL MEDICAL CENTER","26520 CACTUS AVENUE",,,"MORENO VALLEY                 ","CA","92555","RIVERSIDE","9514864000","Acute Care Hospitals","Proprietary","No","Yes"
"050295","MERCY HOSPITAL","2215 TRUXTUN AVENUE",,,"BAKERSFIELD                   ","CA","93301","KERN","6616325000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050296","HAZEL HAWKINS MEMORIAL HOSPITAL","911 SUNSET DRIVE",,,"HOLLISTER                     ","CA","95023","SAN BENITO","8316375711","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050298","BARSTOW COMMUNITY HOSPITAL","555 SOUTH SEVENTH AVENUE",,,"BARSTOW                       ","CA","92311","SAN BERNARDINO","7602561761","Acute Care Hospitals","Government - Local","Yes","Yes"
"050300","ST MARY MEDICAL CENTER","18300 HIGHWAY 18",,,"APPLE VALLEY                  ","CA","92307","SAN BERNARDINO","7602422311","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050301","UKIAH VALLEY MEDICAL CENTER/HOSPITAL D","275 HOSPITAL DRIVE",,,"UKIAH                         ","CA","95482","MENDOCINO","7074626631","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050305","ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP","2450 ASHBY AVE",,,"BERKELEY                      ","CA","94705","ALAMEDA","5102044444","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050308","EL CAMINO HOSPITAL","2500 GRANT RD",,,"MOUNTAIN VIEW                 ","CA","94040","SANTA CLARA","6509407000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050309","SUTTER ROSEVILLE MEDICAL CENTER","ONE MEDICAL PLAZA",,,"ROSEVILLE                     ","CA","95661","PLACER","9167811000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050313","SUTTER TRACY COMMUNITY HOSPITAL","1420 N TRACY BLVD",,,"TRACY                         ","CA","95376","SAN JOAQUIN","2098351500","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050315","KERN MEDICAL CENTER","1830 FLOWER STREET",,,"BAKERSFIELD                   ","CA","93305","KERN","8053262000","Acute Care Hospitals","Government - Local","Yes","Yes"
"050320","ALAMEDA COUNTY MEDICAL CENTER","1411 E 31ST ST",,,"OAKLAND                       ","CA","94602","ALAMEDA","4155348055","Acute Care Hospitals","Government - Local","Yes","Yes"
"050324","SCRIPPS MEMORIAL HOSPITAL LA JOLLA","9888 GENESEE AVENUE",,,"LA JOLLA                      ","CA","92037","SAN DIEGO","8586264123","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050325","TUOLUMNE GENERAL HOSPITAL","101 E HOSPITAL ROAD",,,"SONORA                        ","CA","95370","TUOLUMNE","2095337001","Acute Care Hospitals","Government - Local","Yes","Yes"
"050327","LOMA LINDA UNIVERSITY MEDICAL CENTER","11234 ANDERSON ST",,,"LOMA LINDA                    ","CA","92354","SAN BERNARDINO","9095589200","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050329","CORONA REGIONAL MEDICAL CENTER","800 SOUTH MAIN STREET",,,"CORONA                        ","CA","92882","RIVERSIDE","9517374343","Acute Care Hospitals","Proprietary","Yes","Yes"
"050333","SENECA DISTRICT HOSPITAL","130 BRENTWOOD DRIVE",,,"CHESTER                       ","CA","96020","PLUMAS","5302582121","Acute Care Hospitals","Government - Hospital District or Authority","No","Yes"
"050334","SALINAS VALLEY MEMORIAL HOSPITAL","450 EAST ROMIE LANE",,,"SALINAS                       ","CA","93901","MONTEREY","8317574333","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050335","SONORA REGIONAL MEDICAL CENTER","1000 GREENLEY ROAD",,,"SONORA                        ","CA","95370","TUOLUMNE","2095323161","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050336","LODI MEMORIAL HOSPITAL","975 S FAIRMONT AVENUE",,,"LODI                          ","CA","95240","SAN JOAQUIN","2093343411","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050342","PIONEERS MEMORIAL HEALTHCARE DISTRICT","207 W LEGION ROAD",,,"BRAWLEY                       ","CA","92227","IMPERIAL","7603513333","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050348","UNIV OF CALIFORNIA IRVINE MED CENTER","101 CITY DRIVE SOUTH",,,"ORANGE                        ","CA","92868","ORANGE","7144566112","Acute Care Hospitals","Government - State","Yes","Yes"
"050349","CORCORAN DISTRICT HOSPITAL","1310 HANNA AVE",,,"CORCORAN                      ","CA","93212","KINGS","5599925051","Acute Care Hospitals","Government - Hospital District or Authority","No","Yes"
"050350","BEVERLY HOSPITAL","309 W BEVERLY BLVD",,,"MONTEBELLO                    ","CA","90640","LOS ANGELES","3237261222","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050351","TORRANCE MEMORIAL MEDICAL CENTER","3330 LOMITA BLVD",,,"TORRANCE                      ","CA","90509","LOS ANGELES","3103259110","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050352","BARTON MEMORIAL HOSPITAL","2170 SOUTH AVENUE",,,"SOUTH LAKE TAHOE              ","CA","96158","EL DORADO","5305413420","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050353","LITTLE COMPANY OF MARY HOSPITAL","4101 TORRANCE BLVD",,,"TORRANCE                      ","CA","90503","LOS ANGELES","3105407676","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"050357","GOLETA VALLEY COTTAGE HOSPITAL","351 S PATTERSON AVE",,,"SANTA BARBARA                 ","CA","93111","SANTA BARBARA","8056816446","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050359","TULARE DISTRICT HOSPITAL","869 CHERRY AVE",,,"TULARE                        ","CA","93274","TULARE","5596880821","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050360","MARIN GENERAL HOSPITAL","250 BON AIR ROAD, PO BOX 2129",,,"GREENBRAE                     ","CA","94904","MARIN","4159257900","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050366","MARK TWAIN ST JOSEPH'S HOSPITAL","768 MOUNTAIN RANCH RD",,,"SAN ANDREAS                   ","CA","95249","CALAVERAS","2097542515","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050367","NORTHBAY MEDICAL CENTER","1200 B  GALE WILSON BLVD",,,"FAIRFIELD                     ","CA","94533","SOLANO","7074297759","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050369","CITRUS VALLEY MEDICAL CENTER-QV CAMPUS","1115 S SUNSET AVE",,,"WEST COVINA                   ","CA","91790","LOS ANGELES","6269624011","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050373","LAC+USC MEDICAL CENTER","1200 N STATE ST",,,"LOS ANGELES                   ","CA","90033","ORANGE","3232262800","Acute Care Hospitals","Government - Local","Yes","Yes"
"050376","LAC/HARBOR-UCLA MED CENTER","1000 W CARSON ST",,,"TORRANCE                      ","CA","90509","ORANGE","3102222101","Acute Care Hospitals","Government - Local","Yes","Yes"
"050377","CHOWCHILLA DISTRICT MEM HOSPITAL","1104 VENTURA AVENUE",,,"CHOWCHILLA                    ","CA","93610","MADERA","5596653718","Acute Care Hospitals","Government - Hospital District or Authority","No","No"
"050378","PACIFICA HOSPITAL OF THE VALLEY","9449 SAN FERNANDO RD",,,"SUN VALLEY                    ","CA","91352","LOS ANGELES","8187673310","Acute Care Hospitals","Proprietary","Yes","Yes"
"050380","GOOD SAMARITAN HOSPITAL","2425 SAMARITAN DRIVE",,,"SAN JOSE                      ","CA","95124","SANTA CLARA","4085592011","Acute Care Hospitals","Proprietary","Yes","Yes"
"050382","CITRUS VALLEY MEDICAL CENTER-IC CAMPUS","210 W  SAN BERNARDINO ROAD",,,"COVINA                        ","CA","91723","LOS ANGELES","6268142468","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050385","PALM DRIVE HOSPITAL","501 PETALUMA AVE",,,"SEBASTOPOL                    ","CA","95472","SONOMA","7078238511","Acute Care Hospitals","Voluntary non-profit - Other","No","No"
"050390","HEMET VALLEY MEDICAL CENTER","1117 EAST DEVONSHIRE",,,"HEMET                         ","CA","92543","RIVERSIDE","9516522811","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050393","DOWNEY REGIONAL MEDICAL CENTER","11500 BROOKSHIRE AVENUE",,,"DOWNEY                        ","CA","90241","LOS ANGELES","5269045000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050394","COMMUNITY MEMEMORIAL HOSPITAL SAN BUENAVENTURA","LOMA VISTA AT BRENT",,,"VENTURA                       ","CA","93003","VENTURA","8056525011","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"050396","SANTA BARBARA COTTAGE HOSPITAL","PUEBLO AT BATH ST",,,"SANTA BARBARA                 ","CA","93105","SANTA BARBARA","8056827111","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050397","COALINGA REGIONAL MEDICAL CENTER","1191 PHELPS AVENUE",,,"COALINGA                      ","CA","93210","FRESNO","5599356400","Acute Care Hospitals","Government - Hospital District or Authority","No","Yes"
"050407","CHINESE HOSPITAL","845 JACKSON ST",,,"SAN FRANCISCO                 ","CA","94133","SAN FRANCISCO","4159822400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050411","KAISER FOUNDATION HOSPITAL","25825 SOUTH VERMONT AVENUE",,,"HARBOR CITY                   ","CA","90710","LOS ANGELES","3105176441","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050414","MERCY HOSPITAL OF FOLSOM","1650 CREEKSIDE DRIVE",,,"FOLSOM                        ","CA","95630","SACRAMENTO","9169837400","Acute Care Hospitals","Proprietary","Yes","Yes"
"050417","SUTTER COAST HOSPITAL","800 E WASHINGTON BLVD",,,"CRESCENT CITY                 ","CA","95531","DEL NORTE","7074648860","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"050423","PALO VERDE HOSPITAL","250 NORTH FIRST STREET",,,"BLYTHE                        ","CA","92225","RIVERSIDE","7609224115","Acute Care Hospitals","Proprietary","Yes","Yes"
"050424","SCRIPPS GREEN HOSPITAL","10666 NORTH TORREY PINES ROAD",,,"LA JOLLA                      ","CA","92037","SAN DIEGO","8585543600","Acute Care Hospitals","Voluntary non-profit - Other","Yes","No"
"050425","KAISER FOUNDATION HOSPITAL - SACRAMENTO/ROSEVILLE","2025 MORSE AVE",,,"SACRAMENTO                    ","CA","95825","SACRAMENTO","9169735000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Yes"
"050426","WEST ANAHEIM MEDICAL CENTER","3033 W ORANGE AVE",,,"ANAHEIM                       ","CA","92804","ORANGE","7148273000","Acute Care Hospitals","Proprietary","Yes","Yes"
