"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Number of Patients 1","Footnote 1","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Number of Patients 2","Footnote 2","Surgery patients who were given the right kind of antibiotic to help prevent infection","Number of Patients 3","Footnote 3","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Number of Patients 4","Footnote 4","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Number of Patients 5","Footnote 5","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Number of Patients 6","Footnote 6","Surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method","Number of Patients 7","Footnote 7","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Number of Patients 11","Footnote 11","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on them","Number of Patients 8","Footnote 8","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Number of Patients 9","Footnote 9","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Number of Patients 10","Footnote 10","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Number of Patients 13","Footnote 13"
"141327","WABASH GENERAL HOSPITAL","1418 COLLEGE DRIVE","","","MOUNT CARMEL","IL","62863","WABASH","6182628621","90","99","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","98","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","99","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","97","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","114","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","104","The hospital indicated that the data submitted for this measure were based on a sample of cases","71","24","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","99","112","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"141328","HARDIN COUNTY GENERAL HOSPITAL","FERRELL ROAD","","","ROSICLARE","IL","62982","HARDIN","6182856634","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"141330","HOPEDALE MEDICAL COMPLEX","107 TREMONT STREET","","","HOPEDALE","IL","61747","TAZEWELL","3094493321","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"141334","ST JOSEPH MEMORIAL HOSPITAL","2 SOUTH HOSPITAL DRIVE","","","MURPHYSBORO","IL","62966","JACKSON","6186843156","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"141335","MERCY HARVARD HOSPITAL","901 GRANT STREET","","","HARVARD","IL","60033","MCHENRY","8159435431","96","23","","91","23","","96","23","","100","43","","100","43","","Not Available","0","","100","61","","98","43","","94","18","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","98","59",""
"141336","ST JOSEPH'S HOSPITAL","1515 MAIN STREET","","","HIGHLAND","IL","62249","MADISON","6186547421","95","43","The hospital indicated that the data submitted for this measure were based on a sample of cases","81","43","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","43","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","51","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","51","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure","100","57","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","45","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","20","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","91","57","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"141338","MEMORIAL HOSPITAL","1900 STATE STREET","","","CHESTER","IL","62233","RANDOLPH","6188264581","73","15","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","15","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","15","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","20","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","20","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure","100","21","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","10","The hospital indicated that the data submitted for this measure were based on a sample of cases","43","7","The hospital indicated that the data submitted for this measure were based on a sample of cases","69","16","","85","13","","95","21","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"141339","TAYLORVILLE MEMORIAL HOSPITAL","201 EAST PLEASANT STREET","","","TAYLORVILLE","IL","62568","CHRISTIAN","2178243331","96","25","","100","24","","100","25","","100","23","","100","23","","Not Available","0","","100","34","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","38",""
"141340","VALLEY WEST COMMUNITY HOSPITAL","11 EAST PLEASANT AVENUE","","","SANDWICH","IL","60548","DEKALB","8157868484","93","30","","93","28","","97","30","","89","45","","91","45","","Not Available","0","","100","60","","88","32","","88","17","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","73",""
"141341","PANA COMMUNITY HOSPITAL","101 E NINTH STREET","","","PANA","IL","62557","CHRISTIAN","2175622131","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"141342","UNION COUNTY HOSPITAL","517 NORTH MAIN STREET","","","ANNA","IL","62906","UNION","6188334511","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"141344","LAWRENCE COUNTY MEMORIAL HOSPITAL","2200 W STATE ST","","","LAWRENCEVILLE","IL","62439","LAWRENCE","6189431000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"141345","SALEM TOWNSHIP HOSPITAL","1201 RICKER DRIVE","","","SALEM","IL","62881","MARION","6185483194","50","6","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","6","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","6","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","11","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","11","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","12","The hospital indicated that the data submitted for this measure were based on a sample of cases","50","6","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","3","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","12","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"141347","CARLINVILLE AREA HOSPITAL","20733 N BROAD STREET","","","CARLINVILLE","IL","62626","MACOUPIN","2178543141","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"141348","RED BUD REGIONAL HOSPITAL","325 SPRING STREET","","","RED BUD","IL","62278","RANDOLPH","6182823831","100","14","","92","13","","93","14","","89","18","","100","18","","Not Available","0","","100","23","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","26","","100","26","","100","24",""
"141350","ST FRANCIS HOSPITAL","1215 FRANCISCAN DR","","","LITCHFIELD","IL","62056","MONTGOMERY","2173242191","100","34","","91","34","","100","34","","95","38","","95","38","","Not Available","Not Available","No data are available from the hospital for this measure","98","49","","87","31","","94","16","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","92","53",""
"141351","CLAY COUNTY HOSPITAL","911 STACY BURK DRIVE","","","FLORA","IL","62839","CLAY","6186622131","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"150001","JOHNSON MEMORIAL HOSPITAL","1125 W JEFFERSON ST","","","FRANKLIN","IN","46131","JOHNSON","3177363300","98","98","","94","97","","99","99","","97","118","","99","118","","Not Available","0","","100","157","","99","80","","90","39","","97","117","","97","115","","97","158",""
"150002","METHODIST HOSPITALS INC","600 GRANT ST","","","GARY","IN","46402","LAKE","2198864642","98","311","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","286","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","320","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","283","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","285","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","86","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","479","The hospital indicated that the data submitted for this measure were based on a sample of cases","73","243","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","145","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","240","","95","235","","100","382","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150003","FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","1501 HARTFORD ST","","","LAFAYETTE","IN","47904","TIPPECANOE","7655024334","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","5454 HOHMAN AVE","","","HAMMOND","IN","46320","LAKE","2199322300","98","125","","93","121","","98","127","","96","123","","97","125","","97","59","","100","237","","72","72","","92","79","","99","88","","99","108","","100","176",""
"150005","HENDRICKS REGIONAL HEALTH","1000 E MAIN ST","","","DANVILLE","IN","46122","HENDRICKS","3177454451","98","329","","95","324","","99","333","","98","360","","98","360","","Not Available","0","","100","462","","91","349","","96","137","","98","160","","94","159","","100","478",""
"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","1007 LINCOLNWAY","","","LA PORTE","IN","46350","LA PORTE","2193261234","98","244","","96","236","","99","247","","96","234","","98","234","","85","46","","100","393","","90","226","","97","124","","93","349","","98","389","","100","369",""
"150007","COMMUNITY HOWARD REGIONAL HEALTH INC","3500 S LAFOUNTAIN ST","","","KOKOMO","IN","46904","HOWARD","7654538371","99","112","","92","107","","98","115","","93","119","","95","119","","82","33","","100","187","","87","105","","85","67","","94","79","","96","77","","94","157",""
"150008","ST CATHERINE HOSPITAL INC","4321 FIR ST","","","EAST CHICAGO","IN","46312","LAKE","2193927004","99","145","","98","132","","97","143","","98","133","","98","133","","95","41","","100","253","","100","89","","100","50","","99","84","","95","86","","100","177",""
"150009","CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","","","JEFFERSONVILLE","IN","47130","CLARK","8122832142","100","505","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","502","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","509","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","510","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","511","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","694","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","420","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","213","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","376","","96","370","","100","699","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150010","ST JOSEPH HOSPITAL & HEALTH CENTER INC","1907 W SYCAMORE ST","","","KOKOMO","IN","46904","HOWARD","7654565300","94","200","","97","189","","98","200","","94","199","","96","199","","Not Available","0","","100","295","","97","196","","92","91","","97","151","","95","149","","100","312",""
"150011","MARION GENERAL HOSPITAL","441 N WABASH AVE","","","MARION","IN","46952","GRANT","7656606000","96","278","","96","272","","97","278","","99","351","","99","351","","Not Available","0","","100","418","","91","107","","96","131","","98","152","","97","151","","100","422",""
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","","","MISHAWAKA","IN","46545","ST JOSEPH","5743355000","99","686","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","683","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","687","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","447","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","447","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","100","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","907","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","161","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","211","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","230","","97","229","","100","524","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST","","","MICHIGAN CITY","IN","46360","LA PORTE","2198798511","100","215","","98","207","","100","220","","99","219","","99","219","","97","35","","100","353","","100","219","","100","129","","97","236","","99","319","","100","314",""
"150017","LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","","","FORT WAYNE","IN","46804","ALLEN","2604357001","98","586","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","559","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","598","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","642","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","650","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","267","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","1366","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","506","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","612","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","1089","","99","1087","","100","1114","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150018","ELKHART GENERAL HOSPITAL","600 E BLVD","","","ELKHART","IN","46514","ELKHART","5742942621","99","597","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","575","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","611","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","390","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","391","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","220","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","805","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","505","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","224","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","328","","96","325","","100","585","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","","","FORT WAYNE","IN","46805","ALLEN","2603734000","99","537","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","520","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","546","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","323","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","323","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","179","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","727","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","342","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","303","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","659","","98","658","","99","561","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","1710 LAFAYETTE RD","","","CRAWFORDSVILLE","IN","47933","MONTGOMERY","7653622800","100","103","","99","102","","97","103","","94","86","","98","86","","Not Available","0","","100","107","","95","64","","96","26","","90","68","","98","61","","100","110",""
"150023","UNION HOSPITAL INC","1606 N SEVENTH ST","","","TERRE HAUTE","IN","47804","VIGO","8122387606","98","663","","96","623","","99","665","","92","727","","97","727","","92","166","","99","1112","","87","625","","90","449","","95","719","","96","717","","100","926",""
"150024","WILLIAM N WISHARD MEMORIAL HOSPITAL","1001 W 10TH ST","","","INDIANAPOLIS","IN","46202","MARION","3176307592","95","240","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","239","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","241","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","240","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","241","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","1","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","354","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","199","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","65","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","58","","95","60","","100","367","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150026","IU HEALTH GOSHEN HOSPITAL","200 HIGH PARK AVE","","","GOSHEN","IN","46526","ELKHART","5743642141","98","358","","97","348","","96","367","","90","425","","95","427","","Not Available","0","","100","620","","94","305","","95","173","","95","144","","90","144","","100","643",""
"150030","HENRY COUNTY MEMORIAL HOSPITAL","1000 N 16TH ST","","","NEW CASTLE","IN","47362","HENRY","7655210890","99","269","","100","264","","100","270","","100","281","","100","281","","Not Available","0","","100","350","","99","90","","98","133","","99","161","","99","161","","100","351",""
"150034","ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVE","","","HOBART","IN","46342","LAKE","2199420551","99","290","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","274","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","291","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","227","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","228","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","43","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","458","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","171","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","130","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","252","","99","251","","100","424","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150035","PORTER VALPARAISO HOSPITAL","814 LAPORTE AVE","","","VALPARAISO","IN","46383","PORTER","2192634600","99","713","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","690","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","715","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","533","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","533","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","87","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","1007","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","262","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","347","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","426","","97","424","","100","987","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150037","HANCOCK REGIONAL HOSPITAL","801 N STATE ST","","","GREENFIELD","IN","46140","HANCOCK","3174684412","94","202","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","196","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","201","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","232","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","232","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","300","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","68","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","98","The hospital indicated that the data submitted for this measure were based on a sample of cases","79","38","","100","32","","100","307","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150038","INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC","2209 JOHN R WOODEN DR","","","MARTINSVILLE","IN","46151","MORGAN","7653496938","93","14","","86","14","","100","14","","100","18","","100","18","","Not Available","0","","100","22","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","71","34","","90","41","","100","23",""
"150042","GOOD SAMARITAN HOSPITAL","520 S 7TH ST","","","VINCENNES","IN","47591","KNOX","8128825220","100","382","","99","364","","100","387","","98","349","","98","349","","90","31","","100","529","","95","111","","98","143","","98","192","","92","191","","100","512",""
"150044","FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE ST","","","NEW ALBANY","IN","47150","FLOYD","8129495500","98","511","","97","469","","96","519","","96","455","","96","455","","99","183","","100","885","","97","471","","100","319","","91","317","","84","307","","100","744",""
"150045","DEKALB HEALTH","1316 E SEVENTH ST","","","AUBURN","IN","46706","DE KALB","2609254600","100","43","","95","40","","100","43","","91","57","","91","58","","Not Available","0","","100","66","","96","26","","93","15","","99","83","","100","83","","99","67",""
"150046","TERRE HAUTE REGIONAL HOSPITAL","3901 S SEVENTH ST","","","TERRE HAUTE","IN","47802","VIGO","8122320021","100","236","","98","209","","100","239","","100","222","","100","222","","96","50","","100","354","","98","148","","99","148","","100","178","","100","178","","100","331",""
"150047","ST JOSEPH HOSPITAL","700 BROADWAY","","","FORT WAYNE","IN","46802","ALLEN","2604253000","100","70","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","67","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","69","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","51","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","51","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","34","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","111","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","31","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","42","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","71","","97","67","","100","88","The hospital indicated that the data submitted for this measure were based on a sample of cases"
