"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","Number of Patients 1","Footnote 1","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Number of Patients 2","Footnote 2","Percent of Pneumonia Patients Given Smoking Cessation Advice/Counseling","Number of Patients 3","Footnote 3","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Number of Patients 4","Footnote 4","Percent of Pneumonia Patients Assessed and Given Influenza Vaccination","Number of Patients 5","Footnote 5","Percent of Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Number of Patients 6","Footnote 6"
"111303","JASPER MEMORIAL HOSPITAL","898 COLLEGE STREET","","","MONTICELLO","GA","31064","JASPER","7064686411","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","73","15",""
"330226","UNITY HOSPITAL OF ROCHESTER","1555 LONG POND ROAD","","","ROCHESTER","NY","14626","MONROE","5857237000","90","169","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","184","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","69","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","102","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","51","The hospital indicated that the data submitted for this measure were based on a sample of cases","87","164","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"520202","ST CLARE'S HOSPITAL OF WESTON INC","3400 MINISTRY PARKWAY","","","WESTON","WI","54476","MARATHON","7153933000","100","64","","100","70","","100","26","","97","37","","96","24","","100","90",""
"151317","GREENE COUNTY GENERAL HOSPITAL","1185 N 1000 W","","","LINTON","IN","47441","GREENE","8128472281","98","43","","97","38","","91","11","","96","26","","69","13","","81","47",""
"241348","TYLER HEALTHCARE CENTER","240 WILLOW STREET","","","TYLER","MN","56178","LINCOLN","5072475521","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"390026","CHESTNUT HILL HOSPITAL","8835 GERMANTOWN AVE","","","PHILADELPHIA","PA","19118","PHILADELPHIA","2152488200","96","273","","100","243","","100","28","","100","76","","100","60","","100","231",""
"100288","ST MARY'S MEDICAL CENTER","901 45TH ST","","","WEST PALM BEACH","FL","33407","PALM BEACH","5618406202","96","119","","96","127","","98","53","","100","77","","100","33","","100","60",""
"341322","ST LUKES HOSPITAL","101 HOSPITAL DRIVE","","","COLUMBUS","NC","28722","POLK","8288943311","98","55","","97","70","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","44","","100","12","","92","51",""
"160047","JENNIE EDMUNDSON HOSPITAL","933 EAST PIERCE STREET","","","COUNCIL BLUFFS","IA","51503","POTTAWATTAMIE","7123966000","96","252","","98","210","","98","56","","91","105","","50","60","","88","196",""
"150030","HENRY COUNTY MEMORIAL HOSPITAL","1000 N 16TH ST","","","NEW CASTLE","IN","47362","HENRY","7655210890","96","151","","97","122","","100","49","","96","96","","100","34","","100","127",""
"451313","FISHER COUNTY HOSPITAL DISTRICT","774 STATE HIGHWAY 70 N","","","ROTAN","TX","79546","FISHER","3257352256","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"450497","BOWIE MEMORIAL HOSPITAL","705 EAST GREENWOOD AV","","","BOWIE","TX","76230","MONTAGUE","9408721126","97","67","The hospital indicated that the data submitted for this measure were based on a sample of cases","86","43","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","21","The hospital indicated that the data submitted for this measure were based on a sample of cases","71","28","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","15","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","56","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"340141","NEW HANOVER REGIONAL MEDICAL CENTER","2131 S 17TH ST BOX 9000","","","WILMINGTON","NC","28402","NEW HANOVER","9103437000","92","297","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","319","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","168","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","188","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","172","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","343","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450855","HARLINGEN MEDICAL CENTER","5501 SOUTH EXPRESSWAY 77","","","HARLINGEN","TX","78550","CAMERON","9563651000","96","125","","97","146","","100","37","","98","107","","94","32","","93","148",""
"330151","ST JAMES MERCY HOSPITAL","411 CANISTEO STREET","","","HORNELL","NY","14843","STEUBEN","6073248000","97","98","","97","113","","100","19","","94","52","","100","17","","100","106",""
"100232","PUTNAM COMMUNITY MEDICAL CENTER","611 ZEAGLER DR","","","PALATKA","FL","32177","PUTNAM","3863268500","99","112","","97","75","","98","50","","98","89","","100","30","","95","107",""
"100055","FLORIDA HOSPITAL NORTH PINELLAS","1395 S PINELLAS AVE","","","TARPON SPRINGS","FL","34689","PINELLAS","7279425000","97","73","","98","111","","100","22","","99","76","","100","30","","98","96",""
"171367","GOVE COUNTY MEDICAL CENTER","520 WEST 5TH STREET","","","QUINTER","KS","67752","GOVE","7857543341","94","18","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","44","16","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","64","28",""
"100090","FLAGLER HOSPITAL","400 HEALTH PARK BLVD","","","SAINT AUGUSTINE","FL","32086","SAINT JOHNS","9048194426","90","151","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","144","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","61","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","92","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","54","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","179","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330307","CAYUGA MEDICAL CENTER AT ITHACA","101 DATES DRIVE","","","ITHACA","NY","14850","TOMPKINS","6072744401","96","141","","98","160","","100","48","","82","79","","84","43","","89","137",""
"180078","PAUL B HALL REGIONAL MEDICAL CENTER","625 JAMES S TRIMBLE BOULEVARD, P O BOX 1848","","","PAINTSVILLE","KY","41240","JOHNSON","6067893511","100","177","","100","167","","100","111","","100","82","","100","57","","100","151",""
"310060","ST LUKE'S WARREN HOSPITAL","185 ROSEBERRY ST","","","PHILLIPSBURG","NJ","08865","WARREN","9088596700","100","200","","100","213","","100","46","","99","128","","100","66","","98","200",""
"261312","HARRISON COUNTY COMMUNITY HOSPITAL","2600 MILLER STREET","","","BETHANY","MO","64424","HARRISON","6604250284","100","15","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","12","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","88","25",""
"280020","SAINT ELIZABETH REGIONAL MEDICAL CENTER","555 SOUTH 70TH ST","","","LINCOLN","NE","68510","LANCASTER","4022197700","98","182","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","193","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","46","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","106","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","100","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","217","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"260059","MERCY HOSPITAL LEBANON","100 HOSPITAL DRIVE","","","LEBANON","MO","65536","LACLEDE","4175336100","99","105","","95","103","","100","57","","99","78","","100","20","","100","93",""
"450716","CYPRESS FAIRBANKS MEDICAL CENTER","10655 STEEPLETOP DRIVE","","","HOUSTON","TX","77065","HARRIS","2818973100","98","177","","99","145","","100","57","","98","120","","94","33","","98","108",""
"220174","MERRIMACK VALLEY HOSPITAL","140 LINCOLN AVENUE","","","HAVERHILL","MA","01830","ESSEX","9783742000","99","144","","96","142","","100","25","","96","79","","100","31","","87","142",""
"370022","JACKSON COUNTY MEMORIAL HOSPITAL"," 1200 EAST PECAN ST","","","ALTUS","OK","73523","JACKSON","5803795000","96","101","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","78","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","59","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","67","The hospital indicated that the data submitted for this measure were based on a sample of cases","71","28","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","98","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450848","MEMORIAL HERMANN SUGAR LAND HOSPITAL","17500 W GRAND PARKWAY SOUTH","","","SUGAR LAND","TX","77479","FORT BEND","2814994800","100","97","","100","102","","100","16","","96","84","","100","30","","98","105",""
"43002F","VA BLACK HILLS HEALTHCARE SYSTEM - FORT MEADE","113 COMANCHE ROAD","","","FORT MEADE                    ","SD","57741","MEADE","6053472511","98","59","","98","49","","100","30","","95","41","","98","42","","100","66",""
"360006","RIVERSIDE METHODIST HOSPITAL","3535 OLENTANGY RIVER RD","","","COLUMBUS","OH","43214","FRANKLIN","6145665000","97","436","","98","374","","100","248","","96","265","","99","173","","99","469",""
"511318","MONTGOMERY GENERAL HOSPITAL, INC","401 SIXTH AVENUE, FAYETTE COUNTY","","","MONTGOMERY","WV","25136","FAYETTE","3044425151","95","61","","91","46","","100","18","","81","43","","54","13","","84","51",""
"511308","BRAXTON COUNTY MEMORIAL HOSPITAL","100 HOYLMAN DRIVE","","","GASSAWAY","WV","26624","BRAXTON","3043645156","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","81","47","","59","17","","66","35","","69","16","","49","45",""
"140209","METHODIST MEDICAL CENTER OF ILLINOIS","221 N E GLEN OAK AVE","","","PEORIA","IL","61636","PEORIA","3096725522","99","269","","99","270","","100","110","","94","151","","99","88","","99","282",""
"171357","HILLSBORO COMMUNITY HOSPITAL","701 S MAIN STREET","","","HILLSBORO","KS","67063","MARION","6209473114","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","75","12",""
"490043","INOVA LOUDOUN HOSPITAL","44045 RIVERSIDE PARKWAY","","","LEESBURG","VA","20176","LOUDOUN","7038586600","100","106","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","149","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","29","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","86","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","47","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","131","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"370232","MUSKOGEE COMMUNITY HOSPITAL","2900 NORTH MAIN STREET","","","MUSKOGEE","OK","74402","MUSKOGEE","9186877777","71","21","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","33","The hospital indicated that the data submitted for this measure were based on a sample of cases","71","14","The hospital indicated that the data submitted for this measure were based on a sample of cases","75","36","The hospital indicated that the data submitted for this measure were based on a sample of cases","46","13","The hospital indicated that the data submitted for this measure were based on a sample of cases","59","39","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"501327","WHITMAN HOSPITAL AND MEDICAL CENTER","1200 WEST FAIRVIEW","","","COLFAX","WA","99111","WHITMAN","5093973435","91","11","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","50","12","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"370220","ORTHOPEDIC HOSPITAL","1044 SOUTHWEST 44TH STREET, SUITE 950","","","OKLAHOMA CITY","OK","73109","OKLAHOMA","4056313085","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"141300","THOMAS H BOYD MEMORIAL HOSPITAL","800 SCHOOL ST","","","CARROLLTON","IL","62016","GREENE","2179426946","92","12","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","69","13","","Not Available","0","","83","18",""
"140118","METROSOUTH MEDICAL CENTER","12935 S GREGORY","","","BLUE ISLAND","IL","60406","COOK","7085972000","94","18","","99","204","","100","84","","91","123","","100","78","","100","179",""
"180138","BAPTIST HOSPITAL NORTHEAST","1025 NEW MOODY LANE","","","LA GRANGE","KY","40031","OLDHAM","5022225388","100","105","","99","115","","98","48","","97","65","","100","32","","100","102",""
"450743","TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON","3000 N I-35","","","DENTON","TX","76201","DENTON","9408987000","96","212","","99","212","","100","91","","94","122","","100","52","","100","189",""
"330047","ST MARY'S HOSPITAL AT AMSTERDAM","427 GUY PARK AVENUE","","","AMSTERDAM","NY","12010","MONTGOMERY","5188421900","100","118","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","135","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","40","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","69","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","48","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","123","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"170075","MERCY HOSPITAL","218 E PACK ST","","","MOUNDRIDGE","KS","67107","MCPHERSON","6203456391","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","92","13",""
"210049","UPPER CHESAPEAKE MEDICAL CENTER","500 UPPER CHESAPEAKE DRIVE","","","BEL AIR","MD","21014","HARFORD","4436433303","99","394","","99","478","","100","145","","98","262","","98","91","","99","290",""
"100157","LAKELAND REGIONAL MEDICAL CENTER","1324 LAKELAND HILLS BLVD","","","LAKELAND","FL","33805","POLK","8636871100","97","175","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","159","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","69","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","112","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","44","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","141","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"670071","TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON","811 WRIGHT STREET","","","ARLINGTON","TX","76012","TARRANT","8179603500","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"100265","MEASE COUNTRYSIDE HOSPITAL","3231 MCMULLEN BOOTH RD","","","SAFETY HARBOR","FL","34695","PINELLAS","7277346950","97","343","","99","403","","99","67","","96","204","","96","110","","99","361",""
"161341","LUCAS COUNTY HEALTH CENTER","1200 NORTH 7TH STREET","","","CHARITON","IA","50049","LUCAS","6417743000","97","29","","100","17","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","85","20","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","59","22",""
"360010","UNION HOSPITAL","659 BOULEVARD","","","DOVER","OH","44622","TUSCARAWAS","3303433311","99","315","","99","281","","99","89","","97","204","","99","120","","100","353",""
"390228","ST CLAIR MEMORIAL HOSPITAL","1000 BOWER HILL ROAD","","","PITTSBURGH","PA","15243","ALLEGHENY","4125614900","99","568","","99","517","","100","123","","99","379","","99","172","","100","594",""
"070021","WINDHAM COMM MEM HOSP & HATCH HOSP","112 MANSFIELD AVE","","","WILLIMANTIC","CT","06226","WINDHAM","8604569116","100","126","","97","133","","96","49","","97","75","","86","35","","96","112",""
"241350","MERCY HOSPITAL","710 KENWOOD AVENUE SOUTH","","","MOOSE LAKE","MN","55767","CARLTON","2184854481","97","29","","96","25","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","24","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","96","23",""
"250126","NORTH OAK REGIONAL MEDICAL CENTER","401 GETWELL DR","","","SENATOBIA","MS","38668","TATE","6625623100","92","48","","86","35","","100","11","","85","33","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","29",""
"501325","FORKS COMMUNITY HOSPITAL","530 BOGACHIEL WAY","","","FORKS","WA","98331","CLALLAM","3603746271","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"520048","MERCY MED CTR OF OSHKOSH","500 S OAKWOOD RD","","","OSHKOSH","WI","54904","WINNEBAGO","9202232000","98","106","","100","98","","100","47","","97","60","","97","35","","100","108",""
"190307","SOUTH CAMERON MEMORIAL HOSPITAL","5360 WEST CREOLE HWY","","","CAMERON","LA","70631","CAMERON","3375424111","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"130028","PORTNEUF MEDICAL CENTER","777 HOSPITAL WAY","","","POCATELLO","ID","83201","BANNOCK","2082391000","98","188","","98","191","","99","82","","96","126","","91","45","","99","162",""
"460052","TIMPANOGOS REGIONAL HOSPITAL","750 WEST 800 NORTH","","","OREM","UT","84057","UTAH","8017146800","100","40","","96","49","","100","12","","97","36","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","43",""
"210019","PENINSULA REGIONAL MEDICAL CENTER","100 E CARROLL AVE","","","SALISBURY","MD","21801","WICOMICO","4105437116","96","318","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","304","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","137","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","185","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","132","The hospital indicated that the data submitted for this measure were based on a sample of cases","86","291","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"210040","NORTHWEST HOSPITAL CENTER","5401 OLD COURT RD","","","RANDALLSTOWN","MD","21133","BALTIMORE","4105215995","94","384","","95","339","","100","96","","94","205","","98","124","","100","299",""
"060119","MEDICAL CENTER OF THE ROCKIES","2500 ROCKY MOUNTAIN AVENUE","","","LOVELAND","CO","80538","LARIMER","9706242500","97","92","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","110","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","44","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","76","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","43","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","125","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"150065","SCHNECK MEDICAL CENTER","411 W TIPTON ST","","","SEYMOUR","IN","47274","JACKSON","8125222349","97","143","","100","102","","98","63","","93","84","","100","25","","99","112",""
"450653","SCENIC MOUNTAIN MEDICAL CENTER","1601 W 11TH PLACE","","","BIG SPRING","TX","79720","HOWARD","4322631211","100","66","","100","65","","100","30","","100","25","","100","17","","100","58",""
"420018","PALMETTO HEALTH RICHLAND","5 RICHLAND MEDICAL PARK","","","COLUMBIA","SC","29203","RICHLAND","8032965678","93","230","","91","163","","98","115","","94","103","","97","69","","94","194",""
"330263","CARTHAGE AREA HOSPITAL, INC","1001 WEST STREET","","","CARTHAGE","NY","13619","JEFFERSON","3154931000","87","38","","76","34","","100","16","","65","31","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","82","39",""
"230273","DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER","4201 ST ANTOINE ST - 3M","","","DETROIT","MI","48201","WAYNE","3137453104","100","122","","98","371","","100","255","","100","69","","100","97","","95","141",""
"440008","HENDERSON COUNTY COMMUNITY HOSPITAL","200 W CHURCH ST","","","LEXINGTON","TN","38351","HENDERSON","7319681801","100","41","","100","46","","100","25","","100","25","","100","20","","100","43",""
"131320","CLEARWATER VALLEY HOSPITAL & CLINICS","301 CEDAR STREET","","","OROFINO","ID","83544","CLEARWATER","2084764555","100","34","","Not Available","Not Available","No data are available from the hospital for this measure","100","12","","100","26","","100","14","","95","41",""
"240214","MAPLE GROVE HOSPITAL","9875 HOSPITAL DRIVE","","","MAPLE GROVE","MN","55369","HENNEPIN","7635811000","99","89","","100","85","","100","27","","99","75","","97","31","","100","75",""
"161318","VETERANS MEMORIAL HOSPITAL","40 1ST STREET SE","","","WAUKON","IA","52172","ALLAMAKEE","5635683411","91","22","","93","15","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","29","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","85","41",""
"151320","JAY COUNTY HOSPITAL","500 W VOTAW ST","","","PORTLAND","IN","47371","JAY","2607267131","91","56","","91","47","","82","11","","85","47","","100","11","","86","49",""
"320067","GUADALUPE COUNTY HOSPITAL","117 CAMINO DE VIDA","","","SANTA ROSA","NM","88435","GUADALUPE","5754723417","100","6","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","1","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","5","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","15","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","3","The hospital indicated that the data submitted for this measure were based on a sample of cases","69","13","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"060118","ST ANTHONY SUMMIT MEDICAL CENTER","340 PEAK ONE DRIVE","","","FRISCO","CO","80443","SUMMIT","9706683300","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","94","16","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"421303","WILLIAMSBURG REGIONAL HOSPITAL","500 NELSON BOULEVARD","","","KINGSTREE","SC","29556","WILLIAMSBURG","8433558888","86","29","","97","30","","86","14","","79","24","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","77","22",""
"310074","LIBERTYHEALTH-JERSEY CITY MEDICAL CENTER CAMPUS","355 GRAND STREET","","","JERSEY CITY","NJ","07302","HUDSON","2019152000","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","178","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","41","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","63","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","38","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","111","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"111323","DOCTORS HOSPITAL OF TATTNALL, THE","247 S MAIN STREET","","","REIDSVILLE","GA","30453","TATTNALL","9125571000","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"400105","HOSPITAL UNIVERSITARIO DR RUIZ ARNAU","LAUREL AVE SANTA JUANITA #100","","","BAYAMON","PR","00956","BAYAMON","7877875151","66","122","","80","110","","80","35","","77","73","","79","24","","84","49",""
"261319","LINCOLN COUNTY MEDICAL CENTER","1000 EAST CHERRY STREET","","","TROY","MO","63379","LINCOLN","6365288551","96","73","","96","73","","70","23","","87","23","","88","24","","97","68",""
"531315","SOUTH LINCOLN MEDICAL CENTER - CAH","PO BOX 390","","","KEMMERER","WY","83101","LINCOLN","3078774401","100","12","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","15","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","91","11",""
"230092","ALLEGIANCE HEALTH","205 N EAST AVE","","","JACKSON","MI","49201","JACKSON","5177884800","96","140","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","120","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","63","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","103","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","44","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","124","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"171354","COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS","120 WEST 8TH STREET","","","ONAGA","KS","66521","POTTAWATOMIE","7858894272","94","34","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","86","14","","90","20","","42","12","","88","42",""
