"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Outpatients with low back pain who had an MRI without trying recommended treatments first such as physical therapy","Number of Patients 1","Footnote 1","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram","Number of Patients 2","Footnote 2","Outpatient CT scans of the abdomen that were “combination” (double) scans","Number of Patients 3","Footnote 3","Outpatient CT scans of the chest that were “combination” (double) scans","Number of Patients 4","Footnote 4","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Number of Patients 5","Footnote 5","Outpatients with brain CT scans who got a sinus CT scan at the same time","Number of Patients 6","Footnote 6"
"050688","SAINT LOUISE REGIONAL HOSPITAL","9400 NO NAME UNO","","","GILROY","CA","95020","SANTA CLARA","4088482000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","8.2","601","","0.266","308","","0","127","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050689","SAN RAMON REGIONAL MEDICAL CTR","6001 NORRIS CANYON ROAD","","","SAN RAMON","CA","94583","CONTRA COSTA","9252759200","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","2.9","688","","0.131","282","","0.022","181","","7.3","179","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050696","KECK HOSPITAL OF USC","1500 SAN PABLO ST","","","LOS ANGELES","CA","90033","LOS ANGELES","3234428656","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.638","210","","0.005","199","","13.8","240","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050697","PATIENTS' HOSPITAL OF REDDING","2900 EUREKA WAY","","","REDDING","CA","96001","SHASTA","5302258700","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"050701","SOUTHWEST HEALTHCARE SYSTEM","25500 MEDICAL CENTER DRIVE","","","MURRIETA","CA","92562","RIVERSIDE","9516966000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","5.2","364","","0.1","710","","0.081","298","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","2.8","809",""
"050704","MISSION COMMUNITY HOSPITAL - PANORAMA","14850 ROSCOE BLVD","","","PANORAMA CITY","CA","91402","LOS ANGELES","8187872222","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","1.9","207","","0.16","169","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050708","FRESNO SURGICAL HOSPITAL","6125 NORTH FRESNO ST","","","FRESNO","CA","93710","FRESNO","5594318000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"050709","DESERT VALLEY HOSPITAL","16850 BEAR VALLEY RD","","","VICTORVILLE","CA","92395","SAN BERNARDINO","7602418000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","0.041","172","","0","66","","7.1","70","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050714","SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ","2900 CHANTICLEER AVENUE","","","SANTA CRUZ","CA","95065","SANTA CRUZ","8314772200","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"050717","LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR","7601 EAST IMPERIAL HIGHWAY","","","DOWNEY","CA","90242","ORANGE","5624017022","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050724","BAKERSFIELD HEART HOSPITAL","3001 SILLECT AVENUE","","","BAKERSFIELD","CA","93308","KERN","6613166000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","0.041","49","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050726","STANISLAUS SURGICAL HOSPITAL","1421 OAKDALE ROAD","","","MODESTO","CA","95355","STANISLAUS","2095722700","34","47","","24.6","114","","0.654","52","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050727","COMMUNITY HOSPITAL OF LONG BEACH","1720 TERMINO AVENUE","","","LONG BEACH","CA","90804","LOS ANGELES","5624940600","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.011","91","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050732","FRESNO HEART AND SURGICAL HOSPITAL","15 EAST AUDUBON DRIVE","","","FRESNO","CA","93720","FRESNO","5594338000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","0.028","109","","0.029","70","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050735","WHITTIER HOSPITAL MEDICAL CENTER","9080 COLIMA RD","","","WHITTIER","CA","90605","LOS ANGELES","5629453561","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","6.7","209","","0.327","165","","0","55","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050736","MONTEREY PARK HOSPITAL","900 S ATLANTIC BLVD","","","MONTEREY PARK","CA","91754","LOS ANGELES","6265709000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","7.3","218","","0.73","237","","0.01","99","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","1","206",""
"050737","GARFIELD MEDICAL CENTER","525 N GARFIELD AVE","","","MONTEREY PARK","CA","91754","LOS ANGELES","6265732222","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","6.5","92","","0.488","82","","0.411","73","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","0.8","236",""
"050738","GREATER EL MONTE COMMUNITY HOSPITAL","1701 SANTA ANITA AVE","","","SOUTH EL MONTE","CA","91733","LOS ANGELES","6263507975","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","0.013","77","","0.036","56","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050739","CENTINELA HOSPITAL MEDICAL CENTER","555 EAST HARDY STREET","","","INGLEWOOD","CA","90301","LOS ANGELES","3106734660","15","100","","7.2","664","","0.129","451","","0.09","134","","8.7","173","","2.2","674",""
"050740","MARINA DEL REY HOSPITAL","4650 LINCOLN BLVD","","","MARINA DEL REY","CA","90291","LOS ANGELES","3108238911","21.2","66","","10.9","129","","0.329","213","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","8.9","79","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050742","OLYMPIA MEDICAL CENTER","5900 WEST OLYMPIC BOULEVARD","","","LOS ANGELES","CA","90036","LOS ANGELES","3106575900","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","21.6","97","","0.042","236","","0.033","92","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050744","WESTERN MEDICAL CENTER HOSP ANAHEIM","1025 S ANAHEIM BLVD","","","ANAHEIM","CA","92805","ORANGE","7145336220","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050745","CHAPMAN MEDICAL CENTER","2601 E CHAPMAN AVE","","","ORANGE","CA","92869","ORANGE","7146330011","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.022","46","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050746","WESTERN MEDICAL CENTER SANTA ANA","1001 NORTH TUSTIN AVENUE","","","SANTA ANA","CA","92705","ORANGE","7149533331","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.012","86","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050747","COASTAL COMMUNITIES HOSPITAL","2701 S BRISTOL ST","","","SANTA ANA","CA","92704","ORANGE","7147545454","Not Available","Not Available","No data are available from the hospital for this measure","5.4","112","","0.419","62","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050749","THOUSAND OAKS SURGICAL HOSPITAL","401 ROLLING OAKS DR","","","THOUSAND OAKS","CA","91361","VENTURA","8057777750","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"050751","MIRACLE MILE MEDICAL CENTER","6000 SAN VICENTE BLVD","","","LOS ANGELES","CA","90036","LOS ANGELES","3239301040","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"050752","BROTMAN MEDICAL CENTER","3828 DELMAS TERRACE","","","CULVER CITY","CA","90231","LOS ANGELES","3108367000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.342","146","","0.041","49","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050754","MENLO PARK SURGICAL HOSPITAL","570 WILLOW ROAD","","","MENLO PARK","CA","94025","SAN MATEO","6503248500","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"050755","SHERMAN OAKS HOSPITAL","4929 VAN NUYS BLVD","","","SHERMAN OAKS","CA","91403","LOS ANGELES","8189817111","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.077","168","","0.02","49","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050757","ALVARADO HOSPITAL MEDICAL CENTER","6655 ALVARADO ROAD","","","SAN DIEGO","CA","92120","SAN DIEGO","6192293172","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","0.113","319","","0.016","189","","8.9","246","","1.8","654",""
"050758","MONTCLAIR HOSPITAL MEDICAL CENTER","5000 SAN BERNARDINO ST","","","MONTCLAIR","CA","91763","SAN BERNARDINO","9096258300","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","0.014","74","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0","81",""
"050761","PROVIDENCE TARZANA MEDICAL CENTER","18321 CLARK STREET","","","TARZANA","CA","91356","LOS ANGELES","8188810800","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","6.3","2698","","0.103","435","","0.033","243","","7.5","241","","1.7","587",""
"050763","SILVER LAKE MEDICAL CENTER","1711 WEST TEMPLE STREET","","","LOS ANGELES","CA","90026","LOS ANGELES","2139896123","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","0.043","47","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050764","SHASTA REGIONAL MEDICAL CENTER","1100 BUTTE ST","","","REDDING","CA","96001","SHASTA","5302445454","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.004","234","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050766","SUTTER SURGICAL HOSPITAL - NORTH VALLEY","455 PLUMAS BLVD","","","YUBA CITY","CA","95991","SUTTER","5307495700","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"050768","ANAHEIM GENERAL HOSPITAL","3350 W BALL ROAD","","","ANAHEIM","CA","92804","ORANGE","7148276700","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"050769","HOAG ORTHOPEDIC INSTITUTE","16250 SAND CANYON AVENUE","","","IRVINE","CA","92618","ORANGE","9497275000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"050770","LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA","28062 BAXTER ROAD","","","MURRIETA","CA","92563","RIVERSIDE","9516721010","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"050771","COAST PLAZA HOSPITAL","13100 STUDERBAKER ROAD","","","NORWALK","CA","90650","LOS ANGELES","3103560550","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"051300","EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS","500 FIRST AVENUE","","","PORTOLA","CA","96122","PLUMAS","5308324277","Not Available","Not Available","No data are available from the hospital for this measure","12.4","97","","0.009","115","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"051302","SOUTHERN INYO HOSPITAL","501 EAST LOCUST STREET","","","LONE PINE","CA","93545","INYO","7608765501","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"051303","MAMMOTH HOSPITAL","85 SIERRA PARK ROAD PO BOX 660","","","MAMMOTH LAKES","CA","93546","MONO","7609343311","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","4.9","61","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0","31",""
"051311","BIGGS GRIDLEY MEMORIAL HOSPITAL","240 SPRUCE STREET","","","GRIDLEY","CA","95948","BUTTE","5308465671","Not Available","Not Available","No data are available from the hospital for this measure","6.9","217","","0.101","158","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"051314","KERN VALLEY HEALTHCARE DISTRICT","6412 LAUREL AVE","","","LAKE ISABELLA","CA","93240","KERN","7603792681","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","0.563","119","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.7","280",""
"051315","TRINITY HOSPITAL","60 EASTER AVENUE","","","WEAVERVILLE","CA","96093","TRINITY","5306235541","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","0.082","85","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"051319","MERCY MEDICAL CENTER MT SHASTA","914 PINE STREET","","","MOUNT SHASTA","CA","96067","SISKIYOU","5309266111","36.8","68","","4.8","520","","0.628","239","","0","149","","2.8","214","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"051320","BANNER LASSEN MEDICAL CENTER","1800 SPRING RIDGE DRIVE","","","SUSANVILLE","CA","96130","LASSEN","5302522000","45.3","64","","14.8","384","","0.039","233","","0","113","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"051321","HEALDSBURG DISTRICT HOSPITAL","1375 UNIVERSITY AVENUE","","","HEALDSBURG","CA","95448","SONOMA","7074316500","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","4.2","566","","0.026","153","","0","79","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"051327","SENECA DISTRICT HOSPITAL","130 BRENTWOOD DRIVE","","","CHESTER                       ","CA","96020","PLUMAS","5302582121","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","2.9","103","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"051329","SUTTER LAKESIDE HOSPITAL","5176 HILL ROAD EAST","","","LAKEPORT","CA","95453","LAKE","7072625000","35.8","67","","5.9","898","","0.075","571","","0.017","348","","6.7","104","","0.8","488",""
"051331","SANTA YNEZ VALLEY COTTAGE HOSPITAL","2050 VIBORG RD","","","SOLVANG","CA","93463","SANTA BARBARA","8056886431","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","5.3","376","","0.359","284","","0.072","235","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"051332","MARK TWAIN ST JOSEPH'S HOSPITAL","768 MOUNTAIN RANCH RD","","","SAN ANDREAS","CA","95249","CALAVERAS","2097542515","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","6.3","507","","0.035","227","","0.008","124","","2","151","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"060001","NORTH COLORADO MEDICAL CENTER","1801 16TH STREET","","","GREELEY","CO","80631","WELD","9703524121","35.5","200","","4.6","1810","","0.05","674","","0","400","","4.3","256","","4","671",""
"060003","LONGMONT UNITED HOSPITAL","1950 MOUNTAIN VIEW AVENUE","","","LONGMONT","CO","80501","BOULDER","3036515111","50","62","","8.7","1031","","0.048","331","","0.013","154","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","2.2","414",""
"060004","PLATTE VALLEY MEDICAL CENTER","1600 PRAIRIE CENTER PARKWAY","","","BRIGHTON","CO","80601","ADAMS","3034981601","49.2","61","","13.2","410","","0.087","241","","0.006","157","","4.9","61","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"060006","MONTROSE MEMORIAL HOSPITAL","800 S 3RD ST","","","MONTROSE","CO","81401","MONTROSE","9702492211","45.6","114","","10.6","1198","","0.315","553","","0.358","335","","4.8","294","","1.3","318",""
"060008","SAN LUIS VALLEY REGIONAL MEDICAL CENTER","106 BLANCA AVE","","","ALAMOSA","CO","81101","ALAMOSA","7195892511","60.4","53","","10.8","443","","0.347","239","","0.203","138","","3.6","55","","5.2","231",""
"060009","EXEMPLA LUTHERAN MEDICAL CENTER","8300 W 38TH AVE","","","WHEAT RIDGE","CO","80033","JEFFERSON","3034254500","35.1","148","","12.8","2694","","0.039","976","","0.004","953","","6.5","245","","1.2","953",""
"060010","POUDRE VALLEY HOSPITAL","1024 S LEMAY AVE","","","FORT COLLINS","CO","80524","LARIMER","9704957000","42.9","205","","6","2664","","0.08","779","","0.012","507","","3.7","754","","1.1","699",""
"060011","DENVER HEALTH MEDICAL CENTER","777 BANNOCK ST","","","DENVER","CO","80204","DENVER","3034366000","50","36","","8.1","385","","0.003","337","","0.033","303","","2.2","135","","0.6","330",""
"060012","CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER","1008 MINNEQUA AVE","","","PUEBLO","CO","81004","PUEBLO","7195574000","36.7","98","","6.7","2169","","0.129","680","","0.06","436","","5.6","160","","2.6","536",""
"060013","MERCY REGIONAL MEDICAL CENTER","1010 THREE SPRINGS BLVD","","","DURANGO","CO","81301","LA PLATA","9702474311","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","3.4","1302","","0.088","397","","0","276","","4.4","362","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"060014","PRESBYTERIAN/ST LUKE'S MEDICAL CENTER","1719 E 19TH AVE","","","DENVER","CO","80218","DENVER","3038396100","36.2","58","","8.6","602","","0.062","323","","0.004","267","","1.8","57","","0.9","230",""
"060015","CENTURA HEALTH-ST ANTHONY HOSPITAL","11600 WEST 2ND PLACE","","","LAKEWOOD","CO","80228","JEFFERSON","7203210000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.017","410","","0.008","248","","3.6","112","","1.8","614",""
"060016","CENTURA HEALTH-ST THOMAS MORE HOSPITAL","1338 PHAY AVE","","","CANON CITY","CO","81212","FREMONT","7192852000","51.9","81","","9.8","870","","0.099","436","","0.054","204","","10.7","112","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"060020","PARKVIEW MEDICAL CENTER INC","400 W 16TH STREET","","","PUEBLO","CO","81003","PUEBLO","7195844000","38.8","98","","8.7","578","","0.051","1275","","0.003","387","","5.7","282","","3.3","1121",""
"060022","MEMORIAL HOSPITAL CENTRAL","1400 E BOULDER ST","","","COLORADO SPRINGS","CO","80909","EL PASO","7193655000","39.3","389","","6.9","3153","","0.657","1669","","0.114","1044","","3.2","376","","2.2","1664",""
"060023","ST MARYS HOSPITAL AND MEDICAL CENTER","2635 N 7TH STREET","","","GRAND JUNCTION","CO","81502","MESA","9702442273","46.4","211","","13.3","2007","","0.07","944","","0.002","664","","6","167","","1.9","526",""
"060024","UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT","12605 EAST 16TH AVENUE","","","AURORA","CO","80045","ADAMS","7208487800","33","200","","12.1","2135","","0.056","1829","","0.002","2506","","3.7","539","","0.8","652",""
"060027","BOULDER COMMUNITY HOSPITAL","1100 BALSAM AVENUE","","","BOULDER","CO","80304","BOULDER","3034402273","39.5","248","","12","2874","","0.069","450","","0.009","423","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","1.2","511",""
"060028","EXEMPLA SAINT JOSEPH HOSPITAL","1835 FRANKLIN ST","","","DENVER","CO","80218","DENVER","3038377111","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","7.4","408","","0.019","157","","0","88","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"060030","MCKEE MEDICAL CENTER","2000 BOISE AVE","","","LOVELAND","CO","80538","LARIMER","9706694640","32.7","101","","6.9","1479","","0.107","559","","0.016","255","","6","218","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"060031","CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES","2222 N NEVADA AVE","","","COLORADO SPRINGS","CO","80907","EL PASO","7197765000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","12.4","858","","0.078","936","","0.01","511","","5.4","130","","1.6","1066",""
"060032","ROSE MEDICAL CENTER","4567 E 9TH AVENUE","","","DENVER","CO","80220","DENVER","3033202121","34.1","167","","5.7","2064","","0.053","972","","0.007","460","","7.9","152","","1.7","577",""
"060034","SWEDISH MEDICAL CENTER","501 E HAMPDEN AVENUE","","","ENGLEWOOD","CO","80113","ARAPAHOE","3037885000","48.8","41","","Not Available","Not Available","No data are available from the hospital for this measure","0.107","814","","0.016","378","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","2.5","719",""
"060036","ARKANSAS VALLEY REGIONAL MEDICAL CENTER","1100 CARSON AVENUE","","","LA JUNTA","CO","81050","OTERO","7193836000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","4.3","609","","0.075","214","","0.022","90","","5.2","97","","1","206",""
