"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3","Percent of Heart Failure Patients Given Smoking Cessation Advice/Counseling","Number of Patients 4","Footnote 4"
"450196","PARIS REGIONAL MEDICAL CENTER","820 CLARKSVILLE ST","","","PARIS","TX","75460","LAMAR","9037854521","97","327","","87","86","","92","248","","99","91",""
"100223","FORT WALTON BEACH MEDICAL CENTER","1000 MAR-WALT DR","","","FORT WALTON BEACH","FL","32547","OKALOOSA","8508621111","100","289","","100","73","","99","222","","100","40",""
"451301","REAGAN MEMORIAL HOSPITAL","805 NORTH MAIN","","","BIG LAKE","TX","76932","REAGAN","3258442561","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"260190","LEE'S SUMMIT MEDICAL CENTER","2100 SE BLUE PARKWAY","","","LEES SUMMIT","MO","64063","JACKSON","8162825000","100","125","","100","36","","97","93","","100","12",""
"390056","J C BLAIR MEMORIAL HOSPITAL","1225 WARM SPRINGS AVE","","","HUNTINGDON","PA","16652","HUNTINGDON","8146432290","91","90","","88","16","","87","67","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"050749","THOUSAND OAKS SURGICAL HOSPITAL","401 ROLLING OAKS DR","","","THOUSAND OAKS","CA","91361","VENTURA","8057777750","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"400048","HOSPITAL EPISCOPAL SAN LUCAS GUAYAMA INC","AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA","","","GUAYAMA","PR","00785","GUAYANILLA","7878644300","97","94","","98","41","","100","94","","100","12",""
"490050","VIRGINIA HOSPITAL CENTER - ARLINGTON","1701 NORTH GEORGE MASON DRIVE","","","ARLINGTON","VA","22205","ARLINGTON","7035585000","99","341","","99","109","","84","284","","100","33",""
"050128","TRI-CITY MEDICAL CENTER","4002 VISTA WAY","","","OCEANSIDE","CA","92056","SAN DIEGO","7607248411","100","343","","100","118","","96","265","","100","54",""
"450270","LAKE WHITNEY MEDICAL CENTER","200 N SAN JACINTO STREET","","","WHITNEY","TX","76692","HILL","2546943165","38","16","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","50","2","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","8","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","67","3","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases"
"340142","CARTERET GENERAL HOSPITAL","3500 ARENDELL ST","","","MOREHEAD CITY","NC","28557","CARTERET","2528086000","100","241","","95","60","","97","172","","100","45",""
"490069","BON SECOURS - MEMORIAL REGIONAL MEDICAL","8260 ATLEE ROAD","","","MECHANICSVILLE","VA","23116","HANOVER","8047646000","100","333","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","93","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","279","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","53","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"181310","CARROLL COUNTY MEMORIAL HOSPITAL","309 ELEVENTH STREET","","","CARROLLTON","KY","41008","CARROLL","5027324321","91","47","","100","12","","85","27","","83","12",""
"520017","ST JOSEPHS HSPTL","2661 CTY HWY I","","","CHIPPEWA FALLS","WI","54729","CHIPPEWA","7157177200","85","46","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","85","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"050385","PALM DRIVE HOSPITAL","501 PETALUMA AVE","","","SEBASTOPOL","CA","95472","SONOMA","7078238511","100","30","","92","12","","96","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"450023","CITIZENS MEDICAL CENTER","2701 HOSPITAL DRIVE","","","VICTORIA","TX","77901","VICTORIA","3615725113","98","323","","95","87","","100","280","","100","50",""
"250081","ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS","1102 CONSTITUTION AVENUE","","","MERIDIAN","MS","39301","LAUDERDALE","6014843590","99","72","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","92","59","","100","16",""
"450399","BROWNFIELD REGIONAL MEDICAL CENTER","705 EAST FELT STREET","","","BROWNFIELD","TX","79316","TERRY","8066373551","62","16","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","8","13","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"500050","PEACEHEALTH SOUTHWEST MEDICAL CENTER","400 NE MOTHER JOSEPH PLACE","","","VANCOUVER","WA","98668","CLARK","3602562000","100","706","","93","190","","95","612","","100","103",""
"511308","BRAXTON COUNTY MEMORIAL HOSPITAL","100 HOYLMAN DRIVE","","","GASSAWAY","WV","26624","BRAXTON","3043645156","50","12","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"390104","KANE COMMUNITY HOSPITAL","4372 ROUTE 6","","","KANE","PA","16735","MCKEAN","8148378585","97","105","","88","25","","72","69","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"060124","ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS","11650 W 2ND PLACE","","","LAKEWOOD","CO","80228","JEFFERSON","7203215000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"461306","GUNNISON VALLEY HOSPITAL","64 EAST 100 NORTH","","","GUNNISON","UT","84634","SANPETE","4355287246","44","18","","Not Available","0","","80","15","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"44016F","MOUNTAIN HOME VA MEDICAL CENTER","SIDNEY & LAMONT STREETS","","","MOUNTAIN HOME                 ","TN","37684","WASHINGTON","4239261171","100","151","","98","52","","99","141","","100","31",""
"100040","ST VINCENT'S MEDICAL CENTER","1 SHIRCLIFF WAY","","","JACKSONVILLE","FL","32204","DUVAL","9043087300","99","306","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","102","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","244","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","61","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450743","TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON","3000 N I-35","","","DENTON","TX","76201","DENTON","9408987000","99","165","","100","55","","80","130","","100","35",""
"521346","SHAWANO MED CTR","309 N BARTLETTE ST","","","SHAWANO","WI","54166","SHAWANO","7155262111","83","52","","93","14","","85","33","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"050526","HUNTINGTON BEACH HOSPITAL","17772 BEACH BLVD","","","HUNTINGTON BEACH","CA","92647","ORANGE","7148435000","100","113","","100","18","","100","84","","100","23",""
"360234","MERCY FRANCISCAN HOSPITAL - MT AIRY","2446 KIPLING AVENUE","","","CINCINNATI","OH","45239","HAMILTON","5138535000","100","228","","100","48","","93","191","","98","55",""
"351301","MOUNTRAIL COUNTY MEDICAL CENTER","615 6TH ST SE","","","STANLEY","ND","58784","MOUNTRAIL","7016282424","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"340109","ALBEMARLE HOSPITAL AUTHORITY","1144 N ROAD ST","","","ELIZABETH CITY","NC","27909","PASQUOTANK","2523350531","100","155","","97","61","","93","125","","100","22",""
"280111","COLUMBUS COMMUNITY HOSPITAL","4600 38TH ST","","","COLUMBUS","NE","68601","PLATTE","4025647118","100","54","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","7","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","40","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","5","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"39009F","PHILADELPHIA VA MEDICAL CENTER","UNIVERSITY AND WOODLAND AVENU","","","PHILADELPHIA                  ","PA","19104","PHILADELPHIA","2158235857","99","218","","99","93","","98","209","","100","76",""
"510050","WHEELING HOSPITAL","1 MEDICAL PARK","","","WHEELING","WV","26003","OHIO","3042433000","100","267","","100","81","","100","192","","100","39",""
"330058","GENEVA GENERAL HOSPITAL","196 -198 NORTH STREET","","","GENEVA","NY","14456","ONTARIO","3157874175","98","126","","100","21","","88","98","","92","13",""
"381312","COQUILLE VALLEY HOSPITAL DISTRICT","940 EAST 5TH STREET","","","COQUILLE","OR","97423","COOS","5413963101","42","12","","Not Available","0","","73","11","","Not Available","0",""
"440115","HUMBOLDT GENERAL HOSPITAL INC","3525 CHERE CAROL RD","","","HUMBOLDT","TN","38343","GIBSON","7317842321","90","41","","69","13","","96","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"110091","ROCKDALE MEDICAL CENTER","1412 MILSTEAD AVENUE, NE","","","CONYERS","GA","30012","ROCKDALE","7709183000","97","288","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","110","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","252","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","62","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250124","MAGEE GENERAL HOSPITAL","300 3RD AVE SE","","","MAGEE","MS","39111","SIMPSON","6018495070","87","105","","74","19","","77","75","","100","31",""
"450587","BROWNWOOD REGIONAL MEDICAL CENTER","1501 BURNET DR","","","BROWNWOOD","TX","76801","BROWN","3256468541","100","79","","95","22","","85","52","","100","15",""
"100314","WEST KENDALL BAPTIST HOSPITAL","9555 SW 162 AVE","","","MIAMI","FL","33196","MIAMI-DADE","7864672011","100","50","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","15","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","46","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"431323","CUSTER REGIONAL HOSPITAL - CRITICAL ACCESS HOSP","1039 MONTGOMERY STREET","","","CUSTER","SD","57730","CUSTER","6056732229","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"190267","FAIRWAY MEDICAL CENTER","67252 INDUSTRY LANE","","","COVINGTON","LA","70433","SAINT TAMMANY","9858013010","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"250012","ALLIANCE HEALTHCARE SYSTEM","1430 HIGHWAY 4 EAST / P O BOX 6000","","","HOLLY SPRINGS","MS","38635","MARSHALL","6622521212","86","22","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","44","25","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"440059","COOKEVILLE REGIONAL MEDICAL CENTER","1 MEDICAL CENTER BOULEVARD","","","COOKEVILLE","TN","38501","PUTNAM","9316462000","99","404","","88","138","","87","339","","97","89",""
"500007","ISLAND HOSPITAL","1211  24TH STREET","","","ANACORTES","WA","98221","SKAGIT","3602991300","98","50","","85","20","","93","43","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"430083","PHS INDIAN HOSPITAL AT EAGLE BUTTE","317 MAIN STREET","","","EAGLE BUTTE","SD","57625","DEWEY","6059643005","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"171322","HAMILTON COUNTY HOSPITAL","700 NORTH HUSER","","","SYRACUSE","KS","67878","HAMILTON","6203847461","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"051332","MARK TWAIN ST JOSEPH'S HOSPITAL","768 MOUNTAIN RANCH RD","","","SAN ANDREAS","CA","95249","CALAVERAS","2097542515","98","47","","81","16","","74","38","","100","12",""
"521337","ST CROIX REG MED CTR","235 STATE STREET","","","SAINT CROIX FALLS","WI","54024","POLK","7154833261","89","28","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","83","23","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"050174","SANTA ROSA MEMORIAL HOSPITAL","1165 MONTGOMERY DR","","","SANTA ROSA","CA","95405","SONOMA","7075255300","100","252","","100","83","","97","198","","98","43",""
"250060","JEFFERSON COUNTY HOSPITAL","809 S MAIN BOX 577","","","FAYETTE","MS","39069","JEFFERSON","6017863401","0","10","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","9","The hospital indicated that the data submitted for this measure were based on a sample of cases","67","3","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050357","GOLETA VALLEY COTTAGE HOSPITAL","351 S PATTERSON AVE","","","SANTA BARBARA","CA","93111","SANTA BARBARA","8056816446","100","20","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","88","17","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"461304","CENTRAL VALLEY MEDICAL CENTER - CAH","48 WEST 1500 NORTH","","","NEPHI","UT","84648","JUAB","4356233000","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"450651","MEDICAL CENTER OF PLANO","3901 W 15TH ST","","","PLANO","TX","75075","COLLIN","9725966800","100","237","","96","56","","99","178","","100","35",""
"351334","MERCY MEDICAL CENTER","1301 15TH AVE W","","","WILLISTON","ND","58801","WILLIAMS","7017747400","100","32","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","24","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"340047","NORTH CAROLINA BAPTIST HOSPITAL","MEDICAL CENTER BOULEVARD","","","WINSTON-SALEM","NC","27157","FORSYTH","3367162011","100","878","","100","295","","97","793","","100","186",""
"521348","VERNON MEM HSPTL","507 SOUTH MAIN ST","","","VIROQUA","WI","54665","VERNON","6086372101","96","24","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","55","20","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"120026","PALI MOMI MEDICAL CENTER","98-1079 MOANALUA ROAD","","","AIEA","HI","96701","HONOLULU","8084866000","99","326","","97","141","","94","310","","100","56",""
"501307","ODESSA MEMORIAL HOSPITAL","502 E AMENDE DRIVE","","","ODESSA","WA","99159","LINCOLN","5099822611","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"160101","BROADLAWNS MEDICAL CENTER","1801 HICKMAN ROAD","","","DES MOINES","IA","50314","POLK","5152822200","100","31","","100","13","","61","31","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"370149","UNITY HEALTH CENTER","1102 W MACARTHUR","","","SHAWNEE","OK","74804","POTTAWATOMIE","4052732270","100","166","","98","57","","97","143","","100","31",""
"39013F","WILKES BARRE VA MEDICAL CENTER","1111 EAST END BOULEVARD","","","WILKES-BARRE                  ","PA","18711","LUZERNE","5708243521","100","95","","100","19","The number of cases is too small to reliably tell how well a hospital is performing","99","75","","100","12","The number of cases is too small to reliably tell how well a hospital is performing"
"250017","TRACE REGIONAL HOSP AND SWING BED","1004 EAST MADISON STREET","","","HOUSTON","MS","38851","CHICKASAW","6624561000","92","26","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","92","13","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"670031","ST LUKE'S PATIENTS MEDICAL CENTER","4600 EAST SAM HOUSTON PARKWAY SOUTH","","","PASADENA","TX","77505","HARRIS","2814870700","93","143","","79","38","","88","97","","100","17",""
"070028","ST VINCENT'S MEDICAL CENTER","2800 MAIN ST","","","BRIDGEPORT","CT","06606","FAIRFIELD","2035765551","100","536","","99","162","","97","375","","100","47",""
"050204","PALMDALE REGIONAL MEDICAL CENTER","38600 MEDICAL CENTER DRIVE","","","PALMDALE","CA","93552","LOS ANGELES","6613825000","99","369","","99","156","","99","349","","100","53",""
"100047","CHARLOTTE REGIONAL MEDICAL CENTER","809 E MARION AVE","","","PUNTA GORDA","FL","33950","CHARLOTTE","9416393131","100","320","","96","100","","78","264","","100","39",""
"151329","MARGARET MARY COMMUNITY HOSPITAL INC","321 MITCHELL AVE","","","BATESVILLE","IN","47006","RIPLEY","8129346624","97","64","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","43","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"283301","CHILDREN'S HOSPITAL & MEDICAL CENTER","8200 DODGE ST","","","OMAHA","NE","68114","DOUGLAS","4029555400","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"360148","POMERENE HOSPITAL","981 WOOSTER ROAD","","","MILLERSBURG","OH","44654","HOLMES","3306741015","100","35","","100","12","","92","26","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"360352","SURGICAL HOSPITAL AT SOUTHWOODS","7630 SOUTHERN BLVD","","","YOUNGSTOWN","OH","44512","MAHONING","3307581954","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"110142","EVANS MEMORIAL HOSPITAL","200 N RIVER STREET","","","CLAXTON","GA","30417","EVANS","9127395105","100","39","","100","11","","100","30","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"511306","ROANE GENERAL HOSPITAL","200 HOSPITAL DRIVE","","","SPENCER","WV","25276","ROANE","3049274444","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"150023","UNION HOSPITAL INC","1606 N SEVENTH ST","","","TERRE HAUTE","IN","47804","VIGO","8122387606","100","613","","94","202","","92","490","","100","99",""
"440030","MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION","908 W 4TH NORTH ST","","","MORRISTOWN","TN","37814","HAMBLEN","4235864231","100","193","","100","39","","96","165","","100","42",""
"241336","KITTSON MEMORIAL HOSPITAL","1010 SOUTH BIRCH","","","HALLOCK","MN","56728","KITTSON","2188433612","64","14","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"181327","MARSHALL COUNTY HOSPITAL","615 OLD SYMSONIA ROAD","","","BENTON","KY","42025","MARSHALL","2705274800","70","46","","89","19","","76","25","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"171371","CLAY COUNTY MEDICAL CENTER","617 LIBERTY","","","CLAY CENTER","KS","67432","CLAY","7856322144","43","21","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"261310","SCOTLAND COUNTY  HOSPITAL","450 E SIGLER AVENUE","","","MEMPHIS","MO","63555","SCOTLAND","6604658511","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"260078","OZARKS MEDICAL CENTER","1100 KENTUCKY AVE","","","WEST PLAINS","MO","65775","HOWELL","4172569111","98","125","","91","35","","88","103","","96","27",""
"260025","HANNIBAL REGIONAL HOSPITAL","6000 HOSPITAL DR","","","HANNIBAL","MO","63401","MARION","5732481300","93","151","","83","41","","96","115","","100","15",""
"190011","E A CONWAY MEDICAL CENTER","4864 JACKSON STREET","","","MONROE","LA","71202","OUACHITA","3183307000","100","185","","100","121","","90","184","","100","61",""
"390073","ALTOONA REGIONAL HEALTH SYSTEM","620 HOWARD AVENUE","","","ALTOONA","PA","16601","BLAIR","8148892011","99","602","","88","159","","86","441","","99","72",""
"190099","AVOYELLES HOSPITAL","4231 HIGHWAY 1192","","","MARKSVILLE","LA","71351","AVOYELLES","3182538611","96","113","","95","20","","84","69","","89","19",""
"100150","LOWER KEYS MEDICAL CENTER","5900 COLLEGE ROAD","","","KEY WEST","FL","33040","MONROE","3052945531","98","65","","94","31","","100","59","","100","12",""
"050537","SUTTER DAVIS HOSPITAL","2000 SUTTER PLACE","","","DAVIS","CA","95616","YOLO","5307566440","100","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","19","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"060034","SWEDISH MEDICAL CENTER","501 E HAMPDEN AVENUE","","","ENGLEWOOD","CO","80113","ARAPAHOE","3037885000","100","301","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","67","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","240","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","48","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"670024","NORTH CYPRESS MEDICAL CENTER","21214 NORTHWEST FREEWAY","","","CYPRESS","TX","77429","HARRIS","2818900203","99","264","","99","72","","93","211","","100","37",""
"241334","RIVER'S EDGE HOSPITAL & CLINIC","1900 NORTH SUNRISE DRIVE","","","ST PETER","MN","56082","NICOLLET","5079312200","88","16","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"201307","MILLINOCKET REGIONAL HOSPITAL","200 SOMERSET STREET","","","MILLINOCKET","ME","04462","PENOBSCOT","2077235161","100","24","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","88","24","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"200040","HENRIETTA D GOODALL HOSPITAL","25 JUNE ST","","","SANFORD","ME","04073","YORK","2073244310","100","81","","89","19","","95","62","","100","18",""
"140030","SHERMAN HOSPITAL","1425 NORTH RANDALL ROAD","","","ELGIN","IL","60123","KANE","8477429800","100","326","","99","78","","98","254","","100","46",""
"400098","HOSPITAL SAN FRANCISCO","371 DE DIEGO AVE","","","SAN JUAN","PR","00923","SAN JUAN","7877675100","91","87","","87","31","","42","85","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"330193","FLUSHING HOSPITAL MEDICAL CENTER","45TH AVENUE AND PARSONS BOULEVARD","","","FLUSHING","NY","11355","QUEENS","7186705000","97","236","","88","69","","81","105","","88","25",""
"251324","WALTHALL COUNTY GENERAL HOSPITAL CAH","100 HOSPITAL DRIVE","","","TYLERTOWN","MS","39667","WALTHALL","6018762122","93","15","The hospital indicated that the data submitted for this measure were based on a sample of cases","80","5","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","13","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","1","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"200024","CENTRAL MAINE MEDICAL CENTER","300 MAIN STREET","","","LEWISTON","ME","04240","ANDROSCOGGIN","2077950111","100","186","","93","42","","99","141","","97","30",""
"210045","EDWARD MCCREADY MEMORIAL HOSPITAL","201 HALL HIGHWAY","","","CRISFIELD","MD","21817","SOMERSET","4109683011","100","16","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","11","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
