"State","Diagnosis Related Group","Medicare Average Payment Minimum","Medicare Average Payment Maximum","Number Of Cases","Footnote"
"WV","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"WY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Extracranial procedures w/o CC/MCC","","","33",""
"AL","Extracranial procedures w/o CC/MCC","","","927",""
"AR","Extracranial procedures w/o CC/MCC","","","681",""
"AZ","Extracranial procedures w/o CC/MCC","","","684",""
"CA","Extracranial procedures w/o CC/MCC","","","2187",""
"CO","Extracranial procedures w/o CC/MCC","","","324",""
"CT","Extracranial procedures w/o CC/MCC","","","432",""
"DC","Extracranial procedures w/o CC/MCC","","","58",""
"DE","Extracranial procedures w/o CC/MCC","","","150",""
"FL","Extracranial procedures w/o CC/MCC","","","3143",""
"GA","Extracranial procedures w/o CC/MCC","","","1129",""
"GU","Extracranial procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"HI","Extracranial procedures w/o CC/MCC","","","42",""
"IA","Extracranial procedures w/o CC/MCC","","","556",""
"ID","Extracranial procedures w/o CC/MCC","","","115",""
"IL","Extracranial procedures w/o CC/MCC","","","1439",""
"IN","Extracranial procedures w/o CC/MCC","","","1140",""
"KS","Extracranial procedures w/o CC/MCC","","","606",""
"KY","Extracranial procedures w/o CC/MCC","","","784",""
"LA","Extracranial procedures w/o CC/MCC","","","808",""
"MA","Extracranial procedures w/o CC/MCC","","","813",""
"MD","Extracranial procedures w/o CC/MCC","","","796",""
"ME","Extracranial procedures w/o CC/MCC","","","224",""
"MI","Extracranial procedures w/o CC/MCC","","","1424",""
"MN","Extracranial procedures w/o CC/MCC","","","481",""
"MO","Extracranial procedures w/o CC/MCC","","","1111",""
"MS","Extracranial procedures w/o CC/MCC","","","636",""
"MT","Extracranial procedures w/o CC/MCC","","","181",""
"NC","Extracranial procedures w/o CC/MCC","","","1258",""
"ND","Extracranial procedures w/o CC/MCC","","","178",""
"NE","Extracranial procedures w/o CC/MCC","","","352",""
"NH","Extracranial procedures w/o CC/MCC","","","250",""
"NJ","Extracranial procedures w/o CC/MCC","","","938",""
"NM","Extracranial procedures w/o CC/MCC","","","117",""
"NV","Extracranial procedures w/o CC/MCC","","","324",""
"NY","Extracranial procedures w/o CC/MCC","","","1554",""
"OH","Extracranial procedures w/o CC/MCC","","","1417",""
"OK","Extracranial procedures w/o CC/MCC","","","559",""
"OR","Extracranial procedures w/o CC/MCC","","","423",""
"PA","Extracranial procedures w/o CC/MCC","","","1280",""
"PR","Extracranial procedures w/o CC/MCC","","","38",""
"RI","Extracranial procedures w/o CC/MCC","","","105",""
"SC","Extracranial procedures w/o CC/MCC","","","786",""
"SD","Extracranial procedures w/o CC/MCC","","","166",""
"TN","Extracranial procedures w/o CC/MCC","","","1050",""
"TX","Extracranial procedures w/o CC/MCC","","","3218",""
"UT","Extracranial procedures w/o CC/MCC","","","124",""
"VA","Extracranial procedures w/o CC/MCC","","","885",""
"VI","Extracranial procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Extracranial procedures w/o CC/MCC","","","58",""
"WA","Extracranial procedures w/o CC/MCC","","","627",""
"WI","Extracranial procedures w/o CC/MCC","","","723",""
"WV","Extracranial procedures w/o CC/MCC","","","427",""
"WY","Extracranial procedures w/o CC/MCC","","","50",""
"AK","Extracranial procedures w CC","","","21",""
"AL","Extracranial procedures w CC","","","301",""
"AR","Extracranial procedures w CC","","","184",""
"AZ","Extracranial procedures w CC","","","257",""
"CA","Extracranial procedures w CC","","","760",""
"CO","Extracranial procedures w CC","","","119",""
"CT","Extracranial procedures w CC","","","128",""
"DC","Extracranial procedures w CC","","","21",""
"DE","Extracranial procedures w CC","","","45",""
"FL","Extracranial procedures w CC","","","1004",""
"GA","Extracranial procedures w CC","","","332",""
"HI","Extracranial procedures w CC","","","11",""
"IA","Extracranial procedures w CC","","","177",""
"ID","Extracranial procedures w CC","","","38",""
"IL","Extracranial procedures w CC","","","646",""
"IN","Extracranial procedures w CC","","","357",""
"KS","Extracranial procedures w CC","","","194",""
"KY","Extracranial procedures w CC","","","255",""
"LA","Extracranial procedures w CC","","","268",""
"MA","Extracranial procedures w CC","","","331",""
"MD","Extracranial procedures w CC","","","269",""
"ME","Extracranial procedures w CC","","","71",""
"MI","Extracranial procedures w CC","","","541",""
"MN","Extracranial procedures w CC","","","239",""
"MO","Extracranial procedures w CC","","","371",""
"MS","Extracranial procedures w CC","","","171",""
"MT","Extracranial procedures w CC","","","45",""
"NC","Extracranial procedures w CC","","","360",""
"ND","Extracranial procedures w CC","","","76",""
"NE","Extracranial procedures w CC","","","97",""
"NH","Extracranial procedures w CC","","","75",""
"NJ","Extracranial procedures w CC","","","328",""
"NM","Extracranial procedures w CC","","","41",""
"NV","Extracranial procedures w CC","","","95",""
"NY","Extracranial procedures w CC","","","543",""
"OH","Extracranial procedures w CC","","","520",""
"OK","Extracranial procedures w CC","","","253",""
"OR","Extracranial procedures w CC","","","104",""
"PA","Extracranial procedures w CC","","","479",""
"PR","Extracranial procedures w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"RI","Extracranial procedures w CC","","","22",""
"SC","Extracranial procedures w CC","","","177",""
"SD","Extracranial procedures w CC","","","36",""
"TN","Extracranial procedures w CC","","","340",""
"TX","Extracranial procedures w CC","","","1034",""
"UT","Extracranial procedures w CC","","","61",""
"VA","Extracranial procedures w CC","","","278",""
"VT","Extracranial procedures w CC","","","16",""
"WA","Extracranial procedures w CC","","","225",""
"WI","Extracranial procedures w CC","","","274",""
"WV","Extracranial procedures w CC","","","132",""
"WY","Extracranial procedures w CC","","","21",""
"AK","Coronary bypass w/o cardiac cath w/o MCC","","","39",""
"AL","Coronary bypass w/o cardiac cath w/o MCC","","","565",""
"AR","Coronary bypass w/o cardiac cath w/o MCC","","","479",""
"AZ","Coronary bypass w/o cardiac cath w/o MCC","","","396",""
"CA","Coronary bypass w/o cardiac cath w/o MCC","","","1214",""
"CO","Coronary bypass w/o cardiac cath w/o MCC","","","185",""
"CT","Coronary bypass w/o cardiac cath w/o MCC","","","209",""
"DC","Coronary bypass w/o cardiac cath w/o MCC","","","76",""
"DE","Coronary bypass w/o cardiac cath w/o MCC","","","100",""
"FL","Coronary bypass w/o cardiac cath w/o MCC","","","1499",""
"GA","Coronary bypass w/o cardiac cath w/o MCC","","","599",""
"GU","Coronary bypass w/o cardiac cath w/o MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"HI","Coronary bypass w/o cardiac cath w/o MCC","","","48",""
"IA","Coronary bypass w/o cardiac cath w/o MCC","","","260",""
"ID","Coronary bypass w/o cardiac cath w/o MCC","","","84",""
"IL","Coronary bypass w/o cardiac cath w/o MCC","","","931",""
"IN","Coronary bypass w/o cardiac cath w/o MCC","","","682",""
"KS","Coronary bypass w/o cardiac cath w/o MCC","","","231",""
"KY","Coronary bypass w/o cardiac cath w/o MCC","","","552",""
"LA","Coronary bypass w/o cardiac cath w/o MCC","","","463",""
"MA","Coronary bypass w/o cardiac cath w/o MCC","","","478",""
"MD","Coronary bypass w/o cardiac cath w/o MCC","","","325",""
"ME","Coronary bypass w/o cardiac cath w/o MCC","","","107",""
"MI","Coronary bypass w/o cardiac cath w/o MCC","","","734",""
"MN","Coronary bypass w/o cardiac cath w/o MCC","","","379",""
"MO","Coronary bypass w/o cardiac cath w/o MCC","","","638",""
"MS","Coronary bypass w/o cardiac cath w/o MCC","","","388",""
"MT","Coronary bypass w/o cardiac cath w/o MCC","","","97",""
"NC","Coronary bypass w/o cardiac cath w/o MCC","","","650",""
"ND","Coronary bypass w/o cardiac cath w/o MCC","","","88",""
"NE","Coronary bypass w/o cardiac cath w/o MCC","","","232",""
"NH","Coronary bypass w/o cardiac cath w/o MCC","","","168",""
"NJ","Coronary bypass w/o cardiac cath w/o MCC","","","588",""
"NM","Coronary bypass w/o cardiac cath w/o MCC","","","72",""
"NV","Coronary bypass w/o cardiac cath w/o MCC","","","126",""
"NY","Coronary bypass w/o cardiac cath w/o MCC","","","922",""
"OH","Coronary bypass w/o cardiac cath w/o MCC","","","785",""
"OK","Coronary bypass w/o cardiac cath w/o MCC","","","488",""
"OR","Coronary bypass w/o cardiac cath w/o MCC","","","211",""
"PA","Coronary bypass w/o cardiac cath w/o MCC","","","801",""
"PR","Coronary bypass w/o cardiac cath w/o MCC","","","85",""
"RI","Coronary bypass w/o cardiac cath w/o MCC","","","52",""
"SC","Coronary bypass w/o cardiac cath w/o MCC","","","424",""
"SD","Coronary bypass w/o cardiac cath w/o MCC","","","104",""
"TN","Coronary bypass w/o cardiac cath w/o MCC","","","781",""
"TX","Coronary bypass w/o cardiac cath w/o MCC","","","1669",""
"UT","Coronary bypass w/o cardiac cath w/o MCC","","","111",""
"VA","Coronary bypass w/o cardiac cath w/o MCC","","","644",""
"VT","Coronary bypass w/o cardiac cath w/o MCC","","","37",""
"WA","Coronary bypass w/o cardiac cath w/o MCC","","","462",""
"WI","Coronary bypass w/o cardiac cath w/o MCC","","","435",""
"WV","Coronary bypass w/o cardiac cath w/o MCC","","","232",""
"WY","Coronary bypass w/o cardiac cath w/o MCC","","","18",""
"AK","Coronary bypass w/o cardiac cath w MCC","","","11",""
"AL","Coronary bypass w/o cardiac cath w MCC","","","180",""
"AR","Coronary bypass w/o cardiac cath w MCC","","","115",""
"AZ","Coronary bypass w/o cardiac cath w MCC","","","159",""
"CA","Coronary bypass w/o cardiac cath w MCC","","","513",""
"CO","Coronary bypass w/o cardiac cath w MCC","","","87",""
"CT","Coronary bypass w/o cardiac cath w MCC","","","80",""
"DC","Coronary bypass w/o cardiac cath w MCC","","","118",""
"DE","Coronary bypass w/o cardiac cath w MCC","","","21",""
"FL","Coronary bypass w/o cardiac cath w MCC","","","699",""
"GA","Coronary bypass w/o cardiac cath w MCC","","","411",""
"HI","Coronary bypass w/o cardiac cath w MCC","","","33",""
"IA","Coronary bypass w/o cardiac cath w MCC","","","92",""
"ID","Coronary bypass w/o cardiac cath w MCC","","","14",""
"IL","Coronary bypass w/o cardiac cath w MCC","","","398",""
"IN","Coronary bypass w/o cardiac cath w MCC","","","232",""
"KS","Coronary bypass w/o cardiac cath w MCC","","","99",""
"KY","Coronary bypass w/o cardiac cath w MCC","","","188",""
"LA","Coronary bypass w/o cardiac cath w MCC","","","148",""
"MA","Coronary bypass w/o cardiac cath w MCC","","","162",""
"MD","Coronary bypass w/o cardiac cath w MCC","","","203",""
"ME","Coronary bypass w/o cardiac cath w MCC","","","32",""
"MI","Coronary bypass w/o cardiac cath w MCC","","","325",""
"MN","Coronary bypass w/o cardiac cath w MCC","","","87",""
"MO","Coronary bypass w/o cardiac cath w MCC","","","229",""
"MS","Coronary bypass w/o cardiac cath w MCC","","","95",""
"MT","Coronary bypass w/o cardiac cath w MCC","","","23",""
"NC","Coronary bypass w/o cardiac cath w MCC","","","259",""
"ND","Coronary bypass w/o cardiac cath w MCC","","","33",""
"NE","Coronary bypass w/o cardiac cath w MCC","","","74",""
"NH","Coronary bypass w/o cardiac cath w MCC","","","41",""
"NJ","Coronary bypass w/o cardiac cath w MCC","","","228",""
"NM","Coronary bypass w/o cardiac cath w MCC","","","18",""
"NV","Coronary bypass w/o cardiac cath w MCC","","","71",""
"NY","Coronary bypass w/o cardiac cath w MCC","","","348",""
"OH","Coronary bypass w/o cardiac cath w MCC","","","362",""
"OK","Coronary bypass w/o cardiac cath w MCC","","","138",""
"OR","Coronary bypass w/o cardiac cath w MCC","","","128",""
"PA","Coronary bypass w/o cardiac cath w MCC","","","289",""
"PR","Coronary bypass w/o cardiac cath w MCC","","","40",""
"RI","Coronary bypass w/o cardiac cath w MCC","","","23",""
"SC","Coronary bypass w/o cardiac cath w MCC","","","143",""
"SD","Coronary bypass w/o cardiac cath w MCC","","","28",""
"TN","Coronary bypass w/o cardiac cath w MCC","","","325",""
"TX","Coronary bypass w/o cardiac cath w MCC","","","839",""
"UT","Coronary bypass w/o cardiac cath w MCC","","","50",""
"VA","Coronary bypass w/o cardiac cath w MCC","","","296",""
"VT","Coronary bypass w/o cardiac cath w MCC","","","11",""
"WA","Coronary bypass w/o cardiac cath w MCC","","","153",""
"WI","Coronary bypass w/o cardiac cath w MCC","","","140",""
"WV","Coronary bypass w/o cardiac cath w MCC","","","77",""
"WY","Coronary bypass w/o cardiac cath w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Permanent cardiac pacemaker implant w/o CC/MCC","","","91",""
"AL","Permanent cardiac pacemaker implant w/o CC/MCC","","","540",""
"AR","Permanent cardiac pacemaker implant w/o CC/MCC","","","438",""
"AZ","Permanent cardiac pacemaker implant w/o CC/MCC","","","715",""
"CA","Permanent cardiac pacemaker implant w/o CC/MCC","","","2541",""
"CO","Permanent cardiac pacemaker implant w/o CC/MCC","","","302",""
"CT","Permanent cardiac pacemaker implant w/o CC/MCC","","","491",""
"DC","Permanent cardiac pacemaker implant w/o CC/MCC","","","98",""
"DE","Permanent cardiac pacemaker implant w/o CC/MCC","","","127",""
"FL","Permanent cardiac pacemaker implant w/o CC/MCC","","","2853",""
"GA","Permanent cardiac pacemaker implant w/o CC/MCC","","","771",""
"GU","Permanent cardiac pacemaker implant w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"HI","Permanent cardiac pacemaker implant w/o CC/MCC","","","74",""
"IA","Permanent cardiac pacemaker implant w/o CC/MCC","","","389",""
"ID","Permanent cardiac pacemaker implant w/o CC/MCC","","","108",""
"IL","Permanent cardiac pacemaker implant w/o CC/MCC","","","1429",""
"IN","Permanent cardiac pacemaker implant w/o CC/MCC","","","868",""
"KS","Permanent cardiac pacemaker implant w/o CC/MCC","","","370",""
"KY","Permanent cardiac pacemaker implant w/o CC/MCC","","","631",""
"LA","Permanent cardiac pacemaker implant w/o CC/MCC","","","425",""
"MA","Permanent cardiac pacemaker implant w/o CC/MCC","","","809",""
"MD","Permanent cardiac pacemaker implant w/o CC/MCC","","","604",""
"ME","Permanent cardiac pacemaker implant w/o CC/MCC","","","181",""
"MI","Permanent cardiac pacemaker implant w/o CC/MCC","","","1211",""
"MN","Permanent cardiac pacemaker implant w/o CC/MCC","","","520",""
"MO","Permanent cardiac pacemaker implant w/o CC/MCC","","","800",""
"MS","Permanent cardiac pacemaker implant w/o CC/MCC","","","431",""
"MT","Permanent cardiac pacemaker implant w/o CC/MCC","","","99",""
"NC","Permanent cardiac pacemaker implant w/o CC/MCC","","","1028",""
"ND","Permanent cardiac pacemaker implant w/o CC/MCC","","","112",""
"NE","Permanent cardiac pacemaker implant w/o CC/MCC","","","261",""
"NH","Permanent cardiac pacemaker implant w/o CC/MCC","","","168",""
"NJ","Permanent cardiac pacemaker implant w/o CC/MCC","","","1221",""
"NM","Permanent cardiac pacemaker implant w/o CC/MCC","","","128",""
"NV","Permanent cardiac pacemaker implant w/o CC/MCC","","","222",""
"NY","Permanent cardiac pacemaker implant w/o CC/MCC","","","2445",""
"OH","Permanent cardiac pacemaker implant w/o CC/MCC","","","1281",""
"OK","Permanent cardiac pacemaker implant w/o CC/MCC","","","490",""
"OR","Permanent cardiac pacemaker implant w/o CC/MCC","","","263",""
"PA","Permanent cardiac pacemaker implant w/o CC/MCC","","","1698",""
"PR","Permanent cardiac pacemaker implant w/o CC/MCC","","","97",""
"RI","Permanent cardiac pacemaker implant w/o CC/MCC","","","82",""
"SC","Permanent cardiac pacemaker implant w/o CC/MCC","","","635",""
"SD","Permanent cardiac pacemaker implant w/o CC/MCC","","","170",""
"TN","Permanent cardiac pacemaker implant w/o CC/MCC","","","883",""
"TX","Permanent cardiac pacemaker implant w/o CC/MCC","","","2233",""
"UT","Permanent cardiac pacemaker implant w/o CC/MCC","","","170",""
"VA","Permanent cardiac pacemaker implant w/o CC/MCC","","","750",""
"VI","Permanent cardiac pacemaker implant w/o CC/MCC","","","12",""
"VT","Permanent cardiac pacemaker implant w/o CC/MCC","","","64",""
"WA","Permanent cardiac pacemaker implant w/o CC/MCC","","","528",""
"WI","Permanent cardiac pacemaker implant w/o CC/MCC","","","479",""
"WV","Permanent cardiac pacemaker implant w/o CC/MCC","","","280",""
"WY","Permanent cardiac pacemaker implant w/o CC/MCC","","","48",""
"AK","Permanent cardiac pacemaker implant w CC","","","56",""
"AL","Permanent cardiac pacemaker implant w CC","","","585",""
"AR","Permanent cardiac pacemaker implant w CC","","","428",""
"AZ","Permanent cardiac pacemaker implant w CC","","","682",""
"CA","Permanent cardiac pacemaker implant w CC","","","2751",""
"CO","Permanent cardiac pacemaker implant w CC","","","340",""
"CT","Permanent cardiac pacemaker implant w CC","","","492",""
"DC","Permanent cardiac pacemaker implant w CC","","","97",""
"DE","Permanent cardiac pacemaker implant w CC","","","112",""
"FL","Permanent cardiac pacemaker implant w CC","","","3068",""
"GA","Permanent cardiac pacemaker implant w CC","","","788",""
"GU","Permanent cardiac pacemaker implant w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"HI","Permanent cardiac pacemaker implant w CC","","","84",""
"IA","Permanent cardiac pacemaker implant w CC","","","354",""
"ID","Permanent cardiac pacemaker implant w CC","","","89",""
"IL","Permanent cardiac pacemaker implant w CC","","","1690",""
"IN","Permanent cardiac pacemaker implant w CC","","","847",""
"KS","Permanent cardiac pacemaker implant w CC","","","401",""
"KY","Permanent cardiac pacemaker implant w CC","","","552",""
"LA","Permanent cardiac pacemaker implant w CC","","","434",""
"MA","Permanent cardiac pacemaker implant w CC","","","867",""
"MD","Permanent cardiac pacemaker implant w CC","","","625",""
"ME","Permanent cardiac pacemaker implant w CC","","","220",""
"MI","Permanent cardiac pacemaker implant w CC","","","1424",""
"MN","Permanent cardiac pacemaker implant w CC","","","642",""
"MO","Permanent cardiac pacemaker implant w CC","","","825",""
"MS","Permanent cardiac pacemaker implant w CC","","","400",""
"MT","Permanent cardiac pacemaker implant w CC","","","93",""
"NC","Permanent cardiac pacemaker implant w CC","","","1068",""
"ND","Permanent cardiac pacemaker implant w CC","","","132",""
"NE","Permanent cardiac pacemaker implant w CC","","","327",""
"NH","Permanent cardiac pacemaker implant w CC","","","166",""
"NJ","Permanent cardiac pacemaker implant w CC","","","1398",""
"NM","Permanent cardiac pacemaker implant w CC","","","106",""
"NV","Permanent cardiac pacemaker implant w CC","","","187",""
"NY","Permanent cardiac pacemaker implant w CC","","","2136",""
"OH","Permanent cardiac pacemaker implant w CC","","","1332",""
"OK","Permanent cardiac pacemaker implant w CC","","","530",""
"OR","Permanent cardiac pacemaker implant w CC","","","278",""
"PA","Permanent cardiac pacemaker implant w CC","","","1877",""
"PR","Permanent cardiac pacemaker implant w CC","","","54",""
"RI","Permanent cardiac pacemaker implant w CC","","","85",""
"SC","Permanent cardiac pacemaker implant w CC","","","624",""
"SD","Permanent cardiac pacemaker implant w CC","","","139",""
"TN","Permanent cardiac pacemaker implant w CC","","","859",""
"TX","Permanent cardiac pacemaker implant w CC","","","2455",""
"UT","Permanent cardiac pacemaker implant w CC","","","147",""
"VA","Permanent cardiac pacemaker implant w CC","","","799",""
"VI","Permanent cardiac pacemaker implant w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Permanent cardiac pacemaker implant w CC","","","47",""
"WA","Permanent cardiac pacemaker implant w CC","","","450",""
"WI","Permanent cardiac pacemaker implant w CC","","","624",""
"WV","Permanent cardiac pacemaker implant w CC","","","292",""
"WY","Permanent cardiac pacemaker implant w CC","","","36",""
"AK","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","131",""
"AL","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","2203",""
"AR","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","2357",""
"AZ","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","2045",""
"CA","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","6738",""
"CO","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","954",""
"CT","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","1184",""
"DC","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","321",""
"DE","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","451",""
"FL","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","8290",""
"GA","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","2973",""
"HI","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","157",""
"IA","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","1499",""
"ID","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","319",""
"IL","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","4925",""
"IN","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","3239",""
"KS","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","817",""
"KY","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","3335",""
"LA","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","1659",""
"MA","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","1678",""
"MD","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","1724",""
"ME","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","484",""
"MI","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","5472",""
"MN","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","1873",""
"MO","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","3247",""
"MS","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","1420",""
"MT","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","386",""
"NC","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","3799",""
"ND","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","486",""
"NE","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","793",""
"NH","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","431",""
"NJ","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","2671",""
"NM","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","370",""
"NV","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","783",""
"NY","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","8361",""
"OH","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","5175",""
"OK","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","1487",""
"OR","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","720",""
"PA","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","4674",""
"PR","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","286",""
"RI","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","174",""
"SC","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","2086",""
"SD","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","497",""
"TN","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","3244",""
"TX","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","6035",""
"UT","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","577",""
"VA","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","2167",""
"VI","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","24",""
"VT","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","137",""
"WA","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","1728",""
"WI","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","1691",""
"WV","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","1077",""
"WY","Perc cardiovasc proc w drug-eluting stent w/o MCC","","","157",""
"AK","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","33",""
"AL","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","595",""
"AR","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","323",""
"AS","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","583",""
"CA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","1953",""
"CO","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","247",""
"CT","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","300",""
"DC","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","57",""
"DE","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","100",""
"FL","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","2097",""
"GA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","624",""
"GU","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"HI","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","63",""
"IA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","239",""
"ID","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","90",""
"IL","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","1178",""
"IN","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","578",""
"KS","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","234",""
"KY","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","552",""
"LA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","453",""
"MA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","602",""
"MD","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","385",""
"ME","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","108",""
"MI","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","705",""
"MN","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","349",""
"MO","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","652",""
"MS","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","430",""
"MT","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","74",""
"NC","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","879",""
"ND","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","63",""
"NE","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","161",""
"NH","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","61",""
"NJ","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","916",""
"NM","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","175",""
"NV","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","200",""
"NY","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","1382",""
"OH","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","848",""
"OK","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","388",""
"OR","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","234",""
