"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"IA","Serious complications","PSI_90_SAFETY","0","31","3","0",,"07/01/2010","06/30/2012"
"IA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","27","0","82",,"07/01/2009","06/30/2012"
"IA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","97","3","18",,"07/01/2009","06/30/2012"
"IA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","47","1","17",,"07/01/2009","06/30/2012"
"IA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","1","106","7","2",,"07/01/2011","06/30/2012"
"IA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","113","0","5",,"07/01/2009","06/30/2012"
"ID","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","23","0","5",,"07/01/2009","03/31/2012"
"ID","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","10","0","23",,"07/01/2009","06/30/2012"
"ID","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","21","0","15",,"07/01/2009","06/30/2012"
"ID","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","33","0","6",,"07/01/2009","06/30/2012"
"ID","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","10","2","1",,"07/01/2010","06/30/2012"
"ID","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","10","0","1",,"07/01/2010","06/30/2012"
"ID","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","13","0","1",,"07/01/2010","06/30/2012"
"ID","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","8","0","4",,"07/01/2010","06/30/2012"
"ID","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","13","0","1",,"07/01/2010","06/30/2012"
"ID","Serious complications","PSI_90_SAFETY","1","13","0","0",,"07/01/2010","06/30/2012"
"ID","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","9","0","23",,"07/01/2009","06/30/2012"
"ID","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","20","2","16",,"07/01/2009","06/30/2012"
"ID","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","23","0","5",,"07/01/2009","06/30/2012"
"ID","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","32","6","2",,"07/01/2011","06/30/2012"
"ID","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","33","0","7",,"07/01/2009","06/30/2012"
"IL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","108","2","25",,"07/01/2009","03/31/2012"
"IL","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","112","8","61",,"07/01/2009","06/30/2012"
"IL","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","5","156","16","7",,"07/01/2009","06/30/2012"
"IL","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","7","157","16","4",,"07/01/2009","06/30/2012"
"IL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","20","100","5","2",,"07/01/2010","06/30/2012"
"IL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","122","0","3",,"07/01/2010","06/30/2012"
"IL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","7","111","10","1",,"07/01/2010","06/30/2012"
"IL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","87","7","29",,"07/01/2010","06/30/2012"
"IL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","125","1","1",,"07/01/2010","06/30/2012"
"IL","Serious complications","PSI_90_SAFETY","9","115","5","0",,"07/01/2010","06/30/2012"
"IL","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","5","103","0","71",,"07/01/2009","06/30/2012"
"IL","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","10","168","1","5",,"07/01/2009","06/30/2012"
"IL","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","4","110","1","24",,"07/01/2009","06/30/2012"
"IL","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","37","137","4","1",,"07/01/2011","06/30/2012"
"IL","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","11","169","0","5",,"07/01/2009","06/30/2012"
"IN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","73","4","32",,"07/01/2009","03/31/2012"
"IN","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","68","1","49",,"07/01/2009","06/30/2012"
"IN","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","7","108","3","2",,"07/01/2009","06/30/2012"
"IN","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","10","107","1","2",,"07/01/2009","06/30/2012"
"IN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","79","8","1",,"07/01/2010","06/30/2012"
"IN","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","72","0","11",,"07/01/2010","06/30/2012"
"IN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","83","2","1",,"07/01/2010","06/30/2012"
"IN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","54","1","29",,"07/01/2010","06/30/2012"
"IN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","89","0","1",,"07/01/2010","06/30/2012"
"IN","Serious complications","PSI_90_SAFETY","0","83","7","0",,"07/01/2010","06/30/2012"
"IN","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","61","2","54",,"07/01/2009","06/30/2012"
"IN","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","113","3","3",,"07/01/2009","06/30/2012"
"IN","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","78","3","29",,"07/01/2009","06/30/2012"
"IN","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","4","104","14","2",,"07/01/2011","06/30/2012"
"IN","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","115","2","2",,"07/01/2009","06/30/2012"
"KS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","37","3","13",,"07/01/2009","03/31/2012"
"KS","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","29","1","91",,"07/01/2009","06/30/2012"
"KS","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","83","0","49",,"07/01/2009","06/30/2012"
"KS","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","3","116","0","13",,"07/01/2009","06/30/2012"
"KS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","46","4","3",,"07/01/2010","06/30/2012"
"KS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","39","0","11",,"07/01/2010","06/30/2012"
"KS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","52","0","0",,"07/01/2010","06/30/2012"
"KS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","25","0","23",,"07/01/2010","06/30/2012"
"KS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","3","52","0","1",,"07/01/2010","06/30/2012"
"KS","Serious complications","PSI_90_SAFETY","3","53","0","0",,"07/01/2010","06/30/2012"
"KS","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","27","0","82",,"07/01/2009","06/30/2012"
"KS","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","85","2","46",,"07/01/2009","06/30/2012"
"KS","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","42","1","12",,"07/01/2009","06/30/2012"
"KS","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","125","7","6",,"07/01/2011","06/30/2012"
"KS","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","118","1","13",,"07/01/2009","06/30/2012"
"KY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","41","1","19",,"07/01/2009","03/31/2012"
"KY","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","51","0","43",,"07/01/2009","06/30/2012"
"KY","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","92","0","3",,"07/01/2009","06/30/2012"
"KY","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","9","85","2","0",,"07/01/2009","06/30/2012"
"KY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","57","4","2",,"07/01/2010","06/30/2012"
"KY","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","51","0","10",,"07/01/2010","06/30/2012"
"KY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","61","1","0",,"07/01/2010","06/30/2012"
"KY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","31","0","25",,"07/01/2010","06/30/2012"
"KY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","62","1","0",,"07/01/2010","06/30/2012"
"KY","Serious complications","PSI_90_SAFETY","1","61","3","0",,"07/01/2010","06/30/2012"
"KY","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","40","0","55",,"07/01/2009","06/30/2012"
"KY","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","8","86","1","1",,"07/01/2009","06/30/2012"
"KY","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","42","0","19",,"07/01/2009","06/30/2012"
"KY","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","20","72","2","0",,"07/01/2011","06/30/2012"
"KY","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","8","87","1","0",,"07/01/2009","06/30/2012"
"LA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","59","0","16",,"07/01/2009","03/31/2012"
"LA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","49","0","52",,"07/01/2009","06/30/2012"
"LA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","6","82","2","19",,"07/01/2009","06/30/2012"
"LA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","11","86","1","14",,"07/01/2009","06/30/2012"
"LA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","80","2","7",,"07/01/2010","06/30/2012"
"LA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","62","0","17",,"07/01/2010","06/30/2012"
"LA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","88","0","6",,"07/01/2010","06/30/2012"
"LA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","38","0","28",,"07/01/2010","06/30/2012"
"LA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","92","1","4",,"07/01/2010","06/30/2012"
"LA","Serious complications","PSI_90_SAFETY","4","92","2","0",,"07/01/2010","06/30/2012"
"LA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","44","0","56",,"07/01/2009","06/30/2012"
"LA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","86","2","16",,"07/01/2009","06/30/2012"
"LA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","59","0","15",,"07/01/2009","06/30/2012"
"LA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","8","102","6","9",,"07/01/2011","06/30/2012"
"LA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","95","1","13",,"07/01/2009","06/30/2012"
"MA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","54","2","5",,"07/01/2009","03/31/2012"
"MA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","54","4","6",,"07/01/2009","06/30/2012"
"MA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","47","14","2",,"07/01/2009","06/30/2012"
"MA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","51","10","3",,"07/01/2009","06/30/2012"
"MA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","52","4","2",,"07/01/2010","06/30/2012"
"MA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","57","0","1",,"07/01/2010","06/30/2012"
"MA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","54","3","0",,"07/01/2010","06/30/2012"
"MA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","42","0","15",,"07/01/2010","06/30/2012"
"MA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","3","58","0","0",,"07/01/2010","06/30/2012"
"MA","Serious complications","PSI_90_SAFETY","3","55","3","0",,"07/01/2010","06/30/2012"
"MA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","52","0","10",,"07/01/2009","06/30/2012"
"MA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","3","59","1","1",,"07/01/2009","06/30/2012"
"MA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","55","1","5",,"07/01/2009","06/30/2012"
"MA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","13","46","5","0",,"07/01/2011","06/30/2012"
"MA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","62","0","1",,"07/01/2009","06/30/2012"
"MD","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","41","2","1",,"07/01/2009","03/31/2012"
"MD","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","40","1","6",,"07/01/2009","06/30/2012"
"MD","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","35","9","1",,"07/01/2009","06/30/2012"
"MD","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","37","8","1",,"07/01/2009","06/30/2012"
"MD","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MD","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MD","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MD","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MD","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MD","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MD","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","39","0","7",,"07/01/2009","06/30/2012"
"MD","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","6","40","0","1",,"07/01/2009","06/30/2012"
"MD","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","3","40","0","2",,"07/01/2009","06/30/2012"
"MD","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","14","28","3","0",,"07/01/2011","06/30/2012"
"MD","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","11","34","0","1",,"07/01/2009","06/30/2012"
"ME","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","24","1","5",,"07/01/2009","03/31/2012"
"ME","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","30","1","5",,"07/01/2009","06/30/2012"
"ME","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","34","0","2",,"07/01/2009","06/30/2012"
"ME","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","35","0","1",,"07/01/2009","06/30/2012"
"ME","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","19","1","0",,"07/01/2010","06/30/2012"
"ME","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","18","0","1",,"07/01/2010","06/30/2012"
"ME","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","19","0","0",,"07/01/2010","06/30/2012"
"ME","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","9","0","11",,"07/01/2010","06/30/2012"
"ME","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","19","0","0",,"07/01/2010","06/30/2012"
"ME","Serious complications","PSI_90_SAFETY","1","19","0","0",,"07/01/2010","06/30/2012"
"ME","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","21","1","15",,"07/01/2009","06/30/2012"
"ME","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","33","2","2",,"07/01/2009","06/30/2012"
"ME","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","25","1","6",,"07/01/2009","06/30/2012"
"ME","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","32","3","1",,"07/01/2011","06/30/2012"
"ME","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","36","0","1",,"07/01/2009","06/30/2012"
"MI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","88","6","20",,"07/01/2009","03/31/2012"
"MI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","3","72","6","49",,"07/01/2009","06/30/2012"
"MI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","106","12","14",,"07/01/2009","06/30/2012"
"MI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","3","116","10","6",,"07/01/2009","06/30/2012"
"MI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","13","74","5","0",,"07/01/2010","06/30/2012"
"MI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","4","80","0","6",,"07/01/2010","06/30/2012"
"MI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","7","85","3","0",,"07/01/2010","06/30/2012"
"MI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","56","4","28",,"07/01/2010","06/30/2012"
"MI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","92","1","0",,"07/01/2010","06/30/2012"
"MI","Serious complications","PSI_90_SAFETY","8","81","6","0",,"07/01/2010","06/30/2012"
"MI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","76","1","51",,"07/01/2009","06/30/2012"
"MI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","10","108","6","11",,"07/01/2009","06/30/2012"
"MI","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","96","1","18",,"07/01/2009","06/30/2012"
"MI","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","20","93","12","6",,"07/01/2011","06/30/2012"
"MI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","5","122","2","6",,"07/01/2009","06/30/2012"
"MN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","65","1","17",,"07/01/2009","03/31/2012"
"MN","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","36","1","85",,"07/01/2009","06/30/2012"
"MN","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","81","2","48",,"07/01/2009","06/30/2012"
"MN","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","112","1","17",,"07/01/2009","06/30/2012"
"MN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","47","4","0",,"07/01/2010","06/30/2012"
"MN","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","40","0","9",,"07/01/2010","06/30/2012"
"MN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","46","2","0",,"07/01/2010","06/30/2012"
"MN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","23","1","24",,"07/01/2010","06/30/2012"
"MN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","52","0","0",,"07/01/2010","06/30/2012"
"MN","Serious complications","PSI_90_SAFETY","3","48","1","0",,"07/01/2010","06/30/2012"
"MN","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","31","0","89",,"07/01/2009","06/30/2012"
"MN","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","86","1","43",,"07/01/2009","06/30/2012"
"MN","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","67","0","16",,"07/01/2009","06/30/2012"
"MN","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","119","8","4",,"07/01/2011","06/30/2012"
"MN","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","112","0","19",,"07/01/2009","06/30/2012"
"MO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","61","3","14",,"07/01/2009","03/31/2012"
"MO","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","57","4","54",,"07/01/2009","06/30/2012"
"MO","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","5","96","4","11",,"07/01/2009","06/30/2012"
"MO","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","101","7","5",,"07/01/2009","06/30/2012"
"MO","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","5","62","3","5",,"07/01/2010","06/30/2012"
"MO","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","61","0","10",,"07/01/2010","06/30/2012"
"MO","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","71","0","2",,"07/01/2010","06/30/2012"
"MO","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","44","2","23",,"07/01/2010","06/30/2012"
"MO","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","4","72","0","2",,"07/01/2010","06/30/2012"
"MO","Serious complications","PSI_90_SAFETY","4","72","2","0",,"07/01/2010","06/30/2012"
"MO","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","53","0","59",,"07/01/2009","06/30/2012"
"MO","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","6","101","4","6",,"07/01/2009","06/30/2012"
"MO","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","2","64","1","13",,"07/01/2009","06/30/2012"
"MO","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","6","100","4","2",,"07/01/2011","06/30/2012"
"MO","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","107","2","6",,"07/01/2009","06/30/2012"
"MP","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0",,"07/01/2009","03/31/2012"
"MP","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","0","0","1",,"07/01/2009","06/30/2012"
"MP","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","0","0","1",,"07/01/2009","06/30/2012"
"MP","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","1","0","0",,"07/01/2009","06/30/2012"
"MP","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MP","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MP","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MP","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MP","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MP","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"MP","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","1","0","0",,"07/01/2009","06/30/2012"
"MP","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","0","0","1",,"07/01/2009","06/30/2012"
"MP","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","0","0","0",,"07/01/2009","06/30/2012"
"MP","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","0","0","1",,"07/01/2011","06/30/2012"
"MP","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","1","0","0",,"07/01/2009","06/30/2012"
"MS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","24","2","9",,"07/01/2009","03/31/2012"
"MS","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","34","0","50",,"07/01/2009","06/30/2012"
"MS","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","77","0","18",,"07/01/2009","06/30/2012"
"MS","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","10","78","0","10",,"07/01/2009","06/30/2012"
"MS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","39","1","9",,"07/01/2010","06/30/2012"
"MS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","37","0","7",,"07/01/2010","06/30/2012"
"MS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","61","1","3",,"07/01/2010","06/30/2012"
"MS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","20","0","16",,"07/01/2010","06/30/2012"
"MS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","64","0","3",,"07/01/2010","06/30/2012"
"MS","Serious complications","PSI_90_SAFETY","3","62","2","0",,"07/01/2010","06/30/2012"
"MS","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","30","0","49",,"07/01/2009","06/30/2012"
"MS","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","6","77","0","13",,"07/01/2009","06/30/2012"
"MS","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","29","0","7",,"07/01/2009","06/30/2012"
"MS","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","6","86","1","5",,"07/01/2011","06/30/2012"
"MS","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","87","0","8",,"07/01/2009","06/30/2012"
"MT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","19","0","6",,"07/01/2009","03/31/2012"
"MT","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","8","0","39",,"07/01/2009","06/30/2012"
"MT","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","26","0","35",,"07/01/2009","06/30/2012"
"MT","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","2","39","1","20",,"07/01/2009","06/30/2012"
"MT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","7","5","1",,"07/01/2010","06/30/2012"
