"Provider ID","Hospital Name","State","Measure ID","Measure Name","Score","Footnote","Measure Start Date","Measure End Date"
"141339","TAYLORVILLE MEMORIAL HOSPITAL","IL","OP_11","Thorax CT Use of Contrast Material","2.1",,"07/01/2012","06/30/2013"
"141339","TAYLORVILLE MEMORIAL HOSPITAL","IL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","1.5",,"07/01/2012","06/30/2013"
"141339","TAYLORVILLE MEMORIAL HOSPITAL","IL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"141339","TAYLORVILLE MEMORIAL HOSPITAL","IL","OP_8","MRI Lumbar Spine for Low Back Pain","42.3",,"07/01/2012","06/30/2013"
"141339","TAYLORVILLE MEMORIAL HOSPITAL","IL","OP_9","Mammography Follow-up Rates","6.3",,"07/01/2012","06/30/2013"
"141340","VALLEY WEST COMMUNITY HOSPITAL","IL","OP_10","Abdomen CT Use of Contrast Material","2.7",,"07/01/2012","06/30/2013"
"141340","VALLEY WEST COMMUNITY HOSPITAL","IL","OP_11","Thorax CT Use of Contrast Material","1.8",,"07/01/2012","06/30/2013"
"141340","VALLEY WEST COMMUNITY HOSPITAL","IL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.0",,"07/01/2012","06/30/2013"
"141340","VALLEY WEST COMMUNITY HOSPITAL","IL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"141340","VALLEY WEST COMMUNITY HOSPITAL","IL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"141340","VALLEY WEST COMMUNITY HOSPITAL","IL","OP_9","Mammography Follow-up Rates","13.1",,"07/01/2012","06/30/2013"
"141341","PANA COMMUNITY HOSPITAL","IL","OP_10","Abdomen CT Use of Contrast Material","7.9",,"07/01/2012","06/30/2013"
"141341","PANA COMMUNITY HOSPITAL","IL","OP_11","Thorax CT Use of Contrast Material","3.0",,"07/01/2012","06/30/2013"
"141341","PANA COMMUNITY HOSPITAL","IL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"141341","PANA COMMUNITY HOSPITAL","IL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","4.2",,"07/01/2012","06/30/2013"
"141341","PANA COMMUNITY HOSPITAL","IL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"141341","PANA COMMUNITY HOSPITAL","IL","OP_9","Mammography Follow-up Rates","14.2",,"07/01/2012","06/30/2013"
"141342","UNION COUNTY HOSPITAL","IL","OP_10","Abdomen CT Use of Contrast Material","13.4",,"07/01/2012","06/30/2013"
"141342","UNION COUNTY HOSPITAL","IL","OP_11","Thorax CT Use of Contrast Material","0.0",,"07/01/2012","06/30/2013"
"141342","UNION COUNTY HOSPITAL","IL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"141342","UNION COUNTY HOSPITAL","IL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","0.6",,"07/01/2012","06/30/2013"
"141342","UNION COUNTY HOSPITAL","IL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"141342","UNION COUNTY HOSPITAL","IL","OP_9","Mammography Follow-up Rates","6.3",,"07/01/2012","06/30/2013"
"141345","SALEM TOWNSHIP HOSPITAL","IL","OP_10","Abdomen CT Use of Contrast Material","47.4",,"07/01/2012","06/30/2013"
"141345","SALEM TOWNSHIP HOSPITAL","IL","OP_11","Thorax CT Use of Contrast Material","2.9",,"07/01/2012","06/30/2013"
"141345","SALEM TOWNSHIP HOSPITAL","IL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"141345","SALEM TOWNSHIP HOSPITAL","IL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"141345","SALEM TOWNSHIP HOSPITAL","IL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"141345","SALEM TOWNSHIP HOSPITAL","IL","OP_9","Mammography Follow-up Rates","7.0",,"07/01/2012","06/30/2013"
"141347","CARLINVILLE AREA HOSPITAL","IL","OP_10","Abdomen CT Use of Contrast Material","8.3",,"07/01/2012","06/30/2013"
"141347","CARLINVILLE AREA HOSPITAL","IL","OP_11","Thorax CT Use of Contrast Material","0.9",,"07/01/2012","06/30/2013"
"141347","CARLINVILLE AREA HOSPITAL","IL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","7.1",,"07/01/2012","06/30/2013"
"141347","CARLINVILLE AREA HOSPITAL","IL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"141347","CARLINVILLE AREA HOSPITAL","IL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"141347","CARLINVILLE AREA HOSPITAL","IL","OP_9","Mammography Follow-up Rates","7.8",,"07/01/2012","06/30/2013"
"141348","RED BUD REGIONAL HOSPITAL","IL","OP_10","Abdomen CT Use of Contrast Material","13.0",,"07/01/2012","06/30/2013"
"141348","RED BUD REGIONAL HOSPITAL","IL","OP_11","Thorax CT Use of Contrast Material","2.3",,"07/01/2012","06/30/2013"
"141348","RED BUD REGIONAL HOSPITAL","IL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","3.3",,"07/01/2012","06/30/2013"
"141348","RED BUD REGIONAL HOSPITAL","IL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"141348","RED BUD REGIONAL HOSPITAL","IL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"141348","RED BUD REGIONAL HOSPITAL","IL","OP_9","Mammography Follow-up Rates","10.1",,"07/01/2012","06/30/2013"
"141350","ST FRANCIS HOSPITAL","IL","OP_10","Abdomen CT Use of Contrast Material","38.9",,"07/01/2012","06/30/2013"
"141350","ST FRANCIS HOSPITAL","IL","OP_11","Thorax CT Use of Contrast Material","8.0",,"07/01/2012","06/30/2013"
"141350","ST FRANCIS HOSPITAL","IL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","4.5",,"07/01/2012","06/30/2013"
"141350","ST FRANCIS HOSPITAL","IL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"141350","ST FRANCIS HOSPITAL","IL","OP_8","MRI Lumbar Spine for Low Back Pain","31.4",,"07/01/2012","06/30/2013"
"141350","ST FRANCIS HOSPITAL","IL","OP_9","Mammography Follow-up Rates","13.5",,"07/01/2012","06/30/2013"
"141351","CLAY COUNTY HOSPITAL","IL","OP_10","Abdomen CT Use of Contrast Material","1.5",,"07/01/2012","06/30/2013"
"141351","CLAY COUNTY HOSPITAL","IL","OP_11","Thorax CT Use of Contrast Material","1.1",,"07/01/2012","06/30/2013"
"141351","CLAY COUNTY HOSPITAL","IL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","3.3",,"07/01/2012","06/30/2013"
"141351","CLAY COUNTY HOSPITAL","IL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"141351","CLAY COUNTY HOSPITAL","IL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"141351","CLAY COUNTY HOSPITAL","IL","OP_9","Mammography Follow-up Rates","6.5",,"07/01/2012","06/30/2013"
"150001","JOHNSON MEMORIAL HOSPITAL","IN","OP_10","Abdomen CT Use of Contrast Material","6.8",,"07/01/2012","06/30/2013"
"150001","JOHNSON MEMORIAL HOSPITAL","IN","OP_11","Thorax CT Use of Contrast Material","1.1",,"07/01/2012","06/30/2013"
"150001","JOHNSON MEMORIAL HOSPITAL","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.9",,"07/01/2012","06/30/2013"
"150001","JOHNSON MEMORIAL HOSPITAL","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","1.9",,"07/01/2012","06/30/2013"
"150001","JOHNSON MEMORIAL HOSPITAL","IN","OP_8","MRI Lumbar Spine for Low Back Pain","36.2",,"07/01/2012","06/30/2013"
"150001","JOHNSON MEMORIAL HOSPITAL","IN","OP_9","Mammography Follow-up Rates","5.5",,"07/01/2012","06/30/2013"
"150002","METHODIST HOSPITALS INC","IN","OP_10","Abdomen CT Use of Contrast Material","28.5",,"07/01/2012","06/30/2013"
"150002","METHODIST HOSPITALS INC","IN","OP_11","Thorax CT Use of Contrast Material","27.1",,"07/01/2012","06/30/2013"
"150002","METHODIST HOSPITALS INC","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","3.8",,"07/01/2012","06/30/2013"
"150002","METHODIST HOSPITALS INC","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","3.6",,"07/01/2012","06/30/2013"
"150002","METHODIST HOSPITALS INC","IN","OP_8","MRI Lumbar Spine for Low Back Pain","41.5",,"07/01/2012","06/30/2013"
"150002","METHODIST HOSPITALS INC","IN","OP_9","Mammography Follow-up Rates","8.9",,"07/01/2012","06/30/2013"
"150003","FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","IN","OP_10","Abdomen CT Use of Contrast Material","2.2",,"07/01/2012","06/30/2013"
"150003","FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","IN","OP_11","Thorax CT Use of Contrast Material","1.0",,"07/01/2012","06/30/2013"
"150003","FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"150003","FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"150003","FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","IN","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"150003","FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL","IN","OP_9","Mammography Follow-up Rates","7.7",,"07/01/2012","06/30/2013"
"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","IN","OP_10","Abdomen CT Use of Contrast Material","27.1",,"07/01/2012","06/30/2013"
"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","IN","OP_11","Thorax CT Use of Contrast Material","25.2",,"07/01/2012","06/30/2013"
"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.7",,"07/01/2012","06/30/2013"
"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","3.3",,"07/01/2012","06/30/2013"
"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","IN","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","IN","OP_9","Mammography Follow-up Rates","10.4",,"07/01/2012","06/30/2013"
"150005","HENDRICKS REGIONAL HEALTH","IN","OP_10","Abdomen CT Use of Contrast Material","27.0",,"07/01/2012","06/30/2013"
"150005","HENDRICKS REGIONAL HEALTH","IN","OP_11","Thorax CT Use of Contrast Material","23.2",,"07/01/2012","06/30/2013"
"150005","HENDRICKS REGIONAL HEALTH","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.3",,"07/01/2012","06/30/2013"
"150005","HENDRICKS REGIONAL HEALTH","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","1.5",,"07/01/2012","06/30/2013"
"150005","HENDRICKS REGIONAL HEALTH","IN","OP_8","MRI Lumbar Spine for Low Back Pain","46.3",,"07/01/2012","06/30/2013"
"150005","HENDRICKS REGIONAL HEALTH","IN","OP_9","Mammography Follow-up Rates","7.1",,"07/01/2012","06/30/2013"
"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","IN","OP_10","Abdomen CT Use of Contrast Material","5.5",,"07/01/2012","06/30/2013"
"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","IN","OP_11","Thorax CT Use of Contrast Material","3.6",,"07/01/2012","06/30/2013"
"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","5.8",,"07/01/2012","06/30/2013"
"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","IN","OP_8","MRI Lumbar Spine for Low Back Pain","32.9",,"07/01/2012","06/30/2013"
"150006","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","IN","OP_9","Mammography Follow-up Rates","9.2",,"07/01/2012","06/30/2013"
"150007","COMMUNITY HOWARD REGIONAL HEALTH INC","IN","OP_10","Abdomen CT Use of Contrast Material","8.3",,"07/01/2012","06/30/2013"
"150007","COMMUNITY HOWARD REGIONAL HEALTH INC","IN","OP_11","Thorax CT Use of Contrast Material","4.8",,"07/01/2012","06/30/2013"
"150007","COMMUNITY HOWARD REGIONAL HEALTH INC","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.6",,"07/01/2012","06/30/2013"
"150007","COMMUNITY HOWARD REGIONAL HEALTH INC","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","4.1",,"07/01/2012","06/30/2013"
"150007","COMMUNITY HOWARD REGIONAL HEALTH INC","IN","OP_8","MRI Lumbar Spine for Low Back Pain","35.3",,"07/01/2012","06/30/2013"
"150007","COMMUNITY HOWARD REGIONAL HEALTH INC","IN","OP_9","Mammography Follow-up Rates","7.5",,"07/01/2012","06/30/2013"
"150008","ST CATHERINE HOSPITAL INC","IN","OP_10","Abdomen CT Use of Contrast Material","3.4",,"07/01/2012","06/30/2013"
"150008","ST CATHERINE HOSPITAL INC","IN","OP_11","Thorax CT Use of Contrast Material","0.5",,"07/01/2012","06/30/2013"
"150008","ST CATHERINE HOSPITAL INC","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.1",,"07/01/2012","06/30/2013"
"150008","ST CATHERINE HOSPITAL INC","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"150008","ST CATHERINE HOSPITAL INC","IN","OP_8","MRI Lumbar Spine for Low Back Pain","36.8",,"07/01/2012","06/30/2013"
"150008","ST CATHERINE HOSPITAL INC","IN","OP_9","Mammography Follow-up Rates","9.1",,"07/01/2012","06/30/2013"
"150009","CLARK MEMORIAL HOSPITAL","IN","OP_10","Abdomen CT Use of Contrast Material","4.9",,"07/01/2012","06/30/2013"
"150009","CLARK MEMORIAL HOSPITAL","IN","OP_11","Thorax CT Use of Contrast Material","0.0",,"07/01/2012","06/30/2013"
"150009","CLARK MEMORIAL HOSPITAL","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.0",,"07/01/2012","06/30/2013"
"150009","CLARK MEMORIAL HOSPITAL","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","2.4",,"07/01/2012","06/30/2013"
"150009","CLARK MEMORIAL HOSPITAL","IN","OP_8","MRI Lumbar Spine for Low Back Pain","40.2",,"07/01/2012","06/30/2013"
"150009","CLARK MEMORIAL HOSPITAL","IN","OP_9","Mammography Follow-up Rates","8.6",,"07/01/2012","06/30/2013"
"150010","ST JOSEPH HOSPITAL & HEALTH CENTER INC","IN","OP_10","Abdomen CT Use of Contrast Material","4.3",,"07/01/2012","06/30/2013"
"150010","ST JOSEPH HOSPITAL & HEALTH CENTER INC","IN","OP_11","Thorax CT Use of Contrast Material","0.2",,"07/01/2012","06/30/2013"
"150010","ST JOSEPH HOSPITAL & HEALTH CENTER INC","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","4.6",,"07/01/2012","06/30/2013"
"150010","ST JOSEPH HOSPITAL & HEALTH CENTER INC","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","1.6",,"07/01/2012","06/30/2013"
"150010","ST JOSEPH HOSPITAL & HEALTH CENTER INC","IN","OP_8","MRI Lumbar Spine for Low Back Pain","39.3",,"07/01/2012","06/30/2013"
"150010","ST JOSEPH HOSPITAL & HEALTH CENTER INC","IN","OP_9","Mammography Follow-up Rates","8.4",,"07/01/2012","06/30/2013"
"150011","MARION GENERAL HOSPITAL","IN","OP_10","Abdomen CT Use of Contrast Material","9.1",,"07/01/2012","06/30/2013"
"150011","MARION GENERAL HOSPITAL","IN","OP_11","Thorax CT Use of Contrast Material","4.1",,"07/01/2012","06/30/2013"
"150011","MARION GENERAL HOSPITAL","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"150011","MARION GENERAL HOSPITAL","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","2.4",,"07/01/2012","06/30/2013"
"150011","MARION GENERAL HOSPITAL","IN","OP_8","MRI Lumbar Spine for Low Back Pain","33.8",,"07/01/2012","06/30/2013"
"150011","MARION GENERAL HOSPITAL","IN","OP_9","Mammography Follow-up Rates","8.8",,"07/01/2012","06/30/2013"
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","IN","OP_10","Abdomen CT Use of Contrast Material","3.0",,"07/01/2012","06/30/2013"
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","IN","OP_11","Thorax CT Use of Contrast Material","0.8",,"07/01/2012","06/30/2013"
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.1",,"07/01/2012","06/30/2013"
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","2.7",,"07/01/2012","06/30/2013"
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","IN","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","IN","OP_9","Mammography Follow-up Rates","10.9",,"07/01/2012","06/30/2013"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","IN","OP_10","Abdomen CT Use of Contrast Material","26.4",,"07/01/2012","06/30/2013"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","IN","OP_11","Thorax CT Use of Contrast Material","31.2",,"07/01/2012","06/30/2013"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","2.4",,"07/01/2012","06/30/2013"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","4.4",,"07/01/2012","06/30/2013"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","IN","OP_8","MRI Lumbar Spine for Low Back Pain","36.1",,"07/01/2012","06/30/2013"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","IN","OP_9","Mammography Follow-up Rates","3.3",,"07/01/2012","06/30/2013"
"150017","LUTHERAN HOSPITAL OF INDIANA","IN","OP_10","Abdomen CT Use of Contrast Material","2.9",,"07/01/2012","06/30/2013"
"150017","LUTHERAN HOSPITAL OF INDIANA","IN","OP_11","Thorax CT Use of Contrast Material","0.2",,"07/01/2012","06/30/2013"
"150017","LUTHERAN HOSPITAL OF INDIANA","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","4.4",,"07/01/2012","06/30/2013"
"150017","LUTHERAN HOSPITAL OF INDIANA","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","2.3",,"07/01/2012","06/30/2013"
"150017","LUTHERAN HOSPITAL OF INDIANA","IN","OP_8","MRI Lumbar Spine for Low Back Pain","38.3",,"07/01/2012","06/30/2013"
"150017","LUTHERAN HOSPITAL OF INDIANA","IN","OP_9","Mammography Follow-up Rates","4.8",,"07/01/2012","06/30/2013"
"150018","ELKHART GENERAL HOSPITAL","IN","OP_10","Abdomen CT Use of Contrast Material","3.3",,"07/01/2012","06/30/2013"
"150018","ELKHART GENERAL HOSPITAL","IN","OP_11","Thorax CT Use of Contrast Material","0.2",,"07/01/2012","06/30/2013"
"150018","ELKHART GENERAL HOSPITAL","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","3.8",,"07/01/2012","06/30/2013"
"150018","ELKHART GENERAL HOSPITAL","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","1.2",,"07/01/2012","06/30/2013"
"150018","ELKHART GENERAL HOSPITAL","IN","OP_8","MRI Lumbar Spine for Low Back Pain","34.6",,"07/01/2012","06/30/2013"
"150018","ELKHART GENERAL HOSPITAL","IN","OP_9","Mammography Follow-up Rates","6.8",,"07/01/2012","06/30/2013"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","IN","OP_10","Abdomen CT Use of Contrast Material","11.8",,"07/01/2012","06/30/2013"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","IN","OP_11","Thorax CT Use of Contrast Material","0.3",,"07/01/2012","06/30/2013"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.1",,"07/01/2012","06/30/2013"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","3.5",,"07/01/2012","06/30/2013"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","IN","OP_8","MRI Lumbar Spine for Low Back Pain","36.4",,"07/01/2012","06/30/2013"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","IN","OP_9","Mammography Follow-up Rates","Not Available","7","07/01/2012","06/30/2013"
"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","IN","OP_10","Abdomen CT Use of Contrast Material","4.6",,"07/01/2012","06/30/2013"
"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","IN","OP_11","Thorax CT Use of Contrast Material","1.3",,"07/01/2012","06/30/2013"
"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.1",,"07/01/2012","06/30/2013"
"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","IN","OP_8","MRI Lumbar Spine for Low Back Pain","50.0",,"07/01/2012","06/30/2013"
"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","IN","OP_9","Mammography Follow-up Rates","4.3",,"07/01/2012","06/30/2013"
"150023","UNION HOSPITAL INC","IN","OP_10","Abdomen CT Use of Contrast Material","18.8",,"07/01/2012","06/30/2013"
"150023","UNION HOSPITAL INC","IN","OP_11","Thorax CT Use of Contrast Material","15.0",,"07/01/2012","06/30/2013"
"150023","UNION HOSPITAL INC","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","1.2",,"07/01/2012","06/30/2013"
"150023","UNION HOSPITAL INC","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","3.3",,"07/01/2012","06/30/2013"
"150023","UNION HOSPITAL INC","IN","OP_8","MRI Lumbar Spine for Low Back Pain","40.4",,"07/01/2012","06/30/2013"
"150023","UNION HOSPITAL INC","IN","OP_9","Mammography Follow-up Rates","8.2",,"07/01/2012","06/30/2013"
"150024","ESKENAZI HEALTH","IN","OP_10","Abdomen CT Use of Contrast Material","5.6",,"07/01/2012","06/30/2013"
"150024","ESKENAZI HEALTH","IN","OP_11","Thorax CT Use of Contrast Material","2.9",,"07/01/2012","06/30/2013"
"150024","ESKENAZI HEALTH","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","4.0",,"07/01/2012","06/30/2013"
"150024","ESKENAZI HEALTH","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","5.1",,"07/01/2012","06/30/2013"
"150024","ESKENAZI HEALTH","IN","OP_8","MRI Lumbar Spine for Low Back Pain","34.8",,"07/01/2012","06/30/2013"
"150024","ESKENAZI HEALTH","IN","OP_9","Mammography Follow-up Rates","6.5",,"07/01/2012","06/30/2013"
"150026","IU HEALTH GOSHEN HOSPITAL","IN","OP_10","Abdomen CT Use of Contrast Material","2.6",,"07/01/2012","06/30/2013"
"150026","IU HEALTH GOSHEN HOSPITAL","IN","OP_11","Thorax CT Use of Contrast Material","0.3",,"07/01/2012","06/30/2013"
"150026","IU HEALTH GOSHEN HOSPITAL","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.2",,"07/01/2012","06/30/2013"
"150026","IU HEALTH GOSHEN HOSPITAL","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","1.3",,"07/01/2012","06/30/2013"
"150026","IU HEALTH GOSHEN HOSPITAL","IN","OP_8","MRI Lumbar Spine for Low Back Pain","41.6",,"07/01/2012","06/30/2013"
"150026","IU HEALTH GOSHEN HOSPITAL","IN","OP_9","Mammography Follow-up Rates","6.6",,"07/01/2012","06/30/2013"
"150030","HENRY COUNTY MEMORIAL HOSPITAL","IN","OP_10","Abdomen CT Use of Contrast Material","9.0",,"07/01/2012","06/30/2013"
"150030","HENRY COUNTY MEMORIAL HOSPITAL","IN","OP_11","Thorax CT Use of Contrast Material","9.7",,"07/01/2012","06/30/2013"
"150030","HENRY COUNTY MEMORIAL HOSPITAL","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","10.1",,"07/01/2012","06/30/2013"
"150030","HENRY COUNTY MEMORIAL HOSPITAL","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","1.7",,"07/01/2012","06/30/2013"
"150030","HENRY COUNTY MEMORIAL HOSPITAL","IN","OP_8","MRI Lumbar Spine for Low Back Pain","43.3",,"07/01/2012","06/30/2013"
"150030","HENRY COUNTY MEMORIAL HOSPITAL","IN","OP_9","Mammography Follow-up Rates","5.2",,"07/01/2012","06/30/2013"
"150034","ST MARY MEDICAL CENTER INC","IN","OP_10","Abdomen CT Use of Contrast Material","6.1",,"07/01/2012","06/30/2013"
"150034","ST MARY MEDICAL CENTER INC","IN","OP_11","Thorax CT Use of Contrast Material","0.1",,"07/01/2012","06/30/2013"
"150034","ST MARY MEDICAL CENTER INC","IN","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","5.3",,"07/01/2012","06/30/2013"
"150034","ST MARY MEDICAL CENTER INC","IN","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","3.4",,"07/01/2012","06/30/2013"
