State,S_HBIPS-2_Measure_Description,S_HBIPS-2_Overall_Rate_Per_1000,S_HBIPS-2_Overall_Num,S_HBIPS-2_Overall_Den,S_HBIPS-2_1-12_Rate_Per_1000,S_HBIPS-2_1-12_Num,S_HBIPS-2_1-12_Den,S_HBIPS-2_13-17_Rate_Per_1000,S_HBIPS-2_13-17_Num,S_HBIPS-2_13-17_Den,S_HBIPS-2_18-64_Rate_Per_1000,S_HBIPS-2_18-64_Num,S_HBIPS-2_18-64_Den,S_HBIPS-2_65_Over_Rate_Per_1000,S_HBIPS-2_65_Over_Num,S_HBIPS-2_65_Over_Den,S_HBIPS-3_Measure_Description,S_HBIPS-3_Overall_Rate_Per_1000,S_HBIPS-3_Overall_Num,S_HBIPS-3_Overall_Den,S_HBIPS-3_1-12_Rate_Per_1000,S_HBIPS-3_1-12_Num,S_HBIPS-3_1-12_Den,S_HBIPS-3_13-17_Rate_Per_1000,S_HBIPS-3_13-17_Num,S_HBIPS-3_13-17_Den,S_HBIPS-3_18-64_Rate_Per_1000,S_HBIPS-3_18-64_Num,S_HBIPS-3_18-64_Den,S_HBIPS-3_65_Over_Rate_Per_1000,S_HBIPS-3_65_Over_Num,S_HBIPS-3_65_Over_Den,S_HBIPS-4_Measure_Description,S_HBIPS-4_Overall_%_of_Total,S_HBIPS-4_Overall_Num,S_HBIPS-4_Overall_Den,S_HBIPS-4_1-12_%_of_Total,S_HBIPS-4_1-12_Num,S_HBIPS-4_1-12_Den,S_HBIPS-4_13-17_%_of_Total,S_HBIPS-4_13-17_Num,S_HBIPS-4_13-17_Den,S_HBIPS-4_18-64_%_of_Total,S_HBIPS-4_18-64_Num,S_HBIPS-4_18-64_Den,S_HBIPS-4_65_Over_%_of_Total,S_HBIPS-4_65_Over_Num,S_HBIPS-4_65_Over_Den,S_HBIPS-5_Measure_Description,S_HBIPS-5_%_of_Total,S_HBIPS-5_Overall_Num,S_HBIPS-5_Overall_Den,S_HBIPS-5_1-12_%_of_Total,S_HBIPS-5_1-12_Num,S_HBIPS-5_1-12_Den,S_HBIPS-5_13-17_%_of_Total,S_HBIPS-5_13-17_Num,S_HBIPS-5_13-17_Den,S_HBIPS-5_18-64_%_of_Total,S_HBIPS-5_18-64_Num,S_HBIPS-5_18-64_Den,S_HBIPS-5_65_%_of_Total,S_HBIPS-5_65_Over_Num,S_HBIPS-5_65_Over_Den,S_HBIPS-6_Measure_Description,S_HBIPS-6_%_of_Total,S_HBIPS-6_Overall_Num,S_HBIPS-6_Overall_Den,S_HBIPS-6_1-12_%_of_Total,S_HBIPS-6_1-12_Num,S_HBIPS-6_1-12_Den,S_HBIPS-6_13-17_%_of_Total,S_HBIPS-6_13-17_Num,S_HBIPS-6_13-17_Den,S_HBIPS-6_18-64_%_of_Total,S_HBIPS-6_18-64_Num,S_HBIPS-6_18-64_Den,S_HBIPS-6_65_%_of_Total,S_HBIPS-6_65_Over_Num,S_HBIPS-6_65_Over_Den,S_HBIPS-7_Measure_Description,S_HBIPS-7_Overall_%_of_Total,S_HBIPS-7_Overall_Num,S_HBIPS-7_Overall_Den,S_HBIPS-7_1-12_%_of_Total,S_HBIPS-7_1-12_Num,S_HBIPS-7_1-12_Den,S_HBIPS-7_13-17_%_of_Total,S_HBIPS-7_13-17_Num,S_HBIPS-7_13-17_Den,S_HBIPS-7_18-64_%_of_Total,S_HBIPS-7_18-64_Num,S_HBIPS-7_18-64_Den,S_HBIPS-7_65_%_of_Total,S_HBIPS-7_65_Over_Num,S_HBIPS-7_65_Over_Den,Start_Date,End_Date
"AZ","Hours of Physical Restraint Use","0.76","3413.53","186152","0.36","15.37","1783","0.07","32.03","18035","0.98","3343.77","142596","0.04","22.36","23738","Hours of Seclusion Use","0.07","295.3","182866","0.33","13.93","1774","0.04","16.3","18035","0.08","265.06","139393","0.00","0","23664","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","84.90","5898","6947","98.59","210","213","98.25","787","801","84.32","3973","4712","76.00","928","1221","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","72.12","5010","6947","90.61","193","213","82.77","663","801","71.92","3389","4712","62.65","765","1221","10/01/2012","03/31/2013"
"UT","Hours of Physical Restraint Use","0.04","310.66","303873","0.49","54.75","4679","0.04","27.83","33102","0.03","188.71","258533","0.22","39.37","7559","Hours of Seclusion Use","0.19","1380.36","303873","2.64","296.17","4679","0.13","104.28","33102","0.15","951.61","258533","0.16","28.3","7559","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","49.56","1560","3148","59.60","90","151","65.61","372","567","44.01","848","1927","49.70","250","503","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","41.36","1302","3148","52.98","80","151","58.02","329","567","34.61","667","1927","44.93","226","503","10/01/2012","03/31/2013"
"PA","Hours of Physical Restraint Use","0.46","13768.14","1256060","0.25","287.96","47650","0.19","552.28","122932","0.28","6361.25","957249","2.13","6566.65","128229","Hours of Seclusion Use","0.35","10491.46","1247582","0.16","187.17","47608","0.07","194.08","122677","0.44","9911.11","948773","0.06","199.1","128524","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","57.45","17577","30597","97.26","1242","1277","86.37","2312","2677","56.00","11127","19868","42.75","2896","6775","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","47.82","14630","30597","86.30","1102","1277","73.25","1961","2677","45.59","9058","19868","37.03","2509","6775","10/01/2012","03/31/2013"
"OR","Hours of Physical Restraint Use","0.22","341.69","63283","0.79","17.57","924","0.33","34.15","4370","0.21","235.44","47317","0.21","54.54","10672","Hours of Seclusion Use","1.57","2336.96","62025","3.22","71.43","924","1.46","153.6","4370","1.71","1889.39","46102","0.87","222.53","10629","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","73.92","1876","2538","32.98","31","94","51.35","95","185","76.02","1376","1810","83.30","374","449","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","43.27","1110","2565","1.06","1","94","7.03","13","185","44.14","799","1810","62.39","297","476","10/01/2012","03/31/2013"
"CO","Hours of Physical Restraint Use","0.03","646.99","940450","0.54","25.67","1983","0.46","145.85","13213","0.03","467.25","696465","0.00","8.23","228789","Hours of Seclusion Use","0.04","2163.15","2499486","0.65","31.06","1983","0.01","31.66","195853","0.05","2069.62","1702305","0.00","30.8","599345","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","85.53","3836","4485","82.68","210","254","90.73","763","841","85.53","2181","2550","81.19","682","840","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","67.80","3041","4485","73.23","186","254","67.42","567","841","65.33","1666","2550","74.05","622","840","10/01/2012","03/31/2013"
"ME","Hours of Physical Restraint Use","0.48","678.18","58709","1.19","107.8","3761","0.39","75.4","8115","0.37","371.96","41419","0.95","123.02","5414","Hours of Seclusion Use","1.15","1619.63","58709","2.20","198.45","3761","1.09","212.8","8115","1.19","1185.08","41419","0.18","23.3","5414","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","95.33","1532","1607","99.50","198","199","98.05","301","307","93.72","791","844","94.16","242","257","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","88.11","1416","1607","82.41","164","199","89.58","275","307","87.32","737","844","93.39","240","257","10/01/2012","03/31/2013"
"IL","Hours of Physical Restraint Use","0.59","12254.49","862435","0.24","226.31","39832","0.09","236.79","106581","0.21","3186.08","623664","3.88","8605.31","92358","Hours of Seclusion Use","0.05","951.9","863755","0.17","165.69","39832","0.07","190.7","106581","0.04","570.92","623664","0.01","24.6","93678","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","77.96","10804","13859","89.52","991","1107","84.78","1710","2017","76.07","6144","8077","73.70","1959","2658","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","64.77","8980","13864","77.24","855","1107","72.98","1472","2017","61.82","4994","8078","62.32","1659","2662","10/01/2012","03/31/2013"
"OH","Hours of Physical Restraint Use","1.46","17178.89","491298","0.28","32.47","4789","0.14","45.64","14015","0.36","3231.97","371833","5.74","13868.82","100661","Hours of Seclusion Use","0.33","3908.81","487880","0.54","62.92","4819","0.29","97.19","14045","0.41","3622.21","369691","0.05","126.49","99325","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","79.41","14071","17719","82.76","408","493","83.71","560","669","83.82","10558","12596","64.25","2545","3961","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","71.00","12582","17721","72.62","358","493","68.76","460","669","74.97","9445","12598","58.55","2319","3961","10/01/2012","03/31/2013"
"NJ","Hours of Physical Restraint Use","0.20","2811.38","586303","0.66","85.35","5350","0.31","191.6","26076","0.21","2422.93","483303","0.06","111.5","71574","Hours of Seclusion Use","0.06","891.67","586303","0.40","51.5","5350","0.16","101.27","26076","0.06","709.45","483303","0.02","29.45","71574","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","79.72","9300","11666","89.54","531","593","85.94","1339","1558","77.65","5857","7543","79.77","1573","1972","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","63.26","7379","11664","58.28","345","592","57.87","901","1557","63.81","4813","7543","66.94","1320","1972","10/01/2012","03/31/2013"
"CT","Hours of Physical Restraint Use","1.00","11197.06","467972","0.02","11.03","29772","0.02","50.46","90323","0.53","3963.21","308993","7.69","7172.35","38884","Hours of Seclusion Use","0.08","843.17","467893","0.06","45.38","29772","0.03","60.45","90323","0.08","584.75","308919","0.16","152.58","38879","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","69.44","4986","7180","76.00","152","200","70.68","593","839","73.14","3647","4986","51.43","594","1155","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","58.32","4188","7181","70.65","142","201","55.42","465","839","61.91","3087","4986","42.77","494","1155","10/01/2012","03/31/2013"
"NH","Hours of Physical Restraint Use","2.39","4864.75","84728","0.15","21.06","5884","0.44","122.72","11742","0.36","493.61","56586","16.75","4227.36","10516","Hours of Seclusion Use","1.00","2032.78","84728","2.15","303.8","5884","0.50","141.98","11742","1.15","1562.85","56586","0.10","24.15","10516","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","80.82","2102","2601","97.26","142","146","89.29","467","523","81.68","1271","1556","59.04","222","376","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","77.24","2009","2601","91.10","133","146","85.09","445","523","77.96","1213","1556","57.98","218","376","10/01/2012","03/31/2013"
"VT","Hours of Physical Restraint Use","0.15","98.25","27591","0.13","6.01","1996","0.05","6.4","5010","0.18","85.84","19949","0.00","0","636","Hours of Seclusion Use","0.33","221.85","27820","1.32","63.2","1996","0.07","8.55","5010","0.31","150.1","19949","0.00","0","865","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","72.13","603","836","97.73","86","88","98.88","88","89","65.30","397","608","62.75","32","51","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","58.61","490","836","69.32","61","88","93.26","83","89","52.47","319","608","52.94","27","51","10/01/2012","03/31/2013"
"GA","Hours of Physical Restraint Use","0.20","1742.08","355670","0.08","11.8","6300","0.12","54.58","18903","0.13","819.39","271870","0.61","856.31","58597","Hours of Seclusion Use","0.12","1020.03","361978","0.16","24.22","6471","0.11","52.62","19458","0.09","588.92","276238","0.25","354.28","59811","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","83.54","9143","10944","96.00","576","600","87.72","957","1091","83.64","6042","7224","77.28","1568","2029","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","78.25","8540","10914","84.67","508","600","80.11","874","1091","78.51","5648","7194","74.42","1510","2029","10/01/2012","03/31/2013"
"MT","Hours of Physical Restraint Use","0.49","346.62","29748","0.34","11.63","1416","0.17","11","2656","0.65","323.48","20677","0.00",".5","4999","Hours of Seclusion Use","14.77","10544.6","29748","2.21","75.1","1416","0.95","60.27","2656","20.95","10394.65","20677","0.12","14.58","4999","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","79.79","774","970","98.31","116","118","99.06","211","213","73.79","352","477","58.64","95","162","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","42.58","413","970","59.32","70","118","43.66","93","213","40.25","192","477","35.80","58","162","10/01/2012","03/31/2013"
"AL","Hours of Physical Restraint Use","0.54","2831.05","216692","0.63","81.83","5455","1.80","624.42","14470","0.48","1275.66","110566","0.41","849.13","86201","Hours of Seclusion Use","0.11","561.64","216713","0.12","16.08","5456","0.11","39.86","14470","0.15","404.1","110566","0.05","101.59","86221","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","80.22","8000","9972","93.36","394","422","81.55","769","943","80.02","3245","4055","78.91","3592","4552","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","73.98","7377","9971","89.10","376","422","76.88","725","943","71.98","2918","4054","73.77","3358","4552","10/01/2012","03/31/2013"
"AK","Hours of Physical Restraint Use","0.30","195.15","27302","0.19","27.43","5996","0.34","103.92","12603","0.34","63.43","7819","0.02",".37","884","Hours of Seclusion Use","0.69","452.05","27302","1.67","240.88","5996","0.41","123.38","12603","0.45","84.53","7819","0.15","3.25","884","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","99.91","1075","1076","100.00","126","126","100.00","284","284","99.84","640","641","100.00","25","25","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","93.49","1006","1076","81.75","103","126","89.08","253","284","97.50","625","641","100.00","25","25","10/01/2012","03/31/2013"
"OK","Hours of Physical Restraint Use","0.01","289.54","842333","0.06","114.63","80281","0.00","9.17","139972","0.01","161","451778","0.00","4.74","170302","Hours of Seclusion Use","0.02","323.35","842333","0.05","95.2","80281","0.01","26.43","139972","0.02","186.47","451778","0.00","15.25","170302","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","75.76","4856","6410","96.48","466","483","95.45","755","791","74.47","2471","3318","64.03","1164","1818","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","66.16","4233","6398","91.51","442","483","87.99","696","791","61.37","2032","3311","58.63","1063","1813","10/01/2012","03/31/2013"
"DC","Hours of Physical Restraint Use","0.06","111.25","72644","0.14","3.15","965","0.07","6.42","3806","0.05","66.45","58271","0.15","35.23","9602","Hours of Seclusion Use","0.05","89.35","72644","0.50","11.48","965","0.25","22.5","3806","0.04","55.36","58271","0.00","0","9602","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","71.27","878","1232","100.00","92","92","100.00","113","113","67.38","597","886","53.90","76","141","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","31.90","393","1232","58.70","54","92","18.58","21","113","31.94","283","886","24.82","35","141","10/01/2012","03/31/2013"
"NC","Hours of Physical Restraint Use","0.85","12927.53","631458","0.42","121.16","11891","0.21","177.53","34829","0.15","1914.7","525628","7.55","10714.13","59110","Hours of Seclusion Use","0.13","2026.25","630547","0.69","196.13","11891","0.11","94.82","34829","0.14","1724.49","525329","0.01","10.81","58498","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","69.94","11013","15746","81.87","745","910","85.38","1419","1662","72.07","7371","10227","50.15","1478","2947","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","59.62","9387","15746","59.45","541","910","70.76","1176","1662","61.82","6322","10227","45.74","1348","2947","10/01/2012","03/31/2013"
"MS","Hours of Physical Restraint Use","0.19","904.65","203207","0.03","4.08","6686","0.05","16.85","15531","0.22","568.62","106969","0.18","315.1","74021","Hours of Seclusion Use","0.12","578.53","202425","0.06","9.63","6686","0.16","61.48","15531","0.19","487.32","107758","0.01","20.1","72450","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","68.91","4917","7135","99.30","284","286","99.26","403","406","75.54","2591","3430","54.40","1639","3013","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","55.90","3988","7134","95.80","274","286","96.06","390","406","59.33","2035","3430","42.80","1289","3012","10/01/2012","03/31/2013"
