Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"DOCTORS MEDICAL CENTER","050464","CA","READM-30-AMI-HRRP","410","","1.0297","17.5","17.0","73","07/01/2009","06/30/2012"
"DOCTORS MEDICAL CENTER","050464","CA","READM-30-HF-HRRP","389","","1.0652","24.5","23.0","99","07/01/2009","06/30/2012"
"DOCTORS MEDICAL CENTER","050464","CA","READM-30-PN-HRRP","270","","1.0041","17.7","17.6","48","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL OF GARDENA","050468","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL OF GARDENA","050468","CA","READM-30-HF-HRRP","151","","1.1639","27.9","24.0","51","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL OF GARDENA","050468","CA","READM-30-PN-HRRP","92","","1.0134","22.0","21.7","21","07/01/2009","06/30/2012"
"GOOD SAMARITAN HOSPITAL","050471","CA","READM-30-AMI-HRRP","250","","1.0587","20.9","19.7","55","07/01/2009","06/30/2012"
"GOOD SAMARITAN HOSPITAL","050471","CA","READM-30-HF-HRRP","644","","1.0284","24.3","23.6","158","07/01/2009","06/30/2012"
"GOOD SAMARITAN HOSPITAL","050471","CA","READM-30-PN-HRRP","290","","1.0297","19.1","18.5","57","07/01/2009","06/30/2012"
"WEST HILLS HOSPITAL & MEDICAL CENTER","050481","CA","READM-30-AMI-HRRP","178","","1.0073","18.3","18.2","33","07/01/2009","06/30/2012"
"WEST HILLS HOSPITAL & MEDICAL CENTER","050481","CA","READM-30-HF-HRRP","296","","0.9232","21.4","23.2","59","07/01/2009","06/30/2012"
"WEST HILLS HOSPITAL & MEDICAL CENTER","050481","CA","READM-30-PN-HRRP","394","","0.9947","18.9","19.0","74","07/01/2009","06/30/2012"
"LONG BEACH MEMORIAL MEDICAL CENTER","050485","CA","READM-30-AMI-HRRP","197","","1.1694","21.5","18.4","50","07/01/2009","06/30/2012"
"LONG BEACH MEMORIAL MEDICAL CENTER","050485","CA","READM-30-HF-HRRP","577","","0.9721","22.3","22.9","127","07/01/2009","06/30/2012"
"LONG BEACH MEMORIAL MEDICAL CENTER","050485","CA","READM-30-PN-HRRP","342","","1.0530","19.6","18.6","70","07/01/2009","06/30/2012"
"EDEN MEDICAL CENTER","050488","CA","READM-30-AMI-HRRP","86","","1.0388","22.2","21.4","21","07/01/2009","06/30/2012"
"EDEN MEDICAL CENTER","050488","CA","READM-30-HF-HRRP","347","","1.0227","23.6","23.0","83","07/01/2009","06/30/2012"
"EDEN MEDICAL CENTER","050488","CA","READM-30-PN-HRRP","269","","1.0214","18.9","18.5","52","07/01/2009","06/30/2012"
"CLOVIS COMMUNITY MEDICAL CENTER","050492","CA","READM-30-AMI-HRRP","83","","1.0248","17.9","17.5","16","07/01/2009","06/30/2012"
"CLOVIS COMMUNITY MEDICAL CENTER","050492","CA","READM-30-HF-HRRP","149","","0.8707","18.3","21.1","20","07/01/2009","06/30/2012"
"CLOVIS COMMUNITY MEDICAL CENTER","050492","CA","READM-30-PN-HRRP","273","","0.9556","15.2","15.9","39","07/01/2009","06/30/2012"
"JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS","050496","CA","READM-30-AMI-HRRP","196","","0.9624","18.3","19.0","34","07/01/2009","06/30/2012"
"JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS","050496","CA","READM-30-HF-HRRP","468","","0.8527","20.7","24.3","88","07/01/2009","06/30/2012"
"JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS","050496","CA","READM-30-PN-HRRP","249","","0.9655","17.3","17.9","41","07/01/2009","06/30/2012"
"SUTTER AUBURN FAITH HOSPITAL","050498","CA","READM-30-AMI-HRRP","36","","0.9227","18.9","20.5","Too Few To Report","07/01/2009","06/30/2012"
"SUTTER AUBURN FAITH HOSPITAL","050498","CA","READM-30-HF-HRRP","165","","0.9848","22.9","23.3","37","07/01/2009","06/30/2012"
"SUTTER AUBURN FAITH HOSPITAL","050498","CA","READM-30-PN-HRRP","218","","0.9975","16.6","16.6","36","07/01/2009","06/30/2012"
"SAINT VINCENT MEDICAL CENTER","050502","CA","READM-30-AMI-HRRP","101","","1.0642","22.7","21.3","26","07/01/2009","06/30/2012"
"SAINT VINCENT MEDICAL CENTER","050502","CA","READM-30-HF-HRRP","470","","0.9751","23.1","23.7","107","07/01/2009","06/30/2012"
"SAINT VINCENT MEDICAL CENTER","050502","CA","READM-30-PN-HRRP","403","","0.9100","16.2","17.8","60","07/01/2009","06/30/2012"
"SCRIPPS MEMORIAL HOSPITAL - ENCINITAS","050503","CA","READM-30-AMI-HRRP","147","","0.9064","15.3","16.9","18","07/01/2009","06/30/2012"
"SCRIPPS MEMORIAL HOSPITAL - ENCINITAS","050503","CA","READM-30-HF-HRRP","358","","0.8833","19.2","21.7","62","07/01/2009","06/30/2012"
"SCRIPPS MEMORIAL HOSPITAL - ENCINITAS","050503","CA","READM-30-PN-HRRP","258","","0.9449","15.6","16.5","37","07/01/2009","06/30/2012"
"SIERRA VISTA REGIONAL MEDICAL CENTER","050506","CA","READM-30-AMI-HRRP","34","","1.0190","18.0","17.7","Too Few To Report","07/01/2009","06/30/2012"
"SIERRA VISTA REGIONAL MEDICAL CENTER","050506","CA","READM-30-HF-HRRP","101","","0.9397","19.1","20.3","16","07/01/2009","06/30/2012"
"SIERRA VISTA REGIONAL MEDICAL CENTER","050506","CA","READM-30-PN-HRRP","155","","1.0253","15.3","14.9","25","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL","050510","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL","050510","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL","050510","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL FREMONT/HAYWARD","050512","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL FREMONT/HAYWARD","050512","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL FREMONT/HAYWARD","050512","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL - SAN DIEGO","050515","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL - SAN DIEGO","050515","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL - SAN DIEGO","050515","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MERCY SAN JUAN MEDICAL CENTER","050516","CA","READM-30-AMI-HRRP","222","","1.0535","18.7","17.8","44","07/01/2009","06/30/2012"
"MERCY SAN JUAN MEDICAL CENTER","050516","CA","READM-30-HF-HRRP","486","","1.0717","23.7","22.1","119","07/01/2009","06/30/2012"
"MERCY SAN JUAN MEDICAL CENTER","050516","CA","READM-30-PN-HRRP","424","","1.0900","18.4","16.9","83","07/01/2009","06/30/2012"
"VICTOR VALLEY GLOBAL MEDICAL CENTER","050517","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"VICTOR VALLEY GLOBAL MEDICAL CENTER","050517","CA","READM-30-HF-HRRP","79","","1.0350","24.1","23.3","21","07/01/2009","06/30/2012"
"VICTOR VALLEY GLOBAL MEDICAL CENTER","050517","CA","READM-30-PN-HRRP","68","","1.0188","19.0","18.6","14","07/01/2009","06/30/2012"
"SUTTER DELTA MEDICAL CENTER","050523","CA","READM-30-AMI-HRRP","122","","1.1024","20.0","18.1","29","07/01/2009","06/30/2012"
"SUTTER DELTA MEDICAL CENTER","050523","CA","READM-30-HF-HRRP","297","","0.9708","22.8","23.5","66","07/01/2009","06/30/2012"
"SUTTER DELTA MEDICAL CENTER","050523","CA","READM-30-PN-HRRP","230","","1.1059","20.5","18.5","53","07/01/2009","06/30/2012"
"HUNTINGTON BEACH HOSPITAL","050526","CA","READM-30-AMI-HRRP","37","","1.0298","23.0","22.3","Too Few To Report","07/01/2009","06/30/2012"
"HUNTINGTON BEACH HOSPITAL","050526","CA","READM-30-HF-HRRP","150","","1.0768","28.4","26.4","47","07/01/2009","06/30/2012"
"HUNTINGTON BEACH HOSPITAL","050526","CA","READM-30-PN-HRRP","145","","0.9702","21.3","21.9","29","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL LOS BANOS","050528","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL LOS BANOS","050528","CA","READM-30-HF-HRRP","57","","0.9913","21.9","22.1","12","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL LOS BANOS","050528","CA","READM-30-PN-HRRP","114","","1.0101","17.9","17.7","21","07/01/2009","06/30/2012"
"JOHN F KENNEDY MEMORIAL HOSPITAL, INC","050534","CA","READM-30-AMI-HRRP","60","","0.9765","16.9","17.3","Too Few To Report","07/01/2009","06/30/2012"
"JOHN F KENNEDY MEMORIAL HOSPITAL, INC","050534","CA","READM-30-HF-HRRP","122","","1.0629","24.2","22.8","33","07/01/2009","06/30/2012"
"JOHN F KENNEDY MEMORIAL HOSPITAL, INC","050534","CA","READM-30-PN-HRRP","194","","0.8971","16.0","17.9","25","07/01/2009","06/30/2012"
"SUTTER DAVIS HOSPITAL","050537","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SUTTER DAVIS HOSPITAL","050537","CA","READM-30-HF-HRRP","68","","0.9206","19.8","21.5","Too Few To Report","07/01/2009","06/30/2012"
"SUTTER DAVIS HOSPITAL","050537","CA","READM-30-PN-HRRP","79","","0.9760","16.9","17.3","12","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL - REDWOOD CITY","050541","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL - REDWOOD CITY","050541","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL - REDWOOD CITY","050541","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"COLLEGE HOSPITAL COSTA MESA","050543","CA","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"COLLEGE HOSPITAL COSTA MESA","050543","CA","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"COLLEGE HOSPITAL COSTA MESA","050543","CA","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"LANTERMAN DEVELOPMENTAL CENTER","050545","CA","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"LANTERMAN DEVELOPMENTAL CENTER","050545","CA","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"LANTERMAN DEVELOPMENTAL CENTER","050545","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PORTERVILLE DEVELOPMENTAL CENTER","050546","CA","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PORTERVILLE DEVELOPMENTAL CENTER","050546","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"PORTERVILLE DEVELOPMENTAL CENTER","050546","CA","READM-30-PN-HRRP","27","","1.0975","17.6","16.1","Too Few To Report","07/01/2009","06/30/2012"
"SONOMA DEVELOPMENTAL CENTER","050547","CA","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SONOMA DEVELOPMENTAL CENTER","050547","CA","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SONOMA DEVELOPMENTAL CENTER","050547","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"FAIRVIEW DEVELOPMENTAL CENTER","050548","CA","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"FAIRVIEW DEVELOPMENTAL CENTER","050548","CA","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"FAIRVIEW DEVELOPMENTAL CENTER","050548","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"LOS ROBLES HOSPITAL & MEDICAL CENTER","050549","CA","READM-30-AMI-HRRP","422","","0.9992","18.0","18.0","76","07/01/2009","06/30/2012"
"LOS ROBLES HOSPITAL & MEDICAL CENTER","050549","CA","READM-30-HF-HRRP","589","","0.8768","19.4","22.1","107","07/01/2009","06/30/2012"
"LOS ROBLES HOSPITAL & MEDICAL CENTER","050549","CA","READM-30-PN-HRRP","506","","0.9095","16.3","17.9","77","07/01/2009","06/30/2012"
"LOS ALAMITOS MEDICAL CENTER","050551","CA","READM-30-AMI-HRRP","105","","1.0911","18.1","16.6","23","07/01/2009","06/30/2012"
"LOS ALAMITOS MEDICAL CENTER","050551","CA","READM-30-HF-HRRP","337","","1.0206","22.5","22.1","77","07/01/2009","06/30/2012"
"LOS ALAMITOS MEDICAL CENTER","050551","CA","READM-30-PN-HRRP","348","","0.9552","16.0","16.7","53","07/01/2009","06/30/2012"
"MOTION PICTURE & TELEVISION HOSPITAL","050552","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MOTION PICTURE & TELEVISION HOSPITAL","050552","CA","READM-30-HF-HRRP","25","","0.9806","24.4","24.9","Too Few To Report","07/01/2009","06/30/2012"
"MOTION PICTURE & TELEVISION HOSPITAL","050552","CA","READM-30-PN-HRRP","31","","0.9925","17.5","17.6","Too Few To Report","07/01/2009","06/30/2012"
"MEMORIAL  MEDICAL CENTER","050557","CA","READM-30-AMI-HRRP","320","","0.9960","18.2","18.3","58","07/01/2009","06/30/2012"
"MEMORIAL  MEDICAL CENTER","050557","CA","READM-30-HF-HRRP","519","","0.9550","22.3","23.3","113","07/01/2009","06/30/2012"
"MEMORIAL  MEDICAL CENTER","050557","CA","READM-30-PN-HRRP","529","","1.0506","20.4","19.5","111","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL - WEST LA","050561","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL - WEST LA","050561","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL - WEST LA","050561","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MISSION HOSPITAL REGIONAL MED CENTER","050567","CA","READM-30-AMI-HRRP","236","","0.9405","16.0","17.1","35","07/01/2009","06/30/2012"
"MISSION HOSPITAL REGIONAL MED CENTER","050567","CA","READM-30-HF-HRRP","581","","0.9195","20.4","22.2","114","07/01/2009","06/30/2012"
"MISSION HOSPITAL REGIONAL MED CENTER","050567","CA","READM-30-PN-HRRP","451","","0.9375","16.1","17.2","69","07/01/2009","06/30/2012"
"MADERA COMMUNITY HOSPITAL","050568","CA","READM-30-AMI-HRRP","69","","0.9086","18.2","20.1","Too Few To Report","07/01/2009","06/30/2012"
"MADERA COMMUNITY HOSPITAL","050568","CA","READM-30-HF-HRRP","164","","1.0342","22.7","21.9","39","07/01/2009","06/30/2012"
"MADERA COMMUNITY HOSPITAL","050568","CA","READM-30-PN-HRRP","181","","0.9605","16.1","16.8","27","07/01/2009","06/30/2012"
"FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER","050570","CA","READM-30-AMI-HRRP","220","","1.0389","19.6","18.9","45","07/01/2009","06/30/2012"
"FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER","050570","CA","READM-30-HF-HRRP","524","","1.1489","27.8","24.2","154","07/01/2009","06/30/2012"
"FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER","050570","CA","READM-30-PN-HRRP","411","","0.9128","17.1","18.7","65","07/01/2009","06/30/2012"
"EISENHOWER MEDICAL CENTER","050573","CA","READM-30-AMI-HRRP","513","","0.9307","15.1","16.2","74","07/01/2009","06/30/2012"
"EISENHOWER MEDICAL CENTER","050573","CA","READM-30-HF-HRRP","906","","0.8036","17.7","22.1","149","07/01/2009","06/30/2012"
"EISENHOWER MEDICAL CENTER","050573","CA","READM-30-PN-HRRP","940","","0.8412","14.8","17.7","130","07/01/2009","06/30/2012"
"TRI-CITY REGIONAL MEDICAL CENTER","050575","CA","READM-30-AMI-HRRP","27","","1.0223","25.4","24.8","Too Few To Report","07/01/2009","06/30/2012"
"TRI-CITY REGIONAL MEDICAL CENTER","050575","CA","READM-30-HF-HRRP","152","","1.0048","26.1","26.0","40","07/01/2009","06/30/2012"
"TRI-CITY REGIONAL MEDICAL CENTER","050575","CA","READM-30-PN-HRRP","154","","0.8868","18.9","21.3","22","07/01/2009","06/30/2012"
"LA PALMA INTERCOMMUNITY HOSPITAL","050580","CA","READM-30-AMI-HRRP","55","","1.0397","21.9","21.1","14","07/01/2009","06/30/2012"
"LA PALMA INTERCOMMUNITY HOSPITAL","050580","CA","READM-30-HF-HRRP","151","","1.0133","25.3","25.0","39","07/01/2009","06/30/2012"
"LA PALMA INTERCOMMUNITY HOSPITAL","050580","CA","READM-30-PN-HRRP","131","","0.9533","20.5","21.5","24","07/01/2009","06/30/2012"
"LAKEWOOD REGIONAL MEDICAL CENTER","050581","CA","READM-30-AMI-HRRP","110","","1.0777","22.0","20.5","28","07/01/2009","06/30/2012"
"LAKEWOOD REGIONAL MEDICAL CENTER","050581","CA","READM-30-HF-HRRP","287","","0.9835","23.7","24.1","67","07/01/2009","06/30/2012"
"LAKEWOOD REGIONAL MEDICAL CENTER","050581","CA","READM-30-PN-HRRP","179","","0.8645","17.6","20.4","23","07/01/2009","06/30/2012"
"CHINO VALLEY MEDICAL CENTER","050586","CA","READM-30-AMI-HRRP","28","","1.0134","22.7","22.4","Too Few To Report","07/01/2009","06/30/2012"
"CHINO VALLEY MEDICAL CENTER","050586","CA","READM-30-HF-HRRP","99","","1.0258","24.8","24.2","26","07/01/2009","06/30/2012"
"CHINO VALLEY MEDICAL CENTER","050586","CA","READM-30-PN-HRRP","41","","1.0002","19.5","19.5","Too Few To Report","07/01/2009","06/30/2012"
"SAN DIMAS COMMUNITY HOSPITAL","050588","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SAN DIMAS COMMUNITY HOSPITAL","050588","CA","READM-30-HF-HRRP","83","","0.9918","24.7","24.9","20","07/01/2009","06/30/2012"
"SAN DIMAS COMMUNITY HOSPITAL","050588","CA","READM-30-PN-HRRP","67","","0.9878","17.4","17.7","11","07/01/2009","06/30/2012"
"PLACENTIA LINDA HOSPITAL","050589","CA","READM-30-AMI-HRRP","27","","0.9562","19.1","20.0","Too Few To Report","07/01/2009","06/30/2012"
"PLACENTIA LINDA HOSPITAL","050589","CA","READM-30-HF-HRRP","119","","0.9704","22.4","23.1","25","07/01/2009","06/30/2012"
"PLACENTIA LINDA HOSPITAL","050589","CA","READM-30-PN-HRRP","145","","1.0217","16.4","16.1","25","07/01/2009","06/30/2012"
"METHODIST HOSPITAL OF SACRAMENTO","050590","CA","READM-30-AMI-HRRP","26","","0.9806","19.0","19.3","Too Few To Report","07/01/2009","06/30/2012"
"METHODIST HOSPITAL OF SACRAMENTO","050590","CA","READM-30-HF-HRRP","198","","1.1195","25.1","22.4","56","07/01/2009","06/30/2012"
"METHODIST HOSPITAL OF SACRAMENTO","050590","CA","READM-30-PN-HRRP","193","","0.9996","16.6","16.6","32","07/01/2009","06/30/2012"
"FOOTHILL PRESBYTERIAN HOSPITAL","050597","CA","READM-30-AMI-HRRP","31","","1.0465","21.8","20.9","Too Few To Report","07/01/2009","06/30/2012"
"FOOTHILL PRESBYTERIAN HOSPITAL","050597","CA","READM-30-HF-HRRP","155","","0.8728","19.6","22.4","23","07/01/2009","06/30/2012"
"FOOTHILL PRESBYTERIAN HOSPITAL","050597","CA","READM-30-PN-HRRP","148","","1.0040","18.8","18.7","28","07/01/2009","06/30/2012"
"UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","050599","CA","READM-30-AMI-HRRP","262","","1.0616","19.5","18.4","54","07/01/2009","06/30/2012"
"UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","050599","CA","READM-30-HF-HRRP","497","","0.9871","23.9","24.2","118","07/01/2009","06/30/2012"
"UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","050599","CA","READM-30-PN-HRRP","318","","0.9615","17.7","18.4","54","07/01/2009","06/30/2012"
"SADDLEBACK MEMORIAL MEDICAL CENTER","050603","CA","READM-30-AMI-HRRP","254","","0.9991","20.1","20.1","51","07/01/2009","06/30/2012"
"SADDLEBACK MEMORIAL MEDICAL CENTER","050603","CA","READM-30-HF-HRRP","676","","0.9397","20.9","22.3","138","07/01/2009","06/30/2012"
"SADDLEBACK MEMORIAL MEDICAL CENTER","050603","CA","READM-30-PN-HRRP","466","","0.9252","16.0","17.2","70","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL-SAN JOSE","050604","CA","READM-30-AMI-HRRP","28","","1.0090","16.4","16.2","Too Few To Report","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL-SAN JOSE","050604","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL-SAN JOSE","050604","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"DELANO REGIONAL MEDICAL CENTER","050608","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"DELANO REGIONAL MEDICAL CENTER","050608","CA","READM-30-HF-HRRP","134","","0.9386","21.2","22.6","25","07/01/2009","06/30/2012"
"DELANO REGIONAL MEDICAL CENTER","050608","CA","READM-30-PN-HRRP","110","","0.9257","16.7","18.0","14","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL- ORANGE COUNTY- ANAHEIM","050609","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL- ORANGE COUNTY- ANAHEIM","050609","CA","READM-30-HF-HRRP","32","","0.9520","20.8","21.8","Too Few To Report","07/01/2009","06/30/2012"
"KAISER FOUNDATION HOSPITAL- ORANGE COUNTY- ANAHEIM","050609","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ST JOHNS PLEASANT VALLEY HOSPITAL","050616","CA","READM-30-AMI-HRRP","49","","1.0259","19.9","19.4","11","07/01/2009","06/30/2012"
"ST JOHNS PLEASANT VALLEY HOSPITAL","050616","CA","READM-30-HF-HRRP","238","","1.0217","22.6","22.1","55","07/01/2009","06/30/2012"
"ST JOHNS PLEASANT VALLEY HOSPITAL","050616","CA","READM-30-PN-HRRP","241","","0.8787","15.0","17.1","29","07/01/2009","06/30/2012"
"BEAR VALLEY COMMUNITY HOSPITAL","050618","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BEAR VALLEY COMMUNITY HOSPITAL","050618","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BEAR VALLEY COMMUNITY HOSPITAL","050618","CA","READM-30-PN-HRRP","41","","1.0333","15.2","14.7","Too Few To Report","07/01/2009","06/30/2012"
"HENRY MAYO NEWHALL MEMORIAL HOSPITAL","050624","CA","READM-30-AMI-HRRP","123","","0.8836","19.5","22.1","18","07/01/2009","06/30/2012"
"HENRY MAYO NEWHALL MEMORIAL HOSPITAL","050624","CA","READM-30-HF-HRRP","356","","0.9693","23.8","24.6","83","07/01/2009","06/30/2012"
"HENRY MAYO NEWHALL MEMORIAL HOSPITAL","050624","CA","READM-30-PN-HRRP","316","","0.9430","17.5","18.6","52","07/01/2009","06/30/2012"
"CEDARS-SINAI MEDICAL CENTER","050625","CA","READM-30-AMI-HRRP","580","","0.9873","19.6","19.8","113","07/01/2009","06/30/2012"
"CEDARS-SINAI MEDICAL CENTER","050625","CA","READM-30-HF-HRRP","1784","","0.9222","22.8","24.8","403","07/01/2009","06/30/2012"
"CEDARS-SINAI MEDICAL CENTER","050625","CA","READM-30-PN-HRRP","1137","","0.9805","19.2","19.6","217","07/01/2009","06/30/2012"
"TWIN CITIES COMMUNITY HOSPITAL","050633","CA","READM-30-AMI-HRRP","47","","0.9988","19.3","19.3","Too Few To Report","07/01/2009","06/30/2012"
"TWIN CITIES COMMUNITY HOSPITAL","050633","CA","READM-30-HF-HRRP","254","","0.9593","20.2","21.0","49","07/01/2009","06/30/2012"
"TWIN CITIES COMMUNITY HOSPITAL","050633","CA","READM-30-PN-HRRP","350","","1.0301","16.1","15.6","58","07/01/2009","06/30/2012"
"POMERADO HOSPITAL","050636","CA","READM-30-AMI-HRRP","62","","0.9152","18.1","19.8","Too Few To Report","07/01/2009","06/30/2012"
"POMERADO HOSPITAL","050636","CA","READM-30-HF-HRRP","327","","0.8751","19.3","22.1","56","07/01/2009","06/30/2012"
"POMERADO HOSPITAL","050636","CA","READM-30-PN-HRRP","235","","0.9127","15.3","16.8","31","07/01/2009","06/30/2012"
"EAST LOS ANGELES DOCTORS HOSPITAL","050641","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"EAST LOS ANGELES DOCTORS HOSPITAL","050641","CA","READM-30-HF-HRRP","88","","1.0137","26.4","26.0","24","07/01/2009","06/30/2012"
"EAST LOS ANGELES DOCTORS HOSPITAL","050641","CA","READM-30-PN-HRRP","83","","1.0679","20.6","19.3","21","07/01/2009","06/30/2012"
"LOS ANGELES COMMUNITY HOSPITAL","050663","CA","READM-30-AMI-HRRP","32","","1.0096","23.5","23.2","Too Few To Report","07/01/2009","06/30/2012"
"LOS ANGELES COMMUNITY HOSPITAL","050663","CA","READM-30-HF-HRRP","115","","1.1229","31.2","27.8","43","07/01/2009","06/30/2012"
