"State","Diagnosis Related Group","Denominator","Footnote","Measure Start Date","Measure End Date"
"ME","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","67","","10/01/2012","09/30/2013"
"MI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","617","","10/01/2012","09/30/2013"
"MN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","371","","10/01/2012","09/30/2013"
"MO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","560","","10/01/2012","09/30/2013"
"MS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","116","","10/01/2012","09/30/2013"
"MT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","68","","10/01/2012","09/30/2013"
"NC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","581","","10/01/2012","09/30/2013"
"ND","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","37","","10/01/2012","09/30/2013"
"NE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","153","","10/01/2012","09/30/2013"
"NH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","90","","10/01/2012","09/30/2013"
"NJ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","507","","10/01/2012","09/30/2013"
"NM","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","38","","10/01/2012","09/30/2013"
"NV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","127","","10/01/2012","09/30/2013"
"NY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","1184","","10/01/2012","09/30/2013"
"OH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","971","","10/01/2012","09/30/2013"
"OK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","184","","10/01/2012","09/30/2013"
"OR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","229","","10/01/2012","09/30/2013"
"PA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","884","","10/01/2012","09/30/2013"
"PR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","13","","10/01/2012","09/30/2013"
"RI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","60","","10/01/2012","09/30/2013"
"SC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","223","","10/01/2012","09/30/2013"
"SD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","30","","10/01/2012","09/30/2013"
"TN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","412","","10/01/2012","09/30/2013"
"TX","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","1160","","10/01/2012","09/30/2013"
"UT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","115","","10/01/2012","09/30/2013"
"VA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","448","","10/01/2012","09/30/2013"
"VT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","36","","10/01/2012","09/30/2013"
"WA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","382","","10/01/2012","09/30/2013"
"WI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","326","","10/01/2012","09/30/2013"
"WV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","57","","10/01/2012","09/30/2013"
"WY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","12","","10/01/2012","09/30/2013"
"AK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","32","","10/01/2012","09/30/2013"
"AL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","321","","10/01/2012","09/30/2013"
"AR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","219","","10/01/2012","09/30/2013"
"AZ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","353","","10/01/2012","09/30/2013"
"CA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1681","","10/01/2012","09/30/2013"
"CO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","214","","10/01/2012","09/30/2013"
"CT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","280","","10/01/2012","09/30/2013"
"DC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","69","","10/01/2012","09/30/2013"
"DE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","106","","10/01/2012","09/30/2013"
"FL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1297","","10/01/2012","09/30/2013"
"GA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","461","","10/01/2012","09/30/2013"
"HI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","46","","10/01/2012","09/30/2013"
"IA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","202","","10/01/2012","09/30/2013"
"ID","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","76","","10/01/2012","09/30/2013"
"IL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1003","","10/01/2012","09/30/2013"
"IN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","475","","10/01/2012","09/30/2013"
"KS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","234","","10/01/2012","09/30/2013"
"KY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","314","","10/01/2012","09/30/2013"
"LA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","286","","10/01/2012","09/30/2013"
"MA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","553","","10/01/2012","09/30/2013"
"MD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","331","","10/01/2012","09/30/2013"
"ME","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","128","","10/01/2012","09/30/2013"
"MI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","811","","10/01/2012","09/30/2013"
"MN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","620","","10/01/2012","09/30/2013"
"MO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","543","","10/01/2012","09/30/2013"
"MS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","219","","10/01/2012","09/30/2013"
"MT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","113","","10/01/2012","09/30/2013"
"NC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","615","","10/01/2012","09/30/2013"
"ND","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","74","","10/01/2012","09/30/2013"
"NE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","215","","10/01/2012","09/30/2013"
"NH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","175","","10/01/2012","09/30/2013"
"NJ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","657","","10/01/2012","09/30/2013"
"NM","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","72","","10/01/2012","09/30/2013"
"NV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","109","","10/01/2012","09/30/2013"
"NY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1229","","10/01/2012","09/30/2013"
"OH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","985","","10/01/2012","09/30/2013"
"OK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","235","","10/01/2012","09/30/2013"
"OR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","239","","10/01/2012","09/30/2013"
"PA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1198","","10/01/2012","09/30/2013"
"PR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","32","","10/01/2012","09/30/2013"
"RI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","46","","10/01/2012","09/30/2013"
"SC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","294","","10/01/2012","09/30/2013"
"SD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","64","","10/01/2012","09/30/2013"
"TN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","461","","10/01/2012","09/30/2013"
"TX","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1145","","10/01/2012","09/30/2013"
"UT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","112","","10/01/2012","09/30/2013"
"VA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","556","","10/01/2012","09/30/2013"
"VT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","55","","10/01/2012","09/30/2013"
"WA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","533","","10/01/2012","09/30/2013"
"WI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","580","","10/01/2012","09/30/2013"
"WV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","81","","10/01/2012","09/30/2013"
"WY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AK","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","19","","10/01/2012","09/30/2013"
"AL","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","384","","10/01/2012","09/30/2013"
"AR","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","220","","10/01/2012","09/30/2013"
"AZ","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","445","","10/01/2012","09/30/2013"
"CA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","1363","","10/01/2012","09/30/2013"
"CO","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","187","","10/01/2012","09/30/2013"
"CT","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","193","","10/01/2012","09/30/2013"
"DC","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","141","","10/01/2012","09/30/2013"
"DE","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","86","","10/01/2012","09/30/2013"
"FL","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","1555","","10/01/2012","09/30/2013"
"GA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","576","","10/01/2012","09/30/2013"
"HI","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","38","","10/01/2012","09/30/2013"
"IA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","250","","10/01/2012","09/30/2013"
"ID","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","61","","10/01/2012","09/30/2013"
"IL","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","907","","10/01/2012","09/30/2013"
"IN","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","553","","10/01/2012","09/30/2013"
"KS","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","187","","10/01/2012","09/30/2013"
"KY","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","404","","10/01/2012","09/30/2013"
"LA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","359","","10/01/2012","09/30/2013"
"MA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","422","","10/01/2012","09/30/2013"
"MD","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","358","","10/01/2012","09/30/2013"
"ME","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","68","","10/01/2012","09/30/2013"
"MI","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","837","","10/01/2012","09/30/2013"
"MN","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","350","","10/01/2012","09/30/2013"
"MO","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","554","","10/01/2012","09/30/2013"
"MS","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","188","","10/01/2012","09/30/2013"
"MT","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","68","","10/01/2012","09/30/2013"
"NC","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","704","","10/01/2012","09/30/2013"
"ND","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","57","","10/01/2012","09/30/2013"
"NE","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","107","","10/01/2012","09/30/2013"
"NH","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","101","","10/01/2012","09/30/2013"
"NJ","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","599","","10/01/2012","09/30/2013"
"NM","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","69","","10/01/2012","09/30/2013"
"NV","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","130","","10/01/2012","09/30/2013"
"NY","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","1044","","10/01/2012","09/30/2013"
"OH","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","859","","10/01/2012","09/30/2013"
"OK","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","238","","10/01/2012","09/30/2013"
"OR","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","167","","10/01/2012","09/30/2013"
"PA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","908","","10/01/2012","09/30/2013"
"PR","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","35","","10/01/2012","09/30/2013"
"RI","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","72","","10/01/2012","09/30/2013"
"SC","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","252","","10/01/2012","09/30/2013"
"SD","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","70","","10/01/2012","09/30/2013"
"TN","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","512","","10/01/2012","09/30/2013"
"TX","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","1579","","10/01/2012","09/30/2013"
"UT","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","93","","10/01/2012","09/30/2013"
"VA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","473","","10/01/2012","09/30/2013"
"VI","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"VT","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24","","10/01/2012","09/30/2013"
"WA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","339","","10/01/2012","09/30/2013"
"WI","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","364","","10/01/2012","09/30/2013"
"WV","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","178","","10/01/2012","09/30/2013"
"WY","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","28","","10/01/2012","09/30/2013"
"AK","Cardiac defibrillator implant w/o cardiac cath w/o MCC","25","","10/01/2012","09/30/2013"
"AL","Cardiac defibrillator implant w/o cardiac cath w/o MCC","207","","10/01/2012","09/30/2013"
"AR","Cardiac defibrillator implant w/o cardiac cath w/o MCC","349","","10/01/2012","09/30/2013"
"AZ","Cardiac defibrillator implant w/o cardiac cath w/o MCC","411","","10/01/2012","09/30/2013"
"CA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","1177","","10/01/2012","09/30/2013"
"CO","Cardiac defibrillator implant w/o cardiac cath w/o MCC","145","","10/01/2012","09/30/2013"
"CT","Cardiac defibrillator implant w/o cardiac cath w/o MCC","187","","10/01/2012","09/30/2013"
"DC","Cardiac defibrillator implant w/o cardiac cath w/o MCC","67","","10/01/2012","09/30/2013"
"DE","Cardiac defibrillator implant w/o cardiac cath w/o MCC","56","","10/01/2012","09/30/2013"
"FL","Cardiac defibrillator implant w/o cardiac cath w/o MCC","1414","","10/01/2012","09/30/2013"
"GA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","314","","10/01/2012","09/30/2013"
"HI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","47","","10/01/2012","09/30/2013"
"IA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","200","","10/01/2012","09/30/2013"
"ID","Cardiac defibrillator implant w/o cardiac cath w/o MCC","20","","10/01/2012","09/30/2013"
"IL","Cardiac defibrillator implant w/o cardiac cath w/o MCC","1069","","10/01/2012","09/30/2013"
"IN","Cardiac defibrillator implant w/o cardiac cath w/o MCC","542","","10/01/2012","09/30/2013"
"KS","Cardiac defibrillator implant w/o cardiac cath w/o MCC","207","","10/01/2012","09/30/2013"
"KY","Cardiac defibrillator implant w/o cardiac cath w/o MCC","330","","10/01/2012","09/30/2013"
"LA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","292","","10/01/2012","09/30/2013"
"MA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","318","","10/01/2012","09/30/2013"
"MD","Cardiac defibrillator implant w/o cardiac cath w/o MCC","265","","10/01/2012","09/30/2013"
"ME","Cardiac defibrillator implant w/o cardiac cath w/o MCC","42","","10/01/2012","09/30/2013"
"MI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","616","","10/01/2012","09/30/2013"
"MN","Cardiac defibrillator implant w/o cardiac cath w/o MCC","394","","10/01/2012","09/30/2013"
"MO","Cardiac defibrillator implant w/o cardiac cath w/o MCC","408","","10/01/2012","09/30/2013"
"MS","Cardiac defibrillator implant w/o cardiac cath w/o MCC","219","","10/01/2012","09/30/2013"
"MT","Cardiac defibrillator implant w/o cardiac cath w/o MCC","36","","10/01/2012","09/30/2013"
"NC","Cardiac defibrillator implant w/o cardiac cath w/o MCC","561","","10/01/2012","09/30/2013"
"ND","Cardiac defibrillator implant w/o cardiac cath w/o MCC","57","","10/01/2012","09/30/2013"
"NE","Cardiac defibrillator implant w/o cardiac cath w/o MCC","121","","10/01/2012","09/30/2013"
"NH","Cardiac defibrillator implant w/o cardiac cath w/o MCC","37","","10/01/2012","09/30/2013"
"NJ","Cardiac defibrillator implant w/o cardiac cath w/o MCC","587","","10/01/2012","09/30/2013"
"NM","Cardiac defibrillator implant w/o cardiac cath w/o MCC","35","","10/01/2012","09/30/2013"
"NV","Cardiac defibrillator implant w/o cardiac cath w/o MCC","80","","10/01/2012","09/30/2013"
"NY","Cardiac defibrillator implant w/o cardiac cath w/o MCC","1267","","10/01/2012","09/30/2013"
"OH","Cardiac defibrillator implant w/o cardiac cath w/o MCC","852","","10/01/2012","09/30/2013"
"OK","Cardiac defibrillator implant w/o cardiac cath w/o MCC","329","","10/01/2012","09/30/2013"
"OR","Cardiac defibrillator implant w/o cardiac cath w/o MCC","76","","10/01/2012","09/30/2013"
"PA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","1012","","10/01/2012","09/30/2013"
"PR","Cardiac defibrillator implant w/o cardiac cath w/o MCC","35","","10/01/2012","09/30/2013"
"RI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","18","","10/01/2012","09/30/2013"
"SC","Cardiac defibrillator implant w/o cardiac cath w/o MCC","334","","10/01/2012","09/30/2013"
"SD","Cardiac defibrillator implant w/o cardiac cath w/o MCC","50","","10/01/2012","09/30/2013"
"TN","Cardiac defibrillator implant w/o cardiac cath w/o MCC","549","","10/01/2012","09/30/2013"
"TX","Cardiac defibrillator implant w/o cardiac cath w/o MCC","987","","10/01/2012","09/30/2013"
"UT","Cardiac defibrillator implant w/o cardiac cath w/o MCC","69","","10/01/2012","09/30/2013"
"VA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","386","","10/01/2012","09/30/2013"
"VI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"VT","Cardiac defibrillator implant w/o cardiac cath w/o MCC","36","","10/01/2012","09/30/2013"
"WA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","193","","10/01/2012","09/30/2013"
"WI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","278","","10/01/2012","09/30/2013"
"WV","Cardiac defibrillator implant w/o cardiac cath w/o MCC","108","","10/01/2012","09/30/2013"
"WY","Cardiac defibrillator implant w/o cardiac cath w/o MCC","15","","10/01/2012","09/30/2013"
"AK","Cardiac defibrillator implant w/o cardiac cath w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AL","Cardiac defibrillator implant w/o cardiac cath w MCC","63","","10/01/2012","09/30/2013"
"AR","Cardiac defibrillator implant w/o cardiac cath w MCC","59","","10/01/2012","09/30/2013"
"AZ","Cardiac defibrillator implant w/o cardiac cath w MCC","136","","10/01/2012","09/30/2013"
"CA","Cardiac defibrillator implant w/o cardiac cath w MCC","362","","10/01/2012","09/30/2013"
"CO","Cardiac defibrillator implant w/o cardiac cath w MCC","28","","10/01/2012","09/30/2013"
"CT","Cardiac defibrillator implant w/o cardiac cath w MCC","62","","10/01/2012","09/30/2013"
"DC","Cardiac defibrillator implant w/o cardiac cath w MCC","31","","10/01/2012","09/30/2013"
"DE","Cardiac defibrillator implant w/o cardiac cath w MCC","17","","10/01/2012","09/30/2013"
"FL","Cardiac defibrillator implant w/o cardiac cath w MCC","397","","10/01/2012","09/30/2013"
"GA","Cardiac defibrillator implant w/o cardiac cath w MCC","147","","10/01/2012","09/30/2013"
"HI","Cardiac defibrillator implant w/o cardiac cath w MCC","14","","10/01/2012","09/30/2013"
"IA","Cardiac defibrillator implant w/o cardiac cath w MCC","31","","10/01/2012","09/30/2013"
"ID","Cardiac defibrillator implant w/o cardiac cath w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"IL","Cardiac defibrillator implant w/o cardiac cath w MCC","246","","10/01/2012","09/30/2013"
"IN","Cardiac defibrillator implant w/o cardiac cath w MCC","132","","10/01/2012","09/30/2013"
"KS","Cardiac defibrillator implant w/o cardiac cath w MCC","55","","10/01/2012","09/30/2013"
"KY","Cardiac defibrillator implant w/o cardiac cath w MCC","111","","10/01/2012","09/30/2013"
"LA","Cardiac defibrillator implant w/o cardiac cath w MCC","81","","10/01/2012","09/30/2013"
"MA","Cardiac defibrillator implant w/o cardiac cath w MCC","90","","10/01/2012","09/30/2013"
"MD","Cardiac defibrillator implant w/o cardiac cath w MCC","89","","10/01/2012","09/30/2013"
"ME","Cardiac defibrillator implant w/o cardiac cath w MCC","15","","10/01/2012","09/30/2013"
"MI","Cardiac defibrillator implant w/o cardiac cath w MCC","219","","10/01/2012","09/30/2013"
"MN","Cardiac defibrillator implant w/o cardiac cath w MCC","57","","10/01/2012","09/30/2013"
"MO","Cardiac defibrillator implant w/o cardiac cath w MCC","119","","10/01/2012","09/30/2013"
"MS","Cardiac defibrillator implant w/o cardiac cath w MCC","73","","10/01/2012","09/30/2013"
"MT","Cardiac defibrillator implant w/o cardiac cath w MCC","12","","10/01/2012","09/30/2013"
"NC","Cardiac defibrillator implant w/o cardiac cath w MCC","144","","10/01/2012","09/30/2013"
"ND","Cardiac defibrillator implant w/o cardiac cath w MCC","18","","10/01/2012","09/30/2013"
"NE","Cardiac defibrillator implant w/o cardiac cath w MCC","29","","10/01/2012","09/30/2013"
"NH","Cardiac defibrillator implant w/o cardiac cath w MCC","18","","10/01/2012","09/30/2013"
"NJ","Cardiac defibrillator implant w/o cardiac cath w MCC","213","","10/01/2012","09/30/2013"
"NM","Cardiac defibrillator implant w/o cardiac cath w MCC","15","","10/01/2012","09/30/2013"
"NV","Cardiac defibrillator implant w/o cardiac cath w MCC","31","","10/01/2012","09/30/2013"
"NY","Cardiac defibrillator implant w/o cardiac cath w MCC","294","","10/01/2012","09/30/2013"
"OH","Cardiac defibrillator implant w/o cardiac cath w MCC","210","","10/01/2012","09/30/2013"
"OK","Cardiac defibrillator implant w/o cardiac cath w MCC","60","","10/01/2012","09/30/2013"
"OR","Cardiac defibrillator implant w/o cardiac cath w MCC","29","","10/01/2012","09/30/2013"
"PA","Cardiac defibrillator implant w/o cardiac cath w MCC","286","","10/01/2012","09/30/2013"
"PR","Cardiac defibrillator implant w/o cardiac cath w MCC","12","","10/01/2012","09/30/2013"
"RI","Cardiac defibrillator implant w/o cardiac cath w MCC","12","","10/01/2012","09/30/2013"
"SC","Cardiac defibrillator implant w/o cardiac cath w MCC","89","","10/01/2012","09/30/2013"
"SD","Cardiac defibrillator implant w/o cardiac cath w MCC","18","","10/01/2012","09/30/2013"
"TN","Cardiac defibrillator implant w/o cardiac cath w MCC","159","","10/01/2012","09/30/2013"
"TX","Cardiac defibrillator implant w/o cardiac cath w MCC","401","","10/01/2012","09/30/2013"
"UT","Cardiac defibrillator implant w/o cardiac cath w MCC","16","","10/01/2012","09/30/2013"
"VA","Cardiac defibrillator implant w/o cardiac cath w MCC","160","","10/01/2012","09/30/2013"
"VT","Cardiac defibrillator implant w/o cardiac cath w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"WA","Cardiac defibrillator implant w/o cardiac cath w MCC","74","","10/01/2012","09/30/2013"
"WI","Cardiac defibrillator implant w/o cardiac cath w MCC","71","","10/01/2012","09/30/2013"
"WV","Cardiac defibrillator implant w/o cardiac cath w MCC","39","","10/01/2012","09/30/2013"
"WY","Cardiac defibrillator implant w/o cardiac cath w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AK","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","58","","10/01/2012","09/30/2013"
"AR","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","61","","10/01/2012","09/30/2013"
"AZ","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","55","","10/01/2012","09/30/2013"
"CA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","174","","10/01/2012","09/30/2013"
"CO","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","26","","10/01/2012","09/30/2013"
"CT","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","27","","10/01/2012","09/30/2013"
"DC","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","14","","10/01/2012","09/30/2013"
"DE","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","14","","10/01/2012","09/30/2013"
"FL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","273","","10/01/2012","09/30/2013"
"GA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","72","","10/01/2012","09/30/2013"
"HI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"IA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","16","","10/01/2012","09/30/2013"
"ID","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"IL","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","143","","10/01/2012","09/30/2013"
"IN","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","78","","10/01/2012","09/30/2013"
"KS","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","49","","10/01/2012","09/30/2013"
"KY","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","54","","10/01/2012","09/30/2013"
"LA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","41","","10/01/2012","09/30/2013"
"MA","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","70","","10/01/2012","09/30/2013"
"MD","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","48","","10/01/2012","09/30/2013"
"ME","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","17","","10/01/2012","09/30/2013"
"MI","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","94","","10/01/2012","09/30/2013"
