"State","HCAHPS Question","HCAHPS Answer Description","HCAHPS Answer Percent"
"HI","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",33
"IA","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",7
"IA","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",24
"IA","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",69
"IA","How often did doctors communicate well with patients?","Doctors always communicated well",81
"IA","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"IA","How often did doctors communicate well with patients?","Doctors usually communicated well",15
"IA","How often did nurses communicate well with patients?","Nurses always communicated well",77
"IA","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",3
"IA","How often did nurses communicate well with patients?","Nurses usually communicated well",20
"IA","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",65
"IA","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",8
"IA","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",27
"IA","How often did staff explain about medicines before giving them to patients?","Staff always explained",60
"IA","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",19
"IA","How often did staff explain about medicines before giving them to patients?","Staff usually explained",21
"IA","How often was patients&#39; pain well controlled?","Pain was always well controlled",68
"IA","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",5
"IA","How often was patients&#39; pain well controlled?","Pain was usually well controlled",27
"IA","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",58
"IA","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",9
"IA","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"IA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",76
"IA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",6
"IA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",18
"IA","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",18
"IA","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",82
"IA","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",3
"IA","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",71
"IA","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",26
"ID","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",8
"ID","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",26
"ID","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",66
"ID","How often did doctors communicate well with patients?","Doctors always communicated well",81
"ID","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"ID","How often did doctors communicate well with patients?","Doctors usually communicated well",15
"ID","How often did nurses communicate well with patients?","Nurses always communicated well",76
"ID","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",4
"ID","How often did nurses communicate well with patients?","Nurses usually communicated well",20
"ID","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",68
"ID","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",8
"ID","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",24
"ID","How often did staff explain about medicines before giving them to patients?","Staff always explained",62
"ID","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",21
"ID","How often did staff explain about medicines before giving them to patients?","Staff usually explained",17
"ID","How often was patients&#39; pain well controlled?","Pain was always well controlled",70
"ID","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"ID","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"ID","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",60
"ID","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",11
"ID","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",29
"ID","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",72
"ID","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",8
"ID","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",20
"ID","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",17
"ID","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",83
"ID","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",4
"ID","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",72
"ID","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",24
"IL","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",12
"IL","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",27
"IL","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",61
"IL","How often did doctors communicate well with patients?","Doctors always communicated well",79
"IL","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"IL","How often did doctors communicate well with patients?","Doctors usually communicated well",16
"IL","How often did nurses communicate well with patients?","Nurses always communicated well",72
"IL","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",7
"IL","How often did nurses communicate well with patients?","Nurses usually communicated well",21
"IL","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",59
"IL","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",14
"IL","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",27
"IL","How often did staff explain about medicines before giving them to patients?","Staff always explained",56
"IL","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",25
"IL","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"IL","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"IL","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",9
"IL","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"IL","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",53
"IL","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",15
"IL","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",32
"IL","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",68
"IL","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",10
"IL","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",22
"IL","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",21
"IL","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",79
"IL","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",7
"IL","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",64
"IL","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",29
"IN","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",9
"IN","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",24
"IN","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",67
"IN","How often did doctors communicate well with patients?","Doctors always communicated well",80
"IN","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"IN","How often did doctors communicate well with patients?","Doctors usually communicated well",16
"IN","How often did nurses communicate well with patients?","Nurses always communicated well",76
"IN","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"IN","How often did nurses communicate well with patients?","Nurses usually communicated well",19
"IN","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",65
"IN","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",9
"IN","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",26
"IN","How often did staff explain about medicines before giving them to patients?","Staff always explained",58
"IN","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",23
"IN","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"IN","How often was patients&#39; pain well controlled?","Pain was always well controlled",70
"IN","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"IN","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"IN","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",55
"IN","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",12
"IN","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"IN","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",72
"IN","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",8
"IN","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",20
"IN","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"IN","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"IN","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"IN","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",69
"IN","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",26
"KS","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",8
"KS","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",23
"KS","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",69
"KS","How often did doctors communicate well with patients?","Doctors always communicated well",82
"KS","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",3
"KS","How often did doctors communicate well with patients?","Doctors usually communicated well",15
"KS","How often did nurses communicate well with patients?","Nurses always communicated well",76
"KS","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",4
"KS","How often did nurses communicate well with patients?","Nurses usually communicated well",20
"KS","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",67
"KS","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",9
"KS","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",24
"KS","How often did staff explain about medicines before giving them to patients?","Staff always explained",60
"KS","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",21
"KS","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"KS","How often was patients&#39; pain well controlled?","Pain was always well controlled",69
"KS","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"KS","How often was patients&#39; pain well controlled?","Pain was usually well controlled",25
"KS","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",59
"KS","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",10
"KS","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",31
"KS","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",73
"KS","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",8
"KS","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",19
"KS","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"KS","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"KS","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",4
"KS","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",71
"KS","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",25
"KY","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",10
"KY","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",25
"KY","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",65
"KY","How often did doctors communicate well with patients?","Doctors always communicated well",82
"KY","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"KY","How often did doctors communicate well with patients?","Doctors usually communicated well",14
"KY","How often did nurses communicate well with patients?","Nurses always communicated well",77
"KY","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"KY","How often did nurses communicate well with patients?","Nurses usually communicated well",18
"KY","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",64
"KY","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",11
"KY","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",25
"KY","How often did staff explain about medicines before giving them to patients?","Staff always explained",60
"KY","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",23
"KY","How often did staff explain about medicines before giving them to patients?","Staff usually explained",17
"KY","How often was patients&#39; pain well controlled?","Pain was always well controlled",69
"KY","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",8
"KY","How often was patients&#39; pain well controlled?","Pain was usually well controlled",23
"KY","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",56
"KY","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",12
"KY","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",32
"KY","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",72
"KY","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",9
"KY","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",19
"KY","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",21
"KY","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",79
"KY","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",6
"KY","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",68
"KY","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",26
"LA","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",9
"LA","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",20
"LA","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",71
"LA","How often did doctors communicate well with patients?","Doctors always communicated well",86
"LA","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",3
"LA","How often did doctors communicate well with patients?","Doctors usually communicated well",11
"LA","How often did nurses communicate well with patients?","Nurses always communicated well",80
"LA","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"LA","How often did nurses communicate well with patients?","Nurses usually communicated well",15
"LA","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",68
"LA","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",11
"LA","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",21
"LA","How often did staff explain about medicines before giving them to patients?","Staff always explained",65
"LA","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",20
"LA","How often did staff explain about medicines before giving them to patients?","Staff usually explained",15
"LA","How often was patients&#39; pain well controlled?","Pain was always well controlled",74
"LA","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",7
"LA","How often was patients&#39; pain well controlled?","Pain was usually well controlled",19
"LA","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",71
"LA","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",8
"LA","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",21
"LA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",73
"LA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",10
"LA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",17
"LA","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"LA","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"LA","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"LA","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",74
"LA","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",21
"MA","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",9
"MA","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",26
"MA","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",65
"MA","How often did doctors communicate well with patients?","Doctors always communicated well",79
"MA","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"MA","How often did doctors communicate well with patients?","Doctors usually communicated well",16
"MA","How often did nurses communicate well with patients?","Nurses always communicated well",76
"MA","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"MA","How often did nurses communicate well with patients?","Nurses usually communicated well",19
"MA","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",61
"MA","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",12
"MA","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",27
"MA","How often did staff explain about medicines before giving them to patients?","Staff always explained",60
"MA","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",21
"MA","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"MA","How often was patients&#39; pain well controlled?","Pain was always well controlled",69
"MA","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",7
"MA","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"MA","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",49
"MA","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",17
"MA","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",34
"MA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",70
"MA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",9
"MA","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",21
"MA","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",16
"MA","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",84
"MA","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"MA","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",71
"MA","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",24
"MD","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",13
"MD","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",28
"MD","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",59
"MD","How often did doctors communicate well with patients?","Doctors always communicated well",78
"MD","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",6
"MD","How often did doctors communicate well with patients?","Doctors usually communicated well",16
"MD","How often did nurses communicate well with patients?","Nurses always communicated well",71
"MD","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",8
"MD","How often did nurses communicate well with patients?","Nurses usually communicated well",21
"MD","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",55
"MD","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",17
"MD","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",28
"MD","How often did staff explain about medicines before giving them to patients?","Staff always explained",56
"MD","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",26
"MD","How often did staff explain about medicines before giving them to patients?","Staff usually explained",18
"MD","How often was patients&#39; pain well controlled?","Pain was always well controlled",65
"MD","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",10
"MD","How often was patients&#39; pain well controlled?","Pain was usually well controlled",25
"MD","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",52
"MD","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",17
"MD","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",31
"MD","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",64
"MD","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",15
"MD","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",21
"MD","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",22
"MD","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",78
"MD","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",7
"MD","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",64
"MD","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",29
"ME","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",7
"ME","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",23
"ME","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",70
"ME","How often did doctors communicate well with patients?","Doctors always communicated well",82
"ME","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"ME","How often did doctors communicate well with patients?","Doctors usually communicated well",14
"ME","How often did nurses communicate well with patients?","Nurses always communicated well",80
"ME","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",3
"ME","How often did nurses communicate well with patients?","Nurses usually communicated well",17
"ME","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",68
"ME","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",7
"ME","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",25
"ME","How often did staff explain about medicines before giving them to patients?","Staff always explained",64
"ME","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",17
"ME","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"ME","How often was patients&#39; pain well controlled?","Pain was always well controlled",72
"ME","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",5
"ME","How often was patients&#39; pain well controlled?","Pain was usually well controlled",23
"ME","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",54
"ME","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",12
"ME","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",34
"ME","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",77
"ME","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",6
"ME","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",17
"ME","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",16
"ME","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",84
"ME","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",3
"ME","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",75
"ME","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",22
"MI","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",10
"MI","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",25
"MI","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",65
"MI","How often did doctors communicate well with patients?","Doctors always communicated well",78
"MI","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"MI","How often did doctors communicate well with patients?","Doctors usually communicated well",17
"OH","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",26
"OH","How often did staff explain about medicines before giving them to patients?","Staff always explained",57
"OH","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",23
"OH","How often did staff explain about medicines before giving them to patients?","Staff usually explained",20
"OH","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"OH","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",7
"OH","How often was patients&#39; pain well controlled?","Pain was usually well controlled",26
"OH","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",52
"OH","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",15
"OH","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"OH","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",69
"OH","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",10
"OH","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",21
"OH","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"OH","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"OH","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",6
"OH","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",66
"OH","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",28
"OK","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",9
"OK","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",22
"OK","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",69
"OK","How often did doctors communicate well with patients?","Doctors always communicated well",85
"OK","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",3
"OK","How often did doctors communicate well with patients?","Doctors usually communicated well",12
"MI","How often did nurses communicate well with patients?","Nurses always communicated well",74
"MI","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"MI","How often did nurses communicate well with patients?","Nurses usually communicated well",21
"MI","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",64
"MI","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",10
"MI","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",26
"MI","How often did staff explain about medicines before giving them to patients?","Staff always explained",59
"MI","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",23
"MI","How often did staff explain about medicines before giving them to patients?","Staff usually explained",18
"MI","How often was patients&#39; pain well controlled?","Pain was always well controlled",68
"MI","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",7
"MI","How often was patients&#39; pain well controlled?","Pain was usually well controlled",25
"MI","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",52
"MI","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",15
"MI","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"MI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",68
"MI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",10
"MI","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",22
"MI","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",18
"MI","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",82
"MI","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"MI","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",67
"MI","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",28
"MN","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",8
"MN","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",26
"MN","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",66
"MN","How often did doctors communicate well with patients?","Doctors always communicated well",80
"MN","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"MN","How often did doctors communicate well with patients?","Doctors usually communicated well",16
"MN","How often did nurses communicate well with patients?","Nurses always communicated well",76
"MN","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",4
"MN","How often did nurses communicate well with patients?","Nurses usually communicated well",20
"MN","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",67
"MN","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",7
"MN","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",26
"MN","How often did staff explain about medicines before giving them to patients?","Staff always explained",60
"MN","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",19
"MN","How often did staff explain about medicines before giving them to patients?","Staff usually explained",21
"MN","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"MN","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"MN","How often was patients&#39; pain well controlled?","Pain was usually well controlled",27
"MN","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",58
"MN","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",10
"MN","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",32
