"Provider Number","Hospital Name","Condition","Measure Name","Category","Mortality Rate","Lower Mortality Estimate","Upper Mortality Estimate","Number of Patients","Footnote"
"151309","ST VINCENT CLAY HOSPITAL, INC","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.4,7.3,17,27,
"151310","WABASH COUNTY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17,12.9,21.7,9,
"151310","WABASH COUNTY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.3,7.9,16.1,23,
"151310","WABASH COUNTY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",15.4,10.8,21,40,
"151311","TIPTON HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,12.6,20.8,3,
"151311","TIPTON HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.7,6.7,13.9,46,
"151311","TIPTON HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.9,7.4,15.7,51,
"151312","WHITE COUNTY MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12.1,21.8,5,
"151312","WHITE COUNTY MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7.1,15.6,29,
"151312","WHITE COUNTY MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.2,7.5,16.7,54,
"151315","CAMERON MEMORIAL COMMUNITY HOSPITAL INC","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.9,11.3,21.5,2,
"151315","CAMERON MEMORIAL COMMUNITY HOSPITAL INC","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11,7.5,15.7,15,
"151315","CAMERON MEMORIAL COMMUNITY HOSPITAL INC","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.3,9.2,18.8,62,
"151316","ST VINCENT FRANKFORT HOSPITAL, INC","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12.8,21.1,4,
"151316","ST VINCENT FRANKFORT HOSPITAL, INC","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10,6.6,14.8,31,
"151316","ST VINCENT FRANKFORT HOSPITAL, INC","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.4,8.2,18.5,27,
"151317","GREENE COUNTY GENERAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.9,12.9,21.5,9,
"151317","GREENE COUNTY GENERAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",14.5,10.2,20,58,
"151317","GREENE COUNTY GENERAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.7,8,16.7,54,
"151318","DUKES MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.8,11.3,21.6,3,
"151318","DUKES MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.3,6.9,14.8,38,
"151318","DUKES MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.8,6.6,14.5,39,
"151319","GIBSON GENERAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.4,20.7,10,
"151319","GIBSON GENERAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.9,7.3,16,32,
"151319","GIBSON GENERAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.8,7,16.5,29,
"151320","JAY COUNTY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.9,12.4,22.5,8,
"151320","JAY COUNTY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7.1,16,19,
"151320","JAY COUNTY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.3,7.5,16.5,51,
"151322","PERRY COUNTY MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,12.4,21.2,13,
"151322","PERRY COUNTY MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.9,8.3,16.5,30,
"151322","PERRY COUNTY MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.4,7.7,16.6,59,
"151323","PARKVIEW LAGRANGE HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12,21.7,3,
"151323","PARKVIEW LAGRANGE HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.1,6.8,14.9,27,
"151323","PARKVIEW LAGRANGE HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.7,8,17,37,
"151324","JASPER COUNTY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.9,11.7,21,7,
"151324","JASPER COUNTY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",14,9.5,20.4,30,
"151324","JASPER COUNTY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.2,7.9,18.7,27,
"151325","ST MARY'S WARRICK HOSPITAL, INC","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.4,11.3,20.3,11,
"151325","ST MARY'S WARRICK HOSPITAL, INC","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.8,9,18,34,
"151325","ST MARY'S WARRICK HOSPITAL, INC","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.6,7.3,15,68,
"151326","WEST CENTRAL COMMUNITY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.9,12.7,21.5,4,
"151326","WEST CENTRAL COMMUNITY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13,9.4,18.2,49,
"151326","WEST CENTRAL COMMUNITY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",14.4,10.2,19.8,74,
"151327","SULLIVAN COUNTY COMMUNITY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12.4,21.1,13,
"151327","SULLIVAN COUNTY COMMUNITY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.2,8.4,17.5,33,
"151327","SULLIVAN COUNTY COMMUNITY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.7,7.9,17.3,39,
"151328","BEDFORD REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.4,11.6,20.2,34,
"151328","BEDFORD REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.9,8.4,16.9,46,
"151328","BEDFORD REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.9,7.7,15.2,75,
"151329","MARGARET MARY COMMUNITY HOSPITAL, INC","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.2,21.1,6,
"151329","MARGARET MARY COMMUNITY HOSPITAL, INC","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13.2,9.1,18.2,42,
"151329","MARGARET MARY COMMUNITY HOSPITAL, INC","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.8,8.2,16.9,78,
"151330","ADAMS  MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,12,21.4,28,
"151330","ADAMS  MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.3,15.1,41,
"151330","ADAMS  MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.9,7,16.2,39,
"151331","HARRISON COUNTY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,12.6,20,9,
"151331","HARRISON COUNTY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.9,7.4,15.8,40,
"151331","HARRISON COUNTY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Worse than U.S. National Rate",17.3,12.3,23.4,85,
"151332","DECATUR COUNTY MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.7,12.3,22,10,
"151332","DECATUR COUNTY MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.5,8.7,17.5,40,
"151332","DECATUR COUNTY MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.4,7.1,15.1,52,
"151333","PUTNAM COUNTY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,12.8,20.1,2,
"151333","PUTNAM COUNTY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.3,7.3,13.9,15,
"151333","PUTNAM COUNTY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.1,7.7,15.4,54,
"151334","SCOTT COUNTY  MEMORIAL HOSPITAL AKA SCOTT MEMORIAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.2,12.3,23.5,14,
"151334","SCOTT COUNTY  MEMORIAL HOSPITAL AKA SCOTT MEMORIAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.9,7.4,15.6,44,
"151334","SCOTT COUNTY  MEMORIAL HOSPITAL AKA SCOTT MEMORIAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.8,8.6,17.9,59,
"151335","DUNN MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.7,11.9,20.2,33,
"151335","DUNN MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.2,15.2,47,
"151335","DUNN MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.8,9.3,19.5,71,
"160001","MARSHALLTOWN MEDICAL & SURGICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12.6,21.2,30,
"160001","MARSHALLTOWN MEDICAL & SURGICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.1,8.5,16.9,62,
"160001","MARSHALLTOWN MEDICAL & SURGICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.6,8.1,16.2,86,
"160005","ST ANTHONY REGIONAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,12.5,21,10,
"160005","ST ANTHONY REGIONAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.1,7.8,15.2,38,
"160005","ST ANTHONY REGIONAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.1,8.6,16.6,91,
"160008","KEOKUK AREA HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.9,12.6,21.8,17,
"160008","KEOKUK AREA HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.3,6.3,13.4,59,
"160008","KEOKUK AREA HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.2,7.1,14.2,96,
"160013","UNITY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.4,11.2,20.4,20,
"160013","UNITY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.3,8.5,17.4,29,
"160013","UNITY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.8,8,16.5,66,
"160016","TRINITY REGIONAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.7,12.9,21.4,120,
"160016","TRINITY REGIONAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.3,9,16.5,149,
"160016","TRINITY REGIONAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.2,10.1,17,219,
"160024","IOWA LUTHERAN HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17,12.7,22.2,55,
"160024","IOWA LUTHERAN HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.4,7.3,14.7,103,
"160024","IOWA LUTHERAN HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11,7.7,15.8,93,
"160028","ALEGENT HEALTH MERCY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.3,11.2,20.1,38,
"160028","ALEGENT HEALTH MERCY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.9,8.5,16.5,67,
"160028","ALEGENT HEALTH MERCY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.3,7,14.7,91,
"160029","MERCY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",12.7,9.5,16.6,131,
"160029","MERCY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.1,7.3,13.7,140,
"160029","MERCY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.1,6.3,12.8,127,
"160030","MARY GREELEY MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.7,12.1,20.2,92,
"160030","MARY GREELEY MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.1,7.5,13.3,163,
"160030","MARY GREELEY MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10,7.3,13.5,138,
"160032","SKIFF MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.9,12.1,20.7,10,
"160032","SKIFF MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.2,15.2,38,
"160032","SKIFF MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.7,8.8,18,65,
"160033","GENESIS MEDICAL CENTER-DAVENPORT","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.1,11.9,19.1,171,
"160033","GENESIS MEDICAL CENTER-DAVENPORT","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13.3,10.5,16.6,265,
"160033","GENESIS MEDICAL CENTER-DAVENPORT","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.8,8.2,13.9,302,
"160040","SARTORI MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.8,11.8,20.3,12,
"160040","SARTORI MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.9,7.3,15.8,19,
"160040","SARTORI MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.1,7.4,15.9,50,
"160045","ST LUKES HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",14.4,10.9,18.4,126,
"160045","ST LUKES HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.8,8.1,14,175,
"160045","ST LUKES HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.3,8.5,14.6,213,
"160047","JENNIE EDMUNDSON HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.8,13.1,23.9,29,
"160047","JENNIE EDMUNDSON HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.2,15.2,53,
"160047","JENNIE EDMUNDSON HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",15,11,19.9,118,
"160057","GREAT RIVER MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,12.4,20.5,78,
"160057","GREAT RIVER MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.1,6.5,12.4,101,
"160057","GREAT RIVER MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.8,7,13.4,157,
"160058","UNIVERSITY OF IOWA HOSPITAL & CLINICS","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.8,12.8,21.7,70,
"160058","UNIVERSITY OF IOWA HOSPITAL & CLINICS","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13.8,10,19.4,61,
"160058","UNIVERSITY OF IOWA HOSPITAL & CLINICS","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.4,8.9,17.2,63,
"160064","MERCY MEDICAL CENTER-NORTH IOWA","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.7,13,20.9,162,
"160064","MERCY MEDICAL CENTER-NORTH IOWA","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Worse than U.S. National Rate",15.3,11.8,19.5,198,
"160064","MERCY MEDICAL CENTER-NORTH IOWA","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.1,9,15.9,199,
"160067","COVENANT MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.8,12.6,21.8,19,
"160067","COVENANT MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.8,7.1,13.7,67,
"160067","COVENANT MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.9,6.8,14.2,88,
"160069","MERCY MEDICAL CENTER-DUBUQUE","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.2,21.3,80,
"160069","MERCY MEDICAL CENTER-DUBUQUE","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",14.5,10.3,20.2,88,
"160069","MERCY MEDICAL CENTER-DUBUQUE","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.4,6.9,15,71,
"160079","MERCY MEDICAL CENTER - CEDAR RAPIDS","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.1,13,22.3,69,
"160079","MERCY MEDICAL CENTER - CEDAR RAPIDS","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.2,6.7,12.5,148,
"160079","MERCY MEDICAL CENTER - CEDAR RAPIDS","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.6,7.9,14.3,179,
"160080","MERCY MEDICAL CENTER-CLINTON","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.1,11.9,19,116,
"160080","MERCY MEDICAL CENTER-CLINTON","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.5,7.7,14.4,152,
"160080","MERCY MEDICAL CENTER-CLINTON","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.1,6.4,12.6,191,
"160082","IOWA METHODIST MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",13.9,10.8,17.8,170,
"160082","IOWA METHODIST MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.5,7.8,13.6,201,
"160082","IOWA METHODIST MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.8,7.9,14.7,155,
"160083","MERCY MEDICAL CENTER-DES MOINES","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",14.4,11.5,17.8,280,
"160083","MERCY MEDICAL CENTER-DES MOINES","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.3,8.1,12.9,368,
"160083","MERCY MEDICAL CENTER-DES MOINES","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.3,8.6,14.5,269,
"160089","OTTUMWA REGIONAL HEALTH CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.7,13.8,22.3,49,
"160089","OTTUMWA REGIONAL HEALTH CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.5,7.2,14.9,53,
"160089","OTTUMWA REGIONAL HEALTH CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.7,7.4,15.7,86,
"160101","BROADLAWNS MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16,11.5,21.9,1,
"160101","BROADLAWNS MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.1,7.2,16.4,10,
"160101","BROADLAWNS MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.1,6.9,17.9,4,
"160104","TRINITY AT TERRACE PARK","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16,12.2,20.7,20,
"160104","TRINITY AT TERRACE PARK","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.9,7.5,15.4,29,
"160104","TRINITY AT TERRACE PARK","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.9,8.7,18.2,49,
"160110","ALLEN MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,12.7,20.6,132,
"160110","ALLEN MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.8,8.7,15.9,142,
"160110","ALLEN MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.6,6.8,13.4,154,
"160112","SPENCER MUNICIPAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,12.4,20.9,9,
"160112","SPENCER MUNICIPAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.9,8.6,16.1,84,
"160112","SPENCER MUNICIPAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.1,8.7,16.8,75,
"160117","FINLEY HOSPITAL (THE)","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",18.5,14.1,23.4,44,
"160117","FINLEY HOSPITAL (THE)","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.8,7.9,16.9,46,
"160117","FINLEY HOSPITAL (THE)","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.4,6.4,13.4,84,
"160122","FORT MADISON COMMUNITY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12,22.3,7,
"160122","FORT MADISON COMMUNITY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.1,15.4,32,
"160122","FORT MADISON COMMUNITY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",15.2,10.6,21.5,50,
