"State","MS-DRG ID","MS-DRG Name","Medicare Payment Range","Number Of Cases"
"VT","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","13177 - 17180","26"
"WA","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","13160 - 14659","326"
"WI","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","11642 - 13272","390"
"WV","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","10506 - 12302","212"
"WY","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","11575 - 12889","19"
"AK","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","13706 - 14770","38"
"AL","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8624 - 9473","816"
"AR","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8967 - 9582","366"
"AZ","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8602 - 10772","690"
"CA","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","10390 - 13658","2331"
"CO","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9290 - 10150","390"
"CT","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","11228 - 13081","303"
"DC","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","10589 - 13314","34"
"DE","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","10155 - 11708","78"
"FL","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8796 - 9850","2424"
"GA","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9225 - 10519","825"
"GU","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","2937 - 2937","*"
"HI","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","11398 - 13439","72"
"IA","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9063 - 9621","271"
"ID","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9217 - 10018","112"
"IL","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9648 - 10957","1249"
"IN","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9123 - 9930","629"
"KS","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8775 - 9827","275"
"KY","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9011 - 10531","647"
"LA","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8890 - 10184","465"
"MA","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","10470 - 12242","498"
"MD","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8648 - 15141","497"
"ME","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","10071 - 10846","116"
"MI","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9431 - 11228","820"
"MN","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9855 - 10641","500"
"MO","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8717 - 10046","768"
"MP","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","2140 - 2140","*"
"MS","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9003 - 9869","413"
"MT","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8780 - 9874","104"
"NC","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9390 - 10396","1002"
"ND","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8443 - 9718","62"
"NE","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9027 - 9937","197"
"NH","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","10115 - 10885","67"
"NJ","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","10581 - 12529","857"
"NM","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9513 - 10880","154"
"NV","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9717 - 10917","187"
"NY","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8845 - 13543","1345"
"OH","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8897 - 10093","1119"
"OK","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8871 - 9773","404"
"OR","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","1024 - 10762","308"
"PA","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","1948 - 10258","1378"
"PR","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","508 - 6075","130"
"RI","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9608 - 11830","94"
"SC","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9218 - 10386","464"
"SD","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9431 - 10046","114"
"TN","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8675 - 9913","812"
"TX","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9175 - 10595","2322"
"UT","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8978 - 10235","197"
"VA","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8839 - 10084","607"
"VI","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","14005 - 16730","*"
"VT","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","10412 - 14254","37"
"WA","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","10255 - 11523","414"
"WI","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9347 - 10294","551"
"WV","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","8350 - 9456","289"
"WY","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9326 - 10561","34"
"AK","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","9937 - 10708","41"
"AL","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6322 - 7001","1071"
"AR","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6497 - 6992","501"
"AZ","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6236 - 7809","883"
"CA","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7532 - 9955","3019"
"CO","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6710 - 7303","410"
"CT","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7957 - 9484","376"
"DC","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7092 - 9653","53"
"DE","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7215 - 8488","114"
"FL","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6375 - 7127","3418"
"GA","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6652 - 7633","875"
"GU","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","3030 - 4352","*"
"HI","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","8269 - 9395","153"
"IA","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6557 - 6929","288"
"ID","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6727 - 7201","113"
"IL","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6941 - 8012","1397"
"IN","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6609 - 7188","704"
"KS","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6435 - 7113","263"
"KY","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6436 - 7634","624"
"LA","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6371 - 7240","643"
"MA","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7591 - 8875","642"
"MD","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6361 - 10538","454"
"ME","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7075 - 8092","141"
"MI","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6907 - 8124","914"
"MN","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7136 - 7690","552"
"MO","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6389 - 7456","882"
"MS","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6409 - 7286","657"
"MT","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6365 - 7160","90"
"NC","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6808 - 7509","1139"
"ND","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6121 - 7049","90"
"NE","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6641 - 7204","256"
"NH","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7319 - 7727","76"
"NJ","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7744 - 9172","1138"
"NM","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6743 - 7887","224"
"NV","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7046 - 7839","237"
"NY","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","5754 - 10767","2146"
"OH","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6449 - 7363","1259"
"OK","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6375 - 7041","496"
"OR","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","1024 - 7755","348"
"PA","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","1222 - 7572","1705"
"PR","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","128 - 4512","326"
"RI","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","1783 - 8577","144"
"SC","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6665 - 7529","571"
"SD","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6838 - 7538","124"
"TN","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6289 - 7187","973"
"TX","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6646 - 7604","2686"
"UT","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6805 - 7516","190"
"VA","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6377 - 7225","685"
"VI","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","1120 - 4480","*"
"VT","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7865 - 10333","35"
"WA","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","7624 - 8354","525"
"WI","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6762 - 7466","539"
"WV","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6056 - 6783","324"
"WY","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6719 - 7657","48"
"AK","459","Spinal fusion except cervical w MCC","38108 - 48461","*"
"AL","459","Spinal fusion except cervical w MCC","23438 - 28316","94"
"AR","459","Spinal fusion except cervical w MCC","24653 - 28704","30"
"AZ","459","Spinal fusion except cervical w MCC","23476 - 37615","126"
"CA","459","Spinal fusion except cervical w MCC","25074 - 44738","352"
"CO","459","Spinal fusion except cervical w MCC","25662 - 40396","93"
"CT","459","Spinal fusion except cervical w MCC","21560 - 37829","47"
"DC","459","Spinal fusion except cervical w MCC","37628 - 40419","16"
"DE","459","Spinal fusion except cervical w MCC","32426 - 44593","12"
"FL","459","Spinal fusion except cervical w MCC","20067 - 30234","397"
"GA","459","Spinal fusion except cervical w MCC","26080 - 32973","168"
"HI","459","Spinal fusion except cervical w MCC","33763 - 38269","*"
"IA","459","Spinal fusion except cervical w MCC","24184 - 30886","52"
"ID","459","Spinal fusion except cervical w MCC","458 - 28904","33"
"IL","459","Spinal fusion except cervical w MCC","26634 - 38143","184"
"IN","459","Spinal fusion except cervical w MCC","24279 - 39608","113"
"KS","459","Spinal fusion except cervical w MCC","21513 - 28431","65"
"KY","459","Spinal fusion except cervical w MCC","22253 - 30746","73"
"LA","459","Spinal fusion except cervical w MCC","25180 - 31583","68"
"MA","459","Spinal fusion except cervical w MCC","28465 - 41530","60"
"MD","459","Spinal fusion except cervical w MCC","34990 - 61092","99"
"ME","459","Spinal fusion except cervical w MCC","28688 - 31828","14"
"MI","459","Spinal fusion except cervical w MCC","23950 - 32405","273"
"MN","459","Spinal fusion except cervical w MCC","21576 - 30138","101"
"MO","459","Spinal fusion except cervical w MCC","24723 - 31218","130"
"MS","459","Spinal fusion except cervical w MCC","24940 - 27681","26"
"MT","459","Spinal fusion except cervical w MCC","26515 - 33780","30"
"NC","459","Spinal fusion except cervical w MCC","26730 - 35692","188"
"ND","459","Spinal fusion except cervical w MCC","21564 - 35989","*"
"NE","459","Spinal fusion except cervical w MCC","22513 - 29157","43"
"NH","459","Spinal fusion except cervical w MCC","22110 - 31814","13"
"NJ","459","Spinal fusion except cervical w MCC","28835 - 35664","59"
"NM","459","Spinal fusion except cervical w MCC","24216 - 34563","11"
"NV","459","Spinal fusion except cervical w MCC","14920 - 34575","33"
"NY","459","Spinal fusion except cervical w MCC","24581 - 43547","194"
"OH","459","Spinal fusion except cervical w MCC","16588 - 31510","251"
"OK","459","Spinal fusion except cervical w MCC","23887 - 33982","52"
"OR","459","Spinal fusion except cervical w MCC","1371 - 31138","35"
"PA","459","Spinal fusion except cervical w MCC","5543 - 29397","244"
"RI","459","Spinal fusion except cervical w MCC","8065 - 38131","17"
"SC","459","Spinal fusion except cervical w MCC","25825 - 31608","73"
"SD","459","Spinal fusion except cervical w MCC","27757 - 30164","24"
"TN","459","Spinal fusion except cervical w MCC","23816 - 29983","152"
"TX","459","Spinal fusion except cervical w MCC","24289 - 32627","349"
"UT","459","Spinal fusion except cervical w MCC","21634 - 35238","36"
"VA","459","Spinal fusion except cervical w MCC","24914 - 36414","154"
"VT","459","Spinal fusion except cervical w MCC","38543 - 40845","*"
"WA","459","Spinal fusion except cervical w MCC","27360 - 44575","90"
"WI","459","Spinal fusion except cervical w MCC","19477 - 31284","80"
"WV","459","Spinal fusion except cervical w MCC","24130 - 42297","16"
"WY","459","Spinal fusion except cervical w MCC","28690 - 46704","*"
"AK","460","Spinal fusion except cervical w/o MCC","25555 - 30112","61"
"AL","460","Spinal fusion except cervical w/o MCC","17568 - 19397","1616"
"AR","460","Spinal fusion except cervical w/o MCC","17660 - 19663","637"
"AZ","460","Spinal fusion except cervical w/o MCC","18841 - 26542","1186"
"CA","460","Spinal fusion except cervical w/o MCC","21189 - 28369","4597"
"CO","460","Spinal fusion except cervical w/o MCC","19499 - 22538","1171"
"CT","460","Spinal fusion except cervical w/o MCC","22724 - 27575","609"
"DC","460","Spinal fusion except cervical w/o MCC","27033 - 27205","231"
"DE","460","Spinal fusion except cervical w/o MCC","20102 - 23870","218"
"FL","460","Spinal fusion except cervical w/o MCC","17430 - 20048","5368"
"GA","460","Spinal fusion except cervical w/o MCC","18687 - 22237","2182"
"HI","460","Spinal fusion except cervical w/o MCC","23878 - 27616","81"
"IA","460","Spinal fusion except cervical w/o MCC","18773 - 19644","545"
"ID","460","Spinal fusion except cervical w/o MCC","19073 - 20705","686"
"IL","460","Spinal fusion except cervical w/o MCC","19680 - 25383","1869"
"IN","460","Spinal fusion except cervical w/o MCC","18705 - 23778","1509"
"KS","460","Spinal fusion except cervical w/o MCC","17634 - 20308","725"
"KY","460","Spinal fusion except cervical w/o MCC","18371 - 22024","842"
"LA","460","Spinal fusion except cervical w/o MCC","17844 - 20951","1094"
"MA","460","Spinal fusion except cervical w/o MCC","22041 - 28909","857"
"MD","460","Spinal fusion except cervical w/o MCC","21311 - 41101","1194"
"ME","460","Spinal fusion except cervical w/o MCC","20553 - 22818","228"
"MI","460","Spinal fusion except cervical w/o MCC","19667 - 23803","3083"
"MN","460","Spinal fusion except cervical w/o MCC","20092 - 21693","1056"
"MO","460","Spinal fusion except cervical w/o MCC","17772 - 21929","1769"
"MS","460","Spinal fusion except cervical w/o MCC","19264 - 20971","599"
"MT","460","Spinal fusion except cervical w/o MCC","17429 - 20133","372"
"NC","460","Spinal fusion except cervical w/o MCC","19271 - 24763","2379"
"ND","460","Spinal fusion except cervical w/o MCC","17096 - 18226","117"
"NE","460","Spinal fusion except cervical w/o MCC","18673 - 20886","466"
"NH","460","Spinal fusion except cervical w/o MCC","21427 - 29520","162"
"NJ","460","Spinal fusion except cervical w/o MCC","21779 - 25886","613"
"NM","460","Spinal fusion except cervical w/o MCC","18962 - 23122","324"
"NV","460","Spinal fusion except cervical w/o MCC","17576 - 22404","605"
"NY","460","Spinal fusion except cervical w/o MCC","17336 - 29025","2307"
"OH","460","Spinal fusion except cervical w/o MCC","18263 - 22175","3054"
"OK","460","Spinal fusion except cervical w/o MCC","17111 - 21338","987"
"OR","460","Spinal fusion except cervical w/o MCC","5469 - 22110","840"
"PA","460","Spinal fusion except cervical w/o MCC","3950 - 21916","2987"
"PR","460","Spinal fusion except cervical w/o MCC","11054 - 12309","93"
"RI","460","Spinal fusion except cervical w/o MCC","5567 - 29048","315"
"SC","460","Spinal fusion except cervical w/o MCC","18695 - 21560","1110"
"SD","460","Spinal fusion except cervical w/o MCC","18147 - 20480","411"
"TN","460","Spinal fusion except cervical w/o MCC","17773 - 21107","2309"
"TX","460","Spinal fusion except cervical w/o MCC","18635 - 21827","4549"
"UT","460","Spinal fusion except cervical w/o MCC","18970 - 21543","600"
"VA","460","Spinal fusion except cervical w/o MCC","18132 - 22731","1933"
"VI","460","Spinal fusion except cervical w/o MCC","5300 - 5300","*"
"VT","460","Spinal fusion except cervical w/o MCC","21228 - 29367","76"
"WA","460","Spinal fusion except cervical w/o MCC","21750 - 25417","1006"
"WI","460","Spinal fusion except cervical w/o MCC","19062 - 22732","965"
"WV","460","Spinal fusion except cervical w/o MCC","18212 - 26269","197"
"WY","460","Spinal fusion except cervical w/o MCC","20371 - 30841","164"
"AK","461","Bilateral or multiple major joint procs of lower extremity w MCC","28102 - 70133","*"
"AL","461","Bilateral or multiple major joint procs of lower extremity w MCC","19863 - 22715","14"
"AR","461","Bilateral or multiple major joint procs of lower extremity w MCC","19753 - 34725","*"
"AZ","461","Bilateral or multiple major joint procs of lower extremity w MCC","21048 - 22094","16"
"CA","461","Bilateral or multiple major joint procs of lower extremity w MCC","12232 - 34872","78"
"CO","461","Bilateral or multiple major joint procs of lower extremity w MCC","22410 - 31853","20"
"CT","461","Bilateral or multiple major joint procs of lower extremity w MCC","25231 - 29349","22"
"DC","461","Bilateral or multiple major joint procs of lower extremity w MCC","29083 - 39323","*"
"DE","461","Bilateral or multiple major joint procs of lower extremity w MCC","25205 - 25871","*"
"FL","461","Bilateral or multiple major joint procs of lower extremity w MCC","20369 - 22964","89"
"GA","461","Bilateral or multiple major joint procs of lower extremity w MCC","22110 - 32459","19"
"HI","461","Bilateral or multiple major joint procs of lower extremity w MCC","28453 - 33182","*"
"IA","461","Bilateral or multiple major joint procs of lower extremity w MCC","19072 - 21276","*"
"ID","461","Bilateral or multiple major joint procs of lower extremity w MCC","322 - 21622","*"
"IL","461","Bilateral or multiple major joint procs of lower extremity w MCC","23003 - 27848","42"
"IN","461","Bilateral or multiple major joint procs of lower extremity w MCC","19175 - 21381","35"
"KS","461","Bilateral or multiple major joint procs of lower extremity w MCC","19780 - 24686","*"
"KY","461","Bilateral or multiple major joint procs of lower extremity w MCC","21908 - 23301","*"
"LA","461","Bilateral or multiple major joint procs of lower extremity w MCC","20541 - 22988","27"
"MA","461","Bilateral or multiple major joint procs of lower extremity w MCC","20031 - 29193","12"
"MD","461","Bilateral or multiple major joint procs of lower extremity w MCC","24180 - 44520","34"
"ME","461","Bilateral or multiple major joint procs of lower extremity w MCC","24368 - 24475","*"
"MI","461","Bilateral or multiple major joint procs of lower extremity w MCC","20600 - 25503","31"
"MN","461","Bilateral or multiple major joint procs of lower extremity w MCC","21997 - 26648","24"
"MO","461","Bilateral or multiple major joint procs of lower extremity w MCC","20447 - 26939","23"
"MS","461","Bilateral or multiple major joint procs of lower extremity w MCC","21469 - 25589","*"
"MT","461","Bilateral or multiple major joint procs of lower extremity w MCC","20455 - 23062","*"
"NC","461","Bilateral or multiple major joint procs of lower extremity w MCC","21052 - 23412","30"
"ND","461","Bilateral or multiple major joint procs of lower extremity w MCC","19674 - 20042","*"
"NE","461","Bilateral or multiple major joint procs of lower extremity w MCC","20317 - 20812","*"
"NH","461","Bilateral or multiple major joint procs of lower extremity w MCC","25912 - 32462","13"
"NJ","461","Bilateral or multiple major joint procs of lower extremity w MCC","23721 - 28088","57"
"NM","461","Bilateral or multiple major joint procs of lower extremity w MCC","18326 - 25741","*"
"NV","461","Bilateral or multiple major joint procs of lower extremity w MCC","21788 - 24162","*"
"NY","461","Bilateral or multiple major joint procs of lower extremity w MCC","20216 - 32591","46"
"OH","461","Bilateral or multiple major joint procs of lower extremity w MCC","19948 - 23282","85"
"OK","461","Bilateral or multiple major joint procs of lower extremity w MCC","21309 - 53117","*"
"OR","461","Bilateral or multiple major joint procs of lower extremity w MCC","24157 - 24157","*"
"PA","461","Bilateral or multiple major joint procs of lower extremity w MCC","6145 - 24956","125"
"PR","461","Bilateral or multiple major joint procs of lower extremity w MCC","12725 - 12725","*"
"RI","461","Bilateral or multiple major joint procs of lower extremity w MCC","14739 - 24824","*"
"SC","461","Bilateral or multiple major joint procs of lower extremity w MCC","20335 - 25071","12"
"TN","461","Bilateral or multiple major joint procs of lower extremity w MCC","19448 - 22632","35"
"TX","461","Bilateral or multiple major joint procs of lower extremity w MCC","20555 - 26486","82"
"UT","461","Bilateral or multiple major joint procs of lower extremity w MCC","20126 - 20765","*"
"VA","461","Bilateral or multiple major joint procs of lower extremity w MCC","20290 - 31096","33"
"VT","461","Bilateral or multiple major joint procs of lower extremity w MCC","32115 - 32234","*"
"WA","461","Bilateral or multiple major joint procs of lower extremity w MCC","24861 - 26877","20"
"WI","461","Bilateral or multiple major joint procs of lower extremity w MCC","20459 - 21861","34"
"WV","461","Bilateral or multiple major joint procs of lower extremity w MCC","1024 - 19587","*"
"WY","461","Bilateral or multiple major joint procs of lower extremity w MCC","43906 - 107330","*"
"AK","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","22714 - 24836","48"
"AL","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","15542 - 17129","114"
"AR","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16082 - 24636","112"
"AZ","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","15587 - 19802","117"
"CA","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","2967 - 27847","804"
"CO","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","17417 - 18254","318"
"CT","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","19885 - 23704","310"
"DC","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","20669 - 24181","15"
"DE","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","17867 - 21216","36"
"FL","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16384 - 17565","1095"
"GA","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","17126 - 19053","165"
"HI","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","20654 - 21087","22"
"IA","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","15641 - 17319","155"
"ID","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16813 - 18153","42"
"IL","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","17494 - 21250","593"
"IN","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16492 - 17538","513"
"KS","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","15715 - 19615","113"
"KY","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16941 - 18834","139"
"LA","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16105 - 18622","258"
"MA","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","19591 - 22183","149"
"MD","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","21806 - 32916","312"
"ME","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","17363 - 20245","35"
"MI","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16341 - 19749","450"
"MN","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","17861 - 19298","208"
"MO","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","15284 - 20004","333"
"MS","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16018 - 17860","97"
"MT","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","15601 - 18640","60"
"NC","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16927 - 18838","422"
"ND","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","15836 - 16199","55"
"NE","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16161 - 17210","65"
"NH","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","19668 - 26238","162"
"NJ","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","19368 - 22719","584"
"NM","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","17667 - 20665","79"
"NV","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","1024 - 19653","60"
"NY","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16874 - 24850","803"
"OH","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16152 - 18869","810"
"OK","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","15343 - 17272","35"
"OR","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","1024 - 19424","61"
"PA","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","4579 - 21168","1331"
"PR","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","2809 - 10285","*"
"RI","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","4298 - 19237","20"
"SC","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16420 - 18814","97"
"SD","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","15609 - 17978","18"
"TN","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","15719 - 18229","417"
"TX","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16730 - 19807","1052"
"UT","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16236 - 17389","143"
"VA","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16004 - 17613","321"
"VT","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","22212 - 26102","65"
"WA","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","19846 - 21760","267"
"WI","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16749 - 18951","278"
"WV","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","15354 - 16251","75"
"WY","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16878 - 18268","36"
"AK","466","Revision of hip or knee replacement w MCC","38612 - 47738","*"
"AL","466","Revision of hip or knee replacement w MCC","12979 - 19610","85"
"AR","466","Revision of hip or knee replacement w MCC","15295 - 20838","48"
"AZ","466","Revision of hip or knee replacement w MCC","10590 - 22177","130"
"CA","466","Revision of hip or knee replacement w MCC","13010 - 29175","361"
"CO","466","Revision of hip or knee replacement w MCC","14917 - 24045","84"
"CT","466","Revision of hip or knee replacement w MCC","15748 - 26489","68"
"DC","466","Revision of hip or knee replacement w MCC","22068 - 27684","18"
"DE","466","Revision of hip or knee replacement w MCC","12757 - 24228","18"
"FL","466","Revision of hip or knee replacement w MCC","14374 - 21742","444"
"GA","466","Revision of hip or knee replacement w MCC","18235 - 24375","166"
"HI","466","Revision of hip or knee replacement w MCC","27036 - 40978","*"
"IA","466","Revision of hip or knee replacement w MCC","17713 - 19947","61"
"ID","466","Revision of hip or knee replacement w MCC","11694 - 20822","23"
"IL","466","Revision of hip or knee replacement w MCC","18413 - 24943","217"
"IN","466","Revision of hip or knee replacement w MCC","15064 - 26671","104"
"KS","466","Revision of hip or knee replacement w MCC","16168 - 20492","70"
